ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600231.SH,20200225,2.39,2.39,2.31,2.37,2.42,-0.04999999999999982,-2.0661,134186.52,31622.336
600231.SH,20200224,2.45,2.45,2.41,2.42,2.46,-0.040000000000000036,-1.626,143554.4,34774.52
600231.SH,20200221,2.45,2.47,2.44,2.46,2.47,-0.010000000000000231,-0.4049,157904.61,38750.212
600231.SH,20200220,2.44,2.47,2.41,2.47,2.44,0.03000000000000025,1.2295,129849.81,31657.507
600231.SH,20200219,2.45,2.46,2.43,2.44,2.46,-0.020000000000000018,-0.813,84379.24,20617.328
600231.SH,20200218,2.44,2.49,2.43,2.46,2.44,0.020000000000000018,0.8197,91183.82,22347.285
600231.SH,20200217,2.4,2.45,2.39,2.44,2.41,0.029999999999999805,1.2448,115397.2,27926.287
600231.SH,20200214,2.39,2.41,2.37,2.41,2.39,0.020000000000000018,0.8368,61748.82,14766.098
600231.SH,20200213,2.44,2.45,2.39,2.39,2.46,-0.06999999999999984,-2.8455,96776.44,23386.602
600231.SH,20200212,2.42,2.46,2.33,2.46,2.51,-0.04999999999999982,-1.992,180079.74,43312.402
600231.SH,20200211,2.45,2.67,2.42,2.51,2.43,0.07999999999999963,3.2922,332153.22,85943.195
600231.SH,20200210,2.24,2.48,2.24,2.43,2.26,0.17000000000000037,7.5221,223107.05,53226.913
600231.SH,20200207,2.28,2.28,2.24,2.26,2.28,-0.020000000000000018,-0.8772,70425.35,15864.607
600231.SH,20200206,2.28,2.29,2.25,2.28,2.27,0.009999999999999787,0.4405,79955.99,18124.93
600231.SH,20200205,2.17,2.28,2.17,2.27,2.19,0.08000000000000007,3.653,122736.31,27626.312
600231.SH,20200204,2.05,2.23,2.05,2.19,2.28,-0.08999999999999986,-3.9474,170247.86,36605.247
600231.SH,20200203,2.28,2.28,2.28,2.28,2.53,-0.25,-9.8814,31512.0,7184.736
600231.SH,20200123,2.58,2.59,2.51,2.53,2.59,-0.06000000000000005,-2.3166,83416.67,21184.734
600231.SH,20200122,2.56,2.6,2.53,2.59,2.57,0.020000000000000018,0.7782,64410.72,16504.375
600231.SH,20200121,2.6,2.6,2.56,2.57,2.6,-0.03000000000000025,-1.1538,75677.29,19519.493
600231.SH,20200120,2.65,2.65,2.58,2.6,2.65,-0.04999999999999982,-1.8868,130246.67,33867.289
600231.SH,20200117,2.68,2.71,2.64,2.65,2.69,-0.040000000000000036,-1.487,75325.0,20075.604
600231.SH,20200116,2.72,2.72,2.68,2.69,2.71,-0.020000000000000018,-0.738,43770.59,11788.318
600231.SH,20200115,2.74,2.75,2.7,2.71,2.75,-0.040000000000000036,-1.4545,89500.08,24282.702
600231.SH,20200114,2.72,2.77,2.72,2.75,2.73,0.020000000000000018,0.7326,63574.53,17477.95
600231.SH,20200113,2.73,2.74,2.72,2.73,2.74,-0.010000000000000231,-0.365,49814.2,13607.59
600231.SH,20200110,2.77,2.77,2.73,2.74,2.76,-0.019999999999999574,-0.7246,48145.94,13207.819
600231.SH,20200109,2.74,2.77,2.74,2.76,2.74,0.019999999999999574,0.7299,52557.6,14494.012
600231.SH,20200108,2.78,2.79,2.73,2.74,2.8,-0.05999999999999961,-2.1429,95840.84,26471.427
600231.SH,20200107,2.77,2.83,2.76,2.8,2.76,0.040000000000000036,1.4493,148304.85,41423.427
600231.SH,20200106,2.75,2.78,2.74,2.76,2.77,-0.010000000000000231,-0.361,84501.24,23300.028
600231.SH,20200103,2.76,2.78,2.73,2.77,2.77,0.0,0.0,108182.74,29732.838
600231.SH,20200102,2.77,2.8,2.76,2.77,2.76,0.010000000000000231,0.3623,121977.01,33901.034
600231.SH,20191231,2.73,2.77,2.71,2.76,2.73,0.029999999999999805,1.0989,108382.31,29728.884
600231.SH,20191230,2.73,2.74,2.7,2.73,2.71,0.020000000000000018,0.738,57327.41,15591.076
600231.SH,20191227,2.69,2.74,2.68,2.71,2.69,0.020000000000000018,0.7435,84179.36,22816.695
600231.SH,20191226,2.66,2.7,2.65,2.69,2.67,0.020000000000000018,0.7491,34937.7,9361.61
600231.SH,20191225,2.68,2.69,2.65,2.67,2.68,-0.010000000000000231,-0.3731,38411.3,10255.182
600231.SH,20191224,2.66,2.68,2.65,2.68,2.66,0.020000000000000018,0.7519,38038.49,10147.609
600231.SH,20191223,2.73,2.73,2.65,2.66,2.73,-0.06999999999999984,-2.5641,75452.66,20314.568
600231.SH,20191220,2.76,2.76,2.73,2.73,2.76,-0.029999999999999805,-1.087,48338.8,13261.242
600231.SH,20191219,2.75,2.76,2.74,2.76,2.75,0.009999999999999787,0.3636,47959.49,13186.815
600231.SH,20191218,2.76,2.78,2.74,2.75,2.77,-0.020000000000000018,-0.722,76205.46,21032.988
600231.SH,20191217,2.73,2.79,2.72,2.77,2.74,0.029999999999999805,1.0949,108252.25,29862.636
600231.SH,20191216,2.73,2.74,2.7,2.74,2.72,0.020000000000000018,0.7353,62469.48,16989.809
600231.SH,20191213,2.73,2.73,2.7,2.72,2.72,0.0,0.0,59417.5,16145.756
600231.SH,20191212,2.73,2.73,2.7,2.72,2.74,-0.020000000000000018,-0.7299,37646.79,10203.067
600231.SH,20191211,2.74,2.78,2.73,2.74,2.73,0.010000000000000231,0.3663,69676.85,19189.945
600231.SH,20191210,2.73,2.74,2.7,2.73,2.74,-0.010000000000000231,-0.365,49949.58,13576.61
600231.SH,20191209,2.7,2.75,2.69,2.74,2.69,0.050000000000000266,1.8587,87003.66,23747.26
600231.SH,20191206,2.68,2.69,2.67,2.69,2.69,0.0,0.0,33910.26,9076.558
600231.SH,20191205,2.69,2.71,2.68,2.69,2.68,0.009999999999999787,0.3731,36685.85,9869.427
600231.SH,20191204,2.69,2.69,2.66,2.68,2.69,-0.009999999999999787,-0.3717,35250.9,9430.636
600231.SH,20191203,2.71,2.72,2.66,2.69,2.71,-0.020000000000000018,-0.738,28534.95,7669.977
600231.SH,20191202,2.73,2.73,2.68,2.71,2.71,0.0,0.0,43454.23,11739.301
600231.SH,20191129,2.71,2.73,2.67,2.71,2.7,0.009999999999999787,0.3704,51460.6,13890.857
600231.SH,20191128,2.77,2.77,2.68,2.7,2.74,-0.040000000000000036,-1.4599,66799.62,18108.764
600231.SH,20191127,2.74,2.77,2.72,2.74,2.76,-0.019999999999999574,-0.7246,66251.73,18159.022
600231.SH,20191126,2.85,2.87,2.74,2.76,2.88,-0.1200000000000001,-4.1667,145418.05,40352.14
600231.SH,20191125,2.71,2.9,2.71,2.88,2.69,0.18999999999999995,7.0632,319695.48,90832.692
600231.SH,20191122,2.63,2.72,2.61,2.69,2.63,0.06000000000000005,2.2814,118196.83,31634.261
600231.SH,20191121,2.61,2.63,2.59,2.63,2.62,0.009999999999999787,0.3817,26718.16,6985.663
600231.SH,20191120,2.63,2.64,2.6,2.62,2.63,-0.009999999999999787,-0.3802,22840.27,5984.374
600231.SH,20191119,2.61,2.64,2.59,2.63,2.62,0.009999999999999787,0.3817,33438.63,8762.626
600231.SH,20191118,2.59,2.65,2.55,2.62,2.59,0.03000000000000025,1.1583,44361.55,11578.539
600231.SH,20191115,2.63,2.63,2.59,2.59,2.63,-0.040000000000000036,-1.5209,29509.38,7688.713
600231.SH,20191114,2.64,2.64,2.61,2.63,2.64,-0.010000000000000231,-0.3788,17258.99,4529.137
600231.SH,20191113,2.65,2.65,2.62,2.64,2.65,-0.009999999999999787,-0.3774,13229.5,3479.267
600231.SH,20191112,2.62,2.65,2.61,2.65,2.64,0.009999999999999787,0.3788,20574.74,5419.535
600231.SH,20191111,2.68,2.68,2.63,2.64,2.67,-0.029999999999999805,-1.1236,26052.6,6892.867
600231.SH,20191108,2.69,2.7,2.66,2.67,2.68,-0.010000000000000231,-0.3731,27670.4,7405.794
600231.SH,20191107,2.69,2.7,2.67,2.68,2.7,-0.020000000000000018,-0.7407,24272.98,6516.0
600231.SH,20191106,2.67,2.74,2.67,2.7,2.69,0.010000000000000231,0.3717,40049.2,10826.217
600231.SH,20191105,2.69,2.7,2.66,2.69,2.68,0.009999999999999787,0.3731,25525.46,6839.634
600231.SH,20191104,2.69,2.7,2.67,2.68,2.69,-0.009999999999999787,-0.3717,29072.0,7807.352
600231.SH,20191101,2.67,2.7,2.65,2.69,2.68,0.009999999999999787,0.3731,21032.72,5640.652
600231.SH,20191031,2.72,2.73,2.67,2.68,2.73,-0.04999999999999982,-1.8315,43052.3,11584.674
600231.SH,20191030,2.77,2.78,2.73,2.73,2.77,-0.040000000000000036,-1.444,23486.22,6445.524
600231.SH,20191029,2.81,2.83,2.77,2.77,2.81,-0.040000000000000036,-1.4235,32409.7,9031.663
600231.SH,20191028,2.79,2.82,2.77,2.81,2.79,0.020000000000000018,0.7168,42288.17,11848.748
600231.SH,20191025,2.77,2.8,2.76,2.79,2.79,0.0,0.0,20837.41,5795.899
600231.SH,20191024,2.75,2.82,2.74,2.79,2.77,0.020000000000000018,0.722,32566.11,9078.157
600231.SH,20191023,2.78,2.85,2.76,2.77,2.83,-0.06000000000000005,-2.1201,50771.46,14196.084
600231.SH,20191022,2.69,2.9,2.67,2.83,2.69,0.14000000000000012,5.2045,89702.43,24787.452
600231.SH,20191021,2.71,2.72,2.67,2.69,2.71,-0.020000000000000018,-0.738,30419.82,8164.313
600231.SH,20191018,2.74,2.75,2.7,2.71,2.75,-0.040000000000000036,-1.4545,36746.17,10000.511
600231.SH,20191017,2.77,2.77,2.74,2.75,2.76,-0.009999999999999787,-0.3623,16334.0,4503.448
600231.SH,20191016,2.79,2.79,2.76,2.76,2.79,-0.03000000000000025,-1.0753,19606.5,5450.817
600231.SH,20191015,2.81,2.81,2.77,2.79,2.8,-0.009999999999999787,-0.3571,23638.08,6582.16
