ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002884.SZ,20200225,17.31,17.68,16.9,17.47,17.7,-0.23000000000000043,-1.2994,29554.25,51371.271
002884.SZ,20200224,17.0,17.86,16.76,17.7,17.17,0.5299999999999976,3.0868,39602.88,68716.695
002884.SZ,20200221,17.22,17.45,17.06,17.17,17.22,-0.04999999999999716,-0.2904,22082.29,38039.723
002884.SZ,20200220,17.22,17.5,16.8,17.22,17.2,0.019999999999999574,0.1163,33186.23,56935.304
002884.SZ,20200219,16.82,17.8,16.82,17.2,16.91,0.28999999999999915,1.715,38342.94,66788.374
002884.SZ,20200218,16.84,17.08,16.48,16.91,16.86,0.05000000000000071,0.2966,24713.25,41463.118
002884.SZ,20200217,16.44,16.93,16.35,16.86,16.51,0.34999999999999787,2.1199,23128.46,38870.013
002884.SZ,20200214,16.61,16.78,16.4,16.51,16.75,-0.23999999999999844,-1.4328,17253.15,28582.998
002884.SZ,20200213,16.55,16.98,16.32,16.75,16.63,0.120000000000001,0.7216,27547.71,45985.993
002884.SZ,20200212,16.55,16.88,16.43,16.63,16.65,-0.019999999999999574,-0.1201,19560.92,32583.824
002884.SZ,20200211,17.0,17.0,16.38,16.65,16.98,-0.33000000000000185,-1.9435,31826.74,53052.227
002884.SZ,20200210,16.51,17.08,16.51,16.98,16.4,0.5800000000000018,3.5366,43961.8,73985.67
002884.SZ,20200207,15.62,16.55,15.52,16.4,15.7,0.6999999999999993,4.4586,48369.13,78573.844
002884.SZ,20200206,15.26,15.85,15.26,15.7,15.23,0.46999999999999886,3.086,35907.42,56075.287
002884.SZ,20200205,14.9,15.53,14.81,15.23,14.89,0.33999999999999986,2.2834,33929.43,51972.132
002884.SZ,20200204,13.67,14.98,13.67,14.89,13.94,0.9500000000000011,6.8149,29938.37,43505.041
002884.SZ,20200203,13.94,14.35,13.94,13.94,15.49,-1.5500000000000007,-10.0065,46814.01,65640.173
002884.SZ,20200123,15.6,15.9,15.15,15.49,15.9,-0.41000000000000014,-2.5786,29043.65,45144.307
002884.SZ,20200122,15.14,15.94,14.93,15.9,15.21,0.6899999999999995,4.5365,39608.3,61739.07
002884.SZ,20200121,15.3,15.36,15.15,15.21,15.33,-0.11999999999999922,-0.7828,14503.62,22108.754
002884.SZ,20200120,15.0,15.37,14.99,15.33,14.97,0.35999999999999943,2.4048,22912.67,34870.155
002884.SZ,20200117,15.12,15.19,14.96,14.97,15.12,-0.14999999999999858,-0.9921,16952.11,25513.206
002884.SZ,20200116,15.33,15.33,15.03,15.12,15.23,-0.11000000000000121,-0.7223,21225.96,32132.78
002884.SZ,20200115,15.4,15.43,15.08,15.23,15.46,-0.23000000000000043,-1.4877,20312.93,30956.489
002884.SZ,20200114,15.53,15.58,15.37,15.46,15.53,-0.06999999999999851,-0.4507,18989.41,29334.132
002884.SZ,20200113,15.51,15.61,15.26,15.53,15.52,0.009999999999999787,0.0644,22430.04,34618.88
002884.SZ,20200110,15.34,15.64,15.31,15.52,15.31,0.20999999999999908,1.3717,28728.98,44484.425
002884.SZ,20200109,14.98,15.44,14.9,15.31,14.84,0.47000000000000064,3.1671,29343.4,44688.833
002884.SZ,20200108,15.14,15.16,14.84,14.84,15.15,-0.3100000000000005,-2.0462,21966.64,32907.748
002884.SZ,20200107,15.05,15.2,15.0,15.15,15.05,0.09999999999999964,0.6645,24058.25,36417.637
002884.SZ,20200106,14.92,15.18,14.88,15.05,15.01,0.040000000000000924,0.2665,16447.24,24766.865
002884.SZ,20200103,15.14,15.17,14.9,15.01,15.14,-0.13000000000000078,-0.8587,15637.52,23521.72
002884.SZ,20200102,15.24,15.24,15.02,15.14,15.1,0.040000000000000924,0.2649,22633.73,34212.278
002884.SZ,20191231,15.2,15.28,14.95,15.1,15.22,-0.120000000000001,-0.7884,15746.45,23747.352
002884.SZ,20191230,14.87,15.25,14.64,15.22,14.92,0.3000000000000007,2.0107,18198.96,27271.193
002884.SZ,20191227,14.78,15.14,14.73,14.92,14.78,0.14000000000000057,0.9472,27452.64,41264.407
002884.SZ,20191226,14.73,14.84,14.61,14.78,14.76,0.019999999999999574,0.1355,13531.08,19923.261
002884.SZ,20191225,14.87,14.87,14.67,14.76,14.86,-0.09999999999999964,-0.6729,12070.56,17849.951
002884.SZ,20191224,14.76,14.88,14.59,14.86,14.69,0.16999999999999993,1.1572,11725.76,17283.071
002884.SZ,20191223,14.95,15.1,14.68,14.69,14.95,-0.2599999999999998,-1.7391,12555.96,18645.668
002884.SZ,20191220,15.27,15.35,14.92,14.95,15.21,-0.26000000000000156,-1.7094,13483.0,20368.933
002884.SZ,20191219,15.24,15.35,15.04,15.21,15.24,-0.02999999999999936,-0.1969,18074.52,27451.193
002884.SZ,20191218,14.82,15.26,14.79,15.24,14.85,0.39000000000000057,2.6263,28296.62,42781.996
002884.SZ,20191217,14.75,14.94,14.68,14.85,14.75,0.09999999999999964,0.678,14648.68,21767.471
002884.SZ,20191216,14.42,14.76,14.39,14.75,14.41,0.33999999999999986,2.3595,17969.36,26260.56
002884.SZ,20191213,14.3,14.45,14.27,14.41,14.24,0.16999999999999993,1.1938,9095.05,13091.473
002884.SZ,20191212,14.3,14.42,14.24,14.24,14.38,-0.14000000000000057,-0.9736,9476.36,13560.23
002884.SZ,20191211,14.51,14.57,14.37,14.38,14.5,-0.11999999999999922,-0.8276,8634.96,12482.01
002884.SZ,20191210,14.35,14.58,14.3,14.5,14.34,0.16000000000000014,1.1158,12111.4,17500.873
002884.SZ,20191209,14.31,14.44,14.26,14.34,14.31,0.02999999999999936,0.2096,9840.45,14127.087
