ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600071.SH,20200225,10.78,10.88,10.25,10.74,11.01,-0.2699999999999996,-2.4523,39907.12,42380.699
600071.SH,20200224,10.83,11.08,10.53,11.01,10.83,0.17999999999999972,1.662,43006.03,46558.465
600071.SH,20200221,10.77,10.95,10.69,10.83,10.78,0.05000000000000071,0.4638,31861.66,34439.21
600071.SH,20200220,10.65,10.79,10.51,10.78,10.6,0.17999999999999972,1.6981,29247.12,31157.108
600071.SH,20200219,10.51,10.87,10.32,10.6,10.42,0.17999999999999972,1.7274,41280.26,43777.847
600071.SH,20200218,10.15,10.43,10.15,10.42,10.22,0.1999999999999993,1.9569,21212.03,21947.968
600071.SH,20200217,9.94,10.28,9.93,10.22,9.89,0.33000000000000007,3.3367,21591.0,21912.574
600071.SH,20200214,10.02,10.17,9.85,9.89,10.05,-0.16000000000000014,-1.592,20998.93,20950.993
600071.SH,20200213,10.04,10.23,9.87,10.05,10.04,0.010000000000001563,0.0996,23404.04,23408.376
600071.SH,20200212,9.73,10.11,9.71,10.04,9.69,0.34999999999999964,3.612,22890.0,22716.336
600071.SH,20200211,9.88,9.9,9.67,9.69,9.8,-0.11000000000000121,-1.1224,14520.1,14153.25
600071.SH,20200210,9.61,9.86,9.51,9.8,9.66,0.14000000000000057,1.4493,20932.47,20361.247
600071.SH,20200207,9.43,9.7,9.3,9.66,9.4,0.2599999999999998,2.766,28487.91,27173.416
600071.SH,20200206,9.25,9.51,9.03,9.4,9.2,0.20000000000000107,2.1739,36639.46,34015.872
600071.SH,20200205,9.2,9.51,9.12,9.2,9.12,0.08000000000000007,0.8772,32742.5,30383.833
600071.SH,20200204,8.84,9.65,8.84,9.12,9.82,-0.7000000000000011,-7.1283,76295.82,69302.514
600071.SH,20200203,9.82,9.82,9.82,9.82,10.91,-1.0899999999999999,-9.9908,2936.0,2883.152
600071.SH,20200123,11.41,11.41,10.61,10.91,11.41,-0.5,-4.3821,24265.68,26811.372
600071.SH,20200122,11.59,11.67,11.3,11.41,11.68,-0.2699999999999996,-2.3116,20108.01,22931.615
600071.SH,20200121,11.55,11.77,11.5,11.68,11.58,0.09999999999999964,0.8636,21274.42,24780.613
600071.SH,20200120,11.33,11.63,11.32,11.58,11.33,0.25,2.2065,13371.71,15380.996
600071.SH,20200117,11.63,11.71,11.33,11.33,11.62,-0.28999999999999915,-2.4957,18146.0,20843.24
600071.SH,20200116,11.65,11.76,11.6,11.62,11.62,0.0,0.0,10756.91,12551.514
600071.SH,20200115,11.8,11.8,11.5,11.62,11.71,-0.09000000000000163,-0.7686,15283.89,17761.375
600071.SH,20200114,11.98,11.98,11.7,11.71,11.89,-0.17999999999999972,-1.5139,18516.78,21805.146
600071.SH,20200113,11.87,11.89,11.64,11.89,11.81,0.08000000000000007,0.6774,16669.19,19651.226
600071.SH,20200110,12.03,12.24,11.75,11.81,12.04,-0.22999999999999865,-1.9103,29282.91,34810.879
600071.SH,20200109,12.05,12.21,11.98,12.04,11.87,0.16999999999999993,1.4322,29811.34,36048.144
600071.SH,20200108,12.07,12.25,11.86,11.87,12.06,-0.19000000000000128,-1.5755,28920.01,34757.419
600071.SH,20200107,11.95,12.17,11.89,12.06,11.95,0.11000000000000121,0.9205,18908.59,22765.99
600071.SH,20200106,11.76,12.26,11.65,11.95,11.79,0.16000000000000014,1.3571,32031.0,38438.91
600071.SH,20200103,11.69,11.92,11.65,11.79,11.71,0.0799999999999983,0.6832,21804.85,25723.383
600071.SH,20200102,11.46,11.74,11.46,11.71,11.46,0.25,2.1815,20192.58,23554.876
600071.SH,20191231,11.49,11.55,11.31,11.46,11.43,0.030000000000001137,0.2625,15636.0,17845.276
600071.SH,20191230,11.52,11.56,11.25,11.43,11.53,-0.09999999999999964,-0.8673,16756.02,19134.134
600071.SH,20191227,11.91,11.91,11.51,11.53,11.9,-0.370000000000001,-3.1092,33996.92,39788.223
600071.SH,20191226,11.81,11.98,11.75,11.9,11.77,0.13000000000000078,1.1045,24806.98,29429.61
600071.SH,20191225,11.76,11.85,11.53,11.77,11.76,0.009999999999999787,0.085,26370.9,30865.49
600071.SH,20191224,11.46,11.95,11.3,11.76,11.34,0.41999999999999993,3.7037,29908.05,35077.941
600071.SH,20191223,11.49,11.66,11.33,11.34,11.55,-0.21000000000000085,-1.8182,23209.0,26605.119
600071.SH,20191220,11.89,12.1,11.52,11.55,11.92,-0.3699999999999992,-3.104,28989.77,33962.616
600071.SH,20191219,11.4,12.02,11.4,11.92,11.44,0.4800000000000004,4.1958,37628.79,44056.482
600071.SH,20191218,11.55,11.82,11.42,11.44,11.55,-0.11000000000000121,-0.9524,30273.66,34972.615
600071.SH,20191217,11.15,11.66,11.07,11.55,11.13,0.41999999999999993,3.7736,43833.94,50133.813
600071.SH,20191216,10.88,11.14,10.78,11.13,10.84,0.2900000000000009,2.6753,25654.17,28280.78
600071.SH,20191213,11.1,11.15,10.83,10.84,11.01,-0.16999999999999993,-1.5441,26284.21,28746.745
600071.SH,20191212,10.99,11.1,10.82,11.01,11.01,0.0,0.0,13903.02,15286.79
600071.SH,20191211,11.09,11.22,10.98,11.01,11.06,-0.05000000000000071,-0.4521,17204.0,19091.03
600071.SH,20191210,11.11,11.23,10.98,11.06,11.15,-0.08999999999999986,-0.8072,21915.27,24256.124
600071.SH,20191209,10.92,11.15,10.85,11.15,10.92,0.23000000000000043,2.1062,15939.99,17625.856
600071.SH,20191206,10.91,11.04,10.78,10.92,10.91,0.009999999999999787,0.0917,17214.32,18775.449
600071.SH,20191205,10.74,10.92,10.68,10.91,10.74,0.16999999999999993,1.5829,17978.0,19452.33
