ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000796.SZ,20200225,7.85,8.22,7.68,8.01,8.18,-0.16999999999999993,-2.0782,153614.24,121065.412
000796.SZ,20200224,8.4,8.4,8.05,8.18,8.45,-0.2699999999999996,-3.1953,152106.24,124136.54
000796.SZ,20200221,8.29,8.57,8.16,8.45,8.68,-0.23000000000000043,-2.6498,184288.52,154997.696
000796.SZ,20200220,7.93,8.69,7.93,8.68,7.9,0.7799999999999994,9.8734,338319.17,288469.804
000796.SZ,20200219,7.92,8.04,7.76,7.9,7.92,-0.019999999999999574,-0.2525,113833.99,89741.795
000796.SZ,20200218,7.86,8.19,7.65,7.92,7.49,0.4299999999999997,5.741,145553.05,114313.728
000796.SZ,20200217,7.2,7.53,7.2,7.49,7.28,0.20999999999999996,2.8846,77674.14,57510.681
000796.SZ,20200214,7.28,7.37,7.21,7.28,7.29,-0.009999999999999787,-0.1372,46413.55,33861.158
000796.SZ,20200213,7.35,7.4,7.23,7.29,7.4,-0.11000000000000032,-1.4865,48085.96,35165.833
000796.SZ,20200212,7.34,7.45,7.26,7.4,7.4,0.0,0.0,81336.82,59790.316
000796.SZ,20200211,7.47,7.73,7.26,7.4,7.54,-0.13999999999999968,-1.8568,98040.31,72699.79
000796.SZ,20200210,7.07,7.54,6.99,7.54,7.19,0.34999999999999964,4.8679,134174.53,98072.038
000796.SZ,20200207,6.77,7.26,6.72,7.19,6.84,0.35000000000000053,5.117,165815.45,116100.554
000796.SZ,20200206,6.69,6.99,6.48,6.84,6.75,0.08999999999999986,1.3333,170545.7,115250.489
000796.SZ,20200205,6.29,6.83,6.21,6.75,6.21,0.54,8.6957,203341.17,134788.743
000796.SZ,20200204,6.11,6.48,6.11,6.21,6.79,-0.5800000000000001,-8.542,259311.05,160321.33
000796.SZ,20200203,6.79,6.79,6.79,6.79,7.54,-0.75,-9.9469,3638.0,2470.202
000796.SZ,20200123,7.86,8.0,7.48,7.54,7.98,-0.4400000000000004,-5.5138,132617.94,102537.953
000796.SZ,20200122,8.1,8.21,7.93,7.98,8.32,-0.33999999999999986,-4.0865,127794.41,103116.018
000796.SZ,20200121,8.63,8.71,8.03,8.32,8.89,-0.5700000000000003,-6.4117,164937.54,137262.432
000796.SZ,20200120,8.95,9.01,8.75,8.89,8.96,-0.07000000000000028,-0.7813,73560.0,65246.586
000796.SZ,20200117,8.99,9.17,8.89,8.96,9.11,-0.14999999999999858,-1.6465,53887.0,48521.984
000796.SZ,20200116,9.15,9.24,8.96,9.11,9.09,0.019999999999999574,0.22,49848.69,45404.845
000796.SZ,20200115,9.23,9.28,8.97,9.09,9.2,-0.10999999999999943,-1.1957,66138.1,60132.299
000796.SZ,20200114,9.48,9.49,9.2,9.2,9.47,-0.27000000000000135,-2.8511,72447.09,67511.817
000796.SZ,20200113,9.42,9.54,9.3,9.47,9.4,0.07000000000000028,0.7447,51875.2,48938.06
000796.SZ,20200110,9.38,9.48,9.27,9.4,9.37,0.030000000000001137,0.3202,56791.29,53253.649
000796.SZ,20200109,9.55,9.69,9.35,9.37,9.41,-0.040000000000000924,-0.4251,64018.0,60613.594
000796.SZ,20200108,9.2,9.57,9.13,9.41,9.2,0.21000000000000085,2.2826,105624.66,99347.654
000796.SZ,20200107,8.97,9.24,8.93,9.2,8.9,0.29999999999999893,3.3708,88534.47,81090.826
000796.SZ,20200106,8.93,9.05,8.85,8.9,9.02,-0.11999999999999922,-1.3304,87788.58,78523.886
000796.SZ,20200103,9.11,9.16,8.91,9.02,9.15,-0.13000000000000078,-1.4208,76961.6,69452.322
000796.SZ,20200102,9.18,9.18,9.07,9.15,9.11,0.040000000000000924,0.4391,88815.83,81013.454
000796.SZ,20191231,9.07,9.22,8.98,9.11,9.15,-0.040000000000000924,-0.4372,69764.05,63467.091
000796.SZ,20191230,9.09,9.24,9.02,9.15,9.09,0.0600000000000005,0.6601,92569.82,84316.491
000796.SZ,20191227,8.84,9.35,8.61,9.09,8.84,0.25,2.8281,142374.8,127588.949
000796.SZ,20191226,8.65,9.02,8.65,8.84,8.68,0.16000000000000014,1.8433,67756.0,59949.925
000796.SZ,20191225,8.6,8.76,8.56,8.68,8.71,-0.030000000000001137,-0.3444,72005.36,62180.852
000796.SZ,20191224,8.71,8.85,8.57,8.71,8.72,-0.009999999999999787,-0.1147,89939.62,78290.708
000796.SZ,20191223,8.9,9.4,8.68,8.72,8.88,-0.16000000000000014,-1.8018,169531.62,153046.034
000796.SZ,20191220,8.37,9.11,8.26,8.88,8.42,0.46000000000000085,5.4632,201595.87,175286.472
000796.SZ,20191219,8.08,8.58,8.07,8.42,8.16,0.2599999999999998,3.1863,157231.25,131313.77
000796.SZ,20191218,8.13,8.42,8.06,8.16,8.14,0.019999999999999574,0.2457,115094.0,94708.524
000796.SZ,20191217,7.97,8.15,7.82,8.14,8.01,0.13000000000000078,1.623,90490.07,72164.184
000796.SZ,20191216,8.05,8.12,7.85,8.01,8.02,-0.009999999999999787,-0.1247,58951.36,47031.551
000796.SZ,20191213,8.26,8.26,7.93,8.02,8.12,-0.09999999999999964,-1.2315,70265.84,56316.944
000796.SZ,20191212,7.97,8.3,7.86,8.12,7.97,0.14999999999999947,1.8821,101383.51,82371.169
000796.SZ,20191211,8.09,8.12,7.9,7.97,8.09,-0.1200000000000001,-1.4833,56704.74,45315.865
000796.SZ,20191210,8.19,8.22,8.05,8.09,8.16,-0.07000000000000028,-0.8578,67570.39,54875.132
000796.SZ,20191209,7.98,8.2,7.97,8.16,8.03,0.13000000000000078,1.6189,90565.21,73370.806
000796.SZ,20191206,8.15,8.15,7.91,8.03,8.05,-0.02000000000000135,-0.2484,76317.0,61055.912
000796.SZ,20191205,7.83,8.5,7.83,8.05,7.78,0.27000000000000046,3.4704,117567.99,94963.941
000796.SZ,20191204,7.75,7.85,7.65,7.78,7.84,-0.05999999999999961,-0.7653,51934.96,40271.189
000796.SZ,20191203,7.76,7.85,7.65,7.84,7.81,0.03000000000000025,0.3841,50057.01,38889.136
000796.SZ,20191202,7.91,7.97,7.75,7.81,7.9,-0.09000000000000075,-1.1392,55194.03,43122.216
