ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600111.SH,20200225,9.81,9.93,9.5,9.79,10.04,-0.25,-2.49,769897.79,748927.593
600111.SH,20200224,10.14,10.14,9.93,10.04,10.2,-0.16000000000000014,-1.5686,661422.88,662383.404
600111.SH,20200221,10.07,10.28,10.01,10.2,10.11,0.08999999999999986,0.8902,635971.55,647177.517
600111.SH,20200220,10.04,10.13,9.83,10.11,10.0,0.10999999999999943,1.1,524611.69,524127.828
600111.SH,20200219,10.2,10.2,9.97,10.0,10.27,-0.2699999999999996,-2.629,650767.45,653481.799
600111.SH,20200218,10.18,10.47,10.04,10.27,10.01,0.2599999999999998,2.5974,874174.04,898024.776
600111.SH,20200217,9.88,10.05,9.84,10.01,9.81,0.1999999999999993,2.0387,644510.89,641002.56
600111.SH,20200214,9.75,9.97,9.69,9.81,9.79,0.02000000000000135,0.2043,357238.24,351273.628
600111.SH,20200213,9.83,10.04,9.66,9.79,9.83,-0.040000000000000924,-0.4069,434578.7,427355.428
600111.SH,20200212,9.55,9.86,9.51,9.83,9.55,0.27999999999999936,2.9319,424940.25,413534.241
600111.SH,20200211,9.68,9.69,9.52,9.55,9.58,-0.02999999999999936,-0.3132,262054.02,251605.776
600111.SH,20200210,9.37,9.61,9.3,9.58,9.4,0.17999999999999972,1.9149,328763.05,312238.201
600111.SH,20200207,9.28,9.49,9.2,9.4,9.36,0.040000000000000924,0.4274,332065.41,310330.033
600111.SH,20200206,9.39,9.42,9.21,9.36,9.28,0.08000000000000007,0.8621,334569.15,311763.071
600111.SH,20200205,8.96,9.42,8.96,9.28,8.9,0.379999999999999,4.2697,478855.57,443409.238
600111.SH,20200204,8.28,9.05,8.28,8.9,9.13,-0.23000000000000043,-2.5192,602749.15,530583.815
600111.SH,20200203,9.13,9.13,9.13,9.13,10.14,-1.0099999999999998,-9.9606,133646.0,122018.798
600111.SH,20200123,10.5,10.54,10.05,10.14,10.56,-0.41999999999999993,-3.9773,338820.52,347705.776
600111.SH,20200122,10.55,10.64,10.34,10.56,10.57,-0.009999999999999787,-0.0946,238960.86,250614.657
600111.SH,20200121,10.86,10.87,10.55,10.57,10.88,-0.3100000000000005,-2.8493,271213.46,289181.814
