ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600733.SH,20200225,6.61,7.49,6.36,7.13,6.81,0.3200000000000003,4.699,695721.15,481992.914
600733.SH,20200224,6.78,6.91,6.71,6.81,6.92,-0.11000000000000032,-1.5896,341432.77,232077.527
600733.SH,20200221,6.95,7.08,6.66,6.92,6.75,0.16999999999999993,2.5185,496339.14,340006.031
600733.SH,20200220,6.58,6.84,6.5,6.75,6.56,0.1900000000000004,2.8963,346625.43,233542.149
600733.SH,20200219,6.77,6.89,6.55,6.56,6.73,-0.17000000000000082,-2.526,271065.55,181183.828
600733.SH,20200218,6.66,6.85,6.58,6.73,6.63,0.10000000000000053,1.5083,290939.48,195324.571
600733.SH,20200217,6.43,6.68,6.43,6.63,6.45,0.17999999999999972,2.7907,315164.78,207931.142
600733.SH,20200214,6.5,6.56,6.38,6.45,6.6,-0.14999999999999947,-2.2727,213452.16,138349.733
600733.SH,20200213,6.43,6.75,6.32,6.6,6.45,0.14999999999999947,2.3256,372855.77,243786.917
600733.SH,20200212,6.33,6.56,6.29,6.45,6.35,0.10000000000000053,1.5748,231882.48,149758.808
600733.SH,20200211,6.56,6.56,6.34,6.35,6.55,-0.20000000000000018,-3.0534,222971.76,143231.969
600733.SH,20200210,6.5,6.68,6.36,6.55,6.47,0.08000000000000007,1.2365,361427.2,236255.34
600733.SH,20200207,5.82,6.47,5.78,6.47,5.88,0.5899999999999999,10.034,411415.51,250948.033
600733.SH,20200206,5.73,5.92,5.72,5.88,5.86,0.019999999999999574,0.3413,238252.35,138658.392
600733.SH,20200205,5.92,6.11,5.81,5.86,5.77,0.09000000000000075,1.5598,320731.41,191270.333
600733.SH,20200204,5.37,6.05,5.37,5.77,5.83,-0.0600000000000005,-1.0292,310691.88,179240.375
600733.SH,20200203,5.83,5.83,5.83,5.83,6.48,-0.6500000000000004,-10.0309,54115.0,31549.045
600733.SH,20200123,6.68,6.83,6.34,6.48,6.79,-0.3099999999999996,-4.5655,321868.1,211782.748
600733.SH,20200122,6.58,6.96,6.43,6.79,6.63,0.16000000000000014,2.4133,404995.33,274444.253
600733.SH,20200121,6.9,6.91,6.53,6.63,7.01,-0.3799999999999999,-5.4208,442884.68,296344.36
600733.SH,20200120,7.05,7.19,6.84,7.01,7.12,-0.11000000000000032,-1.5449,530474.31,370898.179
600733.SH,20200117,7.0,7.49,6.7,7.12,6.86,0.2599999999999998,3.7901,894791.74,632328.731
600733.SH,20200116,6.32,6.86,6.25,6.86,6.24,0.6200000000000001,9.9359,621754.46,414684.283
600733.SH,20200115,6.4,6.47,6.2,6.24,6.49,-0.25,-3.8521,325386.0,204408.514
600733.SH,20200114,6.82,6.92,6.46,6.49,6.69,-0.20000000000000018,-2.9895,710111.21,474298.964
600733.SH,20200113,6.55,6.69,6.45,6.69,6.08,0.6100000000000003,10.0329,650956.49,432057.139
600733.SH,20200110,6.27,6.27,6.07,6.08,6.21,-0.1299999999999999,-2.0934,169615.39,103892.695
600733.SH,20200109,6.18,6.35,6.16,6.21,6.09,0.1200000000000001,1.9704,222142.15,138558.762
600733.SH,20200108,6.12,6.28,6.06,6.09,6.13,-0.040000000000000036,-0.6525,194918.7,119933.42
600733.SH,20200107,6.15,6.2,6.09,6.13,6.11,0.019999999999999574,0.3273,176077.99,108040.121
600733.SH,20200106,6.08,6.23,5.97,6.11,6.08,0.03000000000000025,0.4934,231699.85,141253.971
600733.SH,20200103,5.99,6.18,5.94,6.08,5.98,0.09999999999999964,1.6722,258358.33,157013.97
600733.SH,20200102,6.02,6.02,5.88,5.98,5.84,0.14000000000000057,2.3973,173347.73,103443.088
600733.SH,20191231,5.88,6.05,5.8,5.84,5.79,0.04999999999999982,0.8636,175455.74,103754.973
600733.SH,20191230,5.7,5.84,5.5,5.79,5.75,0.040000000000000036,0.6957,159828.11,91210.138
600733.SH,20191227,5.8,5.93,5.74,5.75,5.8,-0.04999999999999982,-0.8621,141851.15,82616.315
600733.SH,20191226,5.81,5.87,5.72,5.8,5.81,-0.009999999999999787,-0.1721,120861.65,69642.065
600733.SH,20191225,5.89,6.02,5.76,5.81,5.85,-0.040000000000000036,-0.6838,144968.55,85309.241
600733.SH,20191224,5.71,5.9,5.68,5.85,5.68,0.16999999999999993,2.993,156833.54,90678.385
600733.SH,20191223,5.95,5.99,5.65,5.68,5.98,-0.3000000000000007,-5.0167,204180.1,118164.943
