ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600741.SH,20200225,28.9,30.31,28.24,30.05,29.48,0.5700000000000003,1.9335,245806.08,721129.213
600741.SH,20200224,29.27,30.12,28.98,29.48,29.45,0.030000000000001137,0.1019,226837.86,670912.938
600741.SH,20200221,28.4,29.79,28.2,29.45,28.41,1.0399999999999991,3.6607,212945.82,623335.151
600741.SH,20200220,27.66,28.76,27.1,28.41,27.51,0.8999999999999986,3.2715,240344.29,672434.837
600741.SH,20200219,28.46,28.47,27.33,27.51,27.9,-0.389999999999997,-1.3978,141667.25,392606.032
600741.SH,20200218,28.4,28.45,27.68,27.9,28.21,-0.3100000000000023,-1.0989,156177.22,438032.284
600741.SH,20200217,26.36,28.35,26.36,28.21,26.67,1.5399999999999991,5.7743,245119.11,678720.291
600741.SH,20200214,26.53,26.78,26.2,26.67,26.62,0.05000000000000071,0.1878,110456.21,292819.493
600741.SH,20200213,26.8,27.05,26.58,26.62,26.92,-0.3000000000000007,-1.1144,110989.09,296827.97
600741.SH,20200212,26.87,27.17,26.55,26.92,27.01,-0.08999999999999986,-0.3332,145643.49,391195.815
600741.SH,20200211,27.3,27.4,26.59,27.01,26.53,0.4800000000000004,1.8093,218046.28,589893.512
600741.SH,20200210,25.5,26.62,25.24,26.53,25.39,1.1400000000000006,4.49,247877.31,645564.597
600741.SH,20200207,26.0,26.0,25.13,25.39,26.15,-0.759999999999998,-2.9063,249438.3,632895.642
600741.SH,20200206,26.11,26.8,25.21,26.15,26.74,-0.5899999999999999,-2.2064,385091.03,999371.452
600741.SH,20200205,27.37,27.5,26.45,26.74,26.37,0.36999999999999744,1.4031,189042.58,511365.238
600741.SH,20200204,26.07,26.8,26.0,26.37,25.58,0.7900000000000027,3.0884,196182.35,518791.131
600741.SH,20200203,24.03,26.26,24.03,25.58,26.7,-1.120000000000001,-4.1948,261391.45,660521.767
600741.SH,20200123,27.37,28.36,26.3,26.7,27.61,-0.9100000000000001,-3.2959,154282.74,421418.846
600741.SH,20200122,27.58,27.89,27.02,27.61,27.61,0.0,0.0,196476.78,540849.794
600741.SH,20200121,28.31,28.39,27.35,27.61,28.29,-0.6799999999999997,-2.4037,178876.83,495898.064
600741.SH,20200120,28.57,28.58,27.25,28.29,28.61,-0.3200000000000003,-1.1185,239158.91,670179.086
600741.SH,20200117,28.64,28.75,28.3,28.61,28.56,0.05000000000000071,0.1751,93344.52,266458.358
600741.SH,20200116,28.57,29.28,28.41,28.56,28.41,0.14999999999999858,0.528,118843.13,342485.585
600741.SH,20200115,28.12,28.57,28.02,28.41,28.14,0.2699999999999996,0.9595,140975.38,399115.736
600741.SH,20200114,28.8,29.09,28.0,28.14,28.53,-0.39000000000000057,-1.367,158382.96,450044.205
600741.SH,20200113,28.52,28.85,28.11,28.53,28.52,0.010000000000001563,0.0351,169963.39,482623.972
600741.SH,20200110,28.81,28.98,28.16,28.52,28.81,-0.28999999999999915,-1.0066,176864.96,504350.674
600741.SH,20200109,28.8,29.58,28.35,28.81,28.21,0.5999999999999979,2.1269,191433.27,553225.203
600741.SH,20200108,27.36,29.22,27.17,28.21,27.36,0.8500000000000014,3.1067,306505.81,876380.929
600741.SH,20200107,27.49,27.6,27.1,27.36,27.08,0.28000000000000114,1.034,141084.45,385286.364
600741.SH,20200106,26.3,28.4,26.28,27.08,26.09,0.9899999999999984,3.7946,289466.89,792363.928
600741.SH,20200103,26.42,26.65,25.98,26.09,26.36,-0.2699999999999996,-1.0243,130332.8,341631.708
600741.SH,20200102,26.37,26.62,26.16,26.36,25.99,0.370000000000001,1.4236,141420.18,373917.266
600741.SH,20191231,25.51,26.08,25.36,25.99,25.46,0.5299999999999976,2.0817,140389.11,363553.424
600741.SH,20191230,25.11,25.67,24.9,25.46,25.3,0.16000000000000014,0.6324,140263.03,356517.074
600741.SH,20191227,25.24,25.77,25.11,25.3,25.19,0.10999999999999943,0.4367,140341.74,356112.925
600741.SH,20191226,25.27,25.34,24.98,25.19,25.13,0.060000000000002274,0.2388,76451.13,192730.491
600741.SH,20191225,24.24,25.26,24.24,25.13,24.24,0.8900000000000006,3.6716,204203.3,508686.672
600741.SH,20191224,24.04,24.3,24.04,24.24,23.88,0.35999999999999943,1.5075,88658.47,214353.093
600741.SH,20191223,24.25,24.44,23.84,23.88,24.41,-0.5300000000000011,-2.1712,137168.95,330516.861
600741.SH,20191220,24.53,24.66,24.26,24.41,24.53,-0.120000000000001,-0.4892,97348.24,237669.41
600741.SH,20191219,24.9,24.94,24.44,24.53,24.9,-0.36999999999999744,-1.4859,114299.74,281347.926
600741.SH,20191218,25.12,25.34,24.77,24.9,25.2,-0.3000000000000007,-1.1905,121553.07,304315.725
600741.SH,20191217,24.89,25.39,24.65,25.2,24.94,0.259999999999998,1.0425,129719.84,325064.858
600741.SH,20191216,24.82,25.09,24.61,24.94,24.77,0.1700000000000017,0.6863,146982.32,364695.884
600741.SH,20191213,24.67,24.85,24.41,24.77,24.41,0.35999999999999943,1.4748,147632.44,364292.789
600741.SH,20191212,24.78,24.79,24.08,24.41,24.65,-0.23999999999999844,-0.9736,83555.38,203716.319
600741.SH,20191211,24.64,24.86,24.4,24.65,24.53,0.11999999999999744,0.4892,84225.59,207582.329
600741.SH,20191210,24.53,24.67,24.26,24.53,24.52,0.010000000000001563,0.0408,89875.7,220023.175
600741.SH,20191209,25.05,25.1,24.32,24.52,24.9,-0.379999999999999,-1.5261,152496.43,373671.303
600741.SH,20191206,25.25,25.56,24.8,24.9,25.04,-0.14000000000000057,-0.5591,84519.16,211481.038
600741.SH,20191205,24.94,25.36,24.92,25.04,24.87,0.16999999999999815,0.6836,71410.61,179443.281
600741.SH,20191204,25.12,25.33,24.8,24.87,25.1,-0.23000000000000043,-0.9163,61411.66,153397.787
600741.SH,20191203,25.33,25.44,24.91,25.1,25.25,-0.14999999999999858,-0.5941,102646.09,257619.181
600741.SH,20191202,26.0,26.57,25.16,25.25,25.92,-0.6700000000000017,-2.5849,164764.95,423077.614
