ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600629.SH,20200225,7.96,7.96,7.65,7.85,8.05,-0.20000000000000107,-2.4845,22015.23,17263.896
600629.SH,20200224,7.97,8.05,7.92,8.05,7.99,0.0600000000000005,0.7509,13132.27,10500.998
600629.SH,20200221,7.92,8.04,7.9,7.99,7.96,0.03000000000000025,0.3769,16877.73,13483.702
600629.SH,20200220,7.87,7.96,7.81,7.96,7.82,0.13999999999999968,1.7903,18655.9,14712.038
600629.SH,20200219,7.87,7.89,7.82,7.82,7.87,-0.04999999999999982,-0.6353,14196.15,11136.878
600629.SH,20200218,7.87,7.95,7.82,7.87,7.87,0.0,0.0,18918.28,14853.95
600629.SH,20200217,7.67,7.87,7.67,7.87,7.67,0.20000000000000018,2.6076,16566.0,12925.545
600629.SH,20200214,7.65,7.69,7.63,7.67,7.67,0.0,0.0,12793.87,9800.974
600629.SH,20200213,7.7,7.76,7.66,7.67,7.7,-0.03000000000000025,-0.3896,18404.92,14181.662
600629.SH,20200212,7.63,7.72,7.62,7.7,7.65,0.04999999999999982,0.6536,10501.83,8060.762
600629.SH,20200211,7.7,7.71,7.58,7.65,7.71,-0.05999999999999961,-0.7782,12611.6,9650.824
600629.SH,20200210,7.5,7.74,7.5,7.71,7.51,0.20000000000000018,2.6631,16929.0,12941.496
600629.SH,20200207,7.51,7.55,7.45,7.51,7.5,0.009999999999999787,0.1333,9751.08,7310.37
600629.SH,20200206,7.49,7.59,7.41,7.5,7.47,0.03000000000000025,0.4016,19362.18,14499.681
600629.SH,20200205,7.46,7.65,7.43,7.47,7.47,0.0,0.0,19743.43,14870.704
600629.SH,20200204,7.32,7.54,7.32,7.47,7.47,0.0,0.0,16655.4,12409.916
600629.SH,20200203,7.5,7.73,7.47,7.47,8.3,-0.830000000000001,-10.0,22912.4,17167.308
600629.SH,20200123,8.4,8.44,8.23,8.3,8.46,-0.16000000000000014,-1.8913,15534.81,12893.379
600629.SH,20200122,8.43,8.5,8.25,8.46,8.44,0.02000000000000135,0.237,14567.6,12145.672
600629.SH,20200121,8.53,8.57,8.43,8.44,8.53,-0.08999999999999986,-1.0551,14640.59,12422.624
600629.SH,20200120,8.53,8.57,8.47,8.53,8.53,0.0,0.0,16846.68,14337.353
600629.SH,20200117,8.71,8.75,8.51,8.53,8.71,-0.1800000000000015,-2.0666,28868.78,24798.77
600629.SH,20200116,8.77,8.81,8.66,8.71,8.77,-0.05999999999999872,-0.6842,9621.2,8386.592
600629.SH,20200115,8.85,8.87,8.76,8.77,8.87,-0.09999999999999964,-1.1274,10091.2,8882.683
600629.SH,20200114,8.83,8.89,8.82,8.87,8.84,0.02999999999999936,0.3394,14420.4,12767.355
600629.SH,20200113,8.83,8.84,8.78,8.84,8.82,0.019999999999999574,0.2268,7786.14,6857.764
600629.SH,20200110,8.82,8.83,8.74,8.82,8.81,0.009999999999999787,0.1135,10071.6,8855.572
600629.SH,20200109,8.77,8.81,8.76,8.81,8.73,0.08000000000000007,0.9164,9756.29,8573.394
600629.SH,20200108,8.85,8.85,8.7,8.73,8.85,-0.11999999999999922,-1.3559,13415.62,11754.618
600629.SH,20200107,8.75,8.85,8.75,8.85,8.75,0.09999999999999964,1.1429,11771.8,10366.064
600629.SH,20200106,8.75,8.81,8.7,8.75,8.75,0.0,0.0,14872.4,13026.012
600629.SH,20200103,8.75,8.79,8.72,8.75,8.76,-0.009999999999999787,-0.1142,11924.96,10436.423
600629.SH,20200102,8.77,8.8,8.67,8.76,8.69,0.07000000000000028,0.8055,20167.4,17607.249
600629.SH,20191231,8.6,8.71,8.58,8.69,8.65,0.03999999999999915,0.4624,17240.2,14885.111
600629.SH,20191230,8.5,8.81,8.43,8.65,8.98,-0.33000000000000007,-3.6748,37577.97,32288.569
600629.SH,20191227,9.56,9.59,8.93,8.98,9.21,-0.23000000000000043,-2.4973,89494.36,84514.312
600629.SH,20191226,8.96,9.21,8.86,9.21,8.92,0.2900000000000009,3.2511,27746.06,25031.636
600629.SH,20191225,8.7,9.02,8.7,8.92,8.73,0.1899999999999995,2.1764,28569.13,25419.03
600629.SH,20191224,8.47,8.75,8.47,8.73,8.46,0.2699999999999996,3.1915,23658.69,20407.322
600629.SH,20191223,8.53,8.55,8.45,8.46,8.53,-0.06999999999999851,-0.8206,10698.6,9081.501
600629.SH,20191220,8.56,8.6,8.52,8.53,8.57,-0.040000000000000924,-0.4667,7089.6,6061.343
600629.SH,20191219,8.56,8.6,8.53,8.57,8.56,0.009999999999999787,0.1168,8188.88,7004.389
600629.SH,20191218,8.58,8.62,8.52,8.56,8.57,-0.009999999999999787,-0.1167,12874.48,11033.541
600629.SH,20191217,8.44,8.58,8.41,8.57,8.45,0.120000000000001,1.4201,13964.6,11864.422
600629.SH,20191216,8.4,8.46,8.36,8.45,8.38,0.06999999999999851,0.8353,8417.4,7097.454
600629.SH,20191213,8.37,8.4,8.32,8.38,8.29,0.09000000000000163,1.0856,8359.0,6998.585
600629.SH,20191212,8.34,8.34,8.29,8.29,8.34,-0.05000000000000071,-0.5995,4207.49,3497.761
600629.SH,20191211,8.38,8.4,8.34,8.34,8.33,0.009999999999999787,0.12,7224.33,6044.606
600629.SH,20191210,8.34,8.36,8.24,8.33,8.32,0.009999999999999787,0.1202,5041.73,4187.209
600629.SH,20191209,8.37,8.39,8.31,8.32,8.33,-0.009999999999999787,-0.12,5996.0,5010.692
600629.SH,20191206,8.36,8.38,8.32,8.33,8.37,-0.03999999999999915,-0.4779,5423.0,4521.018
600629.SH,20191205,8.35,8.4,8.32,8.37,8.35,0.019999999999999574,0.2395,5704.2,4758.999
600629.SH,20191204,8.32,8.36,8.3,8.35,8.35,0.0,0.0,5277.41,4401.346
600629.SH,20191203,8.23,8.35,8.21,8.35,8.3,0.049999999999998934,0.6024,11388.76,9470.179
600629.SH,20191202,8.27,8.34,8.2,8.3,8.26,0.040000000000000924,0.4843,12595.56,10397.552
600629.SH,20191129,8.26,8.33,8.22,8.26,8.24,0.019999999999999574,0.2427,4374.16,3613.659
600629.SH,20191128,8.22,8.26,8.22,8.24,8.24,0.0,0.0,2664.6,2195.162
600629.SH,20191127,8.28,8.32,8.23,8.24,8.28,-0.03999999999999915,-0.4831,3888.6,3208.877
600629.SH,20191126,8.33,8.35,8.28,8.28,8.34,-0.0600000000000005,-0.7194,4850.0,4023.274
600629.SH,20191125,8.29,8.34,8.22,8.34,8.29,0.05000000000000071,0.6031,5746.4,4769.785
