ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000536.SZ,20200225,2.5,2.83,2.47,2.73,2.58,0.1499999999999999,5.814,1743687.08,458558.073
000536.SZ,20200224,2.51,2.65,2.48,2.58,2.56,0.020000000000000018,0.7813,1043215.79,268216.582
000536.SZ,20200221,2.56,2.68,2.47,2.56,2.55,0.010000000000000231,0.3922,1577719.85,402695.247
000536.SZ,20200220,2.32,2.55,2.3,2.55,2.32,0.22999999999999998,9.9138,1459175.28,360496.798
000536.SZ,20200219,2.34,2.38,2.31,2.32,2.38,-0.06000000000000005,-2.521,547868.66,128063.355
000536.SZ,20200218,2.28,2.45,2.26,2.38,2.26,0.1200000000000001,5.3097,899171.33,210187.251
000536.SZ,20200217,2.19,2.26,2.18,2.26,2.17,0.08999999999999986,4.1475,459432.63,102429.092
000536.SZ,20200214,2.2,2.21,2.16,2.17,2.22,-0.050000000000000266,-2.2523,363753.56,79429.026
000536.SZ,20200213,2.23,2.28,2.22,2.22,2.24,-0.020000000000000018,-0.8929,376931.54,84646.655
000536.SZ,20200212,2.26,2.27,2.21,2.24,2.28,-0.03999999999999959,-1.7544,430131.53,96166.592
000536.SZ,20200211,2.25,2.31,2.22,2.28,2.24,0.03999999999999959,1.7857,407454.78,92124.594
000536.SZ,20200210,2.19,2.25,2.19,2.24,2.21,0.03000000000000025,1.3575,307795.73,68605.993
000536.SZ,20200207,2.21,2.23,2.18,2.21,2.24,-0.03000000000000025,-1.3393,338545.98,74743.118
000536.SZ,20200206,2.17,2.3,2.15,2.24,2.18,0.06000000000000005,2.7523,588623.98,131048.417
000536.SZ,20200205,2.15,2.24,2.13,2.18,2.14,0.040000000000000036,1.8692,433069.2,94769.407
000536.SZ,20200204,2.03,2.17,2.03,2.14,2.26,-0.11999999999999966,-5.3097,628752.0,133047.77
000536.SZ,20200203,2.26,2.26,2.26,2.26,2.51,-0.25,-9.9602,51670.0,11677.42
000536.SZ,20200123,2.5,2.57,2.45,2.51,2.58,-0.07000000000000028,-2.7132,409552.62,102672.565
000536.SZ,20200122,2.62,2.62,2.52,2.58,2.63,-0.04999999999999982,-1.9011,311340.32,80139.487
000536.SZ,20200121,2.7,2.7,2.63,2.63,2.67,-0.040000000000000036,-1.4981,223273.44,59562.375
000536.SZ,20200120,2.63,2.69,2.6,2.67,2.63,0.040000000000000036,1.5209,305828.03,80818.179
000536.SZ,20200117,2.67,2.7,2.62,2.63,2.68,-0.050000000000000266,-1.8657,298514.23,79316.254
000536.SZ,20200116,2.73,2.74,2.67,2.68,2.73,-0.04999999999999982,-1.8315,304763.9,82384.533
000536.SZ,20200115,2.78,2.79,2.72,2.73,2.79,-0.06000000000000005,-2.1505,270735.03,74133.323
000536.SZ,20200114,2.77,2.81,2.76,2.79,2.76,0.03000000000000025,1.087,308690.81,85892.48
000536.SZ,20200113,2.76,2.78,2.72,2.76,2.78,-0.020000000000000018,-0.7194,267405.73,73639.765
000536.SZ,20200110,2.83,2.84,2.77,2.78,2.83,-0.050000000000000266,-1.7668,340917.58,95217.033
000536.SZ,20200109,2.83,2.86,2.78,2.83,2.81,0.020000000000000018,0.7117,519706.22,146698.132
000536.SZ,20200108,2.78,2.9,2.77,2.81,2.79,0.020000000000000018,0.7168,871919.04,247780.563
000536.SZ,20200107,2.73,2.82,2.72,2.79,2.73,0.06000000000000005,2.1978,715528.1,198003.318
000536.SZ,20200106,2.73,2.76,2.69,2.73,2.75,-0.020000000000000018,-0.7273,409646.36,112040.96
000536.SZ,20200103,2.74,2.78,2.73,2.75,2.74,0.009999999999999787,0.365,346481.91,95281.156
000536.SZ,20200102,2.73,2.77,2.7,2.74,2.7,0.040000000000000036,1.4815,408894.54,111699.143
000536.SZ,20191231,2.68,2.73,2.67,2.7,2.69,0.010000000000000231,0.3717,271348.36,73348.845
000536.SZ,20191230,2.76,2.76,2.67,2.69,2.77,-0.08000000000000007,-2.8881,588724.79,158731.944
000536.SZ,20191227,2.85,2.87,2.77,2.77,2.87,-0.10000000000000009,-3.4843,661509.85,186213.251
000536.SZ,20191226,2.86,2.92,2.84,2.87,2.95,-0.08000000000000007,-2.7119,731273.73,210419.89
000536.SZ,20191225,2.88,3.12,2.83,2.95,2.87,0.08000000000000007,2.7875,1124731.44,328949.6
000536.SZ,20191224,2.9,2.92,2.8,2.87,2.9,-0.029999999999999805,-1.0345,804691.44,230920.62
000536.SZ,20191223,2.9,3.02,2.87,2.9,2.95,-0.050000000000000266,-1.6949,871773.89,256445.626
000536.SZ,20191220,2.85,3.02,2.83,2.95,2.87,0.08000000000000007,2.7875,1156618.97,335428.416
000536.SZ,20191219,2.84,2.92,2.84,2.87,2.86,0.010000000000000231,0.3497,1019528.71,293684.935
000536.SZ,20191218,2.89,2.92,2.82,2.86,2.93,-0.07000000000000028,-2.3891,1306811.09,373881.201
000536.SZ,20191217,2.76,3.07,2.74,2.93,2.79,0.14000000000000012,5.0179,2157127.51,631232.058
000536.SZ,20191216,2.68,2.83,2.68,2.79,2.67,0.1200000000000001,4.4944,1089498.04,300200.078
000536.SZ,20191213,2.67,2.69,2.65,2.67,2.66,0.009999999999999787,0.3759,387879.85,103520.456
000536.SZ,20191212,2.7,2.72,2.65,2.66,2.7,-0.040000000000000036,-1.4815,378787.28,101549.852
000536.SZ,20191211,2.7,2.75,2.66,2.7,2.71,-0.009999999999999787,-0.369,440341.58,118707.106
000536.SZ,20191210,2.73,2.73,2.64,2.71,2.72,-0.010000000000000231,-0.3676,489740.46,131184.872
000536.SZ,20191209,2.74,2.78,2.71,2.72,2.73,-0.009999999999999787,-0.3663,475381.87,130441.547
000536.SZ,20191206,2.72,2.79,2.72,2.73,2.73,0.0,0.0,501732.85,137576.282
000536.SZ,20191205,2.69,2.8,2.69,2.73,2.73,0.0,0.0,669053.2,183207.77
000536.SZ,20191204,2.62,2.88,2.6,2.73,2.64,0.08999999999999986,3.4091,1113608.12,306545.938
000536.SZ,20191203,2.61,2.64,2.57,2.64,2.62,0.020000000000000018,0.7634,292742.75,76445.978
000536.SZ,20191202,2.64,2.66,2.58,2.62,2.66,-0.040000000000000036,-1.5038,439264.46,114819.094
000536.SZ,20191129,2.6,2.72,2.58,2.66,2.61,0.050000000000000266,1.9157,539903.9,143643.227
000536.SZ,20191128,2.61,2.69,2.59,2.61,2.64,-0.03000000000000025,-1.1364,551519.93,145264.877
000536.SZ,20191127,2.68,2.73,2.61,2.64,2.79,-0.1499999999999999,-5.3763,1179058.45,315602.32
000536.SZ,20191126,2.49,2.79,2.48,2.79,2.54,0.25,9.8425,1642718.49,453505.048
000536.SZ,20191125,2.63,2.7,2.53,2.54,2.54,0.0,0.0,398961.56,103472.778
000536.SZ,20191122,2.49,2.56,2.47,2.54,2.49,0.04999999999999982,2.008,342798.09,86113.022
000536.SZ,20191121,2.49,2.53,2.47,2.49,2.52,-0.029999999999999805,-1.1905,190731.2,47552.0
000536.SZ,20191120,2.52,2.57,2.5,2.52,2.52,0.0,0.0,279137.13,70827.522
000536.SZ,20191119,2.48,2.53,2.46,2.52,2.51,0.010000000000000231,0.3984,241886.76,60539.746
000536.SZ,20191118,2.47,2.57,2.45,2.51,2.45,0.05999999999999961,2.449,313670.43,79356.83
000536.SZ,20191115,2.48,2.5,2.44,2.45,2.49,-0.040000000000000036,-1.6064,187613.8,46131.131
000536.SZ,20191114,2.42,2.53,2.42,2.49,2.44,0.050000000000000266,2.0492,264580.17,65875.377
