ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000882.SZ,20200225,2.05,2.06,1.99,2.06,2.08,-0.020000000000000018,-0.9615,360146.03,73156.933
000882.SZ,20200224,2.1,2.11,2.07,2.08,2.11,-0.029999999999999805,-1.4218,203407.12,42499.611
000882.SZ,20200221,2.08,2.14,2.08,2.11,2.09,0.020000000000000018,0.9569,263741.99,55516.723
000882.SZ,20200220,2.06,2.09,2.04,2.09,2.05,0.040000000000000036,1.9512,213382.68,44118.467
000882.SZ,20200219,2.07,2.09,2.05,2.05,2.07,-0.020000000000000018,-0.9662,178525.87,36893.961
000882.SZ,20200218,2.04,2.08,2.04,2.07,2.06,0.009999999999999787,0.4854,213672.36,44023.296
000882.SZ,20200217,2.0,2.06,1.99,2.06,2.0,0.06000000000000005,3.0,237953.37,48431.444
000882.SZ,20200214,2.03,2.03,1.99,2.0,2.02,-0.020000000000000018,-0.9901,162156.57,32586.496
000882.SZ,20200213,2.04,2.06,2.01,2.02,2.05,-0.029999999999999805,-1.4634,170463.01,34690.33
000882.SZ,20200212,2.04,2.06,2.01,2.05,2.04,0.009999999999999787,0.4902,243124.01,49449.629
000882.SZ,20200211,2.07,2.08,2.03,2.04,2.05,-0.009999999999999787,-0.4878,258303.74,52990.789
000882.SZ,20200210,1.97,2.07,1.96,2.05,1.99,0.05999999999999983,3.0151,257891.14,52363.737
000882.SZ,20200207,1.97,1.99,1.95,1.99,1.98,0.010000000000000009,0.5051,179375.89,35383.897
000882.SZ,20200206,1.96,2.0,1.93,1.98,1.96,0.020000000000000018,1.0204,212333.12,41758.923
000882.SZ,20200205,1.9,1.98,1.9,1.96,1.9,0.06000000000000005,3.1579,245130.36,47918.286
000882.SZ,20200204,1.79,1.93,1.79,1.9,1.96,-0.06000000000000005,-3.0612,321840.89,61015.201
000882.SZ,20200203,1.96,1.98,1.96,1.96,2.18,-0.2200000000000002,-10.0917,161855.0,31736.081
000882.SZ,20200123,2.25,2.25,2.14,2.18,2.27,-0.08999999999999986,-3.9648,329947.08,72515.181
000882.SZ,20200122,2.27,2.27,2.23,2.27,2.28,-0.009999999999999787,-0.4386,253945.53,57090.907
000882.SZ,20200121,2.28,2.29,2.26,2.28,2.29,-0.010000000000000231,-0.4367,237548.21,54090.157
000882.SZ,20200120,2.28,2.3,2.26,2.29,2.29,0.0,0.0,253522.84,57825.189
000882.SZ,20200117,2.28,2.31,2.25,2.29,2.27,0.020000000000000018,0.8811,283248.64,64643.695
000882.SZ,20200116,2.28,2.29,2.26,2.27,2.28,-0.009999999999999787,-0.4386,161400.37,36702.071
000882.SZ,20200115,2.3,2.31,2.27,2.28,2.31,-0.03000000000000025,-1.2987,226244.14,51643.781
000882.SZ,20200114,2.33,2.33,2.3,2.31,2.33,-0.020000000000000018,-0.8584,257287.08,59521.352
000882.SZ,20200113,2.32,2.33,2.28,2.33,2.34,-0.009999999999999787,-0.4274,347700.77,80219.023
000882.SZ,20200110,2.35,2.43,2.32,2.34,2.33,0.009999999999999787,0.4292,729833.56,172493.626
000882.SZ,20200109,2.31,2.33,2.29,2.33,2.28,0.050000000000000266,2.193,252005.4,58309.778
000882.SZ,20200108,2.33,2.34,2.28,2.28,2.35,-0.07000000000000028,-2.9787,390012.2,90167.06
000882.SZ,20200107,2.31,2.35,2.3,2.35,2.3,0.050000000000000266,2.1739,413897.04,96453.497
000882.SZ,20200106,2.3,2.34,2.27,2.3,2.31,-0.010000000000000231,-0.4329,390657.04,90064.81
000882.SZ,20200103,2.29,2.32,2.28,2.31,2.29,0.020000000000000018,0.8734,444642.66,102301.168
000882.SZ,20200102,2.26,2.31,2.25,2.29,2.25,0.040000000000000036,1.7778,508698.61,116240.192
000882.SZ,20191231,2.24,2.27,2.23,2.25,2.25,0.0,0.0,241627.0,54286.455
000882.SZ,20191230,2.23,2.25,2.19,2.25,2.25,0.0,0.0,300170.0,66790.283
000882.SZ,20191227,2.26,2.3,2.24,2.25,2.27,-0.020000000000000018,-0.8811,397518.52,90134.77
000882.SZ,20191226,2.21,2.3,2.21,2.27,2.23,0.040000000000000036,1.7937,410303.2,92448.562
000882.SZ,20191225,2.22,2.25,2.21,2.23,2.22,0.009999999999999787,0.4505,189909.0,42324.35
000882.SZ,20191224,2.19,2.23,2.18,2.22,2.19,0.03000000000000025,1.3699,183772.0,40567.68
000882.SZ,20191223,2.22,2.27,2.19,2.19,2.23,-0.040000000000000036,-1.7937,371402.0,82516.389
000882.SZ,20191220,2.28,2.29,2.23,2.23,2.27,-0.040000000000000036,-1.7621,326783.83,73879.993
000882.SZ,20191219,2.23,2.27,2.22,2.27,2.22,0.04999999999999982,2.2523,415926.3,93520.882
000882.SZ,20191218,2.23,2.25,2.2,2.22,2.24,-0.020000000000000018,-0.8929,372198.31,82939.244
000882.SZ,20191217,2.19,2.24,2.18,2.24,2.19,0.050000000000000266,2.2831,368021.18,81467.752
000882.SZ,20191216,2.17,2.19,2.15,2.19,2.17,0.020000000000000018,0.9217,227688.64,49464.444
000882.SZ,20191213,2.15,2.17,2.14,2.17,2.14,0.029999999999999805,1.4019,171842.66,37084.848
000882.SZ,20191212,2.16,2.17,2.13,2.14,2.15,-0.009999999999999787,-0.4651,185858.06,39895.776
000882.SZ,20191211,2.17,2.17,2.15,2.15,2.17,-0.020000000000000018,-0.9217,148305.36,32021.511
000882.SZ,20191210,2.19,2.19,2.14,2.17,2.18,-0.010000000000000231,-0.4587,263503.81,56984.438
000882.SZ,20191209,2.21,2.23,2.17,2.18,2.19,-0.009999999999999787,-0.4566,265906.04,58310.193
000882.SZ,20191206,2.18,2.21,2.17,2.19,2.18,0.009999999999999787,0.4587,270105.74,59259.805
000882.SZ,20191205,2.18,2.19,2.16,2.18,2.18,0.0,0.0,157782.0,34348.668
000882.SZ,20191204,2.16,2.21,2.16,2.18,2.16,0.020000000000000018,0.9259,143275.0,31272.09
000882.SZ,20191203,2.13,2.16,2.13,2.16,2.14,0.020000000000000018,0.9346,72971.01,15639.799
000882.SZ,20191202,2.17,2.17,2.13,2.14,2.17,-0.029999999999999805,-1.3825,109904.65,23643.69
000882.SZ,20191129,2.18,2.18,2.15,2.17,2.18,-0.010000000000000231,-0.4587,84597.65,18321.824
000882.SZ,20191128,2.19,2.19,2.17,2.18,2.18,0.0,0.0,54623.18,11908.39
000882.SZ,20191127,2.18,2.2,2.17,2.18,2.19,-0.009999999999999787,-0.4566,73155.0,15969.827
000882.SZ,20191126,2.2,2.21,2.18,2.19,2.21,-0.020000000000000018,-0.905,78808.73,17269.999
000882.SZ,20191125,2.17,2.21,2.16,2.21,2.17,0.040000000000000036,1.8433,148286.1,32456.766
