ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000932.SZ,20200225,4.09,4.1,4.01,4.07,4.16,-0.08999999999999986,-2.1635,698706.36,283809.196
000932.SZ,20200224,4.22,4.23,4.13,4.16,4.26,-0.09999999999999964,-2.3474,780895.58,326241.992
000932.SZ,20200221,4.24,4.29,4.21,4.26,4.26,0.0,0.0,766260.03,325452.125
000932.SZ,20200220,4.22,4.27,4.17,4.26,4.19,0.0699999999999994,1.6706,699680.13,294984.893
000932.SZ,20200219,4.23,4.26,4.18,4.19,4.24,-0.04999999999999982,-1.1792,474402.33,200220.279
000932.SZ,20200218,4.24,4.27,4.21,4.24,4.26,-0.019999999999999574,-0.4695,500370.1,211851.619
000932.SZ,20200217,4.17,4.27,4.16,4.26,4.19,0.0699999999999994,1.6706,649159.01,273631.543
000932.SZ,20200214,4.14,4.22,4.12,4.19,4.15,0.040000000000000036,0.9639,462384.04,192811.027
000932.SZ,20200213,4.19,4.25,4.15,4.15,4.23,-0.08000000000000007,-1.8913,408103.42,170843.103
000932.SZ,20200212,4.17,4.23,4.12,4.23,4.22,0.010000000000000675,0.237,600270.07,249952.747
000932.SZ,20200211,4.18,4.44,4.18,4.22,4.16,0.05999999999999961,1.4423,992298.28,424927.482
000932.SZ,20200210,4.01,4.19,3.99,4.16,4.04,0.1200000000000001,2.9703,662530.57,272015.072
000932.SZ,20200207,4.05,4.05,4.01,4.04,4.07,-0.03000000000000025,-0.7371,430039.16,173200.571
000932.SZ,20200206,4.06,4.08,4.0,4.07,4.05,0.020000000000000462,0.4938,609563.16,246177.362
000932.SZ,20200205,3.99,4.14,3.98,4.05,4.04,0.009999999999999787,0.2475,567513.16,230318.182
000932.SZ,20200204,3.92,4.08,3.92,4.04,3.99,0.04999999999999982,1.2531,522090.9,209438.154
000932.SZ,20200203,3.99,4.04,3.99,3.99,4.43,-0.4399999999999995,-9.9323,384234.19,153554.267
000932.SZ,20200123,4.54,4.59,4.38,4.43,4.61,-0.1800000000000006,-3.9046,440132.73,197544.224
000932.SZ,20200122,4.6,4.65,4.5,4.61,4.61,0.0,0.0,358781.66,163927.205
000932.SZ,20200121,4.76,4.77,4.6,4.61,4.8,-0.1899999999999995,-3.9583,507084.63,235720.011
000932.SZ,20200120,4.8,4.81,4.73,4.8,4.81,-0.009999999999999787,-0.2079,335510.5,160204.691
000932.SZ,20200117,4.85,4.89,4.78,4.81,4.88,-0.07000000000000028,-1.4344,373505.93,180421.111
000932.SZ,20200116,4.94,4.97,4.87,4.88,4.93,-0.04999999999999982,-1.0142,311242.16,152904.68
000932.SZ,20200115,5.0,5.02,4.91,4.93,5.0,-0.07000000000000028,-1.4,352191.89,173995.828
000932.SZ,20200114,4.99,5.06,4.97,5.0,4.96,0.040000000000000036,0.8065,467035.86,234407.943
000932.SZ,20200113,4.92,4.97,4.88,4.96,4.91,0.04999999999999982,1.0183,413325.11,203877.202
000932.SZ,20200110,4.86,4.96,4.83,4.91,4.83,0.08000000000000007,1.6563,596777.44,293018.563
000932.SZ,20200109,4.82,4.87,4.8,4.83,4.77,0.0600000000000005,1.2579,343392.99,165727.464
000932.SZ,20200108,4.87,4.89,4.76,4.77,4.9,-0.13000000000000078,-2.6531,526936.65,254361.122
000932.SZ,20200107,4.75,4.9,4.73,4.9,4.71,0.1900000000000004,4.034,825493.72,399678.195
000932.SZ,20200106,4.79,4.79,4.69,4.71,4.79,-0.08000000000000007,-1.6701,513270.39,243284.11
000932.SZ,20200103,4.84,4.85,4.78,4.79,4.83,-0.040000000000000036,-0.8282,322918.37,155579.934
000932.SZ,20200102,4.83,4.91,4.81,4.83,4.78,0.04999999999999982,1.046,645014.55,313418.168
000932.SZ,20191231,4.73,4.85,4.7,4.78,4.74,0.040000000000000036,0.8439,571356.44,272006.159
000932.SZ,20191230,4.7,4.77,4.67,4.74,4.69,0.04999999999999982,1.0661,590584.94,279315.077
000932.SZ,20191227,4.67,4.74,4.62,4.69,4.67,0.020000000000000462,0.4283,416564.67,195367.07
000932.SZ,20191226,4.57,4.68,4.57,4.67,4.59,0.08000000000000007,1.7429,324175.26,150391.498
000932.SZ,20191225,4.6,4.6,4.56,4.59,4.62,-0.03000000000000025,-0.6494,178084.1,81533.264
000932.SZ,20191224,4.57,4.62,4.52,4.62,4.58,0.040000000000000036,0.8734,263852.4,120521.095
000932.SZ,20191223,4.61,4.68,4.56,4.58,4.62,-0.040000000000000036,-0.8658,298315.17,137876.371
000932.SZ,20191220,4.68,4.69,4.62,4.62,4.68,-0.05999999999999961,-1.2821,272592.4,126916.419
000932.SZ,20191219,4.71,4.72,4.66,4.68,4.72,-0.040000000000000036,-0.8475,387858.41,181658.461
000932.SZ,20191218,4.75,4.76,4.69,4.72,4.74,-0.020000000000000462,-0.4219,489493.22,230979.374
000932.SZ,20191217,4.7,4.79,4.64,4.74,4.71,0.03000000000000025,0.6369,624804.72,293959.062
000932.SZ,20191216,4.68,4.73,4.64,4.71,4.66,0.04999999999999982,1.073,389720.98,182341.101
000932.SZ,20191213,4.65,4.68,4.62,4.66,4.62,0.040000000000000036,0.8658,446702.13,207812.939
000932.SZ,20191212,4.64,4.68,4.59,4.62,4.63,-0.009999999999999787,-0.216,432810.6,200598.449
000932.SZ,20191211,4.56,4.7,4.56,4.63,4.55,0.08000000000000007,1.7582,712112.26,331166.189
000932.SZ,20191210,4.58,4.6,4.54,4.55,4.61,-0.0600000000000005,-1.3015,348852.55,159163.733
000932.SZ,20191209,4.52,4.65,4.48,4.61,4.48,0.1299999999999999,2.9018,710182.9,325379.655
000932.SZ,20191206,4.45,4.48,4.42,4.48,4.46,0.020000000000000462,0.4484,240703.23,106958.799
000932.SZ,20191205,4.46,4.48,4.41,4.46,4.46,0.0,0.0,248600.2,110668.145
000932.SZ,20191204,4.51,4.51,4.41,4.46,4.52,-0.05999999999999961,-1.3274,367467.48,163397.275
000932.SZ,20191203,4.53,4.58,4.5,4.52,4.56,-0.040000000000000036,-0.8772,247440.66,112016.119
000932.SZ,20191202,4.49,4.57,4.48,4.56,4.51,0.04999999999999982,1.1086,307024.51,139262.076
000932.SZ,20191129,4.52,4.61,4.45,4.51,4.53,-0.020000000000000462,-0.4415,446573.79,202277.385
000932.SZ,20191128,4.62,4.64,4.46,4.53,4.67,-0.13999999999999968,-2.9979,657410.48,298273.781
000932.SZ,20191127,4.58,4.72,4.56,4.67,4.55,0.1200000000000001,2.6374,885631.77,410613.043
000932.SZ,20191126,4.77,4.78,4.55,4.55,4.85,-0.2999999999999998,-6.1856,1366821.25,634812.75
000932.SZ,20191125,4.6,4.93,4.6,4.85,4.49,0.35999999999999943,8.0178,1910489.91,916418.06
000932.SZ,20191122,4.39,4.55,4.38,4.49,4.39,0.10000000000000053,2.2779,960004.3,429505.255
000932.SZ,20191121,4.38,4.41,4.33,4.39,4.4,-0.010000000000000675,-0.2273,398310.06,173901.155
000932.SZ,20191120,4.38,4.43,4.37,4.4,4.37,0.03000000000000025,0.6865,555352.15,244011.672
000932.SZ,20191119,4.39,4.45,4.33,4.37,4.38,-0.009999999999999787,-0.2283,667220.77,292197.064
000932.SZ,20191118,4.2,4.44,4.2,4.38,4.19,0.1899999999999995,4.5346,892283.34,387586.325
000932.SZ,20191115,4.18,4.25,4.17,4.19,4.17,0.020000000000000462,0.4796,311656.1,131151.659
000932.SZ,20191114,4.15,4.17,4.11,4.17,4.14,0.03000000000000025,0.7246,201740.99,83580.172
000932.SZ,20191113,4.13,4.17,4.11,4.14,4.13,0.009999999999999787,0.2421,154404.2,63918.322
000932.SZ,20191112,4.13,4.14,4.1,4.13,4.13,0.0,0.0,151363.49,62386.259
000932.SZ,20191111,4.15,4.17,4.11,4.13,4.18,-0.04999999999999982,-1.1962,228516.16,94573.18
000932.SZ,20191108,4.24,4.25,4.17,4.18,4.22,-0.040000000000000036,-0.9479,210827.27,88645.226
000932.SZ,20191107,4.24,4.27,4.2,4.22,4.24,-0.020000000000000462,-0.4717,256270.16,108420.752
000932.SZ,20191106,4.18,4.29,4.17,4.24,4.17,0.07000000000000028,1.6787,525901.13,222892.792
000932.SZ,20191105,4.13,4.19,4.1,4.17,4.13,0.040000000000000036,0.9685,306943.18,127574.678
000932.SZ,20191104,4.11,4.15,4.11,4.13,4.12,0.009999999999999787,0.2427,249522.93,103074.929
000932.SZ,20191101,4.05,4.12,4.04,4.12,4.06,0.0600000000000005,1.4778,262938.22,107613.575
000932.SZ,20191031,4.1,4.1,4.06,4.06,4.1,-0.040000000000000036,-0.9756,157864.28,64327.206
000932.SZ,20191030,4.13,4.13,4.07,4.1,4.12,-0.020000000000000462,-0.4854,202212.58,82680.889
000932.SZ,20191029,4.15,4.15,4.11,4.12,4.15,-0.03000000000000025,-0.7229,184139.45,75981.944
000932.SZ,20191028,4.13,4.17,4.12,4.15,4.14,0.010000000000000675,0.2415,209246.92,86724.853
000932.SZ,20191025,4.13,4.15,4.09,4.14,4.14,0.0,0.0,163263.43,67290.141
000932.SZ,20191024,4.13,4.14,4.1,4.14,4.13,0.009999999999999787,0.2421,102049.62,42080.312
000932.SZ,20191023,4.18,4.18,4.12,4.13,4.18,-0.04999999999999982,-1.1962,148026.97,61342.394
000932.SZ,20191022,4.14,4.19,4.11,4.18,4.14,0.040000000000000036,0.9662,268273.01,111466.01
000932.SZ,20191021,4.09,4.15,4.05,4.14,4.1,0.040000000000000036,0.9756,197473.03,80984.315
000932.SZ,20191018,4.16,4.17,4.09,4.1,4.16,-0.0600000000000005,-1.4423,189156.08,78065.234
000932.SZ,20191017,4.18,4.18,4.14,4.16,4.18,-0.019999999999999574,-0.4785,200185.06,83277.766
000932.SZ,20191016,4.25,4.26,4.17,4.18,4.25,-0.07000000000000028,-1.6471,274079.27,115561.508
000932.SZ,20191015,4.24,4.31,4.23,4.25,4.22,0.03000000000000025,0.7109,328091.3,139756.883
000932.SZ,20191014,4.21,4.28,4.19,4.22,4.19,0.02999999999999936,0.716,316534.67,133992.35
000932.SZ,20191011,4.19,4.2,4.15,4.19,4.19,0.0,0.0,172501.79,72051.062
000932.SZ,20191010,4.19,4.21,4.15,4.19,4.17,0.020000000000000462,0.4796,174552.1,72934.618
000932.SZ,20191009,4.12,4.2,4.1,4.17,4.14,0.03000000000000025,0.7246,190933.69,79291.438
000932.SZ,20191008,4.08,4.2,4.08,4.14,4.08,0.05999999999999961,1.4706,327225.76,135585.469
000932.SZ,20190930,4.13,4.15,4.07,4.08,4.13,-0.04999999999999982,-1.2107,172911.07,71084.419
000932.SZ,20190927,4.16,4.18,4.12,4.13,4.16,-0.03000000000000025,-0.7212,210409.87,87212.544
000932.SZ,20190926,4.2,4.22,4.14,4.16,4.2,-0.040000000000000036,-0.9524,278619.1,116263.785
000932.SZ,20190925,4.25,4.27,4.19,4.2,4.26,-0.05999999999999961,-1.4085,306392.27,129345.803
000932.SZ,20190924,4.29,4.33,4.26,4.26,4.3,-0.040000000000000036,-0.9302,230693.43,98973.116
000932.SZ,20190923,4.3,4.3,4.22,4.3,4.28,0.019999999999999574,0.4673,368646.01,157434.381
000932.SZ,20190920,4.39,4.41,4.27,4.28,4.38,-0.09999999999999964,-2.2831,481685.2,207449.629
000932.SZ,20190919,4.39,4.41,4.35,4.38,4.36,0.019999999999999574,0.4587,284483.35,124579.159
000932.SZ,20190918,4.35,4.45,4.33,4.36,4.33,0.03000000000000025,0.6928,437733.51,192242.798
000932.SZ,20190917,4.43,4.47,4.3,4.33,4.45,-0.1200000000000001,-2.6966,534209.2,233118.292
000932.SZ,20190916,4.4,4.54,4.37,4.45,4.38,0.07000000000000028,1.5982,683586.09,304711.907
000932.SZ,20190912,4.33,4.42,4.32,4.38,4.32,0.05999999999999961,1.3889,434688.98,189948.107
000932.SZ,20190911,4.32,4.35,4.29,4.32,4.33,-0.009999999999999787,-0.2309,377822.44,163171.847
000932.SZ,20190910,4.26,4.35,4.24,4.33,4.25,0.08000000000000007,1.8824,617420.19,265983.8
