ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000687.SZ,20200225,5.35,5.47,5.2,5.41,5.52,-0.10999999999999943,-1.9928,214924.57,115016.031
000687.SZ,20200224,5.3,5.78,5.22,5.52,5.36,0.15999999999999925,2.9851,277480.5,151413.137
000687.SZ,20200221,5.2,5.39,5.16,5.36,5.17,0.1900000000000004,3.675,233498.53,123481.532
000687.SZ,20200220,5.12,5.18,5.05,5.17,5.12,0.04999999999999982,0.9766,148279.97,75951.27
000687.SZ,20200219,5.18,5.22,5.1,5.12,5.27,-0.14999999999999947,-2.8463,187236.0,96480.901
000687.SZ,20200218,5.1,5.28,5.02,5.27,5.03,0.23999999999999932,4.7714,236082.89,122430.168
000687.SZ,20200217,4.8,5.04,4.76,5.03,4.81,0.22000000000000064,4.5738,198365.06,98843.698
000687.SZ,20200214,4.83,4.91,4.79,4.81,4.86,-0.05000000000000071,-1.0288,96105.65,46531.306
000687.SZ,20200213,5.02,5.06,4.86,4.86,5.01,-0.14999999999999947,-2.994,130179.31,64166.115
000687.SZ,20200212,4.89,5.06,4.82,5.01,4.95,0.05999999999999961,1.2121,111568.74,55466.963
000687.SZ,20200211,5.03,5.09,4.94,4.95,5.1,-0.14999999999999947,-2.9412,135933.63,67966.128
000687.SZ,20200210,4.82,5.11,4.79,5.1,4.86,0.23999999999999932,4.9383,179773.37,89161.441
000687.SZ,20200207,4.83,4.92,4.76,4.86,4.88,-0.019999999999999574,-0.4098,148932.52,71807.65
000687.SZ,20200206,4.88,4.94,4.65,4.88,4.89,-0.009999999999999787,-0.2045,222694.2,106065.861
000687.SZ,20200205,4.63,5.15,4.63,4.89,4.93,-0.040000000000000036,-0.8114,218439.06,107634.958
000687.SZ,20200204,4.93,4.93,4.93,4.93,5.48,-0.5500000000000007,-10.0365,34140.0,16831.02
000687.SZ,20200203,5.48,5.48,5.48,5.48,6.09,-0.6099999999999994,-10.0164,6393.0,3503.364
000687.SZ,20200123,6.09,6.09,6.09,6.09,6.77,-0.6799999999999997,-10.0443,57150.0,34804.35
000687.SZ,20200122,6.88,7.15,6.73,6.77,6.61,0.15999999999999925,2.4206,164122.04,113206.635
000687.SZ,20200121,6.52,6.66,6.44,6.61,6.52,0.09000000000000075,1.3804,75580.0,49648.119
