ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600621.SH,20200225,15.78,16.09,15.02,15.92,16.2,-0.27999999999999936,-1.7284,908341.63,1425339.709
600621.SH,20200224,16.1,17.07,15.88,16.2,16.05,0.14999999999999858,0.9346,1270138.72,2090578.531
600621.SH,20200221,16.05,16.05,15.71,16.05,14.59,1.4600000000000009,10.0069,855141.83,1368931.876
600621.SH,20200220,13.47,14.59,13.47,14.59,13.26,1.33,10.0302,604250.8,861691.555
600621.SH,20200219,13.28,13.7,13.24,13.26,13.34,-0.08000000000000007,-0.5997,265319.61,357107.644
600621.SH,20200218,13.28,13.4,13.1,13.34,13.3,0.03999999999999915,0.3008,245859.49,326414.441
600621.SH,20200217,13.15,13.4,12.87,13.3,12.78,0.5200000000000014,4.0689,356997.71,468239.47
600621.SH,20200214,12.46,12.88,12.43,12.78,12.53,0.25,1.9952,233900.03,296733.105
600621.SH,20200213,12.67,12.91,12.49,12.53,12.67,-0.14000000000000057,-1.105,196034.01,248143.724
600621.SH,20200212,12.4,12.8,12.35,12.67,12.52,0.15000000000000036,1.1981,250735.01,315721.74
600621.SH,20200211,12.63,12.83,12.5,12.52,12.62,-0.09999999999999964,-0.7924,193479.29,244606.579
600621.SH,20200210,12.3,12.66,12.26,12.62,12.48,0.1399999999999988,1.1218,199177.73,249472.555
600621.SH,20200207,12.35,12.58,12.25,12.48,12.44,0.040000000000000924,0.3215,240975.26,299212.496
600621.SH,20200206,12.1,12.51,11.93,12.44,12.11,0.33000000000000007,2.725,296584.91,363723.063
600621.SH,20200205,12.01,12.5,11.93,12.11,12.01,0.09999999999999964,0.8326,244078.06,297614.072
600621.SH,20200204,11.31,12.25,11.31,12.01,12.57,-0.5600000000000005,-4.4551,352930.35,421165.83
600621.SH,20200203,12.57,12.57,12.57,12.57,13.97,-1.4000000000000004,-10.0215,20835.0,26189.595
600621.SH,20200123,14.65,14.82,13.78,13.97,14.86,-0.8899999999999988,-5.9892,266542.52,380428.181
600621.SH,20200122,14.56,15.06,14.44,14.86,14.68,0.17999999999999972,1.2262,209046.24,309178.938
600621.SH,20200121,15.1,15.21,14.6,14.68,15.19,-0.5099999999999998,-3.3575,231536.8,346089.68
600621.SH,20200120,14.96,15.2,14.82,15.19,15.11,0.08000000000000007,0.5295,221951.67,334282.937
600621.SH,20200117,15.38,15.51,15.06,15.11,15.07,0.03999999999999915,0.2654,289828.59,442909.282
600621.SH,20200116,15.03,15.2,14.97,15.07,15.14,-0.07000000000000028,-0.4624,233142.37,351444.763
600621.SH,20200115,14.63,15.53,14.46,15.14,14.69,0.45000000000000107,3.0633,410607.99,617754.5
600621.SH,20200114,14.82,14.9,14.63,14.69,14.79,-0.09999999999999964,-0.6761,206943.4,305448.397
600621.SH,20200113,14.57,14.79,14.26,14.79,14.5,0.28999999999999915,2.0,222550.25,324643.283
600621.SH,20200110,14.74,14.78,14.33,14.5,14.53,-0.02999999999999936,-0.2065,171888.52,250090.314
600621.SH,20200109,14.6,14.77,14.42,14.53,14.36,0.16999999999999993,1.1838,205122.05,298893.931
600621.SH,20200108,14.7,14.81,14.36,14.36,15.08,-0.7200000000000006,-4.7745,332955.59,486476.582
600621.SH,20200107,15.04,15.21,14.78,15.08,15.04,0.040000000000000924,0.266,293055.25,439135.16
600621.SH,20200106,15.03,15.39,14.92,15.04,15.21,-0.1700000000000017,-1.1177,354004.3,535238.24
600621.SH,20200103,15.31,15.54,15.14,15.21,15.31,-0.09999999999999964,-0.6532,318510.97,487490.242
600621.SH,20200102,15.65,15.86,15.25,15.31,15.31,0.0,0.0,470515.98,730524.508
600621.SH,20191231,15.0,15.75,14.91,15.31,15.09,0.22000000000000064,1.4579,495543.16,760441.42
600621.SH,20191230,14.32,15.29,14.26,15.09,14.45,0.6400000000000006,4.4291,497605.52,742151.114
600621.SH,20191227,14.98,15.19,14.4,14.45,14.99,-0.5400000000000009,-3.6024,476623.49,709080.802
600621.SH,20191226,14.51,15.03,14.45,14.99,14.6,0.39000000000000057,2.6712,399331.2,590645.955
600621.SH,20191225,14.66,14.92,14.4,14.6,14.75,-0.15000000000000036,-1.0169,345699.5,505412.729
600621.SH,20191224,14.68,14.77,14.3,14.75,14.67,0.08000000000000007,0.5453,400855.93,583089.428
600621.SH,20191223,14.29,15.76,14.26,14.67,14.33,0.33999999999999986,2.3726,655133.08,978413.623
600621.SH,20191220,14.74,15.05,14.31,14.33,14.7,-0.3699999999999992,-2.517,455853.07,671037.421
600621.SH,20191219,14.3,14.85,14.15,14.7,14.28,0.41999999999999993,2.9412,446142.05,650638.9
600621.SH,20191218,14.21,14.56,14.13,14.28,14.29,-0.009999999999999787,-0.07,386958.67,554111.887
600621.SH,20191217,13.75,14.78,13.7,14.29,13.77,0.5199999999999996,3.7763,526955.77,749032.357
600621.SH,20191216,13.55,13.9,13.38,13.77,13.54,0.23000000000000043,1.6987,301245.95,410647.558
600621.SH,20191213,13.18,13.68,13.1,13.54,12.92,0.6199999999999992,4.7988,354008.66,472731.346
600621.SH,20191212,12.94,13.08,12.88,12.92,12.99,-0.07000000000000028,-0.5389,110751.65,143541.816
600621.SH,20191211,12.93,13.25,12.88,12.99,12.98,0.009999999999999787,0.077,151818.72,198259.486
600621.SH,20191210,13.2,13.2,12.66,12.98,13.51,-0.5299999999999994,-3.923,295417.69,382366.485
600621.SH,20191209,13.75,13.76,13.48,13.51,13.6,-0.08999999999999986,-0.6618,105274.98,142842.508
600621.SH,20191206,13.57,13.65,13.43,13.6,13.57,0.02999999999999936,0.2211,137597.7,186303.455
600621.SH,20191205,13.31,13.58,13.3,13.57,13.3,0.2699999999999996,2.0301,187711.92,252732.445
600621.SH,20191204,13.28,13.34,13.15,13.3,13.37,-0.06999999999999851,-0.5236,94874.06,125699.798
600621.SH,20191203,13.13,13.38,13.09,13.37,13.25,0.11999999999999922,0.9057,101192.26,134165.569
600621.SH,20191202,13.46,13.54,13.2,13.25,13.26,-0.009999999999999787,-0.0754,128826.1,172270.237
600621.SH,20191129,13.13,13.38,13.09,13.26,13.16,0.09999999999999964,0.7599,131280.47,174085.531
600621.SH,20191128,13.03,13.18,13.0,13.16,13.08,0.08000000000000007,0.6116,96924.16,126900.092
600621.SH,20191127,13.15,13.31,12.95,13.08,13.22,-0.14000000000000057,-1.059,144640.51,189890.734
600621.SH,20191126,13.81,13.81,13.19,13.22,13.84,-0.6199999999999992,-4.4798,229033.08,307541.595
600621.SH,20191125,13.73,13.97,13.56,13.84,13.75,0.08999999999999986,0.6545,182191.72,251234.099
600621.SH,20191122,13.92,14.16,13.56,13.75,13.93,-0.17999999999999972,-1.2922,221589.8,307286.575
600621.SH,20191121,13.76,14.04,13.72,13.93,13.91,0.019999999999999574,0.1438,146001.68,202563.772
600621.SH,20191120,14.28,14.36,13.91,13.91,14.35,-0.4399999999999995,-3.0662,226280.73,319631.851
600621.SH,20191119,14.07,14.36,13.99,14.35,14.16,0.1899999999999995,1.3418,244518.06,346154.878
600621.SH,20191118,13.8,14.27,13.72,14.16,13.83,0.33000000000000007,2.3861,255228.18,360267.315
600621.SH,20191115,13.81,14.23,13.75,13.83,13.84,-0.009999999999999787,-0.0723,225755.97,315130.451
600621.SH,20191114,13.6,14.05,13.6,13.84,13.74,0.09999999999999964,0.7278,188437.86,260786.17
600621.SH,20191113,14.13,14.15,13.71,13.74,14.26,-0.5199999999999996,-3.6466,280565.22,388376.318
600621.SH,20191112,14.12,14.42,14.05,14.26,14.1,0.16000000000000014,1.1348,274176.46,390036.619
600621.SH,20191111,14.19,14.7,13.96,14.1,14.45,-0.34999999999999964,-2.4221,364551.35,522050.702
