ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000793.SZ,20200225,3.29,3.34,3.14,3.31,3.37,-0.06000000000000005,-1.7804,669678.87,217811.616
000793.SZ,20200224,3.32,3.38,3.29,3.37,3.32,0.050000000000000266,1.506,419110.99,140250.684
000793.SZ,20200221,3.29,3.38,3.27,3.32,3.29,0.029999999999999805,0.9119,450342.34,150047.749
000793.SZ,20200220,3.19,3.32,3.18,3.29,3.17,0.1200000000000001,3.7855,599098.14,196121.32
000793.SZ,20200219,3.22,3.26,3.17,3.17,3.24,-0.07000000000000028,-2.1605,301131.9,96610.292
000793.SZ,20200218,3.16,3.24,3.14,3.24,3.16,0.08000000000000007,2.5316,388744.82,124335.974
000793.SZ,20200217,3.05,3.16,3.04,3.16,3.04,0.1200000000000001,3.9474,329480.03,102420.6
000793.SZ,20200214,3.05,3.1,3.02,3.04,3.05,-0.009999999999999787,-0.3279,256632.57,78329.405
000793.SZ,20200213,3.12,3.16,3.04,3.05,3.13,-0.08000000000000007,-2.5559,311685.25,96059.545
000793.SZ,20200212,3.08,3.15,3.07,3.13,3.11,0.020000000000000018,0.6431,295221.57,91968.489
000793.SZ,20200211,3.17,3.17,3.07,3.11,3.16,-0.050000000000000266,-1.5823,291731.18,90695.778
000793.SZ,20200210,3.12,3.18,3.1,3.16,3.14,0.020000000000000018,0.6369,305472.91,95967.976
000793.SZ,20200207,3.08,3.17,3.05,3.14,3.09,0.050000000000000266,1.6181,430327.62,134427.562
000793.SZ,20200206,3.01,3.13,2.94,3.09,2.98,0.10999999999999988,3.6913,594806.86,182720.04
000793.SZ,20200205,2.93,3.08,2.91,2.98,2.91,0.06999999999999984,2.4055,470610.28,141141.418
000793.SZ,20200204,2.72,2.97,2.72,2.91,3.02,-0.10999999999999988,-3.6424,626706.21,181051.673
000793.SZ,20200203,3.02,3.02,3.02,3.02,3.35,-0.33000000000000007,-9.8507,43490.0,13133.98
000793.SZ,20200123,3.55,3.6,3.28,3.35,3.63,-0.2799999999999998,-7.7135,686117.0,236428.851
