ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000421.SZ,20200225,4.21,4.21,4.1,4.18,4.27,-0.08999999999999986,-2.1077,25238.88,10511.873
000421.SZ,20200224,4.25,4.29,4.22,4.27,4.29,-0.020000000000000462,-0.4662,24427.99,10388.208
000421.SZ,20200221,4.25,4.31,4.23,4.29,4.26,0.03000000000000025,0.7042,24699.07,10556.435
000421.SZ,20200220,4.18,4.26,4.16,4.26,4.18,0.08000000000000007,1.9139,21815.22,9206.784
000421.SZ,20200219,4.22,4.23,4.18,4.18,4.21,-0.03000000000000025,-0.7126,19625.0,8260.002
000421.SZ,20200218,4.16,4.23,4.15,4.21,4.16,0.04999999999999982,1.2019,28964.86,12172.205
000421.SZ,20200217,4.07,4.16,4.07,4.16,4.07,0.08999999999999986,2.2113,23087.01,9538.204
000421.SZ,20200214,4.11,4.12,4.05,4.07,4.11,-0.040000000000000036,-0.9732,21277.26,8674.658
000421.SZ,20200213,4.17,4.18,4.09,4.11,4.18,-0.0699999999999994,-1.6746,14038.0,5799.543
000421.SZ,20200212,4.15,4.19,4.13,4.18,4.15,0.02999999999999936,0.7229,14575.07,6068.311
000421.SZ,20200211,4.15,4.22,4.14,4.15,4.17,-0.019999999999999574,-0.4796,17562.82,7333.698
000421.SZ,20200210,4.13,4.18,4.09,4.17,4.12,0.04999999999999982,1.2136,17130.0,7094.349
000421.SZ,20200207,4.15,4.2,4.05,4.12,4.09,0.03000000000000025,0.7335,20399.29,8354.485
000421.SZ,20200206,4.06,4.15,4.03,4.09,4.06,0.03000000000000025,0.7389,24210.0,9884.566
000421.SZ,20200205,4.05,4.1,3.98,4.06,4.0,0.05999999999999961,1.5,21065.67,8538.801
000421.SZ,20200204,3.9,4.01,3.85,4.0,3.92,0.08000000000000007,2.0408,30400.85,11981.625
000421.SZ,20200203,3.95,4.01,3.92,3.92,4.36,-0.4400000000000004,-10.0917,33322.0,13106.864
000421.SZ,20200123,4.47,4.5,4.33,4.36,4.5,-0.13999999999999968,-3.1111,26610.4,11705.425
000421.SZ,20200122,4.51,4.57,4.41,4.5,4.51,-0.009999999999999787,-0.2217,15229.65,6831.423
000421.SZ,20200121,4.56,4.56,4.5,4.51,4.56,-0.04999999999999982,-1.0965,11842.3,5348.715
000421.SZ,20200120,4.51,4.56,4.5,4.56,4.51,0.04999999999999982,1.1086,8906.6,4035.982
000421.SZ,20200117,4.61,4.61,4.51,4.51,4.57,-0.0600000000000005,-1.3129,15150.9,6888.891
