ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000948.SZ,20200225,11.01,11.68,11.01,11.64,11.53,0.11000000000000121,0.954,141213.74,160624.305
000948.SZ,20200224,11.49,11.76,11.33,11.53,11.4,0.129999999999999,1.1404,164297.97,189683.203
000948.SZ,20200221,11.25,11.63,11.22,11.4,11.28,0.120000000000001,1.0638,97773.82,111814.186
000948.SZ,20200220,11.05,11.45,11.05,11.28,11.01,0.2699999999999996,2.4523,104833.63,118167.005
000948.SZ,20200219,11.16,11.3,10.96,11.01,11.16,-0.15000000000000036,-1.3441,75641.99,84133.922
000948.SZ,20200218,10.75,11.32,10.65,11.16,10.82,0.33999999999999986,3.1423,114334.58,125401.205
000948.SZ,20200217,10.35,10.9,10.25,10.82,10.05,0.7699999999999996,7.6617,142483.6,151042.193
000948.SZ,20200214,10.02,10.24,10.0,10.05,10.08,-0.02999999999999936,-0.2976,35717.64,36093.69
000948.SZ,20200213,10.21,10.28,10.04,10.08,10.23,-0.15000000000000036,-1.4663,49597.2,50263.34
000948.SZ,20200212,10.01,10.26,9.96,10.23,10.04,0.19000000000000128,1.8924,46034.44,46548.444
000948.SZ,20200211,10.26,10.26,10.01,10.04,10.25,-0.21000000000000085,-2.0488,39981.1,40337.68
000948.SZ,20200210,10.34,10.45,10.03,10.25,10.24,0.009999999999999787,0.0977,66626.4,68285.385
000948.SZ,20200207,10.01,10.28,9.9,10.24,10.0,0.2400000000000002,2.4,67504.61,68304.044
000948.SZ,20200206,9.65,10.09,9.61,10.0,9.63,0.3699999999999992,3.8422,63394.06,62751.722
000948.SZ,20200205,9.5,9.87,9.38,9.63,9.3,0.33000000000000007,3.5484,69714.93,67368.296
000948.SZ,20200204,8.8,9.44,8.8,9.3,9.7,-0.3999999999999986,-4.1237,90256.82,83162.456
000948.SZ,20200203,9.7,9.7,9.7,9.7,10.78,-1.08,-10.0186,9456.0,9172.32
000948.SZ,20200123,11.07,11.26,10.61,10.78,11.19,-0.41000000000000014,-3.664,53519.42,58433.198
000948.SZ,20200122,11.2,11.29,10.88,11.19,11.13,0.05999999999999872,0.5391,46362.63,51472.424
000948.SZ,20200121,11.47,11.47,11.08,11.13,11.47,-0.33999999999999986,-2.9643,49724.67,55874.138
000948.SZ,20200120,11.48,11.55,11.27,11.47,11.48,-0.009999999999999787,-0.0871,45020.67,51358.032
000948.SZ,20200117,11.58,11.72,11.42,11.48,11.59,-0.10999999999999943,-0.9491,46191.02,53311.963
000948.SZ,20200116,11.45,11.87,11.38,11.59,11.46,0.129999999999999,1.1344,106299.05,124212.559
000948.SZ,20200115,11.27,11.47,11.14,11.46,11.27,0.19000000000000128,1.6859,69855.53,79193.762
000948.SZ,20200114,11.42,11.42,11.16,11.27,11.4,-0.13000000000000078,-1.1404,53238.01,60050.454
000948.SZ,20200113,11.21,11.4,11.11,11.4,11.36,0.040000000000000924,0.3521,60017.41,67477.457
000948.SZ,20200110,11.32,11.45,11.2,11.36,11.46,-0.10000000000000142,-0.8726,91838.68,103817.329
000948.SZ,20200109,11.07,11.91,11.07,11.46,10.89,0.5700000000000003,5.2342,151027.09,173285.662
000948.SZ,20200108,11.15,11.15,10.8,10.89,11.25,-0.35999999999999943,-3.2,74638.48,82120.729
000948.SZ,20200107,11.0,11.3,10.95,11.25,11.0,0.25,2.2727,84047.95,93589.631
000948.SZ,20200106,11.0,11.12,10.85,11.0,11.13,-0.13000000000000078,-1.168,71970.11,78959.871
000948.SZ,20200103,10.8,11.45,10.72,11.13,10.8,0.33000000000000007,3.0556,96477.44,106041.213
000948.SZ,20200102,10.59,10.85,10.57,10.8,10.55,0.25,2.3697,56273.73,60480.794
000948.SZ,20191231,10.53,10.59,10.44,10.55,10.53,0.02000000000000135,0.1899,25972.85,27351.023
000948.SZ,20191230,10.56,10.56,10.31,10.53,10.41,0.11999999999999922,1.1527,27927.96,29190.273
000948.SZ,20191227,10.63,10.64,10.41,10.41,10.58,-0.16999999999999993,-1.6068,35397.06,37220.025
000948.SZ,20191226,10.54,10.67,10.46,10.58,10.46,0.11999999999999922,1.1472,34017.76,35937.582
000948.SZ,20191225,10.44,10.59,10.42,10.46,10.44,0.02000000000000135,0.1916,45502.53,47765.786
000948.SZ,20191224,10.41,10.47,10.29,10.44,10.35,0.08999999999999986,0.8696,35409.19,36754.204
000948.SZ,20191223,10.71,10.74,10.35,10.35,10.73,-0.3800000000000008,-3.5415,47003.81,49422.259
000948.SZ,20191220,11.07,11.09,10.71,10.73,11.0,-0.2699999999999996,-2.4545,46360.17,50504.822
000948.SZ,20191219,10.95,11.07,10.9,11.0,10.96,0.03999999999999915,0.365,35385.41,38871.863
000948.SZ,20191218,10.95,11.17,10.93,10.96,10.99,-0.02999999999999936,-0.273,49492.44,54599.079
000948.SZ,20191217,10.88,11.07,10.83,10.99,10.9,0.08999999999999986,0.8257,60166.72,65814.092
000948.SZ,20191216,10.65,10.9,10.58,10.9,10.61,0.2900000000000009,2.7333,54630.68,58863.295
000948.SZ,20191213,10.57,10.65,10.5,10.61,10.5,0.10999999999999943,1.0476,35814.01,37874.568
000948.SZ,20191212,10.6,10.66,10.41,10.5,10.59,-0.08999999999999986,-0.8499,33845.17,35599.878
000948.SZ,20191211,10.72,10.87,10.58,10.59,10.72,-0.13000000000000078,-1.2127,28968.31,31054.999
000948.SZ,20191210,10.61,10.77,10.59,10.72,10.7,0.02000000000000135,0.1869,34669.25,37016.0
000948.SZ,20191209,10.57,10.85,10.51,10.7,10.54,0.16000000000000014,1.518,36190.42,38663.204
000948.SZ,20191206,10.56,10.62,10.46,10.54,10.57,-0.030000000000001137,-0.2838,22356.8,23561.908
000948.SZ,20191205,10.46,10.6,10.41,10.57,10.41,0.16000000000000014,1.537,26277.0,27667.82
000948.SZ,20191204,10.43,10.48,10.3,10.41,10.43,-0.019999999999999574,-0.1918,12305.31,12818.544
000948.SZ,20191203,10.28,10.43,10.28,10.43,10.37,0.0600000000000005,0.5786,13753.31,14261.872
000948.SZ,20191202,10.36,10.44,10.29,10.37,10.36,0.009999999999999787,0.0965,11089.3,11494.731
000948.SZ,20191129,10.27,10.37,10.25,10.36,10.31,0.049999999999998934,0.485,15085.91,15567.987
000948.SZ,20191128,10.3,10.39,10.26,10.31,10.28,0.030000000000001137,0.2918,16946.21,17494.12
000948.SZ,20191127,10.36,10.39,10.22,10.28,10.33,-0.05000000000000071,-0.484,14073.7,14514.168
