ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002975.SZ,20200225,127.0,130.68,118.05,127.0,131.17,-4.1699999999999875,-3.1791,55260.18,692037.521
002975.SZ,20200224,129.95,133.74,127.63,131.17,135.93,-4.760000000000019,-3.5018,58634.27,765128.739
002975.SZ,20200221,131.5,137.0,127.08,135.93,128.98,6.950000000000017,5.3884,77329.67,1018751.721
002975.SZ,20200220,129.0,134.6,125.6,128.98,129.22,-0.2400000000000091,-0.1857,93429.43,1219607.758
002975.SZ,20200219,129.22,129.22,123.5,129.22,117.47,11.75,10.0026,85783.24,1098864.999
002975.SZ,20200218,117.47,117.47,117.47,117.47,106.79,10.679999999999993,10.0009,1091.0,12815.977
002975.SZ,20200217,106.79,106.79,106.79,106.79,97.08,9.710000000000008,10.0021,3318.51,35438.368
002975.SZ,20200214,97.08,97.08,97.08,97.08,88.25,8.829999999999998,10.0057,4663.14,45269.763
002975.SZ,20200213,88.25,88.25,88.25,88.25,80.23,8.019999999999996,9.9963,1304.89,11515.654
002975.SZ,20200212,80.23,80.23,80.23,80.23,72.94,7.290000000000006,9.9945,1779.53,14277.169
002975.SZ,20200211,72.94,72.94,72.94,72.94,66.31,6.6299999999999955,9.9985,546.88,3988.942
002975.SZ,20200210,66.31,66.31,66.31,66.31,60.28,6.030000000000001,10.0033,362.0,2400.422
002975.SZ,20200207,60.28,60.28,60.28,60.28,54.8,5.480000000000004,10.0,368.99,2224.271
002975.SZ,20200206,54.8,54.8,54.8,54.8,49.82,4.979999999999997,9.996,277.23,1519.22
002975.SZ,20200205,41.52,49.82,41.52,49.82,34.6,15.219999999999999,43.9884,1147.0,5689.559
