ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600057.SH,20200225,4.07,4.14,3.99,4.11,4.15,-0.040000000000000036,-0.9639,231541.1,94312.013
600057.SH,20200224,4.02,4.18,4.01,4.15,3.98,0.17000000000000037,4.2714,300994.14,123729.175
600057.SH,20200221,3.98,4.01,3.95,3.98,4.0,-0.020000000000000018,-0.5,172972.2,68909.017
600057.SH,20200220,3.95,4.01,3.92,4.0,3.94,0.06000000000000005,1.5228,161719.7,64230.189
600057.SH,20200219,3.98,4.0,3.94,3.94,3.97,-0.03000000000000025,-0.7557,89902.9,35628.747
600057.SH,20200218,3.96,4.01,3.95,3.97,3.98,-0.009999999999999787,-0.2513,84253.77,33494.83
600057.SH,20200217,3.91,3.99,3.89,3.98,3.85,0.1299999999999999,3.3766,128598.98,50922.582
600057.SH,20200214,3.86,3.9,3.84,3.85,3.88,-0.029999999999999805,-0.7732,57335.13,22172.765
600057.SH,20200213,3.9,3.94,3.86,3.88,3.92,-0.040000000000000036,-1.0204,86805.53,33852.371
600057.SH,20200212,3.9,3.92,3.88,3.92,3.92,0.0,0.0,56497.87,22042.203
600057.SH,20200211,3.92,3.95,3.87,3.92,3.92,0.0,0.0,79285.79,31099.617
600057.SH,20200210,3.83,3.92,3.8,3.92,3.84,0.08000000000000007,2.0833,102422.17,39571.596
600057.SH,20200207,3.87,3.87,3.78,3.84,3.88,-0.040000000000000036,-1.0309,103253.79,39404.633
600057.SH,20200206,3.74,3.89,3.7,3.88,3.73,0.1499999999999999,4.0214,112476.08,43019.71
600057.SH,20200205,3.7,3.76,3.66,3.73,3.67,0.06000000000000005,1.6349,101650.89,37837.904
600057.SH,20200204,3.53,3.71,3.53,3.67,3.64,0.029999999999999805,0.8242,134512.94,49273.033
600057.SH,20200203,3.64,3.67,3.64,3.64,4.04,-0.3999999999999999,-9.901,117243.0,42691.798
600057.SH,20200123,4.15,4.15,4.01,4.04,4.16,-0.1200000000000001,-2.8846,98094.18,39935.171
600057.SH,20200122,4.14,4.19,4.1,4.16,4.15,0.009999999999999787,0.241,54763.13,22666.046
600057.SH,20200121,4.22,4.23,4.14,4.15,4.21,-0.05999999999999961,-1.4252,84519.42,35231.479
600057.SH,20200120,4.2,4.23,4.18,4.21,4.19,0.019999999999999574,0.4773,60486.7,25438.341
600057.SH,20200117,4.19,4.22,4.18,4.19,4.19,0.0,0.0,32482.47,13648.59
600057.SH,20200116,4.24,4.25,4.18,4.19,4.23,-0.040000000000000036,-0.9456,47146.98,19814.075
600057.SH,20200115,4.24,4.26,4.18,4.23,4.25,-0.019999999999999574,-0.4706,97356.36,40980.818
600057.SH,20200114,4.26,4.29,4.24,4.25,4.26,-0.009999999999999787,-0.2347,100162.07,42672.868
600057.SH,20200113,4.27,4.3,4.2,4.26,4.41,-0.15000000000000036,-3.4014,308821.97,131106.494
600057.SH,20200110,4.38,4.43,4.34,4.41,4.35,0.0600000000000005,1.3793,201958.4,88638.605
600057.SH,20200109,4.26,4.38,4.25,4.35,4.24,0.10999999999999943,2.5943,182509.28,78715.543
600057.SH,20200108,4.23,4.29,4.22,4.24,4.25,-0.009999999999999787,-0.2353,142037.04,60390.371
600057.SH,20200107,4.21,4.26,4.21,4.25,4.22,0.03000000000000025,0.7109,77023.11,32659.086
600057.SH,20200106,4.18,4.25,4.17,4.22,4.21,0.009999999999999787,0.2375,91817.25,38732.921
600057.SH,20200103,4.23,4.24,4.19,4.21,4.21,0.0,0.0,76117.84,32074.611
600057.SH,20200102,4.17,4.23,4.16,4.21,4.15,0.05999999999999961,1.4458,139812.71,58723.126
600057.SH,20191231,4.13,4.17,4.12,4.15,4.15,0.0,0.0,70824.37,29351.194
600057.SH,20191230,4.07,4.16,4.06,4.15,4.1,0.05000000000000071,1.2195,80712.16,33268.941
600057.SH,20191227,4.12,4.15,4.09,4.1,4.12,-0.020000000000000462,-0.4854,76508.39,31497.523
600057.SH,20191226,4.06,4.12,4.05,4.12,4.06,0.0600000000000005,1.4778,60319.19,24626.976
600057.SH,20191225,4.05,4.07,4.03,4.06,4.07,-0.010000000000000675,-0.2457,54587.04,22117.053
600057.SH,20191224,4.05,4.07,4.03,4.07,4.05,0.020000000000000462,0.4938,60514.3,24512.45
600057.SH,20191223,4.1,4.1,4.03,4.05,4.1,-0.04999999999999982,-1.2195,88783.6,36083.452
600057.SH,20191220,4.13,4.13,4.1,4.1,4.12,-0.020000000000000462,-0.4854,66081.97,27185.602
600057.SH,20191219,4.12,4.15,4.11,4.12,4.13,-0.009999999999999787,-0.2421,65893.06,27187.4
600057.SH,20191218,4.14,4.17,4.13,4.13,4.15,-0.020000000000000462,-0.4819,57450.36,23814.714
600057.SH,20191217,4.15,4.18,4.12,4.15,4.16,-0.009999999999999787,-0.2404,100102.11,41562.249
600057.SH,20191216,4.12,4.16,4.1,4.16,4.1,0.0600000000000005,1.4634,88558.85,36562.43
600057.SH,20191213,4.06,4.11,4.06,4.1,4.05,0.04999999999999982,1.2346,80151.21,32768.741
600057.SH,20191212,4.02,4.06,4.01,4.05,4.04,0.009999999999999787,0.2475,55205.21,22315.781
600057.SH,20191211,4.01,4.04,3.99,4.04,4.02,0.020000000000000462,0.4975,63443.71,25510.698
600057.SH,20191210,4.01,4.02,3.99,4.02,4.0,0.019999999999999574,0.5,43903.5,17603.649
600057.SH,20191209,4.01,4.01,3.98,4.0,4.0,0.0,0.0,50183.55,20066.068
600057.SH,20191206,3.99,4.0,3.96,4.0,3.99,0.009999999999999787,0.2506,42993.23,17121.354
600057.SH,20191205,4.01,4.01,3.95,3.99,3.99,0.0,0.0,95451.97,37996.154
600057.SH,20191204,3.96,4.0,3.94,3.99,3.96,0.03000000000000025,0.7576,68117.39,27107.925
600057.SH,20191203,3.95,3.97,3.92,3.96,3.95,0.009999999999999787,0.2532,35128.71,13863.523
600057.SH,20191202,3.95,3.97,3.94,3.95,3.94,0.010000000000000231,0.2538,44769.62,17702.442
600057.SH,20191129,3.95,3.96,3.91,3.94,3.94,0.0,0.0,51809.3,20381.015
600057.SH,20191128,3.98,3.98,3.93,3.94,3.98,-0.040000000000000036,-1.005,57502.57,22756.441
600057.SH,20191127,3.95,4.02,3.94,3.98,3.97,0.009999999999999787,0.2519,79532.44,31608.599
