ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000633.SZ,20200225,3.83,3.91,3.7,3.91,3.88,0.03000000000000025,0.7732,65115.3,24875.489
000633.SZ,20200224,3.93,3.93,3.79,3.88,3.86,0.020000000000000018,0.5181,64513.76,24751.793
000633.SZ,20200221,3.88,4.06,3.85,3.86,3.85,0.009999999999999787,0.2597,77524.18,30349.237
000633.SZ,20200220,3.78,3.87,3.78,3.85,3.81,0.040000000000000036,1.0499,65553.31,25150.185
000633.SZ,20200219,3.78,3.86,3.75,3.81,3.82,-0.009999999999999787,-0.2618,59692.94,22697.209
000633.SZ,20200218,3.71,3.83,3.7,3.82,3.68,0.13999999999999968,3.8043,65316.9,24661.364
000633.SZ,20200217,3.55,3.7,3.55,3.68,3.53,0.15000000000000036,4.2493,52436.18,19148.646
000633.SZ,20200214,3.5,3.59,3.48,3.53,3.53,0.0,0.0,46721.81,16533.636
000633.SZ,20200213,3.66,3.67,3.51,3.53,3.6,-0.07000000000000028,-1.9444,45438.03,16224.964
000633.SZ,20200212,3.56,3.62,3.53,3.6,3.56,0.040000000000000036,1.1236,34123.0,12235.086
000633.SZ,20200211,3.59,3.72,3.54,3.56,3.59,-0.029999999999999805,-0.8357,34110.55,12224.172
000633.SZ,20200210,3.49,3.64,3.45,3.59,3.48,0.10999999999999988,3.1609,45361.4,16095.522
000633.SZ,20200207,3.46,3.58,3.4,3.48,3.44,0.040000000000000036,1.1628,49669.29,17319.348
000633.SZ,20200206,3.39,3.49,3.37,3.44,3.39,0.04999999999999982,1.4749,47538.36,16360.413
000633.SZ,20200205,3.32,3.42,3.26,3.39,3.27,0.1200000000000001,3.6697,57666.53,19356.419
000633.SZ,20200204,3.12,3.32,3.12,3.27,3.47,-0.20000000000000018,-5.7637,79334.35,25698.372
000633.SZ,20200203,3.47,3.47,3.47,3.47,3.85,-0.3799999999999999,-9.8701,5568.0,1932.096
000633.SZ,20200123,3.94,4.01,3.82,3.85,3.93,-0.08000000000000007,-2.0356,43060.86,16764.836
000633.SZ,20200122,3.92,3.96,3.84,3.93,3.94,-0.009999999999999787,-0.2538,37427.01,14625.586
000633.SZ,20200121,4.06,4.1,3.94,3.94,4.09,-0.1499999999999999,-3.6675,50479.01,20240.664
000633.SZ,20200120,4.06,4.15,4.02,4.09,4.13,-0.040000000000000036,-0.9685,50607.7,20639.258
000633.SZ,20200117,4.33,4.45,4.12,4.13,4.24,-0.11000000000000032,-2.5943,71595.26,30480.125
000633.SZ,20200116,4.2,4.27,4.17,4.24,4.17,0.07000000000000028,1.6787,38043.54,16111.54
000633.SZ,20200115,4.27,4.29,4.15,4.17,4.28,-0.11000000000000032,-2.5701,46807.0,19653.442
000633.SZ,20200114,4.27,4.31,4.26,4.28,4.28,0.0,0.0,33706.0,14436.323
000633.SZ,20200113,4.23,4.33,4.2,4.28,4.26,0.020000000000000462,0.4695,35445.0,15132.039
000633.SZ,20200110,4.32,4.34,4.24,4.26,4.31,-0.04999999999999982,-1.1601,45997.21,19705.777
000633.SZ,20200109,4.29,4.37,4.27,4.31,4.29,0.019999999999999574,0.4662,60738.67,26212.194
000633.SZ,20200108,4.28,4.33,4.21,4.29,4.29,0.0,0.0,56507.0,24121.55
000633.SZ,20200107,4.27,4.32,4.23,4.29,4.26,0.03000000000000025,0.7042,49865.43,21328.727
000633.SZ,20200106,4.23,4.3,4.16,4.26,4.24,0.019999999999999574,0.4717,59492.53,25292.964
000633.SZ,20200103,4.2,4.24,4.17,4.24,4.19,0.04999999999999982,1.1933,50226.99,21173.193
000633.SZ,20200102,4.14,4.2,4.13,4.19,4.14,0.05000000000000071,1.2077,49775.58,20798.881
000633.SZ,20191231,4.12,4.15,4.07,4.14,4.16,-0.020000000000000462,-0.4808,45595.0,18750.216
000633.SZ,20191230,4.19,4.19,4.09,4.16,4.19,-0.03000000000000025,-0.716,58644.21,24189.528
000633.SZ,20191227,4.16,4.27,4.16,4.19,4.16,0.03000000000000025,0.7212,73697.19,31027.548
000633.SZ,20191226,4.13,4.17,4.11,4.16,4.09,0.07000000000000028,1.7115,45766.0,18937.721
000633.SZ,20191225,4.13,4.16,4.07,4.09,4.11,-0.020000000000000462,-0.4866,30854.0,12707.067
000633.SZ,20191224,4.01,4.12,4.0,4.11,4.01,0.10000000000000053,2.4938,38555.0,15695.799
000633.SZ,20191223,4.16,4.17,3.98,4.01,4.16,-0.15000000000000036,-3.6058,49363.0,20062.608
000633.SZ,20191220,4.19,4.22,4.12,4.16,4.18,-0.019999999999999574,-0.4785,53138.01,22157.433
000633.SZ,20191219,4.15,4.19,4.1,4.18,4.14,0.040000000000000036,0.9662,57384.8,23787.37
000633.SZ,20191218,4.13,4.32,4.1,4.14,4.14,0.0,0.0,75005.45,31450.254
000633.SZ,20191217,4.02,4.2,3.98,4.14,4.02,0.1200000000000001,2.9851,86039.6,35409.457
000633.SZ,20191216,3.98,4.03,3.94,4.02,3.97,0.04999999999999938,1.2594,37165.63,14836.344
000633.SZ,20191213,3.97,3.98,3.94,3.97,3.93,0.040000000000000036,1.0178,30036.0,11889.525
000633.SZ,20191212,3.96,3.97,3.92,3.93,3.96,-0.029999999999999805,-0.7576,23772.0,9385.967
000633.SZ,20191211,4.02,4.02,3.93,3.96,3.99,-0.03000000000000025,-0.7519,28785.4,11413.91
000633.SZ,20191210,4.0,4.01,3.95,3.99,3.98,0.010000000000000231,0.2513,27279.88,10859.148
000633.SZ,20191209,3.99,4.02,3.96,3.98,4.0,-0.020000000000000018,-0.5,30063.0,11969.458
000633.SZ,20191206,3.95,4.02,3.94,4.0,3.95,0.04999999999999982,1.2658,47752.95,19008.142
000633.SZ,20191205,3.93,3.98,3.92,3.95,3.93,0.020000000000000018,0.5089,32214.52,12725.096
000633.SZ,20191204,3.94,3.96,3.9,3.93,3.95,-0.020000000000000018,-0.5063,26458.22,10376.938
000633.SZ,20191203,3.91,3.97,3.85,3.95,3.9,0.050000000000000266,1.2821,36088.88,14150.96
000633.SZ,20191202,3.89,3.93,3.83,3.9,3.88,0.020000000000000018,0.5155,34134.68,13302.366
000633.SZ,20191129,3.87,3.92,3.8,3.88,3.87,0.009999999999999787,0.2584,32792.21,12616.054
000633.SZ,20191128,3.85,3.95,3.82,3.87,3.86,0.010000000000000231,0.2591,24390.09,9465.551
000633.SZ,20191127,3.93,3.94,3.86,3.86,3.96,-0.10000000000000009,-2.5253,32518.1,12665.094
000633.SZ,20191126,3.88,3.97,3.86,3.96,3.9,0.06000000000000005,1.5385,33314.0,13038.152
000633.SZ,20191125,3.87,3.95,3.8,3.9,3.88,0.020000000000000018,0.5155,30345.11,11772.179
000633.SZ,20191122,3.92,3.99,3.84,3.88,3.91,-0.03000000000000025,-0.7673,44213.1,17305.032
000633.SZ,20191121,3.87,4.06,3.83,3.91,3.85,0.06000000000000005,1.5584,52231.27,20471.641
000633.SZ,20191120,3.9,3.93,3.82,3.85,3.88,-0.029999999999999805,-0.7732,28577.0,11058.367
000633.SZ,20191119,3.84,3.9,3.78,3.88,3.78,0.10000000000000009,2.6455,36321.01,13994.845
000633.SZ,20191118,3.73,3.8,3.67,3.78,3.75,0.029999999999999805,0.8,22047.0,8287.76
000633.SZ,20191115,3.84,3.84,3.74,3.75,3.84,-0.08999999999999986,-2.3437,25449.02,9647.701
000633.SZ,20191114,3.87,3.89,3.8,3.84,3.87,-0.03000000000000025,-0.7752,34108.5,13119.397
000633.SZ,20191113,3.82,3.92,3.8,3.87,3.83,0.040000000000000036,1.0444,44108.27,16991.622
000633.SZ,20191112,3.76,3.85,3.76,3.83,3.81,0.020000000000000018,0.5249,29010.0,11019.989
000633.SZ,20191111,3.96,3.96,3.75,3.81,4.0,-0.18999999999999995,-4.75,68937.01,26458.661
000633.SZ,20191108,4.08,4.08,3.99,4.0,4.05,-0.04999999999999982,-1.2346,49396.0,19935.439
000633.SZ,20191107,4.05,4.08,4.02,4.05,4.05,0.0,0.0,28035.0,11356.222
000633.SZ,20191106,4.06,4.11,4.03,4.05,4.04,0.009999999999999787,0.2475,48010.11,19519.647
000633.SZ,20191105,4.04,4.08,3.98,4.04,4.08,-0.040000000000000036,-0.9804,51839.7,20899.344
000633.SZ,20191104,4.12,4.12,4.06,4.08,4.1,-0.019999999999999574,-0.4878,47744.11,19516.935
000633.SZ,20191101,4.04,4.13,3.98,4.1,4.03,0.0699999999999994,1.737,54833.13,22362.062
000633.SZ,20191031,4.1,4.16,4.02,4.03,4.15,-0.1200000000000001,-2.8916,96846.21,39526.344
000633.SZ,20191030,4.21,4.38,4.09,4.15,4.52,-0.3699999999999992,-8.1858,203185.0,85670.451
000633.SZ,20191029,5.19,5.19,4.52,4.52,4.8,-0.28000000000000025,-5.8333,342407.48,167071.608
000633.SZ,20191028,4.8,4.8,4.8,4.8,4.36,0.4399999999999995,10.0917,134218.27,64424.769
000633.SZ,20191025,4.36,4.49,4.31,4.36,4.45,-0.08999999999999986,-2.0225,127061.04,55652.587
000633.SZ,20191024,4.3,4.73,4.25,4.45,4.54,-0.08999999999999986,-1.9824,233846.9,104281.719
000633.SZ,20191023,4.18,4.54,4.14,4.54,4.13,0.41000000000000014,9.9274,67952.05,30349.603
000633.SZ,20191022,4.0,4.13,3.98,4.13,4.06,0.07000000000000028,1.7241,26886.02,10926.635
000633.SZ,20191021,4.1,4.1,3.98,4.06,4.11,-0.05000000000000071,-1.2165,30410.8,12221.91
000633.SZ,20191018,4.11,4.17,4.02,4.11,4.11,0.0,0.0,30968.0,12634.587
000633.SZ,20191017,4.14,4.15,4.09,4.11,4.14,-0.02999999999999936,-0.7246,20869.81,8588.641
000633.SZ,20191016,4.23,4.27,4.13,4.14,4.23,-0.09000000000000075,-2.1277,24222.01,10126.768
000633.SZ,20191015,4.28,4.29,4.15,4.23,4.3,-0.0699999999999994,-1.6279,43547.38,18374.643
000633.SZ,20191014,4.33,4.35,4.27,4.3,4.27,0.03000000000000025,0.7026,38503.16,16577.938
000633.SZ,20191011,4.2,4.32,4.18,4.27,4.2,0.0699999999999994,1.6667,37343.19,15900.563
000633.SZ,20191010,4.19,4.21,4.13,4.2,4.17,0.03000000000000025,0.7194,25494.82,10665.957
000633.SZ,20191009,4.12,4.17,4.03,4.17,4.12,0.04999999999999982,1.2136,22305.2,9137.44
000633.SZ,20191008,4.13,4.18,4.09,4.12,4.12,0.0,0.0,18707.6,7722.837
000633.SZ,20190930,4.17,4.25,4.09,4.12,4.19,-0.07000000000000028,-1.6706,22558.0,9348.112
000633.SZ,20190927,4.16,4.23,4.1,4.19,4.14,0.05000000000000071,1.2077,30842.54,12912.583
000633.SZ,20190926,4.31,4.34,4.13,4.14,4.27,-0.1299999999999999,-3.0445,39788.54,16697.117
000633.SZ,20190925,4.37,4.38,4.27,4.27,4.41,-0.14000000000000057,-3.1746,37524.33,16148.138
000633.SZ,20190924,4.47,4.47,4.37,4.41,4.38,0.03000000000000025,0.6849,26878.63,11857.383
000633.SZ,20190923,4.46,4.51,4.32,4.38,4.47,-0.08999999999999986,-2.0134,40973.98,17965.677
000633.SZ,20190920,4.53,4.58,4.45,4.47,4.51,-0.040000000000000036,-0.8869,43167.0,19432.399
000633.SZ,20190919,4.54,4.59,4.47,4.51,4.54,-0.03000000000000025,-0.6608,41508.0,18771.163
000633.SZ,20190918,4.55,4.55,4.48,4.54,4.5,0.040000000000000036,0.8889,35200.8,15894.169
000633.SZ,20190917,4.62,4.65,4.48,4.5,4.65,-0.15000000000000036,-3.2258,46740.81,21268.466
000633.SZ,20190916,4.64,4.67,4.61,4.65,4.66,-0.009999999999999787,-0.2146,36370.1,16905.202
000633.SZ,20190912,4.66,4.71,4.6,4.66,4.71,-0.04999999999999982,-1.0616,62833.02,29144.397
000633.SZ,20190911,4.67,4.86,4.65,4.71,4.7,0.009999999999999787,0.2128,101764.02,48112.51
000633.SZ,20190910,4.65,4.8,4.59,4.7,4.62,0.08000000000000007,1.7316,78847.55,36982.788
000633.SZ,20190909,4.56,4.64,4.54,4.62,4.52,0.10000000000000053,2.2124,55929.55,25733.363
000633.SZ,20190906,4.56,4.61,4.51,4.52,4.55,-0.03000000000000025,-0.6593,38832.0,17631.468
000633.SZ,20190905,4.47,4.61,4.43,4.55,4.46,0.08999999999999986,2.0179,67075.1,30465.574
000633.SZ,20190904,4.36,4.56,4.36,4.46,4.42,0.040000000000000036,0.905,43695.0,19486.612
000633.SZ,20190903,4.4,4.44,4.37,4.42,4.4,0.019999999999999574,0.4545,46872.0,20686.017
000633.SZ,20190902,4.38,4.57,4.34,4.4,4.27,0.13000000000000078,3.0445,56240.0,24755.528
000633.SZ,20190830,4.45,4.48,4.22,4.27,4.4,-0.13000000000000078,-2.9545,46670.0,20211.143
000633.SZ,20190829,4.48,4.49,4.38,4.4,4.45,-0.04999999999999982,-1.1236,29287.02,12954.749
000633.SZ,20190828,4.47,4.49,4.42,4.45,4.47,-0.019999999999999574,-0.4474,44296.0,19726.904
000633.SZ,20190827,4.43,4.5,4.41,4.47,4.39,0.08000000000000007,1.8223,34365.01,15318.035
000633.SZ,20190826,4.32,4.42,4.24,4.39,4.47,-0.08000000000000007,-1.7897,28099.0,12260.97
000633.SZ,20190823,4.5,4.54,4.43,4.47,4.5,-0.03000000000000025,-0.6667,30659.0,13746.351
000633.SZ,20190822,4.51,4.51,4.41,4.5,4.48,0.019999999999999574,0.4464,26822.03,11988.787
000633.SZ,20190821,4.49,4.55,4.46,4.48,4.49,-0.009999999999999787,-0.2227,27857.0,12531.736
000633.SZ,20190820,4.5,4.59,4.47,4.49,4.51,-0.019999999999999574,-0.4435,33582.03,15200.755
000633.SZ,20190819,4.38,4.61,4.38,4.51,4.43,0.08000000000000007,1.8059,47056.08,21060.968
000633.SZ,20190816,4.49,4.52,4.41,4.43,4.51,-0.08000000000000007,-1.7738,34947.0,15582.636
000633.SZ,20190815,4.41,4.56,4.31,4.51,4.46,0.04999999999999982,1.1211,35163.0,15527.435
000633.SZ,20190814,4.49,4.55,4.45,4.46,4.47,-0.009999999999999787,-0.2237,25068.38,11310.186
000633.SZ,20190813,4.52,4.56,4.45,4.47,4.53,-0.0600000000000005,-1.3245,20099.0,9038.84
000633.SZ,20190812,4.5,4.59,4.48,4.53,4.5,0.03000000000000025,0.6667,15775.38,7134.206
000633.SZ,20190809,4.63,4.64,4.49,4.5,4.54,-0.040000000000000036,-0.8811,21453.0,9784.661
000633.SZ,20190808,4.46,4.59,4.46,4.54,4.46,0.08000000000000007,1.7937,26091.2,11847.323
000633.SZ,20190807,4.39,4.48,4.39,4.46,4.39,0.07000000000000028,1.5945,26662.0,11864.934
000633.SZ,20190806,4.51,4.51,4.14,4.39,4.6,-0.20999999999999996,-4.5652,36632.4,15991.381
000633.SZ,20190805,4.66,4.74,4.58,4.6,4.66,-0.0600000000000005,-1.2876,19408.73,9037.3
000633.SZ,20190802,4.7,4.73,4.55,4.66,4.76,-0.09999999999999964,-2.1008,35418.29,16495.76
000633.SZ,20190801,4.79,4.81,4.75,4.76,4.78,-0.020000000000000462,-0.4184,19356.26,9247.569
000633.SZ,20190731,4.87,4.87,4.74,4.78,4.84,-0.05999999999999961,-1.2397,23474.0,11216.248
000633.SZ,20190730,4.81,4.86,4.81,4.84,4.81,0.03000000000000025,0.6237,25326.14,12250.916
000633.SZ,20190729,4.83,4.88,4.8,4.81,4.83,-0.020000000000000462,-0.4141,17379.01,8389.496
000633.SZ,20190726,4.87,4.91,4.81,4.83,4.87,-0.040000000000000036,-0.8214,23990.24,11627.171
000633.SZ,20190725,4.9,4.93,4.84,4.87,4.95,-0.08000000000000007,-1.6162,32281.71,15729.547
000633.SZ,20190724,5.04,5.09,4.91,4.95,4.9,0.04999999999999982,1.0204,36062.54,17954.835
000633.SZ,20190723,4.77,4.91,4.77,4.9,4.86,0.040000000000000036,0.823,32944.82,15965.884
000633.SZ,20190722,5.01,5.05,4.7,4.86,5.1,-0.23999999999999932,-4.7059,70867.3,34725.922
000633.SZ,20190719,4.93,5.2,4.92,5.1,4.9,0.1999999999999993,4.0816,100421.0,51028.982
000633.SZ,20190718,4.97,4.98,4.88,4.9,4.99,-0.08999999999999986,-1.8036,29528.0,14551.5
000633.SZ,20190717,5.0,5.0,4.94,4.99,4.97,0.020000000000000462,0.4024,26440.0,13135.429
000633.SZ,20190716,4.99,5.02,4.93,4.97,4.96,0.009999999999999787,0.2016,20867.1,10362.236
000633.SZ,20190715,4.86,4.99,4.78,4.96,4.88,0.08000000000000007,1.6393,38988.18,19139.39
000633.SZ,20190712,4.96,4.99,4.82,4.88,4.91,-0.03000000000000025,-0.611,26435.68,12914.28
000633.SZ,20190711,4.86,5.03,4.8,4.91,4.85,0.0600000000000005,1.2371,35345.08,17463.882
000633.SZ,20190710,4.91,4.91,4.74,4.85,4.89,-0.040000000000000036,-0.818,31607.73,15325.406
000633.SZ,20190709,4.84,4.93,4.81,4.89,4.85,0.040000000000000036,0.8247,25597.0,12460.156
000633.SZ,20190708,5.01,5.05,4.74,4.85,5.04,-0.1900000000000004,-3.7698,42394.0,20731.643
000633.SZ,20190705,5.07,5.08,4.99,5.04,5.06,-0.019999999999999574,-0.3953,21825.0,10988.454
000633.SZ,20190704,5.06,5.1,5.01,5.06,5.06,0.0,0.0,32518.19,16463.209
000633.SZ,20190703,5.18,5.19,5.05,5.06,5.16,-0.10000000000000053,-1.938,38287.0,19454.429
000633.SZ,20190702,5.18,5.22,5.12,5.16,5.17,-0.009999999999999787,-0.1934,43358.0,22411.92
000633.SZ,20190701,5.13,5.18,5.09,5.17,5.05,0.1200000000000001,2.3762,55117.1,28391.693
000633.SZ,20190628,5.19,5.2,5.01,5.05,5.19,-0.14000000000000057,-2.6975,54703.7,27736.513
000633.SZ,20190627,5.23,5.3,5.15,5.19,5.22,-0.02999999999999936,-0.5747,49954.3,26067.302
000633.SZ,20190626,5.18,5.28,5.16,5.22,5.19,0.02999999999999936,0.578,36250.09,18950.839
000633.SZ,20190625,5.3,5.32,5.12,5.19,5.31,-0.11999999999999922,-2.2599,58686.78,30563.057
000633.SZ,20190624,5.35,5.38,5.25,5.31,5.31,0.0,0.0,83261.34,44285.539
000633.SZ,20190621,5.39,5.44,5.28,5.31,5.27,0.040000000000000036,0.759,100160.93,53584.756
000633.SZ,20190620,5.17,5.29,5.05,5.27,5.22,0.04999999999999982,0.9579,90211.3,46709.952
000633.SZ,20190619,5.31,5.37,5.18,5.22,5.2,0.019999999999999574,0.3846,76124.61,39961.629
000633.SZ,20190618,5.3,5.31,5.12,5.2,5.35,-0.14999999999999947,-2.8037,98114.75,50903.912
000633.SZ,20190617,5.12,5.59,5.02,5.35,5.13,0.21999999999999975,4.2885,145271.26,77179.432
000633.SZ,20190614,5.33,5.42,5.11,5.13,5.45,-0.3200000000000003,-5.8716,157139.37,82238.558
000633.SZ,20190613,5.77,5.98,5.44,5.45,5.56,-0.10999999999999943,-1.9784,295375.89,167913.284
