ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600100.SH,20200225,10.11,10.28,9.63,10.16,10.42,-0.2599999999999998,-2.4952,1369057.73,1382495.734
600100.SH,20200224,9.99,10.65,9.91,10.42,10.02,0.40000000000000036,3.992,1179724.55,1216770.351
600100.SH,20200221,9.48,10.14,9.45,10.02,9.51,0.5099999999999998,5.3628,1111621.73,1098098.686
600100.SH,20200220,9.47,9.57,9.28,9.51,9.48,0.02999999999999936,0.3165,677054.91,638842.663
600100.SH,20200219,9.71,9.78,9.42,9.48,9.78,-0.29999999999999893,-3.0675,661464.3,632740.952
600100.SH,20200218,9.65,9.84,9.5,9.78,9.66,0.11999999999999922,1.2422,781694.01,756454.19
600100.SH,20200217,9.19,9.74,9.19,9.66,9.24,0.41999999999999993,4.5455,814955.32,776667.866
600100.SH,20200214,9.09,9.38,9.08,9.24,9.09,0.15000000000000036,1.6502,539520.87,497751.461
600100.SH,20200213,9.14,9.33,9.02,9.09,9.17,-0.08000000000000007,-0.8724,443590.5,406107.616
600100.SH,20200212,8.96,9.21,8.93,9.17,9.01,0.16000000000000014,1.7758,404822.98,367948.74
600100.SH,20200211,9.31,9.32,8.96,9.01,9.29,-0.27999999999999936,-3.014,459920.67,418260.373
600100.SH,20200210,9.23,9.37,9.13,9.29,9.29,0.0,0.0,603264.53,558689.547
600100.SH,20200207,8.8,9.42,8.73,9.29,8.82,0.46999999999999886,5.3288,785246.19,719331.44
600100.SH,20200206,8.33,8.9,8.32,8.82,8.33,0.4900000000000002,5.8824,566388.2,490250.071
600100.SH,20200205,8.09,8.37,8.08,8.33,8.11,0.22000000000000064,2.7127,399576.47,331501.848
600100.SH,20200204,7.82,8.13,7.81,8.11,7.93,0.17999999999999972,2.2699,507289.86,408524.419
600100.SH,20200203,7.93,7.99,7.93,7.93,8.81,-0.8800000000000008,-9.9886,635197.3,503817.005
600100.SH,20200123,9.25,9.28,8.76,8.81,9.5,-0.6899999999999995,-7.2632,900189.03,811392.118
600100.SH,20200122,9.2,9.59,9.08,9.5,9.28,0.22000000000000064,2.3707,609725.09,569941.765
600100.SH,20200121,9.31,9.52,9.23,9.28,9.31,-0.030000000000001137,-0.3222,547986.8,514831.747
600100.SH,20200120,9.09,9.35,9.02,9.31,9.11,0.20000000000000107,2.1954,417861.88,385284.969
600100.SH,20200117,9.09,9.19,9.07,9.11,9.06,0.049999999999998934,0.5519,281427.29,256933.896
600100.SH,20200116,9.18,9.26,9.03,9.06,9.21,-0.15000000000000036,-1.6287,390883.07,356691.214
600100.SH,20200115,9.15,9.31,9.12,9.21,9.16,0.05000000000000071,0.5459,289176.8,266694.098
600100.SH,20200114,9.36,9.37,9.13,9.16,9.32,-0.16000000000000014,-1.7167,337823.76,312293.788
600100.SH,20200113,9.13,9.35,9.01,9.32,9.11,0.21000000000000085,2.3052,413890.78,379960.628
600100.SH,20200110,9.38,9.38,9.03,9.11,9.36,-0.25,-2.6709,490032.4,449662.392
600100.SH,20200109,9.35,9.4,9.25,9.36,9.33,0.02999999999999936,0.3215,543425.39,506477.125
600100.SH,20200108,8.99,9.44,8.96,9.33,9.07,0.2599999999999998,2.8666,955033.72,882013.508
600100.SH,20200107,9.03,9.08,8.95,9.07,9.06,0.009999999999999787,0.1104,442094.7,398389.339
600100.SH,20200106,8.85,9.14,8.8,9.06,8.91,0.15000000000000036,1.6835,540407.9,487138.056
600100.SH,20200103,8.92,9.08,8.86,8.91,8.88,0.02999999999999936,0.3378,402105.57,359871.408
600100.SH,20200102,8.96,8.98,8.83,8.88,8.77,0.11000000000000121,1.2543,436691.36,388635.365
600100.SH,20191231,8.69,8.8,8.66,8.77,8.68,0.08999999999999986,1.0369,229806.55,200720.647
600100.SH,20191230,8.63,8.75,8.6,8.68,8.59,0.08999999999999986,1.0477,339219.74,294518.304
600100.SH,20191227,8.69,8.83,8.54,8.59,8.69,-0.09999999999999964,-1.1507,409200.76,355706.954
600100.SH,20191226,8.64,8.72,8.57,8.69,8.66,0.02999999999999936,0.3464,302343.81,261012.52
600100.SH,20191225,8.6,8.71,8.52,8.66,8.62,0.040000000000000924,0.464,387407.65,334585.806
600100.SH,20191224,8.59,8.65,8.53,8.62,8.63,-0.010000000000001563,-0.1159,423074.16,363561.396
600100.SH,20191223,8.87,8.87,8.56,8.63,8.95,-0.3199999999999985,-3.5754,438628.31,382554.223
600100.SH,20191220,9.23,9.26,8.93,8.95,9.22,-0.27000000000000135,-2.9284,545711.08,494222.054
600100.SH,20191219,9.06,9.33,9.05,9.22,9.09,0.13000000000000078,1.4301,483566.48,445580.471
600100.SH,20191218,9.0,9.27,8.96,9.09,9.01,0.08000000000000007,0.8879,787918.64,719847.053
600100.SH,20191217,9.01,9.1,8.96,9.01,9.02,-0.009999999999999787,-0.1109,634990.99,572553.565
600100.SH,20191216,8.91,9.08,8.86,9.02,8.87,0.15000000000000036,1.6911,851558.76,765686.057
