ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600090.SH,20200225,4.42,4.63,4.38,4.6,4.5,0.09999999999999964,2.2222,443701.17,201479.155
600090.SH,20200224,4.46,4.55,4.44,4.5,4.48,0.019999999999999574,0.4464,259148.05,116420.356
600090.SH,20200221,4.46,4.49,4.42,4.48,4.4,0.08000000000000007,1.8182,228310.01,101650.033
600090.SH,20200220,4.35,4.4,4.29,4.4,4.35,0.05000000000000071,1.1494,222844.01,96874.062
600090.SH,20200219,4.49,4.49,4.34,4.35,4.49,-0.14000000000000057,-3.118,235659.3,103885.298
600090.SH,20200218,4.5,4.53,4.43,4.49,4.48,0.009999999999999787,0.2232,193183.1,86574.038
600090.SH,20200217,4.38,4.49,4.36,4.48,4.38,0.10000000000000053,2.2831,200206.9,88986.935
600090.SH,20200214,4.42,4.45,4.35,4.38,4.43,-0.04999999999999982,-1.1287,153748.8,67655.927
600090.SH,20200213,4.51,4.52,4.34,4.43,4.51,-0.08000000000000007,-1.7738,266975.25,117867.126
600090.SH,20200212,4.5,4.54,4.46,4.51,4.5,0.009999999999999787,0.2222,210427.13,94632.486
600090.SH,20200211,4.56,4.57,4.43,4.5,4.59,-0.08999999999999986,-1.9608,288878.7,129305.5
600090.SH,20200210,4.69,4.76,4.51,4.59,4.68,-0.08999999999999986,-1.9231,378926.98,173504.897
600090.SH,20200207,4.82,5.0,4.62,4.68,4.88,-0.20000000000000018,-4.0984,601409.17,287885.127
600090.SH,20200206,4.85,5.19,4.78,4.88,4.92,-0.040000000000000036,-0.813,901021.62,450274.925
600090.SH,20200205,4.48,5.04,4.42,4.92,4.59,0.33000000000000007,7.1895,745900.72,348501.737
600090.SH,20200204,4.5,4.67,4.3,4.59,4.38,0.20999999999999996,4.7945,640952.86,287980.478
600090.SH,20200203,4.0,4.59,3.85,4.38,4.22,0.16000000000000014,3.7915,594163.23,249630.787
600090.SH,20200123,4.3,4.41,4.2,4.22,4.29,-0.07000000000000028,-1.6317,272053.66,116895.304
600090.SH,20200122,4.43,4.43,4.25,4.29,4.42,-0.1299999999999999,-2.9412,316373.44,136370.088
600090.SH,20200121,4.22,4.54,4.22,4.42,4.18,0.2400000000000002,5.7416,548317.4,239161.67
600090.SH,20200120,4.13,4.19,4.11,4.18,4.11,0.0699999999999994,1.7032,133158.29,55444.56
600090.SH,20200117,4.14,4.16,4.1,4.11,4.13,-0.019999999999999574,-0.4843,115965.0,47826.283
600090.SH,20200116,4.2,4.22,4.13,4.13,4.2,-0.07000000000000028,-1.6667,139463.78,58136.486
600090.SH,20200115,4.25,4.25,4.19,4.2,4.25,-0.04999999999999982,-1.1765,142580.0,60021.431
600090.SH,20200114,4.27,4.3,4.24,4.25,4.28,-0.03000000000000025,-0.7009,140612.32,60131.919
600090.SH,20200113,4.26,4.28,4.22,4.28,4.27,0.010000000000000675,0.2342,108967.53,46330.7
600090.SH,20200110,4.32,4.34,4.26,4.27,4.33,-0.0600000000000005,-1.3857,118710.76,50893.965
600090.SH,20200109,4.27,4.34,4.24,4.33,4.24,0.08999999999999986,2.1226,182593.19,78323.915
600090.SH,20200108,4.36,4.36,4.23,4.24,4.36,-0.1200000000000001,-2.7523,190510.67,81762.693
600090.SH,20200107,4.26,4.37,4.26,4.36,4.26,0.10000000000000053,2.3474,220467.17,95503.196
600090.SH,20200106,4.22,4.3,4.2,4.26,4.25,0.009999999999999787,0.2353,177663.88,75625.751
600090.SH,20200103,4.24,4.27,4.21,4.25,4.23,0.019999999999999574,0.4728,132062.8,56008.464
600090.SH,20200102,4.2,4.26,4.18,4.23,4.18,0.05000000000000071,1.1962,174208.01,73568.098
600090.SH,20191231,4.1,4.19,4.09,4.18,4.12,0.05999999999999961,1.4563,177184.37,73679.003
600090.SH,20191230,4.09,4.13,4.06,4.12,4.11,0.009999999999999787,0.2433,106178.51,43467.268
600090.SH,20191227,4.13,4.17,4.1,4.11,4.13,-0.019999999999999574,-0.4843,108685.01,44944.796
600090.SH,20191226,4.12,4.13,4.09,4.13,4.11,0.019999999999999574,0.4866,79524.0,32665.323
600090.SH,20191225,4.16,4.16,4.1,4.11,4.17,-0.05999999999999961,-1.4388,119325.76,49285.699
600090.SH,20191224,4.12,4.18,4.11,4.17,4.14,0.03000000000000025,0.7246,128215.74,53253.831
600090.SH,20191223,4.09,4.23,4.06,4.14,4.1,0.040000000000000036,0.9756,259724.62,107847.646
600090.SH,20191220,4.15,4.16,4.1,4.1,4.14,-0.040000000000000036,-0.9662,126593.23,52222.41
600090.SH,20191219,4.08,4.14,4.06,4.14,4.08,0.05999999999999961,1.4706,169300.31,69470.98
600090.SH,20191218,4.12,4.13,4.08,4.08,4.12,-0.040000000000000036,-0.9709,149201.05,61215.756
600090.SH,20191217,4.05,4.14,4.03,4.12,4.06,0.0600000000000005,1.4778,179697.03,73585.473
