ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600846.SH,20200225,9.17,9.32,8.85,9.27,9.41,-0.14000000000000057,-1.4878,261813.67,240214.743
600846.SH,20200224,9.23,9.47,9.18,9.41,9.33,0.08000000000000007,0.8574,230654.39,214888.319
600846.SH,20200221,9.2,9.44,9.17,9.33,9.25,0.08000000000000007,0.8649,201104.72,187128.867
600846.SH,20200220,9.05,9.29,8.97,9.25,9.03,0.22000000000000064,2.4363,196286.54,179471.338
600846.SH,20200219,9.1,9.22,9.03,9.03,9.14,-0.11000000000000121,-1.2035,161165.5,146943.34
600846.SH,20200218,9.05,9.16,8.99,9.14,9.02,0.120000000000001,1.3304,209125.24,189828.191
600846.SH,20200217,8.8,9.03,8.8,9.02,8.8,0.21999999999999886,2.5,206140.33,184213.221
600846.SH,20200214,8.73,8.87,8.69,8.8,8.78,0.02000000000000135,0.2278,158940.46,139414.945
600846.SH,20200213,8.72,8.94,8.71,8.78,8.78,0.0,0.0,174337.34,153609.754
600846.SH,20200212,8.69,8.82,8.66,8.78,8.67,0.10999999999999943,1.2687,144695.24,126549.639
600846.SH,20200211,8.81,8.81,8.65,8.67,8.88,-0.21000000000000085,-2.3649,162961.61,142036.694
600846.SH,20200210,8.4,8.9,8.33,8.88,8.41,0.47000000000000064,5.5886,281082.29,243189.19
600846.SH,20200207,8.33,8.41,8.22,8.41,8.34,0.07000000000000028,0.8393,182143.02,151424.502
600846.SH,20200206,8.24,8.38,8.14,8.34,8.2,0.14000000000000057,1.7073,174294.89,144161.453
600846.SH,20200205,8.04,8.39,8.0,8.2,8.06,0.1399999999999988,1.737,204339.01,167983.715
600846.SH,20200204,7.49,8.14,7.49,8.06,8.3,-0.2400000000000002,-2.8916,264819.21,210935.353
600846.SH,20200203,8.3,8.3,8.3,8.3,9.22,-0.9199999999999999,-9.9783,24554.0,20379.82
600846.SH,20200123,9.7,9.74,9.1,9.22,9.76,-0.5399999999999991,-5.5328,209319.58,197000.608
600846.SH,20200122,9.65,9.81,9.38,9.76,9.7,0.0600000000000005,0.6186,144041.37,138799.126
600846.SH,20200121,9.81,9.81,9.68,9.7,9.85,-0.15000000000000036,-1.5228,103150.72,100442.088
600846.SH,20200120,9.62,9.88,9.55,9.85,9.61,0.2400000000000002,2.4974,174707.9,170098.465
600846.SH,20200117,9.93,9.94,9.61,9.61,9.84,-0.23000000000000043,-2.3374,186805.24,182296.187
600846.SH,20200116,9.77,9.96,9.73,9.84,9.73,0.10999999999999943,1.1305,208162.03,204514.436
600846.SH,20200115,9.95,10.02,9.63,9.73,9.68,0.05000000000000071,0.5165,262634.91,257210.544
600846.SH,20200114,9.71,9.85,9.6,9.68,9.7,-0.019999999999999574,-0.2062,215943.5,209789.463
600846.SH,20200113,9.47,9.72,9.4,9.7,9.48,0.21999999999999886,2.3207,256794.31,246931.305
600846.SH,20200110,9.36,9.5,9.31,9.48,9.34,0.14000000000000057,1.4989,178253.02,167798.466
600846.SH,20200109,9.32,9.37,9.29,9.34,9.22,0.11999999999999922,1.3015,125928.92,117494.724
600846.SH,20200108,9.45,9.46,9.12,9.22,9.52,-0.29999999999999893,-3.1513,223125.34,207262.989
600846.SH,20200107,9.5,9.58,9.38,9.52,9.54,-0.019999999999999574,-0.2096,172444.97,163229.74
600846.SH,20200106,9.32,9.67,9.29,9.54,9.36,0.17999999999999972,1.9231,261525.84,248213.794
600846.SH,20200103,9.4,9.45,9.31,9.36,9.39,-0.030000000000001137,-0.3195,132167.48,123886.634
600846.SH,20200102,9.33,9.49,9.32,9.39,9.31,0.08000000000000007,0.8593,188087.09,176828.008
600846.SH,20191231,9.21,9.34,9.13,9.31,9.22,0.08999999999999986,0.9761,154891.76,143403.134
600846.SH,20191230,9.04,9.26,9.02,9.22,9.1,0.120000000000001,1.3187,146617.99,134682.282
600846.SH,20191227,9.42,9.42,9.08,9.1,9.42,-0.3200000000000003,-3.397,268211.79,247576.075
600846.SH,20191226,9.34,9.42,9.23,9.42,9.38,0.03999999999999915,0.4264,217328.57,203198.79
600846.SH,20191225,9.41,9.46,9.28,9.38,9.5,-0.11999999999999922,-1.2632,222337.4,208257.54
600846.SH,20191224,9.26,9.5,9.14,9.5,9.11,0.39000000000000057,4.281,312957.61,293559.102
600846.SH,20191223,9.13,9.44,9.08,9.11,9.09,0.019999999999999574,0.22,255199.98,236912.885
600846.SH,20191220,9.29,9.33,9.09,9.09,9.28,-0.1899999999999995,-2.0474,170717.06,156907.031
600846.SH,20191219,9.23,9.38,9.17,9.28,9.2,0.08000000000000007,0.8696,183085.48,169921.041
600846.SH,20191218,9.19,9.34,9.15,9.2,9.2,0.0,0.0,206485.87,190804.748
600846.SH,20191217,9.15,9.29,9.05,9.2,9.1,0.09999999999999964,1.0989,292923.07,269349.24
600846.SH,20191216,8.81,9.17,8.77,9.1,8.78,0.3200000000000003,3.6446,285046.4,256611.2
600846.SH,20191213,8.68,8.78,8.67,8.78,8.63,0.14999999999999858,1.7381,102992.15,89897.977
600846.SH,20191212,8.65,8.73,8.61,8.63,8.68,-0.049999999999998934,-0.576,99443.49,86222.899
600846.SH,20191211,8.83,8.85,8.66,8.68,8.86,-0.17999999999999972,-2.0316,127418.56,111721.784
600846.SH,20191210,8.87,8.91,8.78,8.86,8.9,-0.040000000000000924,-0.4494,142319.37,125646.242
600846.SH,20191209,8.71,8.9,8.68,8.9,8.73,0.16999999999999993,1.9473,204360.08,180413.578
600846.SH,20191206,8.81,8.82,8.63,8.73,8.82,-0.08999999999999986,-1.0204,140012.79,121780.58
600846.SH,20191205,8.79,8.84,8.74,8.82,8.78,0.040000000000000924,0.4556,138017.36,121238.657
600846.SH,20191204,8.75,8.84,8.73,8.78,8.85,-0.07000000000000028,-0.791,122819.44,107790.215
600846.SH,20191203,8.61,8.88,8.54,8.85,8.66,0.1899999999999995,2.194,226616.8,198665.92
600846.SH,20191202,8.66,8.81,8.58,8.66,8.65,0.009999999999999787,0.1156,135762.86,117680.771
600846.SH,20191129,8.47,8.67,8.44,8.65,8.48,0.16999999999999993,2.0047,121560.03,104423.835
600846.SH,20191128,8.49,8.63,8.41,8.48,8.5,-0.019999999999999574,-0.2353,96976.84,82762.643
600846.SH,20191127,8.39,8.55,8.36,8.5,8.39,0.10999999999999943,1.3111,90344.98,76607.309
600846.SH,20191126,8.46,8.48,8.34,8.39,8.46,-0.07000000000000028,-0.8274,57655.11,48361.269
600846.SH,20191125,8.44,8.54,8.3,8.46,8.44,0.02000000000000135,0.237,85001.28,71587.595
600846.SH,20191122,8.58,8.73,8.38,8.44,8.58,-0.14000000000000057,-1.6317,126886.34,108728.458
600846.SH,20191121,8.55,8.66,8.5,8.58,8.59,-0.009999999999999787,-0.1164,84482.03,72474.512
600846.SH,20191120,8.66,8.66,8.53,8.59,8.64,-0.05000000000000071,-0.5787,98893.07,84737.043
