ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300033.SZ,20200225,141.0,147.0,133.9,146.0,147.32,-1.3199999999999932,-0.896,249174.1,3530610.812
300033.SZ,20200224,144.0,149.8,142.94,147.32,146.97,0.3499999999999943,0.2381,220327.02,3232074.159
300033.SZ,20200221,140.0,146.97,138.0,146.97,133.61,13.359999999999985,9.9993,264285.37,3810602.061
300033.SZ,20200220,121.58,133.61,120.46,133.61,121.46,12.15000000000002,10.0033,173385.53,2218478.9
300033.SZ,20200219,122.0,126.8,121.0,121.46,123.15,-1.690000000000012,-1.3723,150526.19,1863944.295
300033.SZ,20200218,125.0,127.5,121.66,123.15,127.54,-4.390000000000001,-3.4421,151498.4,1874963.848
300033.SZ,20200217,121.44,130.0,118.98,127.54,118.9,8.64,7.2666,229890.09,2826964.55
300033.SZ,20200214,109.21,121.0,109.0,118.9,110.0,8.900000000000006,8.0909,257400.94,3038076.936
300033.SZ,20200213,109.55,112.08,106.33,110.0,109.59,0.4099999999999966,0.3741,137340.3,1505199.102
300033.SZ,20200212,103.55,111.8,103.01,109.59,104.0,5.590000000000003,5.375,175398.15,1889749.525
300033.SZ,20200211,105.33,106.4,103.88,104.0,104.78,-0.7800000000000011,-0.7444,73132.82,766705.252
300033.SZ,20200210,103.48,106.71,103.25,104.78,104.69,0.09000000000000341,0.086,100700.57,1057247.811
300033.SZ,20200207,102.2,106.5,102.15,104.69,103.72,0.9699999999999989,0.9352,103856.05,1081001.534
300033.SZ,20200206,99.0,105.1,98.31,103.72,99.6,4.1200000000000045,4.1365,156863.78,1598861.202
300033.SZ,20200205,98.48,104.11,97.19,99.6,97.73,1.8699999999999903,1.9134,134804.99,1353942.387
300033.SZ,20200204,91.0,99.66,91.0,97.73,98.15,-0.4200000000000017,-0.4279,173841.85,1678256.33
300033.SZ,20200203,98.15,98.15,98.15,98.15,109.05,-10.899999999999991,-9.9954,20768.0,203837.92
300033.SZ,20200123,110.99,113.88,106.88,109.05,111.69,-2.6400000000000006,-2.3637,117571.54,1299816.346
300033.SZ,20200122,108.16,112.44,106.04,111.69,109.34,2.3499999999999943,2.1493,111384.13,1216178.417
300033.SZ,20200121,112.0,112.4,108.86,109.34,112.42,-3.0799999999999983,-2.7397,83287.02,919272.844
300033.SZ,20200120,110.73,113.0,108.98,112.42,110.69,1.730000000000004,1.5629,82451.74,919939.838
300033.SZ,20200117,109.89,112.78,109.5,110.69,108.96,1.730000000000004,1.5877,98284.03,1091597.701
300033.SZ,20200116,109.99,110.5,108.6,108.96,109.82,-0.8599999999999994,-0.7831,54663.84,597148.082
300033.SZ,20200115,110.45,111.32,108.34,109.82,110.85,-1.0300000000000011,-0.9292,93614.88,1025209.204
300033.SZ,20200114,113.9,114.5,110.41,110.85,113.42,-2.5700000000000074,-2.2659,93761.19,1051824.463
