ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002971.SZ,20200225,28.6,28.6,26.4,28.05,29.31,-1.259999999999998,-4.2989,83284.89,232441.808
002971.SZ,20200224,28.7,29.77,28.54,29.31,28.44,0.8699999999999974,3.0591,87659.37,256121.681
002971.SZ,20200221,28.35,28.7,27.75,28.44,28.39,0.05000000000000071,0.1761,65443.18,185269.539
002971.SZ,20200220,28.67,29.24,28.2,28.39,29.09,-0.6999999999999993,-2.4063,77975.21,222829.258
002971.SZ,20200219,30.39,30.42,28.95,29.09,30.36,-1.2699999999999996,-4.1831,87641.25,259186.488
002971.SZ,20200218,29.16,30.38,28.51,30.36,29.25,1.1099999999999994,3.7949,132537.17,392038.251
002971.SZ,20200217,29.28,29.91,29.14,29.25,29.11,0.14000000000000057,0.4809,85774.02,251716.85
002971.SZ,20200214,30.77,31.25,29.1,29.11,30.98,-1.870000000000001,-6.0362,125702.09,376009.887
002971.SZ,20200213,30.3,32.12,30.01,30.98,30.65,0.33000000000000185,1.0767,128478.35,399529.741
002971.SZ,20200212,29.43,31.19,29.43,30.65,32.7,-2.0500000000000043,-6.2691,172658.86,522652.746
002971.SZ,20200211,34.12,36.98,32.36,32.7,34.12,-1.4199999999999946,-4.1618,248633.82,871341.372
002971.SZ,20200210,34.12,34.12,33.0,34.12,31.02,3.099999999999998,9.9936,151076.55,513499.661
002971.SZ,20200207,29.0,31.29,28.28,31.02,29.86,1.1600000000000001,3.8848,188624.46,568133.9
002971.SZ,20200206,29.15,31.35,29.15,29.86,29.72,0.14000000000000057,0.4711,189464.17,573558.203
002971.SZ,20200205,28.78,32.35,28.73,29.72,29.62,0.09999999999999787,0.3376,208042.29,627757.929
002971.SZ,20200204,24.99,29.62,24.24,29.62,26.93,2.6900000000000013,9.9889,215567.89,577694.24
002971.SZ,20200203,26.01,27.57,23.04,26.93,25.27,1.6600000000000001,6.5691,204344.96,535409.655
002971.SZ,20200123,23.97,26.7,23.8,25.27,25.26,0.00999999999999801,0.0396,172540.23,434336.81
002971.SZ,20200122,27.46,27.46,24.84,25.26,27.6,-2.34,-8.4783,178961.91,454078.098
002971.SZ,20200121,27.6,27.6,27.6,27.6,25.09,2.5100000000000016,10.004,2303.52,6357.715
002971.SZ,20200120,25.09,25.09,25.09,25.09,22.81,2.280000000000001,9.9956,1991.04,4995.519
002971.SZ,20200117,22.81,22.81,22.81,22.81,20.74,2.0700000000000003,9.9807,3057.04,6973.108
002971.SZ,20200116,20.74,20.74,20.74,20.74,18.85,1.889999999999997,10.0265,844.03,1750.518
002971.SZ,20200115,18.85,18.85,18.85,18.85,17.14,1.7100000000000009,9.9767,590.03,1112.206
002971.SZ,20200114,17.14,17.14,17.14,17.14,15.58,1.5600000000000005,10.0128,384.57,659.152
002971.SZ,20200113,12.98,15.58,12.98,15.58,10.82,4.76,43.9926,1540.21,2398.737
