ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600146.SH,20200225,12.85,14.3,12.82,14.18,13.21,0.9699999999999989,7.3429,195752.46,265324.433
600146.SH,20200224,12.81,13.35,12.58,13.21,12.75,0.46000000000000085,3.6078,115913.31,150468.46
600146.SH,20200221,12.19,13.4,12.01,12.75,12.24,0.5099999999999998,4.1667,155155.34,198608.663
600146.SH,20200220,11.84,12.46,11.82,12.24,11.91,0.33000000000000007,2.7708,95062.04,115839.594
600146.SH,20200219,12.01,12.2,11.82,11.91,12.12,-0.20999999999999908,-1.7327,92704.97,111075.79
600146.SH,20200218,11.67,12.19,11.63,12.12,11.68,0.4399999999999995,3.7671,137728.61,164470.965
600146.SH,20200217,11.0,11.82,10.87,11.68,10.87,0.8100000000000005,7.4517,154644.61,178074.005
600146.SH,20200214,11.03,11.2,10.79,10.87,11.03,-0.16000000000000014,-1.4506,81739.33,89645.845
600146.SH,20200213,11.4,11.46,10.91,11.03,11.25,-0.22000000000000064,-1.9556,92429.74,102827.206
600146.SH,20200212,11.05,11.36,11.05,11.25,11.19,0.0600000000000005,0.5362,82596.15,92855.78
600146.SH,20200211,11.68,11.68,10.99,11.19,11.55,-0.3600000000000012,-3.1169,96356.0,107927.527
600146.SH,20200210,11.25,11.6,11.1,11.55,11.14,0.41000000000000014,3.6804,111167.14,126355.106
600146.SH,20200207,11.42,11.7,10.9,11.14,11.27,-0.129999999999999,-1.1535,100280.63,112602.472
600146.SH,20200206,11.32,11.64,11.07,11.27,11.15,0.11999999999999922,1.0762,108680.54,123505.226
600146.SH,20200205,10.32,11.32,10.32,11.15,10.3,0.8499999999999996,8.2524,155893.56,170699.488
600146.SH,20200204,10.3,10.96,10.3,10.3,11.44,-1.1399999999999988,-9.965,192569.88,201658.132
600146.SH,20200203,11.44,11.44,11.44,11.44,12.71,-1.2700000000000014,-9.9921,11678.0,13359.632
600146.SH,20200123,13.51,13.94,12.36,12.71,13.73,-1.0199999999999996,-7.429,135476.7,174715.931
600146.SH,20200122,14.31,14.35,13.11,13.73,14.32,-0.5899999999999999,-4.1201,94877.29,130504.997
600146.SH,20200121,15.11,15.11,14.3,14.32,14.92,-0.5999999999999996,-4.0214,72366.05,105613.886
600146.SH,20200120,14.65,15.15,14.5,14.92,14.29,0.6300000000000008,4.4087,101143.33,150813.063
600146.SH,20200117,14.37,14.69,14.28,14.29,14.41,-0.120000000000001,-0.8328,66845.74,96819.083
