ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000918.SZ,20200225,4.93,5.0,4.68,4.92,4.99,-0.07000000000000028,-1.4028,159950.32,77494.61
000918.SZ,20200224,5.06,5.09,4.96,4.99,5.09,-0.09999999999999964,-1.9646,104141.0,52037.473
000918.SZ,20200221,5.13,5.14,5.06,5.09,5.14,-0.04999999999999982,-0.9728,104037.95,52972.069
000918.SZ,20200220,5.11,5.15,5.05,5.14,5.09,0.04999999999999982,0.9823,92601.5,47306.157
000918.SZ,20200219,5.12,5.17,5.09,5.09,5.14,-0.04999999999999982,-0.9728,82322.02,42215.753
000918.SZ,20200218,5.08,5.18,5.05,5.14,5.09,0.04999999999999982,0.9823,85719.17,43749.541
000918.SZ,20200217,4.99,5.13,4.98,5.09,4.97,0.1200000000000001,2.4145,87115.15,44261.003
000918.SZ,20200214,4.95,5.0,4.92,4.97,4.97,0.0,0.0,42459.25,21059.504
000918.SZ,20200213,5.03,5.08,4.92,4.97,5.04,-0.07000000000000028,-1.3889,54441.25,27285.734
000918.SZ,20200212,5.04,5.06,4.98,5.04,4.99,0.04999999999999982,1.002,48336.02,24309.578
000918.SZ,20200211,4.98,5.15,4.96,4.99,4.96,0.03000000000000025,0.6048,65207.72,32885.093
000918.SZ,20200210,4.88,4.99,4.83,4.96,4.89,0.07000000000000028,1.4315,75415.5,37191.738
000918.SZ,20200207,4.81,4.98,4.76,4.89,4.78,0.10999999999999943,2.3013,94961.1,46267.022
000918.SZ,20200206,4.75,4.84,4.67,4.78,4.75,0.03000000000000025,0.6316,97349.86,46089.455
000918.SZ,20200205,4.8,4.88,4.73,4.75,4.77,-0.019999999999999574,-0.4193,94077.22,45307.187
000918.SZ,20200204,4.65,4.99,4.65,4.77,5.17,-0.40000000000000036,-7.7369,130394.58,62825.786
000918.SZ,20200203,5.17,5.17,5.17,5.17,5.74,-0.5700000000000003,-9.9303,17292.0,8939.964
000918.SZ,20200123,5.84,5.84,5.62,5.74,5.85,-0.10999999999999943,-1.8803,52715.01,30286.625
000918.SZ,20200122,5.77,5.91,5.65,5.85,5.76,0.08999999999999986,1.5625,54181.34,31324.741
000918.SZ,20200121,5.9,5.9,5.73,5.76,5.85,-0.08999999999999986,-1.5385,58306.0,33715.522
000918.SZ,20200120,5.69,5.88,5.59,5.85,5.69,0.15999999999999925,2.812,83801.49,48516.722
000918.SZ,20200117,5.82,5.86,5.69,5.69,5.82,-0.1299999999999999,-2.2337,76069.61,43810.819
000918.SZ,20200116,5.91,5.95,5.82,5.82,5.91,-0.08999999999999986,-1.5228,50921.61,29913.098
000918.SZ,20200115,6.0,6.01,5.9,5.91,6.0,-0.08999999999999986,-1.5,56319.01,33422.703
000918.SZ,20200114,6.03,6.06,5.98,6.0,6.01,-0.009999999999999787,-0.1664,58154.77,34989.465
000918.SZ,20200113,6.01,6.03,5.92,6.01,6.01,0.0,0.0,50809.89,30330.208
000918.SZ,20200110,6.08,6.08,6.0,6.01,6.04,-0.03000000000000025,-0.4967,46325.14,27903.334
000918.SZ,20200109,6.04,6.09,6.02,6.04,6.02,0.020000000000000462,0.3322,51553.56,31188.181
000918.SZ,20200108,6.1,6.12,6.0,6.02,6.12,-0.10000000000000053,-1.634,64882.18,39289.403
000918.SZ,20200107,6.12,6.15,6.07,6.12,6.07,0.04999999999999982,0.8237,60038.01,36665.133
000918.SZ,20200106,6.05,6.1,5.98,6.07,6.05,0.020000000000000462,0.3306,67836.94,40991.305
000918.SZ,20200103,6.03,6.12,6.02,6.05,6.02,0.03000000000000025,0.4983,64716.44,39222.795
000918.SZ,20200102,5.98,6.06,5.97,6.02,5.97,0.04999999999999982,0.8375,76446.92,46064.496
000918.SZ,20191231,5.98,6.03,5.85,5.97,5.96,0.009999999999999787,0.1678,106245.43,63054.701
