ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002969.SZ,20200225,9.22,9.28,8.92,9.2,9.54,-0.33999999999999986,-3.5639,107495.07,98422.051
002969.SZ,20200224,9.6,9.62,9.38,9.54,9.66,-0.120000000000001,-1.2422,79632.24,75629.289
002969.SZ,20200221,9.52,9.8,9.52,9.66,9.52,0.14000000000000057,1.4706,91847.81,88908.998
002969.SZ,20200220,9.42,9.54,9.35,9.52,9.46,0.05999999999999872,0.6342,77864.95,73716.044
002969.SZ,20200219,9.72,9.78,9.46,9.46,9.63,-0.16999999999999993,-1.7653,93677.06,89625.675
002969.SZ,20200218,9.36,9.8,9.34,9.63,9.33,0.3000000000000007,3.2154,124531.54,119769.453
002969.SZ,20200217,9.1,9.35,9.07,9.33,9.08,0.25,2.7533,93625.02,86821.554
002969.SZ,20200214,9.19,9.2,8.24,9.08,9.15,-0.07000000000000028,-0.765,91044.33,81562.968
002969.SZ,20200213,9.3,9.34,9.14,9.15,9.29,-0.1399999999999988,-1.507,88889.0,81925.574
002969.SZ,20200212,9.23,9.35,9.13,9.29,9.23,0.05999999999999872,0.6501,81584.07,75511.336
002969.SZ,20200211,9.27,9.59,9.01,9.23,9.22,0.009999999999999787,0.1085,118476.21,109726.886
002969.SZ,20200210,8.77,9.3,8.77,9.22,8.9,0.3200000000000003,3.5955,115155.36,105099.424
002969.SZ,20200207,8.77,9.09,8.7,8.9,8.94,-0.03999999999999915,-0.4474,130671.14,115711.226
002969.SZ,20200206,8.5,9.26,8.4,8.94,8.43,0.5099999999999998,6.0498,150499.57,130599.066
002969.SZ,20200205,8.26,8.68,8.26,8.43,8.24,0.1899999999999995,2.3058,121017.47,102695.209
002969.SZ,20200204,7.91,8.5,7.91,8.24,8.71,-0.47000000000000064,-5.3961,143771.82,118926.016
002969.SZ,20200203,8.71,8.71,8.71,8.71,9.68,-0.9699999999999989,-10.0207,12260.0,10678.46
002969.SZ,20200123,10.11,10.36,9.53,9.68,10.26,-0.5800000000000001,-5.653,121948.41,121090.99
002969.SZ,20200122,10.31,10.41,10.07,10.26,10.55,-0.2900000000000009,-2.7488,120088.81,123314.409
