ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600678.SH,20200225,7.25,7.39,6.98,7.29,7.57,-0.28000000000000025,-3.6988,328383.31,237933.253
600678.SH,20200224,7.54,7.62,7.37,7.57,7.41,0.16000000000000014,2.1592,353473.17,264980.259
600678.SH,20200221,7.39,7.58,7.22,7.41,7.37,0.040000000000000036,0.5427,327764.28,242412.925
600678.SH,20200220,7.3,7.43,7.16,7.37,7.46,-0.08999999999999986,-1.2064,332167.62,242256.0
600678.SH,20200219,7.25,7.82,7.2,7.46,7.33,0.1299999999999999,1.7735,466614.54,351711.764
600678.SH,20200218,7.41,7.5,7.23,7.33,7.51,-0.17999999999999972,-2.3968,324242.01,237566.157
600678.SH,20200217,7.29,7.56,7.18,7.51,7.38,0.1299999999999999,1.7615,410907.96,302728.783
600678.SH,20200214,6.91,7.52,6.8,7.38,7.02,0.3600000000000003,5.1282,506078.19,361313.051
600678.SH,20200213,6.65,7.2,6.58,7.02,6.7,0.3199999999999994,4.7761,418371.85,292030.095
600678.SH,20200212,6.25,6.88,6.25,6.7,6.57,0.1299999999999999,1.9787,325950.6,216661.897
600678.SH,20200211,7.1,7.18,6.54,6.57,6.57,0.0,0.0,491884.19,336883.076
600678.SH,20200210,5.9,6.57,5.9,6.57,5.97,0.6000000000000005,10.0503,204400.06,128926.032
600678.SH,20200207,5.92,6.06,5.82,5.97,5.98,-0.010000000000000675,-0.1672,154533.01,91727.203
600678.SH,20200206,6.09,6.11,5.86,5.98,5.94,0.040000000000000036,0.6734,188701.73,112403.772
600678.SH,20200205,5.65,6.05,5.65,5.94,5.65,0.29000000000000004,5.1327,214330.39,126611.516
600678.SH,20200204,5.27,5.85,5.27,5.65,5.85,-0.1999999999999993,-3.4188,235813.15,130305.616
600678.SH,20200203,5.85,5.85,5.85,5.85,6.5,-0.6500000000000004,-10.0,14255.0,8339.175
600678.SH,20200123,6.74,6.85,6.37,6.5,6.79,-0.29000000000000004,-4.271,188075.56,123757.816
600678.SH,20200122,6.89,6.97,6.6,6.79,6.93,-0.13999999999999968,-2.0202,173389.02,118477.57
600678.SH,20200121,7.58,7.58,6.85,6.93,7.58,-0.6500000000000004,-8.5752,314020.9,225885.095
600678.SH,20200120,7.5,7.67,7.46,7.58,7.55,0.03000000000000025,0.3974,153696.74,116343.138
600678.SH,20200117,7.54,7.72,7.45,7.55,7.58,-0.03000000000000025,-0.3958,187717.7,142259.572
600678.SH,20200116,7.64,7.74,7.54,7.58,7.61,-0.03000000000000025,-0.3942,176982.09,135153.831
600678.SH,20200115,7.56,7.75,7.45,7.61,7.69,-0.08000000000000007,-1.0403,213683.94,162014.348
600678.SH,20200114,7.67,7.86,7.48,7.69,7.6,0.09000000000000075,1.1842,321109.52,246054.026
600678.SH,20200113,7.61,7.66,7.38,7.6,7.76,-0.16000000000000014,-2.0619,283043.69,213300.817
600678.SH,20200110,7.83,7.97,7.4,7.76,7.73,0.02999999999999936,0.3881,406340.47,312057.318
