ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000518.SZ,20200225,5.83,6.28,5.72,6.28,5.71,0.5700000000000003,9.9825,1177695.19,725978.292
000518.SZ,20200224,5.7,5.85,5.61,5.71,5.55,0.16000000000000014,2.8829,752632.6,430620.518
000518.SZ,20200221,5.45,5.68,5.35,5.55,5.41,0.13999999999999968,2.5878,730183.23,403608.518
000518.SZ,20200220,5.61,5.63,5.19,5.41,5.62,-0.20999999999999996,-3.7367,739828.88,397739.785
000518.SZ,20200219,5.86,5.9,5.58,5.62,5.84,-0.21999999999999975,-3.7671,632600.99,359638.424
000518.SZ,20200218,5.79,5.9,5.71,5.84,5.76,0.08000000000000007,1.3889,675677.28,392309.983
000518.SZ,20200217,5.69,5.79,5.58,5.76,5.73,0.02999999999999936,0.5236,668679.81,382355.194
000518.SZ,20200214,5.95,6.24,5.52,5.73,6.04,-0.3099999999999996,-5.1325,984518.17,573636.971
000518.SZ,20200213,6.37,6.45,6.03,6.04,6.7,-0.6600000000000001,-9.8507,1260476.57,775499.521
000518.SZ,20200212,5.83,6.88,5.83,6.7,6.36,0.33999999999999986,5.3459,1445185.97,918405.755
000518.SZ,20200211,6.36,6.36,6.36,6.36,7.07,-0.71,-10.0424,106894.0,67984.584
000518.SZ,20200210,7.4,7.44,7.07,7.07,7.86,-0.79,-10.0509,280932.0,201763.816
000518.SZ,20200207,8.61,8.83,7.6,7.86,8.03,-0.16999999999999904,-2.1171,1809003.73,1515269.969
000518.SZ,20200206,7.5,8.03,7.19,8.03,7.3,0.7299999999999995,10.0,848757.65,665825.243
000518.SZ,20200205,6.72,7.3,6.22,7.3,6.64,0.6600000000000001,9.9398,1344688.41,950615.023
000518.SZ,20200204,6.64,6.64,6.3,6.64,6.04,0.5999999999999996,9.9338,1113286.22,726335.037
000518.SZ,20200203,6.04,6.04,5.6,6.04,5.49,0.5499999999999998,10.0182,407262.23,243351.798
000518.SZ,20200123,4.74,5.49,4.74,5.49,4.99,0.5,10.02,1521817.5,789975.443
000518.SZ,20200122,4.99,4.99,4.57,4.99,4.54,0.4500000000000002,9.9119,1380757.04,682389.26
000518.SZ,20200121,4.54,4.54,4.54,4.54,4.13,0.41000000000000014,9.9274,64657.26,29354.396
000518.SZ,20200120,4.13,4.13,4.13,4.13,3.75,0.3799999999999999,10.1333,120409.52,49729.131
000518.SZ,20200117,3.57,3.85,3.57,3.75,3.54,0.20999999999999996,5.9322,398179.44,147643.081
000518.SZ,20200116,3.6,3.64,3.53,3.54,3.6,-0.06000000000000005,-1.6667,100992.66,36147.472
000518.SZ,20200115,3.61,3.69,3.57,3.6,3.65,-0.04999999999999982,-1.3699,127564.72,46141.649
000518.SZ,20200114,3.56,3.72,3.52,3.65,3.55,0.10000000000000009,2.8169,245181.09,88764.247
000518.SZ,20200113,3.51,3.55,3.51,3.55,3.5,0.04999999999999982,1.4286,84814.21,29951.144
000518.SZ,20200110,3.55,3.56,3.47,3.5,3.55,-0.04999999999999982,-1.4085,97860.0,34293.571
000518.SZ,20200109,3.58,3.6,3.53,3.55,3.53,0.020000000000000018,0.5666,115999.14,41217.586
000518.SZ,20200108,3.59,3.6,3.52,3.53,3.62,-0.0900000000000003,-2.4862,162563.3,57610.0
000518.SZ,20200107,3.6,3.63,3.55,3.62,3.65,-0.029999999999999805,-0.8219,203583.67,73078.842
000518.SZ,20200106,3.58,3.79,3.57,3.65,3.6,0.04999999999999982,1.3889,324798.14,119321.301
000518.SZ,20200103,3.62,3.68,3.58,3.6,3.72,-0.1200000000000001,-3.2258,306609.62,110891.07
000518.SZ,20200102,3.57,3.87,3.46,3.72,3.63,0.0900000000000003,2.4793,636417.22,231183.09
000518.SZ,20191231,3.33,3.63,3.32,3.63,3.3,0.33000000000000007,10.0,469345.0,166090.288
000518.SZ,20191230,3.29,3.3,3.24,3.3,3.3,0.0,0.0,47766.0,15643.967
000518.SZ,20191227,3.3,3.33,3.3,3.3,3.31,-0.010000000000000231,-0.3021,54945.0,18219.084
000518.SZ,20191226,3.32,3.33,3.29,3.31,3.32,-0.009999999999999787,-0.3012,57337.14,18938.027
000518.SZ,20191225,3.32,3.33,3.29,3.32,3.32,0.0,0.0,52642.01,17420.835
000518.SZ,20191224,3.3,3.33,3.29,3.32,3.3,0.020000000000000018,0.6061,46774.1,15514.873
000518.SZ,20191223,3.32,3.34,3.3,3.3,3.35,-0.050000000000000266,-1.4925,66061.77,21887.713
000518.SZ,20191220,3.38,3.45,3.34,3.35,3.39,-0.040000000000000036,-1.1799,116888.97,39640.191
000518.SZ,20191219,3.35,3.39,3.33,3.39,3.35,0.040000000000000036,1.194,109094.01,36663.161
000518.SZ,20191218,3.36,3.39,3.34,3.35,3.37,-0.020000000000000018,-0.5935,72351.04,24304.451
000518.SZ,20191217,3.34,3.39,3.33,3.37,3.33,0.040000000000000036,1.2012,98995.81,33213.718
