ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600766.SH,20200225,8.38,9.07,8.2,8.57,8.62,-0.049999999999998934,-0.58,387896.41,333533.155
600766.SH,20200224,8.9,8.9,8.52,8.62,8.52,0.09999999999999964,1.1737,310408.32,270091.601
600766.SH,20200221,8.29,8.75,8.23,8.52,8.18,0.33999999999999986,4.1565,306512.29,259851.59
600766.SH,20200220,8.1,8.28,8.08,8.18,8.27,-0.08999999999999986,-1.0883,210836.63,172514.139
600766.SH,20200219,8.22,8.42,8.02,8.27,8.0,0.2699999999999996,3.375,308992.41,253897.407
600766.SH,20200218,7.97,8.17,7.87,8.0,7.9,0.09999999999999964,1.2658,231844.29,186328.882
600766.SH,20200217,7.79,7.94,7.7,7.9,7.77,0.13000000000000078,1.6731,165741.98,130207.653
600766.SH,20200214,7.66,7.93,7.65,7.77,7.84,-0.07000000000000028,-0.8929,182845.32,142085.141
600766.SH,20200213,7.47,7.86,7.44,7.84,7.46,0.3799999999999999,5.0938,247121.35,190318.536
600766.SH,20200212,7.33,7.49,7.27,7.46,7.4,0.05999999999999961,0.8108,116809.68,86584.769
600766.SH,20200211,7.45,7.62,7.35,7.4,7.59,-0.1899999999999995,-2.5033,139534.85,104168.41
600766.SH,20200210,7.32,7.77,7.16,7.59,7.34,0.25,3.406,205314.32,153662.322
600766.SH,20200207,7.2,7.5,7.2,7.34,7.27,0.07000000000000028,0.9629,160094.52,117642.128
600766.SH,20200206,7.15,7.34,7.08,7.27,7.24,0.02999999999999936,0.4144,146217.2,105739.157
600766.SH,20200205,6.85,7.45,6.85,7.24,6.96,0.28000000000000025,4.023,175076.88,125241.403
600766.SH,20200204,6.75,7.04,6.75,6.96,6.83,0.1299999999999999,1.9034,116896.57,81210.869
600766.SH,20200203,6.76,7.45,6.74,6.83,7.49,-0.6600000000000001,-8.8117,179210.44,125703.898
600766.SH,20200123,7.7,7.79,7.26,7.49,7.72,-0.22999999999999954,-2.9793,86169.77,65407.504
600766.SH,20200122,7.9,7.95,7.63,7.72,8.12,-0.39999999999999947,-4.9261,119841.95,92854.631
600766.SH,20200121,7.96,8.2,7.91,8.12,7.91,0.20999999999999908,2.6549,163409.35,132129.936
600766.SH,20200120,7.95,7.95,7.77,7.91,7.98,-0.07000000000000028,-0.8772,74503.43,58488.611
600766.SH,20200117,7.93,8.02,7.84,7.98,7.94,0.040000000000000036,0.5038,96620.43,76635.011
600766.SH,20200116,8.14,8.15,7.92,7.94,8.08,-0.13999999999999968,-1.7327,114791.45,91874.924
600766.SH,20200115,8.17,8.21,8.06,8.08,8.22,-0.14000000000000057,-1.7032,94275.49,76608.339
600766.SH,20200114,8.05,8.23,8.0,8.22,8.17,0.05000000000000071,0.612,128385.78,104611.471
600766.SH,20200113,8.25,8.25,8.06,8.17,8.28,-0.10999999999999943,-1.3285,125693.79,102283.912
600766.SH,20200110,8.4,8.49,8.18,8.28,8.6,-0.3200000000000003,-3.7209,192003.96,159175.986
600766.SH,20200109,8.39,8.72,8.38,8.6,9.2,-0.5999999999999996,-6.5217,319914.69,272844.949
600766.SH,20200108,8.88,9.2,8.56,9.2,8.36,0.8399999999999999,10.0478,473206.67,421125.197
600766.SH,20200107,8.24,8.49,8.21,8.36,8.58,-0.22000000000000064,-2.5641,229972.82,191530.102
600766.SH,20200106,8.18,8.58,8.03,8.58,7.8,0.7800000000000002,10.0,387176.02,320245.846
600766.SH,20200103,7.61,7.94,7.53,7.8,7.53,0.2699999999999996,3.5857,215062.89,166940.39
600766.SH,20200102,7.43,7.55,7.39,7.53,7.45,0.08000000000000007,1.0738,83411.55,62547.879
600766.SH,20191231,7.37,7.47,7.35,7.45,7.36,0.08999999999999986,1.2228,72824.33,54107.592
600766.SH,20191230,7.4,7.49,7.26,7.36,7.46,-0.09999999999999964,-1.3405,85515.0,62849.95
600766.SH,20191227,7.47,7.67,7.44,7.46,7.45,0.009999999999999787,0.1342,113309.12,85469.987
600766.SH,20191226,7.36,7.51,7.35,7.45,7.44,0.009999999999999787,0.1344,75832.0,56451.422
600766.SH,20191225,7.52,7.55,7.39,7.44,7.43,0.010000000000000675,0.1346,89921.0,67118.81
600766.SH,20191224,7.38,7.49,7.3,7.43,7.4,0.02999999999999936,0.4054,70318.01,52189.239
600766.SH,20191223,7.58,7.64,7.36,7.4,7.6,-0.1999999999999993,-2.6316,90554.01,67704.068
600766.SH,20191220,7.56,7.72,7.49,7.6,7.6,0.0,0.0,99538.01,75954.789
600766.SH,20191219,7.58,7.75,7.53,7.6,7.71,-0.11000000000000032,-1.4267,112663.1,85997.591
600766.SH,20191218,7.48,7.78,7.44,7.71,7.57,0.13999999999999968,1.8494,174152.25,132966.733
600766.SH,20191217,7.26,7.58,7.24,7.57,7.26,0.3100000000000005,4.27,143837.75,106473.055
600766.SH,20191216,7.2,7.27,7.16,7.26,7.23,0.02999999999999936,0.4149,67333.98,48699.731
600766.SH,20191213,7.16,7.25,7.12,7.23,7.32,-0.08999999999999986,-1.2295,83746.65,60330.232
600766.SH,20191212,7.35,7.48,7.21,7.32,7.35,-0.02999999999999936,-0.4082,116774.24,85393.127
600766.SH,20191211,7.15,7.35,7.15,7.35,7.2,0.14999999999999947,2.0833,111356.24,81047.107
600766.SH,20191210,7.16,7.25,7.1,7.2,7.14,0.0600000000000005,0.8403,69288.0,49700.434
600766.SH,20191209,7.07,7.2,7.05,7.14,7.18,-0.040000000000000036,-0.5571,53499.0,38143.492
600766.SH,20191206,7.13,7.27,7.12,7.18,7.15,0.02999999999999936,0.4196,70844.93,50951.417
600766.SH,20191205,7.1,7.16,7.04,7.15,7.19,-0.040000000000000036,-0.5563,79247.44,56326.805
600766.SH,20191204,7.08,7.26,7.06,7.19,6.97,0.22000000000000064,3.1564,131088.93,94076.082
600766.SH,20191203,6.99,7.08,6.95,6.97,6.92,0.04999999999999982,0.7225,37862.0,26440.408
600766.SH,20191202,6.92,6.97,6.89,6.92,6.94,-0.020000000000000462,-0.2882,31537.0,21860.434
600766.SH,20191129,7.01,7.04,6.9,6.94,7.02,-0.07999999999999918,-1.1396,48386.27,33598.611
600766.SH,20191128,7.1,7.14,7.01,7.02,7.11,-0.09000000000000075,-1.2658,48576.52,34405.286
600766.SH,20191127,7.19,7.2,7.07,7.11,7.21,-0.09999999999999964,-1.387,56470.79,40154.367
600766.SH,20191126,7.08,7.24,7.02,7.21,7.08,0.1299999999999999,1.8362,81151.66,58061.338
600766.SH,20191125,7.02,7.18,7.02,7.08,7.14,-0.05999999999999961,-0.8403,53015.89,37594.824
600766.SH,20191122,7.09,7.31,7.02,7.14,7.15,-0.010000000000000675,-0.1399,81541.14,58574.886
600766.SH,20191121,7.23,7.28,7.1,7.15,7.3,-0.14999999999999947,-2.0548,75041.14,53730.87
600766.SH,20191120,7.16,7.42,7.1,7.3,7.15,0.14999999999999947,2.0979,135154.52,98231.889
600766.SH,20191119,7.03,7.18,7.02,7.15,7.01,0.14000000000000057,1.9971,65469.92,46511.455
600766.SH,20191118,6.95,7.02,6.75,7.01,7.0,0.009999999999999787,0.1429,60864.0,42082.643
600766.SH,20191115,7.0,7.2,6.96,7.0,7.12,-0.1200000000000001,-1.6854,61821.12,43648.463
600766.SH,20191114,7.1,7.16,6.98,7.12,7.24,-0.1200000000000001,-1.6575,67482.0,47795.004
600766.SH,20191113,6.98,7.38,6.95,7.24,6.93,0.3100000000000005,4.4733,130878.13,94248.017
600766.SH,20191112,6.98,7.07,6.81,6.93,7.05,-0.1200000000000001,-1.7021,56521.13,39051.539
600766.SH,20191111,7.28,7.29,6.98,7.05,7.33,-0.28000000000000025,-3.8199,70638.73,50096.465
600766.SH,20191108,7.09,7.33,7.06,7.33,7.2,0.1299999999999999,1.8056,74188.0,53697.837
600766.SH,20191107,7.32,7.32,6.96,7.2,7.42,-0.21999999999999975,-2.965,108730.5,77456.107
600766.SH,20191106,7.53,7.58,7.37,7.42,7.66,-0.2400000000000002,-3.1332,72452.01,54199.073
600766.SH,20191105,7.77,7.8,7.55,7.66,7.8,-0.13999999999999968,-1.7949,72247.16,55269.1
600766.SH,20191104,7.78,7.82,7.71,7.8,7.8,0.0,0.0,41993.02,32667.794
600766.SH,20191101,7.72,7.83,7.71,7.8,7.67,0.1299999999999999,1.6949,51223.65,39847.534
600766.SH,20191031,7.79,7.9,7.63,7.67,7.79,-0.1200000000000001,-1.5404,52749.46,40894.252
600766.SH,20191030,7.89,7.9,7.74,7.79,7.94,-0.15000000000000036,-1.8892,54839.37,42829.569
600766.SH,20191029,7.95,8.04,7.89,7.94,8.04,-0.09999999999999876,-1.2438,62508.85,49817.23
600766.SH,20191028,7.93,8.06,7.83,8.04,7.97,0.0699999999999994,0.8783,56711.91,45349.944
600766.SH,20191025,7.96,8.03,7.9,7.97,7.88,0.08999999999999986,1.1421,60002.74,47815.876
600766.SH,20191024,8.01,8.05,7.86,7.88,8.07,-0.1900000000000004,-2.3544,56823.11,45056.127
600766.SH,20191023,7.98,8.2,7.96,8.07,7.97,0.10000000000000053,1.2547,68829.74,55625.419
600766.SH,20191022,7.85,7.97,7.82,7.97,7.93,0.040000000000000036,0.5044,40950.78,32451.426
600766.SH,20191021,8.07,8.07,7.74,7.93,8.06,-0.13000000000000078,-1.6129,75249.69,59241.576
600766.SH,20191018,8.38,8.38,7.95,8.06,8.4,-0.33999999999999986,-4.0476,109837.3,89673.553
600766.SH,20191017,8.34,8.43,8.28,8.4,8.36,0.040000000000000924,0.4785,56365.28,47117.404
600766.SH,20191016,8.33,8.44,8.27,8.36,8.4,-0.040000000000000924,-0.4762,73066.24,60961.631
600766.SH,20191015,8.64,8.72,8.32,8.4,8.67,-0.2699999999999996,-3.1142,97873.37,83453.785
600766.SH,20191014,8.54,8.72,8.5,8.67,8.7,-0.02999999999999936,-0.3448,90129.7,77637.037
600766.SH,20191011,8.56,8.75,8.5,8.7,8.66,0.03999999999999915,0.4619,92831.59,79762.872
600766.SH,20191010,8.66,8.72,8.56,8.66,8.66,0.0,0.0,82052.24,70834.185
600766.SH,20191009,8.55,8.76,8.53,8.66,8.48,0.17999999999999972,2.1226,104681.72,90611.34
600766.SH,20191008,8.42,8.52,8.36,8.48,8.43,0.05000000000000071,0.5931,65476.12,55350.769
600766.SH,20190930,8.33,8.45,8.3,8.43,8.31,0.11999999999999922,1.444,86209.18,72384.732
600766.SH,20190927,8.28,8.45,8.25,8.31,8.39,-0.08000000000000007,-0.9535,100683.96,84139.929
