ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600358.SH,20200225,3.79,3.79,3.63,3.75,3.87,-0.1200000000000001,-3.1008,76640.48,28580.701
600358.SH,20200224,3.8,3.87,3.77,3.87,3.87,0.0,0.0,58956.0,22470.133
600358.SH,20200221,3.97,3.97,3.86,3.87,3.97,-0.10000000000000009,-2.5189,83732.02,32583.978
600358.SH,20200220,3.96,4.1,3.85,3.97,3.98,-0.009999999999999787,-0.2513,109660.58,43407.032
600358.SH,20200219,3.69,4.07,3.65,3.98,3.7,0.2799999999999998,7.5676,119434.55,46610.613
600358.SH,20200218,3.68,3.71,3.6,3.7,3.7,0.0,0.0,48872.75,17918.45
600358.SH,20200217,3.59,3.82,3.49,3.7,3.49,0.20999999999999996,6.0172,72456.26,26566.661
600358.SH,20200214,3.41,3.5,3.41,3.49,3.43,0.06000000000000005,1.7493,37024.27,12796.266
600358.SH,20200213,3.47,3.5,3.41,3.43,3.48,-0.04999999999999982,-1.4368,45151.36,15575.728
600358.SH,20200212,3.43,3.52,3.41,3.48,3.46,0.020000000000000018,0.578,56818.81,19712.834
600358.SH,20200211,3.45,3.53,3.38,3.46,3.44,0.020000000000000018,0.5814,55322.9,19142.198
600358.SH,20200210,3.32,3.44,3.3,3.44,3.37,0.06999999999999984,2.0772,63632.61,21429.208
600358.SH,20200207,3.44,3.45,3.29,3.37,3.41,-0.040000000000000036,-1.173,73892.73,24701.86
600358.SH,20200206,3.37,3.45,3.33,3.41,3.4,0.010000000000000231,0.2941,56786.18,19264.635
600358.SH,20200205,3.26,3.41,3.24,3.4,3.22,0.17999999999999972,5.5901,75906.68,25304.061
600358.SH,20200204,3.14,3.45,3.14,3.22,3.49,-0.27,-7.7364,123501.73,39717.81
600358.SH,20200203,3.49,3.49,3.49,3.49,3.88,-0.3899999999999997,-10.0515,6978.0,2435.322
600358.SH,20200123,4.0,4.0,3.88,3.88,4.31,-0.4299999999999997,-9.9768,111278.0,43428.134
600358.SH,20200122,4.27,4.34,4.13,4.31,4.31,0.0,0.0,32809.27,13932.846
600358.SH,20200121,4.46,4.46,4.3,4.31,4.47,-0.16000000000000014,-3.5794,45422.27,19822.363
600358.SH,20200120,4.47,4.49,4.42,4.47,4.5,-0.03000000000000025,-0.6667,25945.0,11557.212
600358.SH,20200117,4.55,4.62,4.49,4.5,4.56,-0.05999999999999961,-1.3158,30526.0,13869.257
600358.SH,20200116,4.51,4.57,4.45,4.56,4.51,0.04999999999999982,1.1086,41050.35,18461.638
600358.SH,20200115,4.64,4.64,4.46,4.51,4.59,-0.08000000000000007,-1.7429,43728.1,19714.997
600358.SH,20200114,4.47,4.59,4.44,4.59,4.48,0.10999999999999943,2.4554,58653.11,26576.095
