ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600898.SH,20200225,7.34,7.66,7.18,7.41,7.65,-0.2400000000000002,-3.1373,68537.2,50721.303
600898.SH,20200224,7.05,7.86,7.03,7.65,7.31,0.34000000000000075,4.6512,88327.2,64435.9
600898.SH,20200221,7.02,7.49,6.91,7.31,7.02,0.29000000000000004,4.1311,87725.56,64007.272
600898.SH,20200220,6.77,7.15,6.76,7.02,6.78,0.23999999999999932,3.5398,61727.38,43270.955
600898.SH,20200219,6.98,7.0,6.77,6.78,6.96,-0.17999999999999972,-2.5862,38404.0,26446.096
600898.SH,20200218,6.9,7.04,6.88,6.96,7.0,-0.040000000000000036,-0.5714,42619.0,29622.325
600898.SH,20200217,7.01,7.18,6.72,7.0,7.0,0.0,0.0,81312.63,56877.371
600898.SH,20200214,6.46,7.07,6.4,7.0,6.43,0.5700000000000003,8.8647,104522.71,71385.464
600898.SH,20200213,6.39,6.61,6.3,6.43,6.39,0.040000000000000036,0.626,37938.73,24413.72
600898.SH,20200212,6.18,6.45,6.18,6.39,6.26,0.1299999999999999,2.0767,35481.96,22507.518
600898.SH,20200211,6.04,6.32,5.98,6.26,6.04,0.21999999999999975,3.6424,60875.25,37709.715
600898.SH,20200210,5.89,6.09,5.82,6.04,5.93,0.11000000000000032,1.855,37474.56,22342.626
600898.SH,20200207,5.9,5.95,5.5,5.93,5.93,0.0,0.0,39921.18,23173.106
600898.SH,20200206,5.94,5.99,5.83,5.93,5.84,0.08999999999999986,1.5411,38974.83,23052.824
600898.SH,20200205,5.75,5.98,5.75,5.84,5.75,0.08999999999999986,1.5652,31936.3,18805.256
600898.SH,20200204,5.38,5.84,5.38,5.75,5.92,-0.16999999999999993,-2.8716,54855.4,31369.784
600898.SH,20200203,5.92,5.93,5.92,5.92,6.58,-0.6600000000000001,-10.0304,10208.0,6043.204
600898.SH,20200123,6.67,6.9,6.56,6.58,6.72,-0.13999999999999968,-2.0833,30914.0,20661.343
600898.SH,20200122,6.61,6.8,6.45,6.72,6.66,0.05999999999999961,0.9009,43738.07,28917.286
600898.SH,20200121,6.76,6.76,6.37,6.66,6.79,-0.1299999999999999,-1.9146,59271.1,39251.952
600898.SH,20200120,6.76,6.98,6.76,6.79,7.51,-0.7199999999999998,-9.5872,123444.52,84369.106
600898.SH,20200117,7.55,7.6,7.48,7.51,7.55,-0.040000000000000036,-0.5298,26412.0,19888.988
600898.SH,20200116,7.67,7.7,7.5,7.55,7.59,-0.040000000000000036,-0.527,36845.88,27948.056
600898.SH,20200115,7.64,7.72,7.55,7.59,7.75,-0.16000000000000014,-2.0645,59355.01,45118.982
600898.SH,20200114,7.55,8.21,7.41,7.75,7.56,0.1900000000000004,2.5132,118108.15,92160.297
600898.SH,20200113,7.64,7.67,7.44,7.56,7.77,-0.20999999999999996,-2.7027,83706.53,62937.511
600898.SH,20200110,7.95,7.95,7.68,7.77,8.07,-0.3000000000000007,-3.7175,118270.32,92237.504
600898.SH,20200109,7.67,8.35,7.66,8.07,7.59,0.4800000000000004,6.3241,188682.72,155048.984
600898.SH,20200108,7.76,7.79,7.52,7.59,7.82,-0.23000000000000043,-2.9412,36939.08,28277.921
600898.SH,20200107,7.77,7.82,7.71,7.82,7.78,0.040000000000000036,0.5141,23972.08,18670.608
600898.SH,20200106,7.79,7.89,7.67,7.78,7.91,-0.1299999999999999,-1.6435,52142.85,40543.339
600898.SH,20200103,7.92,8.03,7.9,7.91,7.96,-0.04999999999999982,-0.6281,22604.0,17934.331
600898.SH,20200102,7.98,8.03,7.88,7.96,7.86,0.09999999999999964,1.2723,36092.18,28771.298
600898.SH,20191231,7.94,7.99,7.76,7.86,7.96,-0.09999999999999964,-1.2563,33544.58,26453.044
600898.SH,20191230,8.0,8.08,7.87,7.96,8.05,-0.09000000000000075,-1.118,31004.07,24756.894
600898.SH,20191227,8.08,8.16,7.89,8.05,8.0,0.05000000000000071,0.625,66634.86,53735.353
600898.SH,20191226,7.85,8.2,7.85,8.0,7.82,0.17999999999999972,2.3018,68049.03,54770.452
600898.SH,20191225,7.6,8.17,7.59,7.82,7.6,0.22000000000000064,2.8947,78155.43,61598.24
600898.SH,20191224,7.29,7.65,7.29,7.6,7.35,0.25,3.4014,47193.36,35547.459
600898.SH,20191223,7.56,7.56,7.23,7.35,7.51,-0.16000000000000014,-2.1305,30099.98,22294.958
600898.SH,20191220,7.51,7.53,7.45,7.51,7.51,0.0,0.0,19528.44,14642.811
600898.SH,20191219,7.55,7.55,7.46,7.51,7.52,-0.009999999999999787,-0.133,27888.01,20894.248
600898.SH,20191218,7.58,7.6,7.5,7.52,7.58,-0.0600000000000005,-0.7916,31883.05,24048.969
600898.SH,20191217,7.56,7.64,7.5,7.58,7.55,0.03000000000000025,0.3974,31180.99,23698.504
600898.SH,20191216,7.53,7.6,7.47,7.55,7.52,0.03000000000000025,0.3989,31422.3,23674.443
600898.SH,20191213,7.49,7.56,7.46,7.52,7.49,0.02999999999999936,0.4005,18222.56,13669.804
600898.SH,20191212,7.47,7.68,7.45,7.49,7.48,0.009999999999999787,0.1337,14051.0,10599.14
600898.SH,20191211,7.56,7.58,7.47,7.48,7.56,-0.07999999999999918,-1.0582,16387.0,12346.079
600898.SH,20191210,7.53,7.59,7.43,7.56,7.51,0.04999999999999982,0.6658,16499.58,12382.891
600898.SH,20191209,7.54,7.63,7.43,7.51,7.54,-0.03000000000000025,-0.3979,19297.41,14516.516
600898.SH,20191206,7.44,7.63,7.41,7.54,7.44,0.09999999999999964,1.3441,27161.0,20457.975
600898.SH,20191205,7.32,7.49,7.3,7.44,7.31,0.13000000000000078,1.7784,24520.17,18156.373
600898.SH,20191204,7.28,7.42,7.25,7.31,7.32,-0.010000000000000675,-0.1366,12559.17,9168.583
600898.SH,20191203,7.4,7.4,7.27,7.32,7.36,-0.040000000000000036,-0.5435,13697.0,10012.706
600898.SH,20191202,7.3,7.45,7.25,7.36,7.26,0.10000000000000053,1.3774,21542.74,15845.696
600898.SH,20191129,7.27,7.34,7.17,7.26,7.21,0.04999999999999982,0.6935,10808.0,7839.086
600898.SH,20191128,7.29,7.3,7.21,7.21,7.27,-0.05999999999999961,-0.8253,8340.0,6045.801
600898.SH,20191127,7.22,7.29,7.22,7.27,7.21,0.05999999999999961,0.8322,6625.01,4804.477
600898.SH,20191126,7.23,7.32,7.18,7.21,7.24,-0.03000000000000025,-0.4144,8198.0,5935.954
600898.SH,20191125,7.21,7.24,7.08,7.24,7.24,0.0,0.0,18134.0,12974.244
600898.SH,20191122,7.32,7.39,7.23,7.24,7.32,-0.08000000000000007,-1.0929,23265.04,17001.225
600898.SH,20191121,7.51,7.53,7.25,7.32,7.56,-0.23999999999999932,-3.1746,31988.16,23597.656
600898.SH,20191120,7.62,7.69,7.53,7.56,7.57,-0.010000000000000675,-0.1321,14359.05,10910.268
600898.SH,20191119,7.5,7.58,7.48,7.57,7.55,0.020000000000000462,0.2649,12575.28,9496.87
600898.SH,20191118,7.47,7.58,7.44,7.55,7.52,0.03000000000000025,0.3989,9540.72,7169.176
600898.SH,20191115,7.64,7.7,7.51,7.52,7.76,-0.2400000000000002,-3.0928,20402.3,15495.352
600898.SH,20191114,7.64,8.11,7.51,7.76,7.62,0.13999999999999968,1.8373,29700.56,23101.72
600898.SH,20191113,7.59,7.75,7.52,7.62,7.58,0.040000000000000036,0.5277,18384.08,14064.649
600898.SH,20191112,7.51,7.59,7.44,7.58,7.55,0.03000000000000025,0.3974,15244.08,11448.577
600898.SH,20191111,7.7,7.74,7.48,7.55,7.69,-0.14000000000000057,-1.8205,20438.73,15447.798
600898.SH,20191108,7.68,7.83,7.63,7.69,7.65,0.040000000000000036,0.5229,16462.1,12692.837
600898.SH,20191107,7.48,7.65,7.47,7.65,7.48,0.16999999999999993,2.2727,17233.19,13055.207
600898.SH,20191106,7.51,7.57,7.46,7.48,7.53,-0.04999999999999982,-0.664,10140.26,7605.481
600898.SH,20191105,7.61,7.65,7.41,7.53,7.59,-0.05999999999999961,-0.7905,19825.89,14853.411
600898.SH,20191104,7.63,7.71,7.59,7.59,7.63,-0.040000000000000036,-0.5242,16948.76,12943.599
