ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600648.SH,20200225,15.56,15.6,15.12,15.46,15.82,-0.35999999999999943,-2.2756,50376.66,77530.179
600648.SH,20200224,15.97,15.98,15.71,15.82,16.09,-0.2699999999999996,-1.6781,52444.42,82951.35
600648.SH,20200221,15.97,16.18,15.81,16.09,15.96,0.129999999999999,0.8145,54934.2,87633.488
600648.SH,20200220,15.67,15.99,15.51,15.96,15.67,0.2900000000000009,1.8507,38398.95,60377.452
600648.SH,20200219,15.63,15.8,15.56,15.67,15.73,-0.0600000000000005,-0.3814,31054.97,48624.73
600648.SH,20200218,15.58,15.75,15.48,15.73,15.58,0.15000000000000036,0.9628,38181.73,59654.55
600648.SH,20200217,15.06,15.6,15.05,15.58,15.05,0.5299999999999994,3.5216,49101.52,75648.694
600648.SH,20200214,15.08,15.13,14.91,15.05,15.08,-0.02999999999999936,-0.1989,27397.02,41210.081
600648.SH,20200213,15.14,15.35,15.01,15.08,15.26,-0.17999999999999972,-1.1796,31509.13,47782.116
600648.SH,20200212,15.14,15.44,14.98,15.26,15.16,0.09999999999999964,0.6596,33966.14,51430.478
600648.SH,20200211,15.07,15.32,15.01,15.16,15.07,0.08999999999999986,0.5972,36509.05,55242.489
600648.SH,20200210,14.79,15.09,14.68,15.07,14.9,0.16999999999999993,1.1409,27848.93,41643.453
600648.SH,20200207,14.68,14.94,14.51,14.9,14.7,0.20000000000000107,1.3605,33163.34,48758.61
600648.SH,20200206,14.6,14.78,14.3,14.7,14.51,0.1899999999999995,1.3094,37634.87,54810.279
600648.SH,20200205,14.48,14.77,14.32,14.51,14.5,0.009999999999999787,0.069,37117.6,54047.29
600648.SH,20200204,13.73,14.79,13.73,14.5,15.24,-0.7400000000000002,-4.8556,49116.58,70791.804
600648.SH,20200203,15.24,15.24,15.24,15.24,16.93,-1.6899999999999995,-9.9823,6513.0,9925.812
600648.SH,20200123,17.36,17.36,16.79,16.93,17.36,-0.4299999999999997,-2.477,29204.07,49706.398
600648.SH,20200122,17.25,17.36,17.01,17.36,17.33,0.030000000000001137,0.1731,28350.61,48786.181
600648.SH,20200121,17.5,17.5,17.06,17.33,17.46,-0.13000000000000256,-0.7446,49661.2,85695.69
600648.SH,20200120,17.58,17.59,17.34,17.46,17.5,-0.03999999999999915,-0.2286,32502.07,56573.793
600648.SH,20200117,17.41,17.54,17.31,17.5,17.47,0.030000000000001137,0.1717,20706.35,36112.862
600648.SH,20200116,17.59,17.65,17.4,17.47,17.59,-0.120000000000001,-0.6822,20527.95,35896.812
600648.SH,20200115,17.72,17.72,17.48,17.59,17.71,-0.120000000000001,-0.6776,21837.46,38381.63
600648.SH,20200114,17.8,17.88,17.65,17.71,17.76,-0.05000000000000071,-0.2815,27298.0,48407.064
600648.SH,20200113,17.68,17.76,17.43,17.76,17.52,0.240000000000002,1.3699,28364.24,49990.057
600648.SH,20200110,17.47,17.56,17.41,17.52,17.48,0.03999999999999915,0.2288,22582.88,39503.489
600648.SH,20200109,17.45,17.51,17.37,17.48,17.35,0.129999999999999,0.7493,19408.05,33857.909
600648.SH,20200108,17.64,17.65,17.3,17.35,17.73,-0.379999999999999,-2.1433,37905.27,66232.478
600648.SH,20200107,17.51,17.74,17.48,17.73,17.55,0.17999999999999972,1.0256,45280.31,79704.016
600648.SH,20200106,17.58,17.58,17.42,17.55,17.64,-0.08999999999999986,-0.5102,36352.78,63634.315
600648.SH,20200103,17.56,17.8,17.46,17.64,17.58,0.060000000000002274,0.3413,35928.52,63158.859
600648.SH,20200102,17.46,17.58,17.42,17.58,17.37,0.2099999999999973,1.209,33126.02,58055.813
600648.SH,20191231,17.38,17.45,17.24,17.37,17.34,0.030000000000001137,0.173,23582.23,40895.362
600648.SH,20191230,17.27,17.44,17.08,17.34,17.27,0.07000000000000028,0.4053,26744.55,46264.787
600648.SH,20191227,17.3,17.37,17.25,17.27,17.36,-0.08999999999999986,-0.5184,29609.15,51212.488
600648.SH,20191226,17.3,17.53,17.26,17.36,17.3,0.05999999999999872,0.3468,22390.8,38810.397
600648.SH,20191225,17.29,17.35,17.24,17.3,17.38,-0.0799999999999983,-0.4603,19673.5,34018.537
600648.SH,20191224,17.49,17.5,17.26,17.38,17.48,-0.10000000000000142,-0.5721,29684.33,51444.648
600648.SH,20191223,17.56,17.8,17.35,17.48,17.63,-0.14999999999999858,-0.8508,52476.76,92065.065
600648.SH,20191220,17.64,17.77,17.46,17.63,17.63,0.0,0.0,41583.88,73124.602
600648.SH,20191219,17.52,17.97,17.5,17.63,17.35,0.2799999999999976,1.6138,44800.73,79197.58
600648.SH,20191218,17.35,17.42,17.27,17.35,17.45,-0.09999999999999787,-0.5731,22787.07,39487.136
600648.SH,20191217,17.12,17.48,17.05,17.45,17.12,0.3299999999999983,1.9276,45641.66,78965.96
600648.SH,20191216,17.08,17.16,16.92,17.12,17.12,0.0,0.0,31275.73,53289.897
600648.SH,20191213,17.03,17.13,16.94,17.12,16.89,0.23000000000000043,1.3618,32969.86,56078.5
600648.SH,20191212,16.9,16.95,16.84,16.89,16.97,-0.0799999999999983,-0.4714,15314.07,25867.298
600648.SH,20191211,17.09,17.09,16.82,16.97,16.95,0.019999999999999574,0.118,16804.46,28434.03
600648.SH,20191210,16.94,16.95,16.79,16.95,16.92,0.029999999999997584,0.1773,13919.2,23478.882
600648.SH,20191209,16.88,17.0,16.84,16.92,16.94,-0.019999999999999574,-0.1181,14190.66,23974.804
600648.SH,20191206,16.85,16.97,16.75,16.94,16.86,0.08000000000000185,0.4745,15497.5,26097.57
600648.SH,20191205,16.8,16.86,16.67,16.86,16.78,0.0799999999999983,0.4768,18264.0,30659.74
600648.SH,20191204,16.67,16.78,16.6,16.78,16.75,0.030000000000001137,0.1791,14193.28,23721.156
600648.SH,20191203,16.6,16.75,16.51,16.75,16.63,0.120000000000001,0.7216,15122.05,25175.437
600648.SH,20191202,16.51,16.79,16.51,16.63,16.55,0.0799999999999983,0.4834,14955.39,24871.388
600648.SH,20191129,16.4,16.65,16.27,16.55,16.43,0.120000000000001,0.7304,26882.2,44239.731
600648.SH,20191128,16.72,16.74,16.15,16.43,16.7,-0.2699999999999996,-1.6168,46572.48,76256.053
600648.SH,20191127,17.25,17.25,16.7,16.7,17.0,-0.3000000000000007,-1.7647,40779.85,68943.821
600648.SH,20191126,17.49,17.54,17.0,17.0,17.46,-0.46000000000000085,-2.6346,42131.37,72564.441
600648.SH,20191125,17.46,17.46,17.28,17.46,17.42,0.03999999999999915,0.2296,17532.94,30484.955
600648.SH,20191122,17.46,17.72,17.3,17.42,17.43,-0.00999999999999801,-0.0574,34581.34,60475.739
600648.SH,20191121,17.56,17.59,17.27,17.43,17.63,-0.1999999999999993,-1.1344,27494.08,47817.955
600648.SH,20191120,17.75,17.75,17.63,17.63,17.76,-0.13000000000000256,-0.732,10283.0,18187.433
600648.SH,20191119,17.65,17.76,17.54,17.76,17.68,0.08000000000000185,0.4525,14481.3,25607.923
600648.SH,20191118,17.52,17.8,17.37,17.68,17.55,0.129999999999999,0.7407,17482.54,30793.189
600648.SH,20191115,17.76,17.76,17.3,17.55,17.73,-0.17999999999999972,-1.0152,28820.77,50542.473
600648.SH,20191114,17.77,17.8,17.66,17.73,17.73,0.0,0.0,16720.15,29634.744
600648.SH,20191113,17.78,17.82,17.68,17.73,17.84,-0.10999999999999943,-0.6166,10912.11,19345.637
600648.SH,20191112,18.01,18.01,17.72,17.84,18.18,-0.33999999999999986,-1.8702,21389.0,38137.809
600648.SH,20191111,18.28,18.49,17.52,18.18,18.29,-0.10999999999999943,-0.6014,58882.3,105103.757
600648.SH,20191108,18.18,18.43,18.13,18.29,18.12,0.16999999999999815,0.9382,33894.78,62069.736
600648.SH,20191107,18.18,18.18,18.04,18.12,18.16,-0.03999999999999915,-0.2203,16018.23,29013.587
600648.SH,20191106,18.2,18.29,18.0,18.16,18.24,-0.0799999999999983,-0.4386,32744.37,59376.155
600648.SH,20191105,18.52,18.52,18.13,18.24,18.45,-0.21000000000000085,-1.1382,28931.64,52818.373
600648.SH,20191104,18.58,18.68,18.36,18.45,18.49,-0.03999999999999915,-0.2163,39740.12,73405.906
600648.SH,20191101,18.4,18.49,18.22,18.49,18.28,0.2099999999999973,1.1488,38542.47,70812.207
600648.SH,20191031,18.37,18.38,18.2,18.28,18.36,-0.0799999999999983,-0.4357,24321.86,44455.891
600648.SH,20191030,18.43,18.43,18.18,18.36,18.44,-0.08000000000000185,-0.4338,27728.89,50742.849
600648.SH,20191029,18.45,18.53,18.3,18.44,18.42,0.019999999999999574,0.1086,30339.36,55857.482
600648.SH,20191028,18.2,18.42,18.18,18.42,18.2,0.22000000000000242,1.2088,35415.81,64921.381
600648.SH,20191025,18.18,18.2,17.92,18.2,18.14,0.05999999999999872,0.3308,20969.1,37976.653
600648.SH,20191024,18.15,18.21,18.03,18.14,18.12,0.019999999999999574,0.1104,14097.23,25530.091
600648.SH,20191023,18.34,18.34,18.06,18.12,18.23,-0.10999999999999943,-0.6034,16754.86,30422.94
600648.SH,20191022,18.14,18.24,18.03,18.23,18.14,0.08999999999999986,0.4961,21114.62,38311.171
600648.SH,20191021,18.11,18.28,17.85,18.14,18.11,0.030000000000001137,0.1657,18767.79,33890.59
600648.SH,20191018,18.35,18.36,17.95,18.11,18.34,-0.23000000000000043,-1.2541,38426.7,69745.257
600648.SH,20191017,18.45,18.45,18.23,18.34,18.42,-0.08000000000000185,-0.4343,21668.57,39673.061
600648.SH,20191016,18.35,18.45,18.21,18.42,18.33,0.09000000000000341,0.491,38097.56,69918.129
600648.SH,20191015,18.41,18.42,18.21,18.33,18.48,-0.15000000000000213,-0.8117,26471.98,48456.322
600648.SH,20191014,18.37,18.51,18.31,18.48,18.27,0.21000000000000085,1.1494,48084.37,88539.205
600648.SH,20191011,18.27,18.28,18.11,18.27,18.22,0.05000000000000071,0.2744,26612.41,48476.158
600648.SH,20191010,18.17,18.25,18.05,18.22,18.16,0.05999999999999872,0.3304,24709.42,44832.12
600648.SH,20191009,18.02,18.16,17.96,18.16,18.13,0.030000000000001137,0.1655,25906.09,46842.001
600648.SH,20191008,17.95,18.15,17.81,18.13,17.82,0.3099999999999987,1.7396,32652.0,58651.809
600648.SH,20190930,17.9,17.97,17.7,17.82,17.87,-0.05000000000000071,-0.2798,21270.0,37955.295
600648.SH,20190927,17.95,18.02,17.72,17.87,17.92,-0.05000000000000071,-0.279,25455.85,45522.036
600648.SH,20190926,18.06,18.2,17.82,17.92,18.0,-0.0799999999999983,-0.4444,44935.5,80726.045
600648.SH,20190925,18.11,18.4,17.68,18.0,18.1,-0.10000000000000142,-0.5525,36555.2,65799.373
600648.SH,20190924,18.03,18.24,17.93,18.1,18.03,0.07000000000000028,0.3882,24965.59,45120.374
600648.SH,20190923,18.32,18.32,17.94,18.03,18.4,-0.36999999999999744,-2.0109,31006.04,55943.967
600648.SH,20190920,18.46,18.55,18.3,18.4,18.48,-0.08000000000000185,-0.4329,36103.28,66375.101
600648.SH,20190919,18.55,18.55,18.21,18.48,18.43,0.05000000000000071,0.2713,48309.99,88837.665
600648.SH,20190918,18.28,18.53,18.27,18.43,18.26,0.16999999999999815,0.931,42914.52,79010.289
600648.SH,20190917,18.63,18.63,18.23,18.26,18.68,-0.41999999999999815,-2.2484,42534.64,78088.667
600648.SH,20190916,18.67,18.81,18.42,18.68,18.61,0.07000000000000028,0.3761,49553.51,92353.282
600648.SH,20190912,18.56,18.7,18.41,18.61,18.65,-0.03999999999999915,-0.2145,49510.25,91852.151
600648.SH,20190911,18.73,19.04,18.59,18.65,18.36,0.28999999999999915,1.5795,86395.77,162407.266
600648.SH,20190910,18.56,18.56,18.22,18.36,18.44,-0.08000000000000185,-0.4338,35332.94,64749.661
600648.SH,20190909,18.4,18.46,18.21,18.44,18.25,0.19000000000000128,1.0411,51467.85,94469.367
600648.SH,20190906,18.39,18.39,18.17,18.25,18.34,-0.08999999999999986,-0.4907,42179.35,76955.362
600648.SH,20190905,18.16,18.47,18.1,18.34,17.97,0.370000000000001,2.059,75728.53,138737.382
600648.SH,20190904,17.68,17.97,17.68,17.97,17.81,0.16000000000000014,0.8984,39184.12,69991.954
600648.SH,20190903,17.83,17.92,17.75,17.81,17.92,-0.11000000000000298,-0.6138,37043.16,66011.771
600648.SH,20190902,17.72,17.98,17.64,17.92,17.73,0.19000000000000128,1.0716,35585.81,63600.722
600648.SH,20190830,17.99,18.19,17.61,17.73,17.97,-0.23999999999999844,-1.3356,41795.07,74542.988
600648.SH,20190829,18.19,18.19,17.75,17.97,18.14,-0.1700000000000017,-0.9372,47716.91,85438.45
600648.SH,20190828,18.17,18.24,18.01,18.14,18.14,0.0,0.0,25377.32,45996.24
600648.SH,20190827,18.02,18.28,17.94,18.14,17.96,0.17999999999999972,1.0022,34675.87,62914.287
600648.SH,20190826,17.92,18.04,17.68,17.96,18.37,-0.41000000000000014,-2.2319,41544.53,74129.497
600648.SH,20190823,18.55,18.6,18.31,18.37,18.63,-0.259999999999998,-1.3956,32280.51,59535.419
600648.SH,20190822,18.82,18.82,18.43,18.63,18.84,-0.21000000000000085,-1.1146,44335.08,82132.816
600648.SH,20190821,18.59,19.18,18.43,18.84,18.56,0.28000000000000114,1.5086,89235.82,168568.692
600648.SH,20190820,18.54,18.79,18.31,18.56,18.44,0.11999999999999744,0.6508,60068.41,111564.638
600648.SH,20190819,17.88,18.47,17.84,18.44,17.78,0.6600000000000001,3.712,59907.75,108524.26
600648.SH,20190816,17.77,17.86,17.61,17.78,17.85,-0.07000000000000028,-0.3922,34647.78,61510.182
600648.SH,20190815,17.63,17.86,17.42,17.85,17.96,-0.10999999999999943,-0.6125,43851.37,77252.727
600648.SH,20190814,18.0,18.03,17.83,17.96,17.86,0.10000000000000142,0.5599,37621.5,67434.305
600648.SH,20190813,17.95,17.98,17.57,17.86,17.97,-0.10999999999999943,-0.6121,35250.46,62491.178
600648.SH,20190812,18.0,18.01,17.7,17.97,17.94,0.029999999999997584,0.1672,36840.3,65850.658
600648.SH,20190809,18.0,18.1,17.68,17.94,17.99,-0.04999999999999716,-0.2779,47881.16,85601.369
600648.SH,20190808,18.25,18.55,17.67,17.99,18.34,-0.3500000000000014,-1.9084,90860.99,162377.656
600648.SH,20190807,19.2,19.3,18.2,18.34,19.28,-0.9400000000000013,-4.8755,101684.93,189546.736
600648.SH,20190806,19.3,19.44,18.1,19.28,19.48,-0.1999999999999993,-1.0267,102424.57,190877.82
600648.SH,20190805,19.39,19.77,19.18,19.48,19.59,-0.10999999999999943,-0.5615,43071.51,83601.945
600648.SH,20190802,19.61,19.63,19.22,19.59,20.07,-0.4800000000000004,-2.3916,71662.12,139195.191
600648.SH,20190801,20.25,20.25,20.02,20.07,20.31,-0.23999999999999844,-1.1817,37208.4,74773.245
600648.SH,20190731,20.59,20.59,20.2,20.31,20.78,-0.4700000000000024,-2.2618,44350.25,90156.99
600648.SH,20190730,20.7,20.85,20.45,20.78,20.68,0.10000000000000142,0.4836,46921.44,96947.956
600648.SH,20190729,20.98,20.98,20.5,20.68,20.97,-0.28999999999999915,-1.3829,46129.48,95329.667
600648.SH,20190726,20.5,21.08,20.41,20.97,20.54,0.4299999999999997,2.0935,118816.93,247470.992
600648.SH,20190725,19.92,20.6,19.77,20.54,19.92,0.6199999999999974,3.1124,95930.47,194819.314
600648.SH,20190724,19.95,20.08,19.81,19.92,19.78,0.14000000000000057,0.7078,35030.38,69819.751
600648.SH,20190723,19.85,19.85,19.53,19.78,19.81,-0.029999999999997584,-0.1514,35206.9,69208.254
600648.SH,20190722,20.42,20.44,19.51,19.81,20.18,-0.370000000000001,-1.8335,46418.75,91797.178
600648.SH,20190719,19.98,20.2,19.9,20.18,19.95,0.23000000000000043,1.1529,53571.48,107635.949
600648.SH,20190718,20.0576,20.0576,19.7411,19.9488,20.0774,-0.12860000000000227,-0.6405,34877.29,70115.508
600648.SH,20190717,19.8301,20.1763,19.7114,20.0774,19.7807,0.2967000000000013,1.4999,49540.8,99757.985
600648.SH,20190716,19.751,19.8202,19.5928,19.7807,19.7609,0.01980000000000004,0.1002,24450.32,48703.438
600648.SH,20190715,19.4345,19.7609,19.0884,19.7609,19.4147,0.3461999999999996,1.7832,47870.23,94420.897
600648.SH,20190712,19.3158,19.4147,19.0785,19.4147,19.2862,0.12849999999999895,0.6663,28309.67,55226.925
600648.SH,20190711,19.1873,19.4345,19.0884,19.2862,19.1873,0.09890000000000043,0.5154,28266.86,55050.72
600648.SH,20190710,19.3455,19.5136,19.0191,19.1873,19.3455,-0.15820000000000078,-0.8178,28293.06,54950.54
600648.SH,20190709,19.5433,19.5631,19.0587,19.3455,19.5235,-0.17799999999999727,-0.9117,43372.44,84452.115
600648.SH,20190708,20.3939,20.3939,19.484,19.5235,20.384,-0.8605000000000018,-4.2214,49556.34,98866.342
600648.SH,20190705,20.384,20.4928,20.1367,20.384,20.3741,0.009900000000001796,0.0486,36399.7,74783.969
600648.SH,20190704,20.5719,20.6609,20.2257,20.3741,20.4928,-0.11870000000000047,-0.5792,44235.97,91421.203
600648.SH,20190703,20.9477,20.9576,20.4038,20.4928,20.8983,-0.40549999999999997,-1.9403,65297.82,135988.717
600648.SH,20190702,20.9675,21.1159,20.7005,20.8983,21.0466,-0.14830000000000254,-0.7046,75913.45,159715.581
600648.SH,20190701,21.2445,21.284,20.7796,21.0466,20.7499,0.2967000000000013,1.4299,128928.3,273692.117
600648.SH,20190628,20.4236,21.0565,19.9093,20.7499,20.4334,0.31650000000000134,1.5489,127831.04,266448.236
600648.SH,20190627,20.3543,20.5027,20.2356,20.4334,20.3247,0.10869999999999891,0.5348,72233.28,148933.145
600648.SH,20190626,20.2752,20.5917,20.0774,20.3247,20.7104,-0.38569999999999993,-1.8623,94131.42,193269.657
600648.SH,20190625,19.8005,21.0466,19.2466,20.7104,19.8005,0.9099000000000004,4.5953,141257.69,290445.03
600648.SH,20190624,20.0279,20.0774,19.6323,19.8005,19.9983,-0.19780000000000086,-0.9891,66328.65,133004.51
600648.SH,20190621,19.8598,20.1565,19.7807,19.9983,19.8598,0.1385000000000005,0.6974,83025.96,167425.199
600648.SH,20190620,19.3851,20.0972,19.2565,19.8598,19.3653,0.4944999999999986,2.5535,85750.15,171082.213
600648.SH,20190619,19.5829,19.7906,19.3554,19.3653,19.0686,0.2967000000000013,1.556,65267.99,128987.544
600648.SH,20190618,19.2169,19.2664,19.029,19.0686,19.1972,-0.12859999999999872,-0.6699,26264.37,50793.082
600648.SH,20190617,19.2664,19.3752,19.0884,19.1972,19.2862,-0.08900000000000219,-0.4615,27777.22,53946.076
600648.SH,20190614,19.6818,19.6818,19.1873,19.2862,19.7807,-0.4944999999999986,-2.4999,69393.52,136183.988
600648.SH,20190613,19.6917,20.1862,19.3851,19.7807,19.6027,0.17800000000000082,0.908,92514.7,185748.58
600648.SH,20190612,19.8598,19.8598,19.3356,19.6027,20.0181,-0.41540000000000177,-2.0751,93465.31,185064.914
600648.SH,20190611,19.4543,20.0675,19.0884,20.0181,19.4642,0.5538999999999987,2.8457,119564.61,236496.845
600648.SH,20190610,19.2862,19.5829,19.0686,19.4642,20.0774,-0.6131999999999991,-3.0542,55396.41,108262.491
600648.SH,20190606,19.8796,20.0774,18.7125,20.0774,19.8994,0.17800000000000082,0.8945,77978.81,150946.63
600648.SH,20190605,20.3741,20.6214,19.573,19.8994,20.2653,-0.3658999999999999,-1.8055,90381.33,181271.899
600648.SH,20190604,20.8291,20.8291,19.5631,20.2653,20.8587,-0.593399999999999,-2.8449,112615.4,228410.804
600648.SH,20190603,21.4818,21.5214,20.6708,20.8587,21.2445,-0.3857999999999997,-1.816,70728.05,150728.924
600648.SH,20190531,21.284,21.3928,20.9972,21.2445,21.3137,-0.06920000000000215,-0.3247,56947.14,122074.643
600648.SH,20190530,21.3137,21.3631,20.8884,21.3137,21.4225,-0.10879999999999868,-0.5079,76695.0,163960.383
600648.SH,20190529,21.3631,21.5511,21.0071,21.4225,21.2247,0.19780000000000086,0.9319,97956.82,210718.144
600648.SH,20190528,20.6708,21.6401,20.651,21.2247,20.6313,0.593399999999999,2.8762,158268.61,341185.368
600648.SH,20190527,20.3247,20.7203,20.1268,20.6313,20.295,0.3362999999999978,1.6571,52162.51,107930.421
600648.SH,20190524,20.473,20.7499,20.0873,20.295,20.6115,-0.3164999999999978,-1.5356,48164.91,99157.673
600648.SH,20190523,20.5225,20.9379,20.0477,20.6115,20.5521,0.05940000000000012,0.289,79944.97,166490.337
600648.SH,20190522,20.7796,20.8192,20.1763,20.5521,20.74,-0.18789999999999907,-0.906,69071.7,142801.579
600648.SH,20190521,20.3642,20.9082,20.0972,20.74,20.4038,0.33619999999999806,1.6477,88909.53,186109.876
600648.SH,20190520,20.6708,20.6708,19.6818,20.4038,20.0576,0.3461999999999996,1.726,58600.81,120289.414
600648.SH,20190517,20.7697,20.7895,19.9488,20.0576,20.7302,-0.6725999999999992,-3.2445,93888.15,192007.27
600648.SH,20190516,20.7598,20.7598,20.4236,20.7302,20.7104,0.01980000000000004,0.0956,74971.61,156083.81
600648.SH,20190515,20.5225,20.8785,20.4334,20.7104,20.4334,0.277000000000001,1.3556,90377.21,188842.531
600648.SH,20190514,20.384,20.9082,20.1565,20.4334,20.928,-0.4946000000000019,-2.3633,108458.11,224712.402
600648.SH,20190513,20.1367,21.2148,19.8301,20.928,20.5323,0.3957000000000015,1.9272,144474.54,301636.243
600648.SH,20190510,20.0972,20.5323,19.3158,20.5323,19.8301,0.7021999999999977,3.5411,146322.74,298876.465
600648.SH,20190509,19.8994,20.0378,19.6125,19.8301,20.0873,-0.25719999999999743,-1.2804,69518.68,139409.183
600648.SH,20190508,19.9389,20.5422,19.484,20.0873,20.4928,-0.40549999999999997,-1.9787,89035.86,180366.903
600648.SH,20190507,20.4334,20.5521,19.4642,20.4928,20.2752,0.21759999999999735,1.0732,113847.9,230924.202
600648.SH,20190506,21.106,21.106,20.0774,20.2752,22.3126,-2.037399999999998,-9.1312,177206.75,366188.006
600648.SH,20190430,21.462,22.4906,21.3631,22.3126,21.5609,0.7516999999999996,3.4864,153399.43,342767.166
600648.SH,20190429,21.7588,22.4906,21.3335,21.5609,21.106,0.4548999999999985,2.1553,209255.1,466133.655
600648.SH,20190426,21.2543,21.5313,20.8093,21.106,21.4126,-0.30659999999999954,-1.4319,84256.42,180102.951
600648.SH,20190425,22.273,22.5302,21.2148,21.4126,22.273,-0.8603999999999985,-3.863,131728.05,289871.23
600648.SH,20190424,22.6093,22.7775,21.9566,22.273,22.8566,-0.5836000000000006,-2.5533,150388.47,338656.436
600648.SH,20190423,22.6588,23.3214,22.2829,22.8566,22.6588,0.19780000000000086,0.873,200805.51,465133.219
600648.SH,20190422,23.1236,23.1335,22.5895,22.6588,23.1236,-0.4648000000000003,-2.0101,130222.13,299716.236
600648.SH,20190419,22.9357,23.2126,22.6786,23.1236,22.9159,0.2076999999999991,0.9064,147064.46,341035.319
600648.SH,20190418,23.0445,23.1731,22.6588,22.9159,23.4302,-0.5142999999999986,-2.195,208959.91,482793.084
600648.SH,20190417,24.0335,24.0335,23.2225,23.4302,24.0335,-0.6033000000000008,-2.5102,210391.02,501242.382
600648.SH,20190416,23.3412,24.2313,22.55,24.0335,23.6775,0.35600000000000165,1.5035,307223.13,719892.371
600648.SH,20190415,23.2819,24.8544,23.2423,23.6775,23.7269,-0.04940000000000211,-0.2082,335820.12,811735.922
600648.SH,20190412,24.6269,24.8445,23.4698,23.7269,24.1225,-0.3955999999999982,-1.64,334435.48,816738.749
600648.SH,20190411,23.3907,24.5874,23.1533,24.1225,24.0236,0.09890000000000043,0.4117,418385.72,1011219.471
