ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600094.SH,20200225,6.51,6.72,6.43,6.71,6.64,0.07000000000000028,1.0542,685168.11,454460.27
600094.SH,20200224,6.76,6.86,6.62,6.64,6.76,-0.1200000000000001,-1.7751,654600.0,439924.049
600094.SH,20200221,6.76,6.83,6.69,6.76,6.75,0.009999999999999787,0.1481,607600.78,410398.538
600094.SH,20200220,6.69,6.78,6.67,6.75,6.73,0.019999999999999574,0.2972,828876.48,557802.533
600094.SH,20200219,6.63,6.83,6.59,6.73,6.66,0.07000000000000028,1.0511,792431.87,532917.884
600094.SH,20200218,6.74,6.85,6.58,6.66,6.75,-0.08999999999999986,-1.3333,453612.03,303739.5
600094.SH,20200217,6.68,6.97,6.65,6.75,6.69,0.05999999999999961,0.8969,818333.65,552631.563
600094.SH,20200214,6.53,6.9,6.44,6.69,6.56,0.13000000000000078,1.9817,834132.06,556033.226
600094.SH,20200213,6.67,6.88,6.51,6.56,6.69,-0.13000000000000078,-1.9432,724126.83,482345.904
600094.SH,20200212,6.47,6.96,6.42,6.69,6.57,0.1200000000000001,1.8265,1028702.53,685461.324
600094.SH,20200211,6.38,6.8,6.19,6.57,6.38,0.1900000000000004,2.9781,1310354.52,860298.581
600094.SH,20200210,5.83,6.38,5.81,6.38,5.8,0.5800000000000001,10.0,994997.18,609026.152
600094.SH,20200207,5.86,5.88,5.78,5.8,5.86,-0.0600000000000005,-1.0239,479844.94,279259.27
600094.SH,20200206,5.8,5.93,5.74,5.86,5.84,0.020000000000000462,0.3425,539925.75,314112.235
600094.SH,20200205,5.77,5.97,5.7,5.84,5.77,0.07000000000000028,1.2132,578896.83,336437.574
600094.SH,20200204,5.6,5.86,5.58,5.77,5.6,0.16999999999999993,3.0357,384110.4,220190.18
600094.SH,20200203,5.62,6.0,5.59,5.6,6.21,-0.6100000000000003,-9.8229,564801.99,319467.232
600094.SH,20200123,6.44,6.52,6.1,6.21,6.41,-0.20000000000000018,-3.1201,489519.63,306273.763
600094.SH,20200122,6.21,6.46,6.17,6.41,6.21,0.20000000000000018,3.2206,770194.89,489234.685
600094.SH,20200121,6.22,6.45,6.19,6.21,6.25,-0.040000000000000036,-0.64,598624.23,377062.744
600094.SH,20200120,6.13,6.33,6.06,6.25,6.13,0.1200000000000001,1.9576,542776.83,336416.841
600094.SH,20200117,6.09,6.22,6.06,6.13,6.1,0.03000000000000025,0.4918,410124.83,251736.551
600094.SH,20200116,6.2,6.29,6.1,6.1,6.21,-0.11000000000000032,-1.7713,432178.4,266409.275
600094.SH,20200115,6.2,6.29,6.08,6.21,6.19,0.019999999999999574,0.3231,489184.41,302284.202
600094.SH,20200114,6.23,6.33,6.18,6.19,6.25,-0.05999999999999961,-0.96,502421.6,312721.323
600094.SH,20200113,6.36,6.48,6.12,6.25,6.36,-0.11000000000000032,-1.7296,682737.17,428069.753
600094.SH,20200110,6.66,6.76,6.3,6.36,6.64,-0.27999999999999936,-4.2169,746600.67,481921.965
600094.SH,20200109,6.07,6.64,6.04,6.64,6.04,0.5999999999999996,9.9338,855507.96,544517.24
600094.SH,20200108,6.12,6.17,6.0,6.04,6.13,-0.08999999999999986,-1.4682,555624.9,338900.863
600094.SH,20200107,6.09,6.18,6.03,6.13,6.08,0.04999999999999982,0.8224,385225.48,235647.33
600094.SH,20200106,6.04,6.19,5.96,6.08,6.04,0.040000000000000036,0.6623,628505.13,381347.755
600094.SH,20200103,6.04,6.13,6.03,6.04,6.07,-0.03000000000000025,-0.4942,360315.9,218686.4
600094.SH,20200102,5.88,6.08,5.88,6.07,5.85,0.22000000000000064,3.7607,499814.32,299246.839
600094.SH,20191231,5.75,5.85,5.72,5.85,5.74,0.10999999999999943,1.9164,405839.49,235233.981
600094.SH,20191230,5.68,5.75,5.58,5.74,5.7,0.040000000000000036,0.7018,478766.14,271933.306
600094.SH,20191227,5.69,5.78,5.66,5.7,5.7,0.0,0.0,387212.0,221328.823
600094.SH,20191226,5.68,5.82,5.56,5.7,5.68,0.020000000000000462,0.3521,530425.64,301396.255
600094.SH,20191225,5.88,5.92,5.66,5.68,5.9,-0.22000000000000064,-3.7288,504363.9,290835.673
600094.SH,20191224,5.95,5.98,5.82,5.9,5.96,-0.05999999999999961,-1.0067,444448.0,261870.929
600094.SH,20191223,6.07,6.15,5.48,5.96,6.09,-0.1299999999999999,-2.1346,599280.21,359757.074
600094.SH,20191220,6.18,6.25,6.08,6.09,6.19,-0.10000000000000053,-1.6155,538647.74,333064.044
600094.SH,20191219,6.22,6.25,6.18,6.19,6.21,-0.019999999999999574,-0.3221,254079.16,157593.826
600094.SH,20191218,6.19,6.28,6.16,6.21,6.2,0.009999999999999787,0.1613,422332.31,262498.284
600094.SH,20191217,6.13,6.22,6.11,6.2,6.15,0.04999999999999982,0.813,508366.61,313364.737
600094.SH,20191216,6.14,6.24,6.09,6.15,6.14,0.010000000000000675,0.1629,380332.55,233840.224
600094.SH,20191213,6.09,6.24,6.06,6.14,6.07,0.0699999999999994,1.1532,468554.85,288008.699
600094.SH,20191212,6.12,6.17,6.05,6.07,6.11,-0.040000000000000036,-0.6547,241275.02,146894.92
600094.SH,20191211,6.14,6.22,6.08,6.11,6.16,-0.04999999999999982,-0.8117,170553.92,104545.258
600094.SH,20191210,6.21,6.26,6.16,6.16,6.23,-0.07000000000000028,-1.1236,299788.75,185740.697
