ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600198.SH,20200225,10.8,11.28,10.3,11.15,11.18,-0.02999999999999936,-0.2683,482407.09,526003.274
600198.SH,20200224,10.61,11.35,10.52,11.18,10.63,0.5499999999999989,5.174,517350.76,569009.048
600198.SH,20200221,10.59,10.93,10.48,10.63,10.66,-0.02999999999999936,-0.2814,391833.6,418887.751
600198.SH,20200220,11.0,11.09,10.33,10.66,10.79,-0.129999999999999,-1.2048,483325.35,515873.719
600198.SH,20200219,9.8,10.79,9.61,10.79,9.81,0.9799999999999986,9.9898,319395.57,328646.998
600198.SH,20200218,9.5,9.84,9.45,9.81,9.55,0.2599999999999998,2.7225,246813.12,239290.149
600198.SH,20200217,9.25,9.61,9.16,9.55,9.21,0.33999999999999986,3.6916,229042.26,214798.275
600198.SH,20200214,8.94,9.43,8.87,9.21,9.03,0.1800000000000015,1.9934,238702.63,219634.625
600198.SH,20200213,8.95,9.16,8.87,9.03,8.95,0.08000000000000007,0.8939,181402.38,163846.512
600198.SH,20200212,8.75,9.01,8.66,8.95,8.81,0.1399999999999988,1.5891,159881.02,141680.666
600198.SH,20200211,8.8,9.27,8.79,8.81,8.72,0.08999999999999986,1.0321,232099.42,208128.015
600198.SH,20200210,8.6,8.75,8.48,8.72,8.6,0.120000000000001,1.3953,155391.24,134530.564
600198.SH,20200207,8.53,8.65,8.38,8.6,8.56,0.03999999999999915,0.4673,184117.43,156787.452
600198.SH,20200206,8.54,8.63,8.32,8.56,8.46,0.09999999999999964,1.182,168684.7,143565.856
600198.SH,20200205,8.2,8.77,8.19,8.46,8.1,0.3600000000000012,4.4444,231850.68,197637.678
600198.SH,20200204,7.7,8.46,7.7,8.1,8.56,-0.46000000000000085,-5.3738,273169.12,221673.116
600198.SH,20200203,8.56,8.56,8.56,8.56,9.51,-0.9499999999999993,-9.9895,14071.0,12044.776
600198.SH,20200123,9.69,9.93,9.28,9.51,9.82,-0.3100000000000005,-3.1568,137567.28,132649.913
600198.SH,20200122,9.62,9.92,9.41,9.82,9.74,0.08000000000000007,0.8214,126992.55,122861.712
600198.SH,20200121,9.96,10.05,9.71,9.74,9.99,-0.25,-2.5025,112055.0,110211.508
600198.SH,20200120,9.42,10.02,9.42,9.99,10.27,-0.27999999999999936,-2.7264,222874.65,219005.822
600198.SH,20200117,10.5,10.5,10.18,10.27,10.42,-0.15000000000000036,-1.4395,111317.0,114967.032
600198.SH,20200116,10.72,10.73,10.38,10.42,10.64,-0.22000000000000064,-2.0677,127518.5,134377.989
600198.SH,20200115,10.74,10.83,10.58,10.64,10.74,-0.09999999999999964,-0.9311,96842.0,103285.334
600198.SH,20200114,11.02,11.02,10.72,10.74,10.94,-0.1999999999999993,-1.8282,132814.01,143773.869
600198.SH,20200113,10.8,10.97,10.54,10.94,10.87,0.07000000000000028,0.644,170361.34,183291.28
