ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600892.SH,20200225,4.98,5.08,4.88,5.01,5.04,-0.03000000000000025,-0.5952,120573.0,60103.518
600892.SH,20200224,4.78,5.1,4.71,5.04,4.89,0.15000000000000036,3.0675,168132.88,83248.642
600892.SH,20200221,4.8,5.09,4.72,4.89,4.81,0.08000000000000007,1.6632,222414.0,109299.658
600892.SH,20200220,4.61,4.84,4.52,4.81,4.57,0.23999999999999932,5.2516,154861.0,72645.488
600892.SH,20200219,4.65,4.65,4.46,4.57,4.72,-0.14999999999999947,-3.178,186112.82,84966.909
600892.SH,20200218,4.68,4.86,4.61,4.72,4.68,0.040000000000000036,0.8547,187171.52,88925.967
600892.SH,20200217,4.38,4.73,4.37,4.68,4.45,0.22999999999999954,5.1685,198626.09,90965.535
600892.SH,20200214,4.35,4.64,4.22,4.45,4.28,0.16999999999999993,3.972,250781.94,111788.723
600892.SH,20200213,4.1,4.38,4.05,4.28,4.17,0.11000000000000032,2.6379,239568.7,101551.329
600892.SH,20200212,3.84,4.2,3.76,4.17,3.87,0.2999999999999998,7.7519,213622.75,85111.992
600892.SH,20200211,3.86,3.98,3.74,3.87,4.04,-0.16999999999999993,-4.2079,240929.23,92519.001
600892.SH,20200210,3.86,4.14,3.85,4.04,3.76,0.28000000000000025,7.4468,400468.6,163111.657
600892.SH,20200207,3.5,3.76,3.42,3.76,3.42,0.33999999999999986,9.9415,270011.54,99028.931
600892.SH,20200206,3.26,3.43,3.17,3.42,3.32,0.10000000000000009,3.012,319365.24,106145.127
600892.SH,20200205,3.01,3.39,3.01,3.32,3.23,0.08999999999999986,2.7864,316400.38,101882.718
600892.SH,20200204,3.23,3.23,3.23,3.23,3.59,-0.3599999999999999,-10.0279,34499.0,11143.177
600892.SH,20200203,3.59,3.59,3.59,3.59,3.99,-0.40000000000000036,-10.0251,6001.0,2154.359
600892.SH,20200123,4.09,4.21,3.94,3.99,4.13,-0.13999999999999968,-3.3898,175064.02,71128.683
600892.SH,20200122,4.29,4.33,4.03,4.13,4.39,-0.2599999999999998,-5.9226,253951.0,105628.732
600892.SH,20200121,4.49,4.62,4.39,4.39,4.87,-0.4800000000000004,-9.8563,369098.03,166186.137
600892.SH,20200120,4.5,5.11,4.5,4.87,5.0,-0.1299999999999999,-2.6,674462.0,307580.82
600892.SH,20200117,5.5,5.53,5.0,5.0,5.56,-0.5599999999999996,-10.0719,175117.7,90251.666
600892.SH,20200116,5.6,5.76,5.43,5.56,5.79,-0.23000000000000043,-3.9724,307120.82,169139.234
600892.SH,20200115,5.98,6.04,5.6,5.79,6.05,-0.2599999999999998,-4.2975,502324.49,290440.884
600892.SH,20200114,5.84,6.05,5.79,6.05,5.85,0.20000000000000018,3.4188,365287.31,217793.39
600892.SH,20200113,5.75,5.94,5.69,5.85,5.77,0.08000000000000007,1.3865,244925.46,141864.276
600892.SH,20200110,5.78,5.83,5.73,5.77,5.85,-0.08000000000000007,-1.3675,96660.0,55723.666
600892.SH,20200109,5.94,6.0,5.73,5.85,5.92,-0.07000000000000028,-1.1824,261858.82,152284.819
600892.SH,20200108,5.79,5.94,5.74,5.92,5.79,0.1299999999999999,2.2453,303195.92,177732.527
600892.SH,20200107,5.82,5.84,5.76,5.79,5.8,-0.009999999999999787,-0.1724,122214.0,70638.444
600892.SH,20200106,5.72,5.86,5.68,5.8,5.8,0.0,0.0,160037.04,92568.614
600892.SH,20200103,5.9,5.92,5.73,5.8,5.9,-0.10000000000000053,-1.6949,134908.0,78171.058
600892.SH,20200102,5.73,5.96,5.71,5.9,5.71,0.1900000000000004,3.3275,136545.04,80012.178
600892.SH,20191231,5.83,5.83,5.68,5.71,5.89,-0.17999999999999972,-3.056,133513.16,76487.077
600892.SH,20191230,5.92,5.94,5.82,5.89,5.93,-0.040000000000000036,-0.6745,140115.53,82122.01
600892.SH,20191227,5.8,6.05,5.77,5.93,5.82,0.10999999999999943,1.89,92979.73,54804.693
600892.SH,20191226,5.79,5.89,5.75,5.82,5.89,-0.0699999999999994,-1.1885,55470.47,32225.952
600892.SH,20191225,5.78,5.95,5.73,5.89,5.83,0.05999999999999961,1.0292,163525.66,95156.29
600892.SH,20191224,5.71,5.83,5.66,5.83,5.75,0.08000000000000007,1.3913,95860.3,55434.322
600892.SH,20191223,5.95,5.95,5.71,5.75,5.88,-0.1299999999999999,-2.2109,71603.0,41368.209
600892.SH,20191220,5.71,5.96,5.65,5.88,5.7,0.17999999999999972,3.1579,175347.88,102076.007
600892.SH,20191219,5.54,5.71,5.48,5.7,5.54,0.16000000000000014,2.8881,93267.76,52400.204
600892.SH,20191218,5.5,5.59,5.45,5.54,5.53,0.009999999999999787,0.1808,104419.08,57464.587
600892.SH,20191217,5.37,5.54,5.35,5.53,5.39,0.14000000000000057,2.5974,107030.0,58398.502
600892.SH,20191216,5.4,5.45,5.33,5.39,5.4,-0.010000000000000675,-0.1852,51379.04,27701.069
600892.SH,20191213,5.28,5.41,5.23,5.4,5.33,0.07000000000000028,1.3133,116630.51,62335.956
600892.SH,20191212,5.28,5.33,5.2,5.33,5.33,0.0,0.0,41641.63,21950.292
600892.SH,20191211,5.2,5.33,5.06,5.33,5.21,0.1200000000000001,2.3033,98225.63,51016.389
600892.SH,20191210,5.32,5.32,5.19,5.21,5.35,-0.13999999999999968,-2.6168,83121.99,43624.505
600892.SH,20191209,5.35,5.37,5.31,5.35,5.39,-0.040000000000000036,-0.7421,29646.0,15834.895
600892.SH,20191206,5.37,5.42,5.33,5.39,5.39,0.0,0.0,34924.0,18753.848
600892.SH,20191205,5.39,5.39,5.31,5.39,5.4,-0.010000000000000675,-0.1852,25175.0,13508.191
600892.SH,20191204,5.39,5.42,5.36,5.4,5.44,-0.040000000000000036,-0.7353,24808.04,13365.537
600892.SH,20191203,5.41,5.48,5.36,5.44,5.41,0.03000000000000025,0.5545,40277.2,21921.249
600892.SH,20191202,5.37,5.41,5.33,5.41,5.39,0.020000000000000462,0.3711,27135.0,14612.616
600892.SH,20191129,5.4,5.4,5.3,5.39,5.41,-0.020000000000000462,-0.3697,38120.0,20347.658
600892.SH,20191128,5.41,5.43,5.35,5.41,5.43,-0.019999999999999574,-0.3683,34235.63,18419.681
600892.SH,20191127,5.43,5.47,5.36,5.43,5.49,-0.0600000000000005,-1.0929,30635.04,16552.54
600892.SH,20191126,5.52,5.56,5.39,5.49,5.54,-0.04999999999999982,-0.9025,47032.0,25643.067
600892.SH,20191125,5.44,5.76,5.4,5.54,5.41,0.1299999999999999,2.403,87393.0,48117.622
600892.SH,20191122,5.46,5.53,5.32,5.41,5.47,-0.05999999999999961,-1.0969,55403.67,30054.606
600892.SH,20191121,5.47,5.53,5.37,5.47,5.44,0.02999999999999936,0.5515,40298.63,22011.75
600892.SH,20191120,5.55,5.59,5.4,5.44,5.55,-0.10999999999999943,-1.982,51416.08,28248.005
600892.SH,20191119,5.35,5.62,5.26,5.55,5.36,0.1899999999999995,3.5448,126681.63,70005.342
600892.SH,20191118,5.29,5.42,5.16,5.36,5.37,-0.009999999999999787,-0.1862,35040.28,18585.239
600892.SH,20191115,5.34,5.45,5.24,5.37,5.35,0.020000000000000462,0.3738,54544.65,29258.028
600892.SH,20191114,5.42,5.42,5.31,5.35,5.43,-0.08000000000000007,-1.4733,34693.0,18557.495
600892.SH,20191113,5.45,5.53,5.35,5.43,5.44,-0.010000000000000675,-0.1838,48699.0,26444.168
600892.SH,20191112,5.36,5.49,5.27,5.44,5.39,0.05000000000000071,0.9276,91984.61,49910.24
600892.SH,20191111,5.3,5.53,5.19,5.39,5.35,0.040000000000000036,0.7477,57146.4,30789.2
600892.SH,20191108,5.39,5.41,5.28,5.35,5.35,0.0,0.0,16174.0,8612.937
600892.SH,20191107,5.38,5.38,5.28,5.35,5.36,-0.010000000000000675,-0.1866,24050.91,12799.398
600892.SH,20191106,5.36,5.41,5.31,5.36,5.32,0.040000000000000036,0.7519,28828.0,15464.367
600892.SH,20191105,5.36,5.38,5.3,5.32,5.35,-0.02999999999999936,-0.5607,17498.88,9331.209
600892.SH,20191104,5.26,5.36,5.26,5.35,5.23,0.11999999999999922,2.2945,23368.0,12462.224
600892.SH,20191101,5.32,5.4,5.22,5.23,5.37,-0.13999999999999968,-2.6071,22515.91,11860.68
600892.SH,20191031,5.32,5.38,5.27,5.37,5.38,-0.009999999999999787,-0.1859,25858.0,13770.612
600892.SH,20191030,5.36,5.39,5.13,5.38,5.36,0.019999999999999574,0.3731,47963.0,25376.089
600892.SH,20191029,5.41,5.41,5.32,5.36,5.37,-0.009999999999999787,-0.1862,37097.0,19873.984
600892.SH,20191028,5.36,5.42,5.29,5.37,5.28,0.08999999999999986,1.7045,26402.95,14167.831
600892.SH,20191025,5.36,5.36,5.22,5.28,5.31,-0.02999999999999936,-0.565,23613.91,12457.763
600892.SH,20191024,5.32,5.38,5.27,5.31,5.32,-0.010000000000000675,-0.188,40906.0,21840.379
600892.SH,20191023,5.2,5.38,5.16,5.32,5.2,0.1200000000000001,2.3077,45500.91,24019.287
600892.SH,20191022,5.1,5.2,5.09,5.2,5.08,0.1200000000000001,2.3622,36248.0,18665.632
600892.SH,20191021,4.99,5.09,4.91,5.08,5.02,0.0600000000000005,1.1952,21470.32,10765.307
600892.SH,20191018,4.88,5.02,4.74,5.02,4.88,0.13999999999999968,2.8689,33813.0,16472.191
600892.SH,20191017,4.95,4.95,4.82,4.88,4.96,-0.08000000000000007,-1.6129,19850.0,9704.305
600892.SH,20191016,4.99,4.99,4.94,4.96,5.0,-0.040000000000000036,-0.8,15635.0,7748.891
600892.SH,20191015,5.0,5.0,4.89,5.0,5.01,-0.009999999999999787,-0.1996,29804.32,14748.472
600892.SH,20191014,5.01,5.03,4.97,5.01,5.02,-0.009999999999999787,-0.1992,25909.0,12938.837
600892.SH,20191011,5.05,5.05,4.95,5.02,5.05,-0.03000000000000025,-0.5941,21963.0,10979.362
600892.SH,20191010,5.03,5.08,5.01,5.05,5.03,0.019999999999999574,0.3976,13382.0,6757.381
600892.SH,20191009,4.99,5.05,4.99,5.03,5.04,-0.009999999999999787,-0.1984,9256.0,4646.287
600892.SH,20191008,5.04,5.05,4.99,5.04,5.04,0.0,0.0,10046.0,5045.747
600892.SH,20190930,5.04,5.05,4.97,5.04,5.04,0.0,0.0,8361.0,4193.404
600892.SH,20190927,4.95,5.05,4.92,5.04,4.97,0.07000000000000028,1.4085,18078.91,9037.068
600892.SH,20190926,5.04,5.05,4.91,4.97,5.06,-0.08999999999999986,-1.7787,24216.0,12067.819
600892.SH,20190925,5.05,5.07,4.99,5.06,5.07,-0.010000000000000675,-0.1972,18431.0,9244.377
600892.SH,20190924,5.06,5.12,5.03,5.07,5.08,-0.009999999999999787,-0.1969,21348.82,10808.119
600892.SH,20190923,5.02,5.08,4.99,5.08,5.02,0.0600000000000005,1.1952,27241.0,13692.184
600892.SH,20190920,5.07,5.07,5.02,5.02,5.05,-0.03000000000000025,-0.5941,16050.82,8086.16
600892.SH,20190919,5.07,5.07,4.96,5.05,5.06,-0.009999999999999787,-0.1976,23426.13,11750.653
