ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000679.SZ,20200225,3.44,3.5,3.3,3.46,3.52,-0.06000000000000005,-1.7045,59458.19,20280.507
000679.SZ,20200224,3.47,3.58,3.45,3.52,3.5,0.020000000000000018,0.5714,33918.84,11880.373
000679.SZ,20200221,3.5,3.58,3.47,3.5,3.47,0.029999999999999805,0.8646,40113.61,14105.796
000679.SZ,20200220,3.39,3.47,3.36,3.47,3.38,0.0900000000000003,2.6627,34112.43,11634.872
000679.SZ,20200219,3.41,3.45,3.36,3.38,3.44,-0.06000000000000005,-1.7442,31603.0,10773.479
000679.SZ,20200218,3.39,3.46,3.37,3.44,3.39,0.04999999999999982,1.4749,31515.75,10763.209
000679.SZ,20200217,3.33,3.42,3.3,3.39,3.3,0.0900000000000003,2.7273,38286.12,12929.054
000679.SZ,20200214,3.3,3.38,3.25,3.3,3.35,-0.050000000000000266,-1.4925,34168.0,11317.226
000679.SZ,20200213,3.33,3.43,3.3,3.35,3.3,0.050000000000000266,1.5152,36597.87,12294.823
000679.SZ,20200212,3.3,3.36,3.28,3.3,3.28,0.020000000000000018,0.6098,25765.87,8566.563
000679.SZ,20200211,3.29,3.33,3.26,3.28,3.32,-0.040000000000000036,-1.2048,23113.0,7618.641
000679.SZ,20200210,3.25,3.36,3.19,3.32,3.28,0.040000000000000036,1.2195,34650.05,11364.939
000679.SZ,20200207,3.21,3.49,3.21,3.28,3.21,0.06999999999999984,2.1807,57643.32,19144.616
000679.SZ,20200206,3.03,3.26,2.99,3.21,3.02,0.18999999999999995,6.2914,61377.41,19387.347
000679.SZ,20200205,2.93,3.08,2.9,3.02,2.92,0.10000000000000009,3.4247,57981.0,17488.949
000679.SZ,20200204,2.81,2.96,2.81,2.92,3.12,-0.20000000000000018,-6.4103,88702.29,25656.974
000679.SZ,20200203,3.12,3.12,3.12,3.12,3.47,-0.3500000000000001,-10.0865,7512.0,2343.744
000679.SZ,20200123,3.62,3.69,3.46,3.47,3.66,-0.18999999999999995,-5.1913,58371.5,20805.149
000679.SZ,20200122,3.73,3.74,3.6,3.66,3.71,-0.04999999999999982,-1.3477,51254.0,18816.797
000679.SZ,20200121,3.78,3.8,3.7,3.71,3.81,-0.10000000000000009,-2.6247,38474.31,14410.864
000679.SZ,20200120,3.8,3.85,3.7,3.81,3.86,-0.04999999999999982,-1.2953,60110.96,22739.625
000679.SZ,20200117,3.96,4.01,3.85,3.86,4.0,-0.14000000000000012,-3.5,73992.27,28965.001
000679.SZ,20200116,4.0,4.0,3.92,4.0,3.99,0.009999999999999787,0.2506,73087.31,28949.415
000679.SZ,20200115,4.01,4.14,3.94,3.99,4.26,-0.2699999999999996,-6.338,166498.82,67061.654
000679.SZ,20200114,4.34,4.54,4.24,4.26,4.43,-0.16999999999999993,-3.8375,186957.0,81999.582
000679.SZ,20200113,4.7,4.74,4.36,4.43,4.74,-0.3100000000000005,-6.5401,336828.82,151192.423
000679.SZ,20200110,4.74,4.74,4.65,4.74,4.31,0.4300000000000006,9.9768,148895.08,70559.016
000679.SZ,20200109,4.31,4.31,4.31,4.31,3.92,0.3899999999999997,9.949,21463.53,9250.781
000679.SZ,20200108,3.93,3.98,3.86,3.92,3.92,0.0,0.0,53867.09,21134.88
000679.SZ,20200107,3.86,3.97,3.84,3.92,3.87,0.04999999999999982,1.292,81198.5,31669.038
000679.SZ,20200106,3.74,3.89,3.72,3.87,3.72,0.1499999999999999,4.0323,115433.02,44191.78
000679.SZ,20200103,3.67,3.74,3.64,3.72,3.69,0.03000000000000025,0.813,46656.52,17309.409
000679.SZ,20200102,3.58,3.75,3.53,3.69,3.57,0.1200000000000001,3.3613,88348.5,32338.554
000679.SZ,20191231,3.57,3.6,3.54,3.57,3.56,0.009999999999999787,0.2809,35900.34,12806.448
000679.SZ,20191230,3.67,3.68,3.51,3.56,3.68,-0.1200000000000001,-3.2609,77590.13,27711.171
000679.SZ,20191227,3.75,3.77,3.68,3.68,3.76,-0.07999999999999963,-2.1277,38203.0,14238.303
000679.SZ,20191226,3.66,3.77,3.66,3.76,3.68,0.07999999999999963,2.1739,37603.0,13980.983
000679.SZ,20191225,3.69,3.73,3.67,3.68,3.72,-0.040000000000000036,-1.0753,26867.5,9944.917
000679.SZ,20191224,3.64,3.72,3.64,3.72,3.66,0.06000000000000005,1.6393,34545.0,12682.646
000679.SZ,20191223,3.78,3.78,3.62,3.66,3.78,-0.11999999999999966,-3.1746,44294.01,16367.35
000679.SZ,20191220,3.75,3.81,3.75,3.78,3.76,0.020000000000000018,0.5319,48638.5,18401.234
000679.SZ,20191219,3.71,3.82,3.71,3.76,3.73,0.029999999999999805,0.8043,48765.64,18336.192
000679.SZ,20191218,3.7,3.74,3.67,3.73,3.71,0.020000000000000018,0.5391,50599.0,18741.633
000679.SZ,20191217,3.67,3.75,3.65,3.71,3.68,0.029999999999999805,0.8152,45809.66,16930.434
000679.SZ,20191216,3.66,3.71,3.63,3.68,3.66,0.020000000000000018,0.5464,37127.0,13617.83
000679.SZ,20191213,3.59,3.66,3.59,3.66,3.59,0.07000000000000028,1.9499,31790.43,11551.62
000679.SZ,20191212,3.64,3.64,3.59,3.59,3.65,-0.06000000000000005,-1.6438,28319.56,10227.007
000679.SZ,20191211,3.7,3.71,3.59,3.65,3.71,-0.06000000000000005,-1.6173,78198.09,28404.084
000679.SZ,20191210,3.75,3.79,3.66,3.71,3.83,-0.1200000000000001,-3.1332,61730.64,22961.037
000679.SZ,20191209,3.82,3.85,3.75,3.83,3.82,0.010000000000000231,0.2618,43707.0,16619.489
000679.SZ,20191206,3.7,4.05,3.69,3.82,3.73,0.08999999999999986,2.4129,78254.26,30145.88
000679.SZ,20191205,3.71,3.75,3.68,3.73,3.72,0.009999999999999787,0.2688,43531.0,16170.744
000679.SZ,20191204,3.69,3.74,3.66,3.72,3.72,0.0,0.0,25070.0,9270.497
000679.SZ,20191203,3.68,3.72,3.63,3.72,3.72,0.0,0.0,21549.02,7928.852
000679.SZ,20191202,3.7,3.73,3.68,3.72,3.7,0.020000000000000018,0.5405,23848.17,8840.155
000679.SZ,20191129,3.68,3.72,3.66,3.7,3.7,0.0,0.0,21161.08,7824.522
000679.SZ,20191128,3.62,3.72,3.6,3.7,3.63,0.07000000000000028,1.9284,32108.25,11789.693
000679.SZ,20191127,3.68,3.68,3.62,3.63,3.69,-0.06000000000000005,-1.626,17502.0,6386.476
000679.SZ,20191126,3.68,3.71,3.65,3.69,3.69,0.0,0.0,26455.0,9721.192
000679.SZ,20191125,3.7,3.73,3.64,3.69,3.7,-0.010000000000000231,-0.2703,29780.0,10954.489
000679.SZ,20191122,3.67,3.74,3.63,3.7,3.67,0.03000000000000025,0.8174,38965.0,14399.121
000679.SZ,20191121,3.65,3.69,3.58,3.67,3.67,0.0,0.0,31421.0,11412.859
000679.SZ,20191120,3.64,3.73,3.63,3.67,3.64,0.029999999999999805,0.8242,32557.0,11971.906
000679.SZ,20191119,3.61,3.66,3.58,3.64,3.61,0.03000000000000025,0.831,17207.14,6256.637
000679.SZ,20191118,3.67,3.67,3.57,3.61,3.7,-0.0900000000000003,-2.4324,33455.15,12086.111
000679.SZ,20191115,3.7,3.71,3.66,3.7,3.72,-0.020000000000000018,-0.5376,22213.2,8183.651
000679.SZ,20191114,3.65,3.74,3.61,3.72,3.67,0.050000000000000266,1.3624,31370.87,11581.119
000679.SZ,20191113,3.69,3.69,3.62,3.67,3.71,-0.040000000000000036,-1.0782,11330.19,4136.341
000679.SZ,20191112,3.68,3.71,3.61,3.71,3.7,0.009999999999999787,0.2703,14795.19,5410.645
000679.SZ,20191111,3.71,3.71,3.65,3.7,3.74,-0.040000000000000036,-1.0695,31676.14,11668.621
000679.SZ,20191108,3.71,3.74,3.61,3.74,3.7,0.040000000000000036,1.0811,33269.0,12220.395
000679.SZ,20191107,3.7,3.72,3.65,3.7,3.7,0.0,0.0,19550.0,7198.788
000679.SZ,20191106,3.74,3.75,3.66,3.7,3.77,-0.06999999999999984,-1.8568,24233.0,8956.344
000679.SZ,20191105,3.85,3.85,3.71,3.77,3.85,-0.08000000000000007,-2.0779,38871.0,14612.059
000679.SZ,20191104,3.83,3.87,3.81,3.85,3.9,-0.04999999999999982,-1.2821,29596.0,11363.043
000679.SZ,20191101,3.79,3.93,3.71,3.9,3.84,0.06000000000000005,1.5625,63031.92,23978.706
000679.SZ,20191031,3.8,3.85,3.68,3.84,3.84,0.0,0.0,48290.07,18161.632
000679.SZ,20191030,3.92,3.97,3.78,3.84,3.95,-0.11000000000000032,-2.7848,40170.0,15476.378
000679.SZ,20191029,4.0,4.01,3.87,3.95,3.99,-0.040000000000000036,-1.0025,72192.0,28167.042
000679.SZ,20191028,3.95,4.03,3.94,3.99,4.0,-0.009999999999999787,-0.25,68519.41,27323.478
000679.SZ,20191025,4.1,4.19,3.95,4.0,4.11,-0.11000000000000032,-2.6764,110363.01,44430.676
000679.SZ,20191024,3.96,4.37,3.85,4.11,4.05,0.0600000000000005,1.4815,233001.99,95231.596
000679.SZ,20191023,3.65,4.05,3.65,4.05,3.68,0.36999999999999966,10.0543,180489.87,71093.501
000679.SZ,20191022,3.62,3.75,3.62,3.68,3.72,-0.040000000000000036,-1.0753,49165.7,17954.049
000679.SZ,20191021,3.76,3.9,3.69,3.72,3.62,0.10000000000000009,2.7624,64197.82,24291.798
