ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600161.SH,20200225,35.0,36.3,34.78,35.99,35.43,0.5600000000000023,1.5806,181826.58,650636.341
600161.SH,20200224,35.69,36.29,35.2,35.43,35.36,0.07000000000000028,0.198,126985.53,451689.759
600161.SH,20200221,35.28,35.48,34.71,35.36,35.11,0.25,0.712,114354.25,402318.235
600161.SH,20200220,34.55,35.35,34.36,35.11,34.53,0.5799999999999983,1.6797,149127.44,521219.392
600161.SH,20200219,36.25,36.25,34.51,34.53,36.16,-1.6299999999999955,-4.5077,211572.77,742494.41
600161.SH,20200218,37.16,37.16,35.78,36.16,37.65,-1.490000000000002,-3.9575,245614.64,891370.398
600161.SH,20200217,37.1,38.17,36.08,37.65,39.37,-1.7199999999999989,-4.3688,348951.95,1295514.793
600161.SH,20200214,39.37,39.37,38.89,39.37,35.79,3.5799999999999983,10.0028,386036.41,1519240.032
600161.SH,20200213,36.05,36.78,35.2,35.79,36.05,-0.259999999999998,-0.7212,162711.82,584968.872
600161.SH,20200212,35.8,36.37,35.15,36.05,35.46,0.5899999999999963,1.6638,120064.26,430663.704
600161.SH,20200211,35.9,36.34,34.3,35.46,36.65,-1.1899999999999977,-3.2469,166879.67,591445.499
600161.SH,20200210,35.6,37.42,35.2,36.65,35.12,1.5300000000000011,4.3565,278018.5,1010784.055
600161.SH,20200207,36.99,37.79,33.62,35.12,36.66,-1.5399999999999991,-4.2008,343671.95,1230260.585
600161.SH,20200206,34.0,36.66,33.5,36.66,33.33,3.3299999999999983,9.991,374280.71,1326024.929
600161.SH,20200205,31.81,33.8,31.25,33.33,30.73,2.599999999999998,8.4608,328519.44,1062059.384
600161.SH,20200204,31.0,31.32,29.9,30.73,31.1,-0.370000000000001,-1.1897,190428.09,580965.701
600161.SH,20200203,33.79,33.79,28.4,31.1,31.32,-0.21999999999999886,-0.7024,240481.43,774178.344
600161.SH,20200123,30.97,32.12,30.65,31.32,30.58,0.740000000000002,2.4199,165500.74,520470.499
600161.SH,20200122,32.05,32.11,30.22,30.58,31.69,-1.110000000000003,-3.5027,140566.62,433227.76
600161.SH,20200121,30.52,31.69,30.38,31.69,30.03,1.6600000000000001,5.5278,218105.35,678597.734
600161.SH,20200120,30.1,30.86,29.11,30.03,29.05,0.9800000000000004,3.3735,148654.94,442909.016
600161.SH,20200117,27.97,29.17,27.88,29.05,28.02,1.0300000000000011,3.6759,79781.5,228620.379
600161.SH,20200116,28.34,28.34,27.8,28.02,28.24,-0.21999999999999886,-0.779,37256.59,104307.609
600161.SH,20200115,28.23,28.58,28.13,28.24,28.19,0.04999999999999716,0.1774,34441.31,97444.089
600161.SH,20200114,28.67,28.77,28.08,28.19,28.19,0.0,0.0,57507.86,162895.042
600161.SH,20200113,27.75,28.22,27.75,28.19,27.8,0.39000000000000057,1.4029,55366.16,155358.261
600161.SH,20200110,27.88,27.98,27.6,27.8,27.75,0.05000000000000071,0.1802,35689.84,99085.31
600161.SH,20200109,27.88,28.0,27.56,27.75,27.57,0.17999999999999972,0.6529,48757.53,135291.761
600161.SH,20200108,27.82,28.08,27.55,27.57,27.92,-0.3500000000000014,-1.2536,44058.96,122560.168
600161.SH,20200107,27.16,28.07,27.16,27.92,27.12,0.8000000000000007,2.9499,69159.96,191747.698
600161.SH,20200106,27.84,28.05,26.9,27.12,27.85,-0.7300000000000004,-2.6212,85569.4,235079.01
600161.SH,20200103,27.8,28.05,27.74,27.85,27.86,-0.00999999999999801,-0.0359,39890.5,111233.897
600161.SH,20200102,27.95,28.25,27.4,27.86,27.94,-0.08000000000000185,-0.2863,87445.88,242942.257
600161.SH,20191231,27.18,29.08,27.1,27.94,27.03,0.9100000000000001,3.3666,141244.44,397580.494
600161.SH,20191230,26.6,27.13,26.44,27.03,26.64,0.39000000000000057,1.464,35320.47,95016.882
600161.SH,20191227,27.03,27.17,26.5,26.64,27.03,-0.39000000000000057,-1.4428,42548.78,114377.781
600161.SH,20191226,26.7,27.1,26.56,27.03,26.64,0.39000000000000057,1.464,40033.19,108045.536
600161.SH,20191225,26.53,26.69,26.44,26.64,26.53,0.10999999999999943,0.4146,24409.01,64911.659
600161.SH,20191224,26.24,26.65,26.1,26.53,26.32,0.21000000000000085,0.7979,26207.52,69371.215
600161.SH,20191223,26.42,26.71,26.24,26.32,26.43,-0.10999999999999943,-0.4162,38402.15,101683.786
600161.SH,20191220,26.41,26.68,26.24,26.43,26.58,-0.14999999999999858,-0.5643,39175.37,103651.184
600161.SH,20191219,26.85,26.88,26.32,26.58,26.8,-0.22000000000000242,-0.8209,36572.41,96997.008
600161.SH,20191218,27.21,27.34,26.5,26.8,27.27,-0.46999999999999886,-1.7235,65249.04,174960.912
600161.SH,20191217,27.3,27.39,27.03,27.27,27.27,0.0,0.0,39408.47,107280.323
600161.SH,20191216,27.18,27.47,26.87,27.27,27.18,0.08999999999999986,0.3311,47305.92,128443.375
600161.SH,20191213,26.88,27.2,26.88,27.18,26.89,0.28999999999999915,1.0785,40647.11,110067.861
600161.SH,20191212,27.0,27.18,26.75,26.89,27.0,-0.10999999999999943,-0.4074,34708.82,93563.767
600161.SH,20191211,26.8,27.08,26.45,27.0,26.69,0.3099999999999987,1.1615,40340.09,108106.17
600161.SH,20191210,26.41,26.78,26.24,26.69,26.48,0.21000000000000085,0.7931,26411.04,70376.154
600161.SH,20191209,26.75,26.85,26.27,26.48,26.75,-0.2699999999999996,-1.0093,30210.16,79829.608
600161.SH,20191206,26.69,26.84,26.54,26.75,26.67,0.0799999999999983,0.3,20439.91,54579.871
600161.SH,20191205,26.42,26.74,26.4,26.67,26.38,0.2900000000000027,1.0993,26875.91,71541.436
600161.SH,20191204,25.81,26.5,25.77,26.38,25.95,0.4299999999999997,1.657,34972.25,91921.199
600161.SH,20191203,25.66,25.97,25.21,25.95,25.65,0.3000000000000007,1.1696,41481.46,106423.895
600161.SH,20191202,26.32,26.43,25.58,25.65,26.42,-0.7700000000000031,-2.9145,65941.6,170447.003
