ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000662.SZ,20200225,4.24,4.34,4.04,4.29,4.35,-0.05999999999999961,-1.3793,396010.85,168172.552
000662.SZ,20200224,4.24,4.38,4.2,4.35,4.28,0.0699999999999994,1.6355,464330.26,200586.089
000662.SZ,20200221,4.06,4.33,4.05,4.28,4.16,0.1200000000000001,2.8846,528900.8,223863.974
000662.SZ,20200220,4.12,4.16,4.02,4.16,4.08,0.08000000000000007,1.9608,309347.55,126847.545
000662.SZ,20200219,4.21,4.24,4.07,4.08,4.25,-0.16999999999999993,-4.0,335287.3,138879.413
000662.SZ,20200218,4.15,4.32,4.11,4.25,4.14,0.11000000000000032,2.657,434072.55,182739.439
000662.SZ,20200217,3.87,4.15,3.87,4.14,3.87,0.2699999999999996,6.9767,423355.66,171420.992
000662.SZ,20200214,3.91,3.98,3.82,3.87,3.95,-0.08000000000000007,-2.0253,249300.08,96992.758
000662.SZ,20200213,4.0,4.09,3.93,3.95,4.03,-0.08000000000000007,-1.9851,245669.7,97947.934
000662.SZ,20200212,3.92,4.03,3.89,4.03,3.92,0.11000000000000032,2.8061,255775.46,101872.163
000662.SZ,20200211,4.05,4.06,3.85,3.92,3.98,-0.06000000000000005,-1.5075,285742.5,112532.83
000662.SZ,20200210,3.86,4.04,3.84,3.98,3.86,0.1200000000000001,3.1088,364560.58,144373.977
000662.SZ,20200207,3.75,3.94,3.71,3.86,3.77,0.08999999999999986,2.3873,382926.19,147470.983
000662.SZ,20200206,3.65,3.84,3.65,3.77,3.7,0.06999999999999984,1.8919,447096.83,167220.109
000662.SZ,20200205,3.46,3.74,3.41,3.7,3.46,0.2400000000000002,6.9364,492824.9,178317.976
000662.SZ,20200204,3.34,3.55,3.34,3.46,3.71,-0.25,-6.7385,535416.31,183641.737
000662.SZ,20200203,3.71,3.71,3.71,3.71,4.12,-0.41000000000000014,-9.9515,17752.0,6585.992
000662.SZ,20200123,4.12,4.12,4.12,4.12,4.58,-0.45999999999999996,-10.0437,113496.0,46760.352
000662.SZ,20200122,4.62,4.72,4.51,4.58,4.65,-0.07000000000000028,-1.5054,258700.15,119141.127
000662.SZ,20200121,4.85,4.85,4.6,4.65,4.81,-0.15999999999999925,-3.3264,246936.45,116166.385
000662.SZ,20200120,4.78,4.91,4.58,4.81,4.78,0.02999999999999936,0.6276,343323.37,164674.241
000662.SZ,20200117,5.07,5.12,4.76,4.78,5.11,-0.33000000000000007,-6.4579,530612.54,259995.026
000662.SZ,20200116,5.22,5.23,4.98,5.11,5.33,-0.21999999999999975,-4.1276,565781.46,288287.552
000662.SZ,20200115,5.45,5.49,5.21,5.33,5.46,-0.1299999999999999,-2.381,320630.79,170676.367
000662.SZ,20200114,5.53,5.63,5.45,5.46,5.53,-0.07000000000000028,-1.2658,216382.39,119517.051
000662.SZ,20200113,5.56,5.59,5.42,5.53,5.59,-0.05999999999999961,-1.0733,199763.53,109656.289
000662.SZ,20200110,5.63,5.68,5.54,5.59,5.57,0.019999999999999574,0.3591,210434.6,117694.276
000662.SZ,20200109,5.48,5.62,5.47,5.57,5.45,0.1200000000000001,2.2018,220787.0,122731.236
