ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600620.SH,20200225,6.11,6.2,5.95,6.1,6.23,-0.13000000000000078,-2.0867,55485.1,33701.73
600620.SH,20200224,6.15,6.23,6.07,6.23,6.14,0.09000000000000075,1.4658,55223.29,33985.095
600620.SH,20200221,6.07,6.27,6.02,6.14,6.07,0.0699999999999994,1.1532,62773.98,38692.936
600620.SH,20200220,5.98,6.09,5.95,6.07,5.95,0.1200000000000001,2.0168,37422.82,22557.671
600620.SH,20200219,6.02,6.07,5.94,5.95,6.0,-0.04999999999999982,-0.8333,56013.4,33602.854
600620.SH,20200218,5.91,6.09,5.87,6.0,5.91,0.08999999999999986,1.5228,41847.92,25007.438
600620.SH,20200217,5.74,5.91,5.73,5.91,5.76,0.15000000000000036,2.6042,42698.09,25022.999
600620.SH,20200214,5.78,5.81,5.7,5.76,5.77,-0.009999999999999787,-0.1733,20186.5,11616.565
600620.SH,20200213,5.79,5.95,5.75,5.77,5.79,-0.020000000000000462,-0.3454,44202.38,25827.627
600620.SH,20200212,5.71,5.8,5.66,5.79,5.69,0.09999999999999964,1.7575,27892.16,16001.536
600620.SH,20200211,5.76,5.76,5.67,5.69,5.7,-0.009999999999999787,-0.1754,27457.23,15685.627
600620.SH,20200210,5.58,5.75,5.53,5.7,5.59,0.11000000000000032,1.9678,35184.43,19897.517
600620.SH,20200207,5.59,5.64,5.51,5.59,5.57,0.019999999999999574,0.3591,34421.81,19180.004
600620.SH,20200206,5.53,5.61,5.43,5.57,5.49,0.08000000000000007,1.4572,32263.63,17899.724
600620.SH,20200205,5.31,5.8,5.31,5.49,5.32,0.16999999999999993,3.1955,61808.27,34470.859
600620.SH,20200204,5.09,5.4,5.09,5.32,5.59,-0.2699999999999996,-4.8301,73367.81,38659.502
600620.SH,20200203,5.59,5.59,5.59,5.59,6.21,-0.6200000000000001,-9.9839,5514.0,3082.326
600620.SH,20200123,6.36,6.43,6.11,6.21,6.38,-0.16999999999999993,-2.6646,38413.99,24022.369
600620.SH,20200122,6.36,6.42,6.23,6.38,6.35,0.03000000000000025,0.4724,29384.57,18600.82
