ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300807.SZ,20200225,51.7,52.58,48.98,52.14,53.83,-1.6899999999999977,-3.1395,31100.77,160011.888
300807.SZ,20200224,53.6,55.09,53.13,53.83,54.07,-0.240000000000002,-0.4439,23211.54,125656.336
300807.SZ,20200221,54.12,54.5,53.1,54.07,54.51,-0.4399999999999977,-0.8072,28154.63,151284.743
300807.SZ,20200220,52.26,55.49,52.26,54.51,51.97,2.539999999999999,4.8874,36758.77,199377.94
300807.SZ,20200219,53.56,53.56,51.97,51.97,53.73,-1.759999999999998,-3.2756,21990.3,115806.936
300807.SZ,20200218,52.55,54.17,52.0,53.73,53.15,0.5799999999999983,1.0913,28409.61,150590.093
300807.SZ,20200217,51.6,54.99,51.4,53.15,52.1,1.0499999999999972,2.0154,32051.34,171035.31
300807.SZ,20200214,48.17,52.79,48.17,52.1,49.06,3.039999999999999,6.1965,36956.39,188945.253
300807.SZ,20200213,46.2,51.09,46.2,49.06,46.8,2.260000000000005,4.8291,32033.44,154059.338
300807.SZ,20200212,45.8,46.93,45.51,46.8,46.06,0.7399999999999949,1.6066,17766.0,82769.084
300807.SZ,20200211,47.02,47.13,45.6,46.06,47.13,-1.0700000000000003,-2.2703,16526.2,76698.254
300807.SZ,20200210,46.49,47.75,45.88,47.13,46.64,0.490000000000002,1.0506,18271.32,85612.875
300807.SZ,20200207,45.4,47.89,44.79,46.64,45.44,1.2000000000000028,2.6408,20102.29,93398.269
300807.SZ,20200206,43.7,45.52,43.28,45.44,43.78,1.6599999999999966,3.7917,22995.16,102504.807
300807.SZ,20200205,43.0,44.69,42.88,43.78,42.58,1.2000000000000028,2.8182,23746.11,104416.472
300807.SZ,20200204,40.58,42.88,40.58,42.58,45.09,-2.510000000000005,-5.5666,29430.11,123240.176
300807.SZ,20200203,45.09,45.09,45.09,45.09,50.1,-5.009999999999998,-10.0,1598.0,7205.382
300807.SZ,20200123,53.4,54.17,49.48,50.1,53.63,-3.530000000000001,-6.5821,21790.52,112490.002
300807.SZ,20200122,54.86,54.86,53.03,53.63,55.41,-1.779999999999994,-3.2124,21769.8,117227.086
300807.SZ,20200121,57.3,57.37,55.41,55.41,57.65,-2.240000000000002,-3.8855,18734.99,105546.167
300807.SZ,20200120,55.62,57.85,54.9,57.65,56.4,1.25,2.2163,21205.97,120098.915
300807.SZ,20200117,58.0,58.25,55.86,56.4,57.85,-1.4500000000000028,-2.5065,20629.72,118184.989
300807.SZ,20200116,57.26,58.18,56.16,57.85,57.7,0.14999999999999858,0.26,25733.19,147513.957
300807.SZ,20200115,59.0,59.0,55.66,57.7,59.32,-1.6199999999999974,-2.731,36622.4,209651.906
300807.SZ,20200114,59.1,60.88,58.72,59.32,59.16,0.1600000000000037,0.2705,32536.26,194170.437
300807.SZ,20200113,59.02,59.59,57.51,59.16,60.28,-1.1200000000000045,-1.858,35024.86,205603.624
300807.SZ,20200110,63.47,63.6,59.8,60.28,63.65,-3.3699999999999974,-5.2946,47487.22,290253.478
300807.SZ,20200109,66.1,67.35,63.11,63.65,65.32,-1.6699999999999946,-2.5566,51039.68,330610.059
300807.SZ,20200108,64.0,66.33,63.01,65.32,67.01,-1.690000000000012,-2.522,53116.52,343856.855
300807.SZ,20200107,60.0,69.19,60.0,67.01,62.9,4.1100000000000065,6.5342,99824.35,648192.057
300807.SZ,20200106,66.01,66.01,59.77,62.9,66.04,-3.1400000000000077,-4.7547,112355.81,700255.582
300807.SZ,20200103,66.04,66.04,66.04,66.04,60.04,6.000000000000007,9.9933,2142.51,14149.136
300807.SZ,20200102,60.04,60.04,60.04,60.04,54.58,5.460000000000001,10.0037,1293.66,7767.134
300807.SZ,20191231,54.58,54.58,54.58,54.58,49.62,4.960000000000001,9.996,1235.8,6744.996
300807.SZ,20191230,49.62,49.62,49.62,49.62,45.11,4.509999999999998,9.9978,1081.69,5367.345
300807.SZ,20191227,45.11,45.11,45.11,45.11,41.01,4.100000000000001,9.9976,1061.11,4786.667
300807.SZ,20191226,41.01,41.01,41.01,41.01,37.28,3.729999999999997,10.0054,763.42,3130.785
300807.SZ,20191225,37.28,37.28,37.28,37.28,33.89,3.3900000000000006,10.003,781.0,2911.568
300807.SZ,20191224,33.89,33.89,33.89,33.89,30.81,3.080000000000002,9.9968,319.56,1082.988
300807.SZ,20191223,30.81,30.81,30.81,30.81,28.01,2.799999999999997,9.9964,177.0,545.337
300807.SZ,20191220,28.01,28.01,28.01,28.01,25.46,2.5500000000000007,10.0157,130.0,364.13
300807.SZ,20191219,21.22,25.46,21.22,25.46,17.68,7.780000000000001,44.0045,535.86,1356.591
