ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
601162.SH,20200225,6.81,7.28,6.69,7.18,7.02,0.16000000000000014,2.2792,3406826.78,2384103.183
601162.SH,20200224,6.87,7.13,6.8,7.02,6.98,0.03999999999999915,0.5731,2726604.08,1903990.412
601162.SH,20200221,6.79,7.3,6.7,6.98,6.88,0.10000000000000053,1.4535,4185338.77,2910501.044
601162.SH,20200220,6.24,6.88,6.18,6.88,6.25,0.6299999999999999,10.08,3797218.02,2480849.182
601162.SH,20200219,6.31,6.49,6.25,6.25,6.35,-0.09999999999999964,-1.5748,1812770.55,1154605.821
601162.SH,20200218,6.38,6.47,6.28,6.35,6.42,-0.07000000000000028,-1.0903,1453848.64,924052.29
601162.SH,20200217,6.29,6.46,6.21,6.42,6.18,0.2400000000000002,3.8835,2121194.54,1340937.778
601162.SH,20200214,6.08,6.29,6.01,6.18,6.16,0.019999999999999574,0.3247,1514259.53,933972.93
601162.SH,20200213,6.09,6.34,6.02,6.16,6.07,0.08999999999999986,1.4827,1854931.53,1149276.159
601162.SH,20200212,5.91,6.12,5.9,6.07,5.98,0.08999999999999986,1.505,1197138.27,718422.904
601162.SH,20200211,6.17,6.21,5.95,5.98,6.11,-0.1299999999999999,-2.1277,1303472.74,789693.234
601162.SH,20200210,6.02,6.18,6.0,6.11,6.11,0.0,0.0,1167630.38,710870.995
601162.SH,20200207,5.81,6.18,5.78,6.11,5.85,0.2600000000000007,4.4444,1670141.34,1010513.663
601162.SH,20200206,5.65,5.93,5.6,5.85,5.7,0.14999999999999947,2.6316,1426873.15,824705.647
601162.SH,20200205,5.64,5.94,5.56,5.7,5.65,0.04999999999999982,0.885,1191724.49,684553.319
601162.SH,20200204,5.18,5.76,5.18,5.65,5.76,-0.10999999999999943,-1.9097,1497509.66,823610.073
601162.SH,20200203,5.76,5.76,5.76,5.76,6.4,-0.6400000000000006,-10.0,81672.0,47043.072
601162.SH,20200123,6.5,6.62,6.32,6.4,6.58,-0.17999999999999972,-2.7356,779781.21,504994.663
601162.SH,20200122,6.43,6.65,6.32,6.58,6.5,0.08000000000000007,1.2308,826905.31,539117.771
601162.SH,20200121,6.85,6.86,6.47,6.5,6.9,-0.40000000000000036,-5.7971,1528454.82,1016730.198
