ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600129.SH,20200225,12.46,12.84,12.3,12.8,12.59,0.21000000000000085,1.668,98019.44,123941.918
600129.SH,20200224,12.39,12.78,12.39,12.59,12.44,0.15000000000000036,1.2058,62051.7,78176.709
600129.SH,20200221,12.4,12.51,12.31,12.44,12.33,0.10999999999999943,0.8921,53715.86,66635.16
600129.SH,20200220,12.44,12.55,12.06,12.33,12.45,-0.11999999999999922,-0.9639,67571.21,83053.712
600129.SH,20200219,12.69,12.84,12.43,12.45,12.91,-0.46000000000000085,-3.5631,74490.49,93718.752
600129.SH,20200218,12.68,13.07,12.68,12.91,12.65,0.2599999999999998,2.0553,79274.89,102195.944
600129.SH,20200217,12.51,12.72,12.51,12.65,12.56,0.08999999999999986,0.7166,69585.38,87877.049
600129.SH,20200214,12.71,12.79,12.51,12.56,12.71,-0.15000000000000036,-1.1802,62497.25,78951.478
600129.SH,20200213,13.16,13.16,12.62,12.71,13.03,-0.3199999999999985,-2.4559,71380.29,91773.33
600129.SH,20200212,13.08,13.33,12.89,13.03,13.16,-0.13000000000000078,-0.9878,74076.2,96898.645
600129.SH,20200211,13.22,13.49,13.0,13.16,13.69,-0.5299999999999994,-3.8714,101987.62,134826.353
600129.SH,20200210,13.47,13.88,12.5,13.69,13.17,0.5199999999999996,3.9484,199372.65,260819.389
600129.SH,20200207,13.6,14.15,13.0,13.17,13.59,-0.41999999999999993,-3.0905,207836.26,280124.414
600129.SH,20200206,13.47,14.27,13.13,13.59,13.1,0.4900000000000002,3.7405,264192.33,363186.813
600129.SH,20200205,12.49,13.4,12.18,13.1,12.23,0.8699999999999992,7.1137,228285.23,288805.384
600129.SH,20200204,12.34,12.64,11.79,12.23,12.34,-0.10999999999999943,-0.8914,188000.47,228308.219
600129.SH,20200203,12.49,12.5,11.0,12.34,11.36,0.9800000000000004,8.6268,286393.66,344735.46
600129.SH,20200123,11.54,11.64,11.05,11.36,11.72,-0.3600000000000012,-3.0717,119519.21,134667.376
600129.SH,20200122,12.62,12.71,11.63,11.72,12.68,-0.9599999999999991,-7.571,133308.84,160392.681
600129.SH,20200121,12.45,12.8,12.01,12.68,13.0,-0.3200000000000003,-2.4615,127736.39,159453.473
600129.SH,20200120,13.23,13.35,12.82,13.0,12.84,0.16000000000000014,1.2461,60070.67,78054.103
600129.SH,20200117,12.66,12.88,12.61,12.84,12.64,0.1999999999999993,1.5823,37985.6,48450.388
600129.SH,20200116,12.9,12.9,12.57,12.64,12.74,-0.09999999999999964,-0.7849,41270.66,52326.198
600129.SH,20200115,13.06,13.16,12.65,12.74,13.0,-0.2599999999999998,-2.0,52350.14,67185.453
600129.SH,20200114,13.32,13.39,12.91,13.0,13.33,-0.33000000000000007,-2.4756,68112.36,88886.571
600129.SH,20200113,12.55,13.6,12.46,13.33,12.59,0.7400000000000002,5.8777,104948.97,138223.75
600129.SH,20200110,12.7,12.88,11.98,12.59,12.76,-0.16999999999999993,-1.3323,71422.62,89915.609
600129.SH,20200109,11.65,12.76,11.65,12.76,11.6,1.1600000000000001,10.0,126039.68,156775.335
