ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600768.SH,20200225,11.19,11.19,10.59,11.04,11.42,-0.3800000000000008,-3.3275,73275.01,80415.992
600768.SH,20200224,11.52,11.52,11.25,11.42,11.58,-0.16000000000000014,-1.3817,58926.52,67050.29
600768.SH,20200221,11.32,11.88,11.32,11.58,11.39,0.1899999999999995,1.6681,76175.52,88519.163
600768.SH,20200220,11.25,11.4,11.11,11.39,11.24,0.15000000000000036,1.3345,55647.14,62711.088
600768.SH,20200219,11.19,11.4,11.12,11.24,11.29,-0.049999999999998934,-0.4429,48791.01,55104.844
600768.SH,20200218,11.06,11.34,11.05,11.29,11.15,0.1399999999999988,1.2556,49434.01,55536.304
600768.SH,20200217,10.88,11.18,10.8,11.15,10.76,0.39000000000000057,3.6245,51269.0,56293.904
600768.SH,20200214,10.7,10.84,10.6,10.76,10.7,0.0600000000000005,0.5607,35673.26,38222.654
600768.SH,20200213,10.88,10.97,10.61,10.7,10.99,-0.2900000000000009,-2.6388,51951.19,56009.604
600768.SH,20200212,10.73,11.1,10.71,10.99,10.77,0.22000000000000064,2.0427,47688.0,52138.329
600768.SH,20200211,10.8,10.91,10.7,10.77,10.89,-0.120000000000001,-1.1019,35472.42,38282.094
600768.SH,20200210,10.35,10.97,10.33,10.89,10.41,0.4800000000000004,4.611,66841.25,72089.612
600768.SH,20200207,10.35,10.49,10.23,10.41,10.46,-0.05000000000000071,-0.478,52762.61,54557.336
600768.SH,20200206,10.24,10.54,10.21,10.46,10.34,0.120000000000001,1.1605,52532.18,54453.456
600768.SH,20200205,10.2,10.57,10.13,10.34,10.13,0.20999999999999908,2.0731,49582.02,51425.141
600768.SH,20200204,9.52,10.3,9.52,10.13,10.58,-0.4499999999999993,-4.2533,58158.87,57985.428
600768.SH,20200203,10.58,10.58,10.58,10.58,11.75,-1.17,-9.9574,5953.0,6298.274
600768.SH,20200123,12.17,12.25,11.53,11.75,12.18,-0.4299999999999997,-3.5304,48839.2,57813.164
600768.SH,20200122,12.24,12.35,11.77,12.18,12.3,-0.120000000000001,-0.9756,52521.29,63210.185
600768.SH,20200121,12.67,12.68,12.19,12.3,12.62,-0.3199999999999985,-2.5357,38380.05,47732.768
600768.SH,20200120,12.73,12.91,12.38,12.62,12.69,-0.07000000000000028,-0.5516,49684.81,62541.712
600768.SH,20200117,12.6,12.82,12.54,12.69,12.51,0.17999999999999972,1.4388,46917.24,59450.393
600768.SH,20200116,12.66,12.68,12.37,12.51,12.65,-0.14000000000000057,-1.1067,52739.76,65730.657
600768.SH,20200115,13.15,13.32,12.54,12.65,13.13,-0.4800000000000004,-3.6558,85775.84,110433.883
600768.SH,20200114,13.46,13.62,13.1,13.13,13.6,-0.46999999999999886,-3.4559,99365.51,132507.146
600768.SH,20200113,12.8,13.81,12.69,13.6,12.85,0.75,5.8366,146539.21,194627.059
600768.SH,20200110,12.7,12.96,12.65,12.85,12.7,0.15000000000000036,1.1811,85457.37,109410.695
600768.SH,20200109,12.57,12.79,12.51,12.7,12.45,0.25,2.008,66017.9,83546.742
600768.SH,20200108,12.81,12.82,12.43,12.45,12.91,-0.46000000000000085,-3.5631,83853.31,105825.02
600768.SH,20200107,12.84,12.99,12.6,12.91,12.86,0.05000000000000071,0.3888,107958.94,138365.552
600768.SH,20200106,12.68,12.91,12.49,12.86,12.9,-0.040000000000000924,-0.3101,116534.92,147988.343
600768.SH,20200103,12.67,13.18,12.47,12.9,12.71,0.1899999999999995,1.4949,162607.07,208087.671
600768.SH,20200102,12.33,12.85,12.23,12.71,12.25,0.46000000000000085,3.7551,163059.55,203919.796
600768.SH,20191231,12.55,12.65,12.0,12.25,12.58,-0.33000000000000007,-2.6232,179635.28,220678.523
600768.SH,20191230,13.61,13.72,12.24,12.58,13.6,-1.0199999999999996,-7.5,179508.75,227317.007
600768.SH,20191227,14.08,14.76,13.56,13.6,14.03,-0.4299999999999997,-3.0649,177193.29,251509.711
600768.SH,20191226,13.67,14.21,13.67,14.03,14.43,-0.40000000000000036,-2.772,150893.35,210629.143
600768.SH,20191225,13.84,15.9,13.84,14.43,14.55,-0.120000000000001,-0.8247,262965.55,385693.504
600768.SH,20191224,13.67,14.99,12.63,14.55,13.96,0.5899999999999999,4.2264,330646.98,465547.696
600768.SH,20191223,12.81,13.96,12.81,13.96,12.69,1.2700000000000014,10.0079,331649.37,455170.98
600768.SH,20191220,11.8,12.69,11.66,12.69,11.54,1.1500000000000004,9.9653,215755.66,267720.624
600768.SH,20191219,10.49,11.54,10.41,11.54,10.49,1.049999999999999,10.0095,103060.87,115230.922
600768.SH,20191218,10.48,10.62,10.46,10.49,10.47,0.019999999999999574,0.191,21416.0,22521.647
600768.SH,20191217,10.48,10.55,10.36,10.47,10.48,-0.009999999999999787,-0.0954,23418.82,24521.734
600768.SH,20191216,10.34,10.5,10.27,10.48,10.48,0.0,0.0,29642.0,30682.484
600768.SH,20191213,10.75,10.92,10.43,10.48,10.45,0.030000000000001137,0.2871,41723.39,44431.783
600768.SH,20191212,10.38,10.45,10.31,10.45,10.35,0.09999999999999964,0.9662,9917.66,10290.222
600768.SH,20191211,10.36,10.39,10.27,10.35,10.38,-0.030000000000001137,-0.289,7779.0,8033.481
600768.SH,20191210,10.31,10.42,10.28,10.38,10.31,0.07000000000000028,0.679,7489.49,7758.831
600768.SH,20191209,10.4,10.5,10.24,10.31,10.47,-0.16000000000000014,-1.5282,13504.49,13980.977
600768.SH,20191206,10.35,10.49,10.34,10.47,10.34,0.13000000000000078,1.2573,12351.81,12874.679
600768.SH,20191205,10.33,10.47,10.27,10.34,10.26,0.08000000000000007,0.7797,12789.0,13241.61
600768.SH,20191204,10.16,10.36,10.16,10.26,10.26,0.0,0.0,7693.16,7913.528
600768.SH,20191203,10.15,10.26,10.08,10.26,10.14,0.11999999999999922,1.1834,11484.19,11683.85
600768.SH,20191202,10.18,10.21,10.1,10.14,10.13,0.009999999999999787,0.0987,6604.0,6709.546
600768.SH,20191129,10.1,10.19,10.04,10.13,10.13,0.0,0.0,5379.33,5437.49
600768.SH,20191128,10.09,10.28,10.09,10.13,10.1,0.030000000000001137,0.297,10684.36,10881.917
600768.SH,20191127,10.16,10.22,10.05,10.1,10.19,-0.08999999999999986,-0.8832,8356.81,8481.4
600768.SH,20191126,10.13,10.21,10.12,10.19,10.15,0.03999999999999915,0.3941,6607.0,6708.564
600768.SH,20191125,10.04,10.15,10.01,10.15,10.04,0.11000000000000121,1.0956,6859.72,6915.333
600768.SH,20191122,10.17,10.28,9.98,10.04,10.14,-0.10000000000000142,-0.9862,13213.0,13339.357
600768.SH,20191121,10.09,10.14,9.98,10.14,10.06,0.08000000000000007,0.7952,5554.8,5602.602
600768.SH,20191120,10.16,10.17,10.03,10.06,10.18,-0.11999999999999922,-1.1788,9057.0,9141.331
600768.SH,20191119,10.2,10.22,10.08,10.18,10.12,0.0600000000000005,0.5929,15287.81,15505.686
