ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600793.SH,20200225,13.88,13.94,13.46,13.87,14.05,-0.1800000000000015,-1.2811,15876.53,21760.387
600793.SH,20200224,14.17,14.27,13.85,14.05,14.18,-0.129999999999999,-0.9168,11799.24,16538.56
600793.SH,20200221,14.2,14.35,14.1,14.18,14.22,-0.040000000000000924,-0.2813,12758.0,18126.869
600793.SH,20200220,13.62,14.3,13.56,14.22,13.83,0.39000000000000057,2.82,18499.27,25878.903
600793.SH,20200219,13.84,13.99,12.43,13.83,13.8,0.02999999999999936,0.2174,12387.7,16706.493
600793.SH,20200218,13.72,13.91,13.68,13.8,13.72,0.08000000000000007,0.5831,9274.0,12789.94
600793.SH,20200217,13.38,13.77,13.38,13.72,13.45,0.27000000000000135,2.0074,10911.7,14880.355
600793.SH,20200214,13.58,13.64,13.41,13.45,13.57,-0.120000000000001,-0.8843,8194.0,11067.157
600793.SH,20200213,13.66,13.91,13.12,13.57,13.66,-0.08999999999999986,-0.6589,18342.31,24923.6
600793.SH,20200212,13.52,13.66,13.43,13.66,13.52,0.14000000000000057,1.0355,6062.3,8218.053
600793.SH,20200211,13.54,13.77,13.46,13.52,13.59,-0.07000000000000028,-0.5151,8361.21,11347.846
600793.SH,20200210,13.09,13.65,13.09,13.59,13.09,0.5,3.8197,10615.31,14275.75
600793.SH,20200207,12.82,13.14,12.65,13.09,12.82,0.2699999999999996,2.1061,8843.14,11479.131
600793.SH,20200206,12.69,12.95,12.36,12.82,12.6,0.22000000000000064,1.746,10414.44,13183.596
600793.SH,20200205,12.59,12.81,12.5,12.6,12.47,0.129999999999999,1.0425,11260.7,14273.806
600793.SH,20200204,12.28,12.82,12.25,12.47,13.61,-1.1399999999999988,-8.3762,25088.01,31395.737
600793.SH,20200203,13.63,13.63,13.61,13.61,15.12,-1.5099999999999998,-9.9868,2916.0,3969.868
600793.SH,20200123,15.78,15.78,14.88,15.12,15.63,-0.5100000000000016,-3.263,12648.5,19313.448
600793.SH,20200122,16.1,16.12,15.1,15.63,16.08,-0.4499999999999975,-2.7985,16896.0,26464.742
600793.SH,20200121,16.35,16.45,16.08,16.08,16.43,-0.3500000000000014,-2.1302,14926.1,24106.66
600793.SH,20200120,17.37,17.46,16.06,16.43,17.46,-1.0300000000000011,-5.8992,29037.46,48349.217
600793.SH,20200117,17.15,18.08,17.15,17.46,17.33,0.13000000000000256,0.7501,47620.36,84105.944
600793.SH,20200116,16.71,17.33,16.71,17.33,16.85,0.4799999999999969,2.8487,31010.45,52758.183
600793.SH,20200115,16.65,16.91,16.58,16.85,16.63,0.22000000000000242,1.3229,20988.0,35232.184
600793.SH,20200114,16.42,16.67,16.31,16.63,16.42,0.2099999999999973,1.2789,17697.0,29269.547
600793.SH,20200113,16.32,16.44,16.12,16.42,16.36,0.060000000000002274,0.3667,10731.2,17475.683
600793.SH,20200110,16.56,16.56,16.32,16.36,16.52,-0.16000000000000014,-0.9685,9921.21,16245.781
600793.SH,20200109,16.29,16.61,16.29,16.52,16.26,0.259999999999998,1.599,23872.59,39263.401
600793.SH,20200108,16.29,16.32,16.23,16.26,16.32,-0.05999999999999872,-0.3676,14053.28,22875.722
600793.SH,20200107,16.25,16.33,16.23,16.32,16.28,0.03999999999999915,0.2457,14300.0,23282.115
600793.SH,20200106,16.2,16.33,16.1,16.28,16.25,0.030000000000001137,0.1846,12793.21,20741.149
600793.SH,20200103,16.22,16.26,16.12,16.25,16.23,0.019999999999999574,0.1232,10478.49,16964.125
600793.SH,20200102,16.17,16.38,16.17,16.23,16.13,0.10000000000000142,0.62,11857.29,19286.903
600793.SH,20191231,16.18,16.18,16.01,16.13,16.01,0.11999999999999744,0.7495,8402.28,13515.135
600793.SH,20191230,16.11,16.26,15.5,16.01,16.11,-0.09999999999999787,-0.6207,10339.78,16538.012
600793.SH,20191227,16.12,16.2,16.1,16.11,16.17,-0.060000000000002274,-0.3711,5225.0,8441.217
600793.SH,20191226,16.14,16.21,16.05,16.17,16.11,0.060000000000002274,0.3724,5620.0,9065.254
600793.SH,20191225,16.14,16.18,16.05,16.11,16.14,-0.030000000000001137,-0.1859,4888.0,7871.27
600793.SH,20191224,16.03,16.18,16.0,16.14,16.03,0.10999999999999943,0.6862,5764.0,9274.516
600793.SH,20191223,16.42,16.46,16.03,16.03,16.42,-0.39000000000000057,-2.3752,12453.9,20158.233
600793.SH,20191220,16.32,16.65,16.28,16.42,16.32,0.10000000000000142,0.6127,17167.0,28274.113
600793.SH,20191219,16.33,16.39,16.28,16.32,16.31,0.010000000000001563,0.0613,8033.0,13121.884
