ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000836.SZ,20200225,3.69,4.16,3.63,4.11,3.78,0.3300000000000005,8.7302,1699165.79,683059.115
000836.SZ,20200224,3.58,3.84,3.57,3.78,3.61,0.16999999999999993,4.7091,667172.75,249601.036
000836.SZ,20200221,3.56,3.69,3.53,3.61,3.55,0.06000000000000005,1.6901,416158.7,150292.443
000836.SZ,20200220,3.5,3.57,3.45,3.55,3.48,0.06999999999999984,2.0115,315404.77,110687.263
000836.SZ,20200219,3.51,3.55,3.47,3.48,3.53,-0.04999999999999982,-1.4164,349658.2,122526.501
000836.SZ,20200218,3.5,3.54,3.43,3.53,3.46,0.06999999999999984,2.0231,363987.05,127345.908
000836.SZ,20200217,3.32,3.48,3.32,3.46,3.36,0.10000000000000009,2.9762,384695.47,131346.274
000836.SZ,20200214,3.29,3.41,3.22,3.36,3.45,-0.0900000000000003,-2.6087,551295.83,184568.446
000836.SZ,20200213,3.63,3.63,3.43,3.45,3.3,0.15000000000000036,4.5455,906646.33,324151.467
000836.SZ,20200212,3.23,3.3,3.22,3.3,3.25,0.04999999999999982,1.5385,188463.32,61691.703
000836.SZ,20200211,3.27,3.32,3.23,3.25,3.27,-0.020000000000000018,-0.6116,194225.75,63467.793
000836.SZ,20200210,3.24,3.39,3.24,3.27,3.15,0.1200000000000001,3.8095,357469.2,117768.051
000836.SZ,20200207,3.11,3.16,3.07,3.15,3.11,0.040000000000000036,1.2862,224584.5,69926.776
000836.SZ,20200206,3.08,3.15,3.01,3.11,3.05,0.06000000000000005,1.9672,301014.36,92616.327
000836.SZ,20200205,3.04,3.14,3.03,3.05,3.02,0.029999999999999805,0.9934,258042.69,79537.577
000836.SZ,20200204,2.88,3.09,2.88,3.02,3.2,-0.18000000000000016,-5.625,385441.46,115930.508
000836.SZ,20200203,3.2,3.2,3.2,3.2,3.56,-0.3599999999999999,-10.1124,38846.0,12430.72
000836.SZ,20200123,3.68,3.72,3.52,3.56,3.7,-0.14000000000000012,-3.7838,255495.79,92298.486
000836.SZ,20200122,3.67,3.73,3.63,3.7,3.69,0.010000000000000231,0.271,189437.79,69878.387
000836.SZ,20200121,3.74,3.75,3.68,3.69,3.76,-0.06999999999999984,-1.8617,202744.12,75201.899
000836.SZ,20200120,3.74,3.77,3.69,3.76,3.76,0.0,0.0,219092.5,81934.443
000836.SZ,20200117,3.84,3.85,3.75,3.76,3.83,-0.07000000000000028,-1.8277,220258.85,83539.54
000836.SZ,20200116,3.87,3.88,3.81,3.83,3.89,-0.06000000000000005,-1.5424,255479.77,98226.579
000836.SZ,20200115,3.85,3.91,3.82,3.89,3.87,0.020000000000000018,0.5168,360404.58,139783.234
000836.SZ,20200114,3.86,3.93,3.83,3.87,3.85,0.020000000000000018,0.5195,398024.06,154129.461
000836.SZ,20200113,3.84,3.85,3.79,3.85,3.84,0.010000000000000231,0.2604,190024.66,72635.319
000836.SZ,20200110,3.88,3.88,3.8,3.84,3.86,-0.020000000000000018,-0.5181,262775.41,101177.415
000836.SZ,20200109,3.78,3.88,3.78,3.86,3.74,0.11999999999999966,3.2086,389901.06,149622.218
000836.SZ,20200108,3.83,3.85,3.72,3.74,3.86,-0.11999999999999966,-3.1088,350260.87,132781.43
000836.SZ,20200107,3.79,3.88,3.78,3.86,3.8,0.06000000000000005,1.5789,358382.5,137352.434
000836.SZ,20200106,3.76,3.84,3.74,3.8,3.8,0.0,0.0,264401.5,100243.382
000836.SZ,20200103,3.82,3.82,3.76,3.8,3.78,0.020000000000000018,0.5291,197588.3,74847.608
000836.SZ,20200102,3.74,3.8,3.72,3.78,3.71,0.06999999999999984,1.8868,252478.15,95162.218
000836.SZ,20191231,3.7,3.74,3.69,3.71,3.72,-0.010000000000000231,-0.2688,138862.01,51545.047
000836.SZ,20191230,3.67,3.73,3.58,3.72,3.69,0.03000000000000025,0.813,218691.99,80025.381
000836.SZ,20191227,3.73,3.75,3.68,3.69,3.73,-0.040000000000000036,-1.0724,215827.4,80206.662
000836.SZ,20191226,3.72,3.74,3.68,3.73,3.73,0.0,0.0,176201.48,65252.377
000836.SZ,20191225,3.71,3.76,3.7,3.73,3.71,0.020000000000000018,0.5391,176521.39,65973.689
000836.SZ,20191224,3.68,3.72,3.67,3.71,3.68,0.029999999999999805,0.8152,137180.02,50691.177
000836.SZ,20191223,3.78,3.79,3.67,3.68,3.8,-0.11999999999999966,-3.1579,297208.0,110200.95
000836.SZ,20191220,3.89,3.91,3.78,3.8,3.89,-0.0900000000000003,-2.3136,283935.49,109074.823
000836.SZ,20191219,3.86,3.91,3.85,3.89,3.86,0.03000000000000025,0.7772,227124.19,88156.948
000836.SZ,20191218,3.88,3.89,3.84,3.86,3.87,-0.010000000000000231,-0.2584,302015.45,116664.751
000836.SZ,20191217,3.84,3.89,3.84,3.87,3.84,0.03000000000000025,0.7813,367895.0,142288.131
000836.SZ,20191216,3.81,3.85,3.79,3.84,3.8,0.040000000000000036,1.0526,280941.68,107308.746
000836.SZ,20191213,3.8,3.83,3.75,3.8,3.77,0.029999999999999805,0.7958,264991.43,100264.717
000836.SZ,20191212,3.77,3.81,3.75,3.77,3.79,-0.020000000000000018,-0.5277,198037.39,74754.567
000836.SZ,20191211,3.77,3.84,3.75,3.79,3.78,0.010000000000000231,0.2646,224612.99,85102.647
000836.SZ,20191210,3.78,3.79,3.73,3.78,3.8,-0.020000000000000018,-0.5263,231368.77,87046.02
000836.SZ,20191209,3.74,3.82,3.74,3.8,3.74,0.05999999999999961,1.6043,263614.93,99784.417
000836.SZ,20191206,3.73,3.76,3.68,3.74,3.73,0.010000000000000231,0.2681,209016.83,77798.768
000836.SZ,20191205,3.71,3.74,3.7,3.73,3.71,0.020000000000000018,0.5391,217404.2,81003.889
000836.SZ,20191204,3.73,3.73,3.68,3.71,3.74,-0.03000000000000025,-0.8021,122043.67,45168.141
000836.SZ,20191203,3.68,3.75,3.65,3.74,3.72,0.020000000000000018,0.5376,179468.19,66477.638
000836.SZ,20191202,3.71,3.76,3.68,3.72,3.72,0.0,0.0,154062.55,57333.764
000836.SZ,20191129,3.77,3.8,3.68,3.72,3.8,-0.07999999999999963,-2.1053,211891.65,78921.263
000836.SZ,20191128,3.84,3.86,3.79,3.8,3.84,-0.040000000000000036,-1.0417,129660.1,49568.538
000836.SZ,20191127,3.83,3.86,3.8,3.84,3.82,0.020000000000000018,0.5236,146239.61,56058.662
000836.SZ,20191126,3.82,3.87,3.81,3.82,3.82,0.0,0.0,161429.76,61896.393
000836.SZ,20191125,3.9,3.94,3.79,3.82,3.93,-0.11000000000000032,-2.799,265576.86,101751.525
000836.SZ,20191122,4.05,4.1,3.86,3.93,4.07,-0.14000000000000012,-3.4398,521037.0,207072.652
000836.SZ,20191121,4.05,4.14,4.03,4.07,4.09,-0.019999999999999574,-0.489,282611.74,115133.878
000836.SZ,20191120,4.23,4.27,4.08,4.09,4.24,-0.15000000000000036,-3.5377,446396.23,186168.982
000836.SZ,20191119,4.24,4.28,4.18,4.24,4.26,-0.019999999999999574,-0.4695,409755.06,173370.327
000836.SZ,20191118,4.17,4.27,4.15,4.26,4.18,0.08000000000000007,1.9139,336884.11,142036.571
000836.SZ,20191115,4.27,4.3,4.14,4.18,4.32,-0.14000000000000057,-3.2407,550603.93,231525.922
000836.SZ,20191114,4.34,4.4,4.29,4.32,4.39,-0.0699999999999994,-1.5945,560040.69,243219.678
000836.SZ,20191113,4.33,4.45,4.27,4.39,4.41,-0.020000000000000462,-0.4535,725923.32,316172.967
000836.SZ,20191112,4.16,4.5,4.11,4.41,4.22,0.1900000000000004,4.5024,1194776.2,518634.404
000836.SZ,20191111,4.05,4.34,4.01,4.22,4.06,0.16000000000000014,3.9409,828348.3,347416.255
000836.SZ,20191108,4.22,4.23,4.03,4.06,4.21,-0.15000000000000036,-3.5629,431006.17,178118.948
000836.SZ,20191107,4.16,4.28,4.13,4.21,4.25,-0.040000000000000036,-0.9412,627892.1,263404.232
000836.SZ,20191106,4.05,4.26,3.95,4.25,4.05,0.20000000000000018,4.9383,698764.9,286193.775
000836.SZ,20191105,4.07,4.11,4.0,4.05,4.11,-0.0600000000000005,-1.4599,300670.43,121682.556
