ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000498.SZ,20200225,4.27,4.29,4.15,4.27,4.32,-0.05000000000000071,-1.1574,83722.06,35558.163
000498.SZ,20200224,4.31,4.34,4.29,4.32,4.32,0.0,0.0,69831.5,30098.88
000498.SZ,20200221,4.3,4.32,4.28,4.32,4.31,0.010000000000000675,0.232,73281.26,31545.397
000498.SZ,20200220,4.28,4.32,4.24,4.31,4.26,0.04999999999999982,1.1737,85269.15,36494.737
000498.SZ,20200219,4.26,4.28,4.23,4.26,4.26,0.0,0.0,58611.31,24969.655
000498.SZ,20200218,4.26,4.27,4.23,4.26,4.25,0.009999999999999787,0.2353,53255.75,22625.909
000498.SZ,20200217,4.18,4.26,4.18,4.25,4.18,0.07000000000000028,1.6746,72553.28,30652.896
000498.SZ,20200214,4.16,4.18,4.14,4.18,4.16,0.019999999999999574,0.4808,42040.96,17493.295
000498.SZ,20200213,4.2,4.25,4.16,4.16,4.19,-0.03000000000000025,-0.716,61062.07,25645.885
000498.SZ,20200212,4.17,4.19,4.14,4.19,4.17,0.020000000000000462,0.4796,44449.67,18533.823
000498.SZ,20200211,4.18,4.21,4.13,4.17,4.16,0.009999999999999787,0.2404,57141.56,23822.144
000498.SZ,20200210,4.04,4.16,4.01,4.16,4.04,0.1200000000000001,2.9703,79111.4,32505.681
000498.SZ,20200207,4.04,4.05,3.99,4.04,4.06,-0.019999999999999574,-0.4926,60686.17,24386.811
000498.SZ,20200206,4.05,4.07,3.97,4.06,4.02,0.040000000000000036,0.995,84999.83,34168.613
000498.SZ,20200205,4.0,4.1,3.98,4.02,4.01,0.009999999999999787,0.2494,67743.99,27441.379
000498.SZ,20200204,3.82,4.03,3.81,4.01,4.05,-0.040000000000000036,-0.9877,59066.39,23538.014
000498.SZ,20200203,4.05,4.08,4.05,4.05,4.5,-0.4500000000000002,-10.0,52578.0,21303.103
000498.SZ,20200123,4.54,4.61,4.46,4.5,4.56,-0.05999999999999961,-1.3158,43836.37,19835.897
000498.SZ,20200122,4.56,4.59,4.51,4.56,4.58,-0.020000000000000462,-0.4367,27326.79,12428.022
000498.SZ,20200121,4.63,4.63,4.58,4.58,4.64,-0.05999999999999961,-1.2931,30319.65,13921.556
000498.SZ,20200120,4.62,4.66,4.59,4.64,4.63,0.009999999999999787,0.216,36180.88,16733.736
000498.SZ,20200117,4.67,4.71,4.62,4.63,4.66,-0.03000000000000025,-0.6438,25203.57,11734.745
000498.SZ,20200116,4.73,4.73,4.66,4.66,4.71,-0.04999999999999982,-1.0616,33059.0,15492.729
000498.SZ,20200115,4.75,4.76,4.68,4.71,4.73,-0.020000000000000462,-0.4228,32512.95,15287.11
000498.SZ,20200114,4.73,4.76,4.72,4.73,4.74,-0.009999999999999787,-0.211,29920.02,14185.872
000498.SZ,20200113,4.73,4.75,4.69,4.74,4.73,0.009999999999999787,0.2114,33123.92,15615.757
000498.SZ,20200110,4.75,4.76,4.7,4.73,4.75,-0.019999999999999574,-0.4211,25374.47,11993.915
000498.SZ,20200109,4.72,4.75,4.71,4.75,4.7,0.04999999999999982,1.0638,34341.96,16259.028
000498.SZ,20200108,4.78,4.78,4.69,4.7,4.79,-0.08999999999999986,-1.8789,51183.07,24218.026
000498.SZ,20200107,4.75,4.81,4.73,4.79,4.75,0.040000000000000036,0.8421,52546.86,25114.725
000498.SZ,20200106,4.72,4.79,4.7,4.75,4.75,0.0,0.0,75392.47,35743.0
000498.SZ,20200103,4.72,4.76,4.7,4.75,4.73,0.019999999999999574,0.4228,60671.0,28733.706
000498.SZ,20200102,4.7,4.75,4.68,4.73,4.68,0.05000000000000071,1.0684,78438.93,37024.421
000498.SZ,20191231,4.63,4.7,4.61,4.68,4.65,0.02999999999999936,0.6452,55084.9,25619.186
000498.SZ,20191230,4.61,4.65,4.56,4.65,4.61,0.040000000000000036,0.8677,56819.64,26211.492
000498.SZ,20191227,4.61,4.63,4.59,4.61,4.59,0.020000000000000462,0.4357,49362.51,22756.631
000498.SZ,20191226,4.62,4.63,4.56,4.59,4.62,-0.03000000000000025,-0.6494,46909.84,21557.268
000498.SZ,20191225,4.63,4.64,4.58,4.62,4.67,-0.04999999999999982,-1.0707,64835.8,29848.607
000498.SZ,20191224,4.75,4.86,4.58,4.67,4.55,0.1200000000000001,2.6374,144412.75,68000.373
000498.SZ,20191209,4.55,4.56,4.5,4.55,4.53,0.019999999999999574,0.4415,33684.5,15264.243
000498.SZ,20191206,4.51,4.54,4.49,4.53,4.51,0.020000000000000462,0.4435,28689.17,12930.436
000498.SZ,20191205,4.51,4.52,4.48,4.51,4.5,0.009999999999999787,0.2222,32189.0,14487.469
000498.SZ,20191204,4.5,4.51,4.48,4.5,4.51,-0.009999999999999787,-0.2217,17380.84,7808.907
000498.SZ,20191203,4.5,4.53,4.46,4.51,4.51,0.0,0.0,28060.53,12621.435
000498.SZ,20191202,4.52,4.56,4.51,4.51,4.58,-0.07000000000000028,-1.5284,49397.48,22390.95
000498.SZ,20191129,4.7,4.83,4.58,4.58,4.56,0.020000000000000462,0.4386,108932.29,51358.734
000498.SZ,20191128,4.57,4.62,4.55,4.56,4.57,-0.010000000000000675,-0.2188,25515.0,11681.412
000498.SZ,20191127,4.55,4.6,4.53,4.57,4.57,0.0,0.0,21011.0,9588.785
000498.SZ,20191126,4.61,4.62,4.55,4.57,4.61,-0.040000000000000036,-0.8677,31129.11,14229.478
000498.SZ,20191125,4.5,4.61,4.47,4.61,4.5,0.11000000000000032,2.4444,65887.42,30098.526
000498.SZ,20191122,4.48,4.56,4.45,4.5,4.47,0.03000000000000025,0.6711,38105.37,17174.979
000498.SZ,20191121,4.48,4.48,4.44,4.47,4.48,-0.010000000000000675,-0.2232,15427.37,6879.901
000498.SZ,20191120,4.53,4.53,4.46,4.48,4.54,-0.05999999999999961,-1.3216,22918.0,10283.885
000498.SZ,20191119,4.47,4.54,4.47,4.54,4.49,0.04999999999999982,1.1136,20534.7,9271.347
000498.SZ,20191118,4.47,4.5,4.43,4.49,4.49,0.0,0.0,21143.59,9461.01
000498.SZ,20191115,4.55,4.55,4.49,4.49,4.56,-0.0699999999999994,-1.5351,28904.0,13039.282
000498.SZ,20191114,4.56,4.68,4.55,4.56,4.5,0.05999999999999961,1.3333,46348.44,21358.283
000498.SZ,20191113,4.55,4.55,4.48,4.5,4.55,-0.04999999999999982,-1.0989,20824.0,9382.161
000498.SZ,20191112,4.52,4.59,4.46,4.55,4.52,0.03000000000000025,0.6637,35915.07,16271.592
000498.SZ,20191111,4.61,4.63,4.51,4.52,4.63,-0.11000000000000032,-2.3758,35697.46,16275.049
000498.SZ,20191108,4.74,4.74,4.62,4.63,4.66,-0.03000000000000025,-0.6438,30987.0,14450.986
000498.SZ,20191107,4.69,4.69,4.61,4.66,4.69,-0.03000000000000025,-0.6397,29790.16,13840.402
000498.SZ,20191106,4.72,4.75,4.67,4.69,4.75,-0.05999999999999961,-1.2632,19483.0,9180.817
000498.SZ,20191105,4.71,4.76,4.7,4.75,4.75,0.0,0.0,24655.01,11682.258
000498.SZ,20191104,4.66,4.75,4.64,4.75,4.68,0.07000000000000028,1.4957,32260.01,15224.26
000498.SZ,20191101,4.66,4.69,4.63,4.68,4.66,0.019999999999999574,0.4292,23479.8,10941.507
000498.SZ,20191031,4.64,4.73,4.64,4.66,4.63,0.03000000000000025,0.6479,24246.81,11336.641
000498.SZ,20191030,4.7,4.73,4.62,4.63,4.72,-0.08999999999999986,-1.9068,38885.42,18110.133
000498.SZ,20191029,4.81,4.81,4.71,4.72,4.79,-0.07000000000000028,-1.4614,31988.0,15165.794
000498.SZ,20191028,4.78,4.8,4.72,4.79,4.76,0.03000000000000025,0.6303,35222.18,16775.721
000498.SZ,20191025,4.78,4.78,4.7,4.76,4.77,-0.009999999999999787,-0.2096,33860.0,16010.618
000498.SZ,20191024,4.79,4.81,4.76,4.77,4.79,-0.020000000000000462,-0.4175,17011.0,8135.304
000498.SZ,20191023,4.84,4.84,4.78,4.79,4.84,-0.04999999999999982,-1.0331,16850.8,8099.445
000498.SZ,20191022,4.83,4.85,4.79,4.84,4.83,0.009999999999999787,0.207,18864.01,9089.701
000498.SZ,20191021,4.81,4.84,4.7,4.83,4.84,-0.009999999999999787,-0.2066,19395.01,9290.842
000498.SZ,20191018,4.91,4.94,4.81,4.84,4.92,-0.08000000000000007,-1.626,31589.0,15386.683
000498.SZ,20191017,4.9,4.96,4.86,4.92,4.89,0.03000000000000025,0.6135,47435.67,23350.484
000498.SZ,20191016,4.95,4.95,4.89,4.89,4.93,-0.040000000000000036,-0.8114,27055.26,13288.321
000498.SZ,20191015,4.9,4.98,4.9,4.93,4.92,0.009999999999999787,0.2033,49996.01,24680.224
000498.SZ,20191014,4.95,4.95,4.89,4.92,4.88,0.040000000000000036,0.8197,57259.0,28182.899
000498.SZ,20191011,4.86,4.89,4.82,4.88,4.82,0.05999999999999961,1.2448,38427.2,18674.097
000498.SZ,20191010,4.76,4.84,4.74,4.82,4.77,0.05000000000000071,1.0482,34897.29,16802.722
000498.SZ,20191009,4.8,4.8,4.66,4.77,4.78,-0.010000000000000675,-0.2092,35726.43,16906.681
000498.SZ,20191008,4.74,4.8,4.74,4.78,4.74,0.040000000000000036,0.8439,27378.0,13073.146
000498.SZ,20190930,4.84,4.84,4.72,4.74,4.83,-0.08999999999999986,-1.8634,28426.0,13546.645
000498.SZ,20190927,4.81,4.86,4.78,4.83,4.8,0.03000000000000025,0.625,27541.0,13260.345
000498.SZ,20190926,4.9,4.94,4.79,4.8,4.88,-0.08000000000000007,-1.6393,45380.0,21982.187
000498.SZ,20190925,4.97,4.97,4.88,4.88,4.99,-0.11000000000000032,-2.2044,42344.16,20830.899
000498.SZ,20190924,4.94,5.01,4.89,4.99,4.94,0.04999999999999982,1.0121,72950.02,36197.16
000498.SZ,20190923,5.04,5.04,4.92,4.94,5.06,-0.11999999999999922,-2.3715,81770.02,40557.825
000498.SZ,20190920,5.11,5.2,5.04,5.06,4.96,0.09999999999999964,2.0161,169477.13,86567.93
000498.SZ,20190919,4.88,4.97,4.86,4.96,4.89,0.07000000000000028,1.4315,47849.0,23539.498
000498.SZ,20190918,4.9,4.94,4.87,4.89,4.87,0.019999999999999574,0.4107,34286.36,16815.82
000498.SZ,20190917,4.99,4.99,4.85,4.87,4.99,-0.1200000000000001,-2.4048,47392.16,23238.946
000498.SZ,20190916,5.05,5.06,4.98,4.99,5.02,-0.02999999999999936,-0.5976,57137.0,28608.056
000498.SZ,20190912,4.94,5.04,4.91,5.02,4.91,0.10999999999999943,2.2403,90090.17,44904.653
000498.SZ,20190911,4.94,4.95,4.9,4.91,4.93,-0.019999999999999574,-0.4057,53273.39,26268.089
000498.SZ,20190910,4.93,4.94,4.88,4.93,4.93,0.0,0.0,58022.19,28474.115
000498.SZ,20190909,4.93,4.95,4.89,4.93,4.89,0.040000000000000036,0.818,67611.0,33221.717
