ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000819.SZ,20200225,8.87,9.51,8.59,9.27,9.07,0.1999999999999993,2.2051,184225.36,165080.23
000819.SZ,20200224,8.93,9.15,8.88,9.07,8.89,0.17999999999999972,2.0247,143999.49,130488.944
000819.SZ,20200221,8.71,8.9,8.68,8.89,8.68,0.21000000000000085,2.4194,98960.65,87269.066
000819.SZ,20200220,8.76,8.86,8.53,8.68,8.78,-0.09999999999999964,-1.139,108165.4,93886.782
000819.SZ,20200219,8.97,9.16,8.76,8.78,9.07,-0.2900000000000009,-3.1974,119222.21,106873.597
000819.SZ,20200218,8.9,9.1,8.78,9.07,8.95,0.120000000000001,1.3408,127203.11,113767.113
000819.SZ,20200217,8.7,9.13,8.7,8.95,8.77,0.17999999999999972,2.0525,148662.65,132034.756
000819.SZ,20200214,8.67,8.98,8.66,8.77,8.85,-0.08000000000000007,-0.904,113130.33,99509.716
000819.SZ,20200213,9.13,9.32,8.72,8.85,9.36,-0.5099999999999998,-5.4487,176928.68,158227.654
000819.SZ,20200212,9.12,9.55,9.03,9.36,9.58,-0.22000000000000064,-2.2965,176098.52,162878.727
000819.SZ,20200211,10.01,10.01,9.58,9.58,10.64,-1.0600000000000005,-9.9624,169182.26,164476.273
000819.SZ,20200210,9.95,11.38,9.42,10.64,10.47,0.16999999999999993,1.6237,470665.46,466855.213
000819.SZ,20200207,10.43,10.47,10.1,10.47,9.52,0.9500000000000011,9.979,380212.43,396620.204
000819.SZ,20200206,9.39,9.52,8.83,9.52,8.65,0.8699999999999992,10.0578,203421.26,188544.704
000819.SZ,20200205,7.72,8.65,7.62,8.65,7.86,0.79,10.0509,124276.7,101751.502
000819.SZ,20200204,7.5,8.09,7.46,7.86,7.41,0.4500000000000002,6.0729,108095.07,84593.564
000819.SZ,20200203,7.31,7.69,7.3,7.41,8.11,-0.6999999999999993,-8.6313,92432.96,68338.948
000819.SZ,20200123,8.31,8.45,7.98,8.11,8.28,-0.16999999999999993,-2.0531,34997.68,28772.546
000819.SZ,20200122,8.07,8.28,8.04,8.28,8.06,0.21999999999999886,2.7295,33030.25,26987.938
000819.SZ,20200121,8.14,8.17,8.01,8.06,8.12,-0.05999999999999872,-0.7389,14344.97,11565.495
000819.SZ,20200120,8.04,8.13,8.04,8.12,8.04,0.08000000000000007,0.995,14115.55,11416.444
000819.SZ,20200117,8.11,8.15,8.01,8.04,8.1,-0.0600000000000005,-0.7407,17402.23,14034.377
000819.SZ,20200116,8.16,8.2,8.06,8.1,8.14,-0.040000000000000924,-0.4914,20803.81,16894.59
