ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000888.SZ,20200225,6.07,6.15,5.98,6.1,6.18,-0.08000000000000007,-1.2945,59461.57,36092.854
000888.SZ,20200224,6.21,6.26,6.15,6.18,6.3,-0.1200000000000001,-1.9048,60198.72,37224.153
000888.SZ,20200221,6.32,6.35,6.23,6.3,6.38,-0.08000000000000007,-1.2539,88801.47,55848.967
000888.SZ,20200220,6.22,6.39,6.2,6.38,6.22,0.16000000000000014,2.5723,91462.18,57740.508
000888.SZ,20200219,6.14,6.23,6.11,6.22,6.15,0.0699999999999994,1.1382,61979.69,38236.185
000888.SZ,20200218,6.1,6.17,6.07,6.15,6.09,0.0600000000000005,0.9852,56035.9,34297.345
000888.SZ,20200217,5.95,6.1,5.95,6.09,5.94,0.14999999999999947,2.5253,53378.2,32252.239
000888.SZ,20200214,6.0,6.02,5.91,5.94,6.02,-0.07999999999999918,-1.3289,37290.64,22223.137
000888.SZ,20200213,6.07,6.08,5.94,6.02,6.09,-0.07000000000000028,-1.1494,54247.11,32589.535
000888.SZ,20200212,6.07,6.13,6.01,6.09,6.07,0.019999999999999574,0.3295,55750.46,33845.948
000888.SZ,20200211,6.17,6.18,6.05,6.07,6.12,-0.04999999999999982,-0.817,61892.09,37647.708
000888.SZ,20200210,6.12,6.21,5.99,6.12,6.16,-0.040000000000000036,-0.6494,60837.32,37163.297
000888.SZ,20200207,5.89,6.18,5.87,6.16,5.93,0.23000000000000043,3.8786,83915.15,50586.606
000888.SZ,20200206,5.92,5.99,5.82,5.93,5.9,0.02999999999999936,0.5085,78322.45,46198.244
000888.SZ,20200205,5.82,6.02,5.75,5.9,5.87,0.03000000000000025,0.5111,100889.0,59878.12
000888.SZ,20200204,5.6,5.97,5.5,5.87,5.65,0.21999999999999975,3.8938,122779.21,70352.982
000888.SZ,20200203,5.65,5.68,5.65,5.65,6.28,-0.6299999999999999,-10.0318,124377.0,70308.504
000888.SZ,20200123,6.41,6.44,6.19,6.28,6.48,-0.20000000000000018,-3.0864,67658.62,42879.998
000888.SZ,20200122,6.37,6.57,6.0,6.48,6.46,0.020000000000000462,0.3096,88232.9,56458.736
000888.SZ,20200121,6.65,6.65,6.41,6.46,6.72,-0.2599999999999998,-3.869,102825.23,66794.565
000888.SZ,20200120,6.82,6.82,6.62,6.72,6.86,-0.14000000000000057,-2.0408,79734.53,53275.06
000888.SZ,20200117,6.89,6.92,6.84,6.86,6.9,-0.040000000000000036,-0.5797,54663.94,37525.964
000888.SZ,20200116,6.96,6.97,6.89,6.9,6.99,-0.08999999999999986,-1.2876,50690.2,35065.77
000888.SZ,20200115,6.98,7.02,6.89,6.99,6.98,0.009999999999999787,0.1433,78227.0,54468.914
000888.SZ,20200114,6.85,7.01,6.82,6.98,6.86,0.1200000000000001,1.7493,75500.39,52180.412
