ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000576.SZ,20200225,6.73,6.89,6.59,6.83,6.97,-0.13999999999999968,-2.0086,83954.17,56783.107
000576.SZ,20200224,6.88,6.98,6.79,6.97,6.93,0.040000000000000036,0.5772,85638.49,58908.893
000576.SZ,20200221,6.85,7.0,6.83,6.93,6.85,0.08000000000000007,1.1679,71165.19,49343.823
000576.SZ,20200220,6.83,6.88,6.74,6.85,6.73,0.11999999999999922,1.7831,68287.84,46559.243
000576.SZ,20200219,6.99,7.0,6.73,6.73,6.92,-0.1899999999999995,-2.7457,84555.0,57736.733
000576.SZ,20200218,6.63,7.05,6.62,6.92,6.76,0.16000000000000014,2.3669,133803.0,91194.512
000576.SZ,20200217,6.45,6.85,6.45,6.76,6.29,0.46999999999999975,7.4722,129967.72,86620.685
000576.SZ,20200214,6.34,6.35,6.22,6.29,6.34,-0.04999999999999982,-0.7886,57257.71,36012.1
000576.SZ,20200213,6.45,6.54,6.33,6.34,6.5,-0.16000000000000014,-2.4615,57095.13,36610.43
000576.SZ,20200212,6.47,6.52,6.39,6.5,6.46,0.040000000000000036,0.6192,46822.0,30279.59
000576.SZ,20200211,6.5,6.55,6.43,6.46,6.6,-0.13999999999999968,-2.1212,63917.0,41423.972
000576.SZ,20200210,6.28,6.67,6.21,6.6,6.28,0.3199999999999994,5.0955,103570.03,67406.877
000576.SZ,20200207,6.34,6.4,6.13,6.28,6.32,-0.040000000000000036,-0.6329,61491.8,38477.79
000576.SZ,20200206,6.16,6.42,6.08,6.32,6.13,0.1900000000000004,3.0995,70496.86,44223.506
000576.SZ,20200205,5.79,6.2,5.77,6.13,5.79,0.33999999999999986,5.8722,100815.8,60897.617
000576.SZ,20200204,5.61,5.96,5.61,5.79,6.23,-0.4400000000000004,-7.0626,121650.76,70311.54
000576.SZ,20200203,6.23,6.23,6.23,6.23,6.92,-0.6899999999999995,-9.9711,5836.0,3635.828
000576.SZ,20200123,7.12,7.24,6.81,6.92,7.32,-0.40000000000000036,-5.4645,73306.0,51445.198
000576.SZ,20200122,7.4,7.41,7.16,7.32,7.42,-0.09999999999999964,-1.3477,42227.01,30838.784
000576.SZ,20200121,7.63,7.64,7.4,7.42,7.64,-0.21999999999999975,-2.8796,51296.0,38450.71
000576.SZ,20200120,7.51,7.71,7.51,7.64,7.58,0.05999999999999961,0.7916,29344.71,22396.444
000576.SZ,20200117,7.74,7.76,7.57,7.58,7.69,-0.11000000000000032,-1.4304,34646.96,26554.865
000576.SZ,20200116,7.83,7.84,7.69,7.69,7.85,-0.15999999999999925,-2.0382,52864.0,40960.824
000576.SZ,20200115,7.81,7.88,7.66,7.85,7.74,0.10999999999999943,1.4212,55840.36,43318.371
000576.SZ,20200114,7.81,7.92,7.73,7.74,7.82,-0.08000000000000007,-1.023,57137.0,44546.398
000576.SZ,20200113,7.73,7.82,7.63,7.82,7.71,0.11000000000000032,1.4267,56105.5,43474.867
000576.SZ,20200110,7.85,7.92,7.67,7.71,7.83,-0.1200000000000001,-1.5326,55259.71,42779.394
000576.SZ,20200109,7.89,7.95,7.8,7.83,7.8,0.03000000000000025,0.3846,65782.26,51629.477
000576.SZ,20200108,8.07,8.07,7.73,7.8,8.08,-0.28000000000000025,-3.4653,116135.11,91410.906
000576.SZ,20200107,8.1,8.19,8.05,8.08,8.12,-0.03999999999999915,-0.4926,90619.05,73447.938
000576.SZ,20200106,7.9,8.33,7.89,8.12,8.01,0.10999999999999943,1.3733,142157.49,114718.22
000576.SZ,20200103,7.71,8.23,7.61,8.01,7.79,0.21999999999999975,2.8241,166537.58,131167.899
000576.SZ,20200102,7.63,8.08,7.57,7.79,7.61,0.17999999999999972,2.3653,163999.24,127610.429
000576.SZ,20191231,7.56,7.65,7.47,7.61,7.61,0.0,0.0,105086.8,79263.685
000576.SZ,20191230,7.73,7.73,7.44,7.61,7.79,-0.17999999999999972,-2.3107,167362.3,127225.05
000576.SZ,20191227,7.1,7.79,7.06,7.79,7.08,0.71,10.0282,244185.66,184167.175
000576.SZ,20191226,7.13,7.15,7.02,7.08,7.15,-0.07000000000000028,-0.979,60149.02,42512.036
000576.SZ,20191225,7.19,7.33,7.09,7.15,7.16,-0.009999999999999787,-0.1397,61272.0,44202.893
000576.SZ,20191224,7.11,7.21,7.07,7.16,7.09,0.07000000000000028,0.9873,35504.3,25392.825
000576.SZ,20191223,7.27,7.31,7.07,7.09,7.27,-0.17999999999999972,-2.4759,45857.32,33010.494
