ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000537.SZ,20200225,6.55,6.65,6.48,6.62,6.7,-0.08000000000000007,-1.194,158764.74,104361.738
000537.SZ,20200224,6.81,6.83,6.63,6.7,6.85,-0.14999999999999947,-2.1898,191449.05,128353.033
000537.SZ,20200221,6.89,6.9,6.81,6.85,6.89,-0.040000000000000036,-0.5806,132744.33,90900.392
000537.SZ,20200220,6.88,6.91,6.76,6.89,6.86,0.02999999999999936,0.4373,119679.33,81863.975
000537.SZ,20200219,6.84,6.91,6.78,6.86,6.84,0.020000000000000462,0.2924,102171.71,70108.578
000537.SZ,20200218,6.91,6.92,6.75,6.84,6.89,-0.04999999999999982,-0.7257,144076.51,98144.758
000537.SZ,20200217,6.75,6.91,6.73,6.89,6.78,0.10999999999999943,1.6224,140121.42,95658.894
000537.SZ,20200214,6.6,6.8,6.58,6.78,6.62,0.16000000000000014,2.4169,133929.39,90039.788
000537.SZ,20200213,6.65,6.81,6.62,6.62,6.63,-0.009999999999999787,-0.1508,152667.22,102493.22
000537.SZ,20200212,6.65,6.66,6.55,6.63,6.66,-0.03000000000000025,-0.4505,99978.67,66030.74
000537.SZ,20200211,6.62,6.75,6.61,6.66,6.65,0.009999999999999787,0.1504,117631.94,78736.537
000537.SZ,20200210,6.48,6.68,6.44,6.65,6.57,0.08000000000000007,1.2177,113659.36,74799.138
000537.SZ,20200207,6.57,6.58,6.47,6.57,6.58,-0.009999999999999787,-0.152,77055.64,50254.179
000537.SZ,20200206,6.57,6.62,6.47,6.58,6.55,0.03000000000000025,0.458,91726.68,60161.198
000537.SZ,20200205,6.52,6.72,6.42,6.55,6.48,0.0699999999999994,1.0802,125445.54,82417.407
000537.SZ,20200204,6.18,6.51,6.18,6.48,6.51,-0.02999999999999936,-0.4608,120987.83,77468.614
000537.SZ,20200203,6.51,6.51,6.51,6.51,7.23,-0.7200000000000006,-9.9585,36373.0,23678.823
000537.SZ,20200123,7.47,7.52,7.15,7.23,7.55,-0.3199999999999994,-4.2384,93914.25,68778.833
000537.SZ,20200122,7.46,7.59,7.37,7.55,7.45,0.09999999999999964,1.3423,68296.51,51192.01
000537.SZ,20200121,7.61,7.61,7.42,7.45,7.61,-0.16000000000000014,-2.1025,85253.06,63862.542
000537.SZ,20200120,7.61,7.62,7.51,7.61,7.58,0.03000000000000025,0.3958,54532.94,41156.667
000537.SZ,20200117,7.63,7.67,7.56,7.58,7.61,-0.03000000000000025,-0.3942,53837.15,40955.818
000537.SZ,20200116,7.72,7.73,7.51,7.61,7.68,-0.0699999999999994,-0.9115,68243.36,52067.212
000537.SZ,20200115,7.8,7.83,7.66,7.68,7.79,-0.11000000000000032,-1.4121,91684.49,70617.202
000537.SZ,20200114,7.86,7.91,7.78,7.79,7.87,-0.08000000000000007,-1.0165,94275.28,73944.217
000537.SZ,20200113,7.83,7.88,7.74,7.87,7.83,0.040000000000000036,0.5109,89381.94,69844.513
000537.SZ,20200110,7.92,7.93,7.77,7.83,7.88,-0.04999999999999982,-0.6345,77321.63,60515.704
000537.SZ,20200109,7.79,7.92,7.79,7.88,7.72,0.16000000000000014,2.0725,121856.12,95691.105
000537.SZ,20200108,7.8,7.86,7.71,7.72,7.89,-0.16999999999999993,-2.1546,141938.26,110200.774
000537.SZ,20200107,7.65,7.93,7.65,7.89,7.66,0.22999999999999954,3.0026,206422.63,161034.462
000537.SZ,20200106,7.65,7.73,7.61,7.66,7.71,-0.04999999999999982,-0.6485,124849.36,95715.274
000537.SZ,20200103,7.81,7.81,7.65,7.71,7.81,-0.09999999999999964,-1.2804,155911.31,120125.106
000537.SZ,20200102,7.9,7.98,7.8,7.81,7.77,0.040000000000000036,0.5148,204672.07,160973.443
000537.SZ,20191231,7.8,7.87,7.72,7.77,7.86,-0.09000000000000075,-1.145,186692.2,144986.337
000537.SZ,20191230,7.71,7.87,7.61,7.86,7.76,0.10000000000000053,1.2887,159702.79,123743.849
000537.SZ,20191227,7.84,7.93,7.76,7.76,7.9,-0.14000000000000057,-1.7722,183581.31,143690.045
000537.SZ,20191226,7.73,8.06,7.7,7.9,7.69,0.20999999999999996,2.7308,291708.86,230974.282
000537.SZ,20191225,7.74,7.8,7.57,7.69,7.76,-0.0699999999999994,-0.9021,180083.33,137950.344
000537.SZ,20191224,7.87,7.91,7.64,7.76,7.77,-0.009999999999999787,-0.1287,190619.19,147984.618
000537.SZ,20191223,8.29,8.3,7.77,7.77,8.22,-0.45000000000000107,-5.4745,485559.79,388390.486
000537.SZ,20191220,7.47,8.22,7.47,8.22,7.47,0.7500000000000009,10.0402,496257.57,398315.357
000537.SZ,20191219,7.43,7.59,7.43,7.47,7.44,0.02999999999999936,0.4032,105802.18,79410.413
000537.SZ,20191218,7.57,7.63,7.43,7.44,7.54,-0.09999999999999964,-1.3263,132589.7,99607.879
000537.SZ,20191217,7.41,7.65,7.33,7.54,7.37,0.16999999999999993,2.3066,193315.53,145325.295
000537.SZ,20191216,7.2,7.38,7.17,7.37,7.2,0.16999999999999993,2.3611,128041.97,93126.178
000537.SZ,20191213,7.15,7.24,7.13,7.2,7.12,0.08000000000000007,1.1236,102288.52,73595.846
000537.SZ,20191212,7.14,7.24,7.09,7.12,7.16,-0.040000000000000036,-0.5587,82934.87,59271.47
000537.SZ,20191211,7.08,7.22,7.06,7.16,7.05,0.11000000000000032,1.5603,104102.0,74308.186
000537.SZ,20191210,7.11,7.13,7.02,7.05,7.1,-0.04999999999999982,-0.7042,74088.66,52303.641
000537.SZ,20191209,6.94,7.13,6.93,7.1,6.93,0.16999999999999993,2.4531,132612.06,93621.641
000537.SZ,20191206,6.92,6.95,6.86,6.93,6.95,-0.020000000000000462,-0.2878,47020.03,32445.708
000537.SZ,20191205,6.94,6.99,6.86,6.95,6.94,0.009999999999999787,0.1441,77785.2,53732.459
000537.SZ,20191204,6.97,6.99,6.92,6.94,7.0,-0.05999999999999961,-0.8571,44392.19,30850.437
000537.SZ,20191203,6.84,7.02,6.83,7.0,6.88,0.1200000000000001,1.7442,80609.31,56059.691
000537.SZ,20191202,6.85,6.91,6.81,6.88,6.82,0.05999999999999961,0.8798,62868.4,43206.543
000537.SZ,20191129,6.83,6.86,6.77,6.82,6.85,-0.02999999999999936,-0.438,69417.33,47245.704
000537.SZ,20191128,6.95,6.95,6.82,6.85,6.93,-0.08000000000000007,-1.1544,70507.53,48346.979
000537.SZ,20191127,6.99,7.02,6.87,6.93,7.02,-0.08999999999999986,-1.2821,88118.55,61019.336
000537.SZ,20191126,7.1,7.18,6.98,7.02,7.11,-0.09000000000000075,-1.2658,98291.16,69374.665
000537.SZ,20191125,6.83,7.23,6.83,7.11,6.85,0.2600000000000007,3.7956,167976.38,118695.149
000537.SZ,20191122,6.96,7.04,6.82,6.85,6.92,-0.07000000000000028,-1.0116,61131.97,42245.841
000537.SZ,20191121,6.98,6.98,6.85,6.92,6.94,-0.020000000000000462,-0.2882,42537.05,29351.929
000537.SZ,20191120,7.01,7.07,6.93,6.94,7.03,-0.08999999999999986,-1.2802,50965.03,35569.265
000537.SZ,20191119,6.98,7.07,6.98,7.03,6.97,0.0600000000000005,0.8608,69613.83,48879.99
000537.SZ,20191118,6.78,7.01,6.76,6.97,6.77,0.20000000000000018,2.9542,84260.5,58253.762
000537.SZ,20191115,6.82,6.87,6.73,6.77,6.83,-0.0600000000000005,-0.8785,59124.06,40219.375
000537.SZ,20191114,6.85,6.95,6.73,6.83,6.82,0.009999999999999787,0.1466,116093.19,79185.345
000537.SZ,20191113,6.93,6.94,6.79,6.82,6.94,-0.1200000000000001,-1.7291,47539.94,32635.693
000537.SZ,20191112,6.88,6.95,6.79,6.94,6.88,0.0600000000000005,0.8721,59095.74,40642.269
000537.SZ,20191111,7.03,7.06,6.87,6.88,7.06,-0.17999999999999972,-2.5496,69521.78,48196.199
000537.SZ,20191108,7.17,7.21,7.02,7.06,7.12,-0.0600000000000005,-0.8427,80888.42,57419.455
000537.SZ,20191107,7.14,7.18,7.06,7.12,7.14,-0.019999999999999574,-0.2801,64537.21,45957.154
000537.SZ,20191106,7.24,7.26,7.09,7.14,7.25,-0.11000000000000032,-1.5172,84164.15,60258.949
000537.SZ,20191105,7.15,7.38,7.12,7.25,7.15,0.09999999999999964,1.3986,143149.72,103626.107
000537.SZ,20191104,7.2,7.31,7.09,7.15,7.21,-0.05999999999999961,-0.8322,132537.44,94751.538
000537.SZ,20191101,6.89,7.25,6.83,7.21,6.9,0.3099999999999996,4.4928,202363.32,143240.37
000537.SZ,20191031,6.82,7.06,6.78,6.9,6.62,0.28000000000000025,4.2296,150290.9,103675.254
000537.SZ,20191030,6.67,6.71,6.58,6.62,6.64,-0.019999999999999574,-0.3012,46516.3,30857.812
000537.SZ,20191029,6.78,6.78,6.62,6.64,6.78,-0.14000000000000057,-2.0649,44554.0,29819.098
000537.SZ,20191028,6.73,6.8,6.66,6.78,6.74,0.040000000000000036,0.5935,54087.03,36525.58
000537.SZ,20191025,6.66,6.75,6.65,6.74,6.7,0.040000000000000036,0.597,40993.17,27510.56
000537.SZ,20191024,6.71,6.77,6.65,6.7,6.71,-0.009999999999999787,-0.149,40903.08,27376.759
000537.SZ,20191023,6.85,6.87,6.67,6.71,6.83,-0.1200000000000001,-1.757,47597.5,32053.164
000537.SZ,20191022,6.86,6.88,6.74,6.83,6.88,-0.04999999999999982,-0.7267,48089.88,32774.911
000537.SZ,20191021,6.68,6.89,6.65,6.88,6.72,0.16000000000000014,2.381,70812.15,48192.16
000537.SZ,20191018,6.93,6.97,6.69,6.72,6.91,-0.1900000000000004,-2.7496,66355.29,45045.71
000537.SZ,20191017,6.97,7.04,6.86,6.91,6.89,0.020000000000000462,0.2903,65699.17,45660.654
000537.SZ,20191016,7.0,7.09,6.89,6.89,6.91,-0.020000000000000462,-0.2894,91227.42,63756.728
000537.SZ,20191015,6.93,6.95,6.84,6.91,6.96,-0.04999999999999982,-0.7184,59953.01,41315.787
000537.SZ,20191014,6.93,7.07,6.9,6.96,6.87,0.08999999999999986,1.31,79019.13,55191.213
000537.SZ,20191011,6.82,6.92,6.75,6.87,6.81,0.0600000000000005,0.8811,70595.6,48322.614
000537.SZ,20191010,6.78,6.84,6.74,6.81,6.79,0.019999999999999574,0.2946,76407.85,51901.284
000537.SZ,20191009,6.49,6.82,6.41,6.79,6.51,0.28000000000000025,4.3011,98227.15,65826.308
000537.SZ,20191008,6.37,6.53,6.37,6.51,6.37,0.13999999999999968,2.1978,43204.26,27987.87
000537.SZ,20190930,6.48,6.53,6.37,6.37,6.48,-0.11000000000000032,-1.6975,37112.63,23909.673
000537.SZ,20190927,6.47,6.56,6.46,6.48,6.47,0.010000000000000675,0.1546,34757.07,22620.723
000537.SZ,20190926,6.65,6.68,6.45,6.47,6.62,-0.15000000000000036,-2.2659,50202.93,32899.068
000537.SZ,20190925,6.69,6.75,6.59,6.62,6.69,-0.07000000000000028,-1.0463,51713.37,34461.161
000537.SZ,20190924,6.76,6.83,6.67,6.69,6.74,-0.04999999999999982,-0.7418,48995.32,33104.58
000537.SZ,20190923,6.9,6.9,6.68,6.74,6.85,-0.10999999999999943,-1.6058,57791.0,38974.976
000537.SZ,20190920,6.84,6.96,6.81,6.85,6.84,0.009999999999999787,0.1462,71082.99,48958.909
000537.SZ,20190919,6.78,6.85,6.73,6.84,6.7,0.13999999999999968,2.0896,72109.63,49201.173
000537.SZ,20190918,6.66,6.75,6.64,6.7,6.64,0.0600000000000005,0.9036,46069.41,30922.301
000537.SZ,20190917,6.83,6.83,6.61,6.64,6.81,-0.16999999999999993,-2.4963,64026.21,42800.399
000537.SZ,20190916,6.84,6.88,6.78,6.81,6.82,-0.010000000000000675,-0.1466,57244.77,39144.656
000537.SZ,20190912,6.75,6.86,6.75,6.82,6.75,0.07000000000000028,1.037,74343.74,50671.782
000537.SZ,20190911,6.77,6.84,6.68,6.75,6.77,-0.019999999999999574,-0.2954,67741.26,45660.977
