ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600603.SH,20200225,5.12,5.25,5.01,5.19,5.23,-0.040000000000000036,-0.7648,114986.93,59347.043
600603.SH,20200224,5.29,5.3,5.14,5.23,5.29,-0.05999999999999961,-1.1342,106065.98,55177.736
600603.SH,20200221,5.34,5.43,5.22,5.29,5.37,-0.08000000000000007,-1.4898,123313.68,65526.263
600603.SH,20200220,5.44,5.48,5.27,5.37,5.44,-0.07000000000000028,-1.2868,126639.34,67646.378
600603.SH,20200219,5.27,5.55,5.18,5.44,5.29,0.15000000000000036,2.8355,167548.22,90254.397
600603.SH,20200218,5.25,5.38,5.16,5.29,5.28,0.009999999999999787,0.1894,154363.48,81375.405
600603.SH,20200217,5.0,5.3,4.96,5.28,4.88,0.40000000000000036,8.1967,171182.08,88554.396
600603.SH,20200214,4.81,4.91,4.81,4.88,4.84,0.040000000000000036,0.8264,37917.4,18487.281
600603.SH,20200213,4.92,4.94,4.79,4.84,4.93,-0.08999999999999986,-1.8256,59967.92,29141.837
600603.SH,20200212,4.97,4.97,4.89,4.93,4.93,0.0,0.0,44884.82,22124.223
600603.SH,20200211,4.88,4.99,4.86,4.93,4.89,0.040000000000000036,0.818,61260.48,30186.242
600603.SH,20200210,4.77,4.89,4.74,4.89,4.78,0.10999999999999943,2.3013,60546.66,29301.944
600603.SH,20200207,4.85,4.86,4.71,4.78,4.87,-0.08999999999999986,-1.848,86704.5,41452.549
600603.SH,20200206,4.77,4.96,4.69,4.87,4.74,0.1299999999999999,2.7426,120194.36,58125.527
600603.SH,20200205,4.79,4.91,4.73,4.74,4.8,-0.05999999999999961,-1.25,92982.32,44642.696
600603.SH,20200204,4.5,4.89,4.5,4.8,5.0,-0.20000000000000018,-4.0,136313.69,64665.908
600603.SH,20200203,5.0,5.0,5.0,5.0,5.56,-0.5599999999999996,-10.0719,19647.0,9823.5
600603.SH,20200123,5.64,5.74,5.3,5.56,5.71,-0.15000000000000036,-2.627,143662.63,79476.998
600603.SH,20200122,5.42,5.76,5.32,5.71,5.4,0.3099999999999996,5.7407,201184.31,113034.52
600603.SH,20200121,5.24,5.45,5.21,5.4,5.2,0.20000000000000018,3.8462,137427.45,73368.417
600603.SH,20200120,5.01,5.28,5.01,5.2,4.99,0.20999999999999996,4.2084,115356.08,59310.16
600603.SH,20200117,5.01,5.03,4.99,4.99,5.01,-0.019999999999999574,-0.3992,23724.32,11867.623
600603.SH,20200116,5.04,5.07,5.01,5.01,5.04,-0.03000000000000025,-0.5952,24067.48,12117.278
600603.SH,20200115,5.1,5.12,5.02,5.04,5.09,-0.04999999999999982,-0.9823,39158.89,19801.019
