ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600831.SH,20200225,10.54,10.88,10.01,10.67,10.9,-0.23000000000000043,-2.1101,635364.45,668571.804
600831.SH,20200224,10.2,11.25,9.93,10.9,10.28,0.620000000000001,6.0311,868391.88,922026.818
600831.SH,20200221,10.7,11.5,10.1,10.28,10.65,-0.370000000000001,-3.4742,1039973.33,1119082.641
600831.SH,20200220,10.44,10.68,10.15,10.65,10.38,0.2699999999999996,2.6012,791761.7,825389.051
600831.SH,20200219,10.0,10.64,9.78,10.38,10.2,0.1800000000000015,1.7647,907178.74,930196.632
600831.SH,20200218,9.48,10.47,9.4,10.2,9.53,0.6699999999999999,7.0304,794395.17,793433.593
600831.SH,20200217,8.94,9.6,8.91,9.53,9.02,0.5099999999999998,5.6541,465713.13,431185.05
600831.SH,20200214,9.0,9.16,8.89,9.02,9.14,-0.120000000000001,-1.3129,295866.35,266694.615
600831.SH,20200213,9.05,9.28,8.9,9.14,9.03,0.11000000000000121,1.2182,473735.97,431681.992
600831.SH,20200212,8.55,9.05,8.5,9.03,8.67,0.35999999999999943,4.1522,416163.68,364202.807
600831.SH,20200211,8.79,9.05,8.51,8.67,8.63,0.03999999999999915,0.4635,359211.91,315541.574
600831.SH,20200210,8.57,8.8,8.5,8.63,8.69,-0.05999999999999872,-0.6904,302284.62,260716.779
600831.SH,20200207,8.5,8.76,8.31,8.69,8.3,0.3899999999999988,4.6988,382869.23,327643.242
600831.SH,20200206,8.05,8.38,7.88,8.3,8.04,0.26000000000000156,3.2338,346247.53,283520.589
600831.SH,20200205,7.94,8.28,7.93,8.04,7.92,0.11999999999999922,1.5152,310640.28,251810.825
600831.SH,20200204,7.45,8.2,7.45,7.92,8.28,-0.35999999999999943,-4.3478,362068.17,284313.085
600831.SH,20200203,8.28,8.28,8.28,8.28,9.2,-0.9199999999999999,-10.0,18041.0,14937.948
600831.SH,20200123,9.85,9.88,9.08,9.2,9.97,-0.7700000000000014,-7.7232,321313.96,303706.721
600831.SH,20200122,9.81,10.03,9.72,9.97,9.8,0.16999999999999993,1.7347,210733.03,208239.128
600831.SH,20200121,10.11,10.11,9.8,9.8,10.13,-0.33000000000000007,-3.2577,245509.21,244465.322
600831.SH,20200120,10.17,10.36,9.98,10.13,10.16,-0.02999999999999936,-0.2953,281506.44,285107.231
600831.SH,20200117,10.2,10.36,10.02,10.16,10.18,-0.019999999999999574,-0.1965,213202.78,217666.241
600831.SH,20200116,10.34,10.54,10.16,10.18,10.52,-0.33999999999999986,-3.2319,292546.68,301362.214
600831.SH,20200115,10.73,10.77,10.26,10.52,10.59,-0.07000000000000028,-0.661,395749.57,416092.922
600831.SH,20200114,10.22,11.0,10.11,10.59,10.15,0.4399999999999995,4.335,706436.91,746668.384
600831.SH,20200113,9.96,10.16,9.78,10.15,10.04,0.11000000000000121,1.0956,232664.18,232402.217
600831.SH,20200110,10.17,10.32,9.96,10.04,10.25,-0.21000000000000085,-2.0488,244440.38,245708.907
600831.SH,20200109,10.33,10.44,10.0,10.25,10.16,0.08999999999999986,0.8858,333831.16,340640.055
600831.SH,20200108,10.34,10.58,10.06,10.16,10.55,-0.39000000000000057,-3.6967,550566.21,569831.81
600831.SH,20200107,9.71,10.55,9.6,10.55,9.59,0.9600000000000009,10.0104,767070.2,781267.122
600831.SH,20200106,9.5,9.74,9.4,9.59,9.6,-0.009999999999999787,-0.1042,219611.11,210438.838
600831.SH,20200103,9.69,9.76,9.49,9.6,9.74,-0.14000000000000057,-1.4374,267395.48,256556.105
600831.SH,20200102,9.3,9.74,9.27,9.74,9.26,0.4800000000000004,5.1836,309763.94,295131.989
600831.SH,20191231,9.36,9.36,9.17,9.26,9.28,-0.019999999999999574,-0.2155,93368.31,86325.709
600831.SH,20191230,9.21,9.35,9.02,9.28,9.2,0.08000000000000007,0.8696,113215.63,104335.222
600831.SH,20191227,9.49,9.57,9.2,9.2,9.47,-0.27000000000000135,-2.8511,176694.2,165921.457
600831.SH,20191226,9.3,9.52,9.25,9.47,9.4,0.07000000000000028,0.7447,166773.6,156440.551
600831.SH,20191225,9.16,9.58,9.05,9.4,9.15,0.25,2.7322,216571.71,203084.428
600831.SH,20191224,9.07,9.2,9.0,9.15,9.09,0.0600000000000005,0.6601,153733.03,140075.283
600831.SH,20191223,9.53,9.53,9.03,9.09,9.6,-0.5099999999999998,-5.3125,247294.2,228928.865
600831.SH,20191220,9.81,9.84,9.55,9.6,9.8,-0.20000000000000107,-2.0408,256262.39,247601.713
600831.SH,20191219,10.13,10.26,9.59,9.8,9.78,0.02000000000000135,0.2045,486903.35,480401.275
600831.SH,20191218,9.36,9.82,9.35,9.78,9.47,0.3099999999999987,3.2735,561860.21,541297.255
600831.SH,20191217,8.8,9.6,8.77,9.47,8.76,0.7100000000000009,8.105,629930.01,584722.173
600831.SH,20191216,8.64,8.76,8.57,8.76,8.61,0.15000000000000036,1.7422,197847.43,171648.03
600831.SH,20191213,8.6,8.68,8.55,8.61,8.54,0.07000000000000028,0.8197,113137.19,97444.514
600831.SH,20191212,8.62,8.69,8.51,8.54,8.64,-0.10000000000000142,-1.1574,123483.48,106056.4
600831.SH,20191211,8.63,8.8,8.58,8.64,8.69,-0.049999999999998934,-0.5754,168430.19,146326.895
600831.SH,20191210,8.43,8.75,8.29,8.69,8.46,0.22999999999999865,2.7187,188538.92,161041.183
600831.SH,20191209,8.48,8.52,8.4,8.46,8.47,-0.009999999999999787,-0.1181,86688.5,73304.845
600831.SH,20191206,8.46,8.48,8.37,8.47,8.45,0.02000000000000135,0.2367,68534.18,57831.647
600831.SH,20191205,8.4,8.49,8.38,8.45,8.39,0.05999999999999872,0.7151,79558.79,67174.975
600831.SH,20191204,8.35,8.5,8.32,8.39,8.43,-0.03999999999999915,-0.4745,77494.12,65191.941
600831.SH,20191203,8.32,8.44,8.2,8.43,8.31,0.11999999999999922,1.444,86753.23,72012.609
600831.SH,20191202,8.31,8.36,8.26,8.31,8.32,-0.009999999999999787,-0.1202,50449.39,41909.043
600831.SH,20191129,8.3,8.35,8.2,8.32,8.29,0.030000000000001137,0.3619,58874.0,48836.302
600831.SH,20191128,8.52,8.57,8.25,8.29,8.53,-0.2400000000000002,-2.8136,115387.59,96317.272
600831.SH,20191127,8.55,8.64,8.5,8.53,8.59,-0.0600000000000005,-0.6985,51672.98,44184.582
600831.SH,20191126,8.56,8.74,8.46,8.59,8.55,0.03999999999999915,0.4678,76203.99,65580.792
600831.SH,20191125,8.79,8.79,8.35,8.55,8.76,-0.20999999999999908,-2.3973,73421.3,62747.673
600831.SH,20191122,8.8,9.03,8.69,8.76,8.96,-0.20000000000000107,-2.2321,130714.57,115618.648
600831.SH,20191121,8.64,8.97,8.57,8.96,8.65,0.3100000000000005,3.5838,155201.28,136625.03
600831.SH,20191120,8.76,8.88,8.6,8.65,8.77,-0.11999999999999922,-1.3683,94604.96,82673.101
600831.SH,20191119,8.54,9.02,8.51,8.77,8.52,0.25,2.9343,145534.51,127659.3
600831.SH,20191118,8.21,8.57,8.2,8.52,8.29,0.23000000000000043,2.7744,115796.91,97859.007
600831.SH,20191115,8.34,8.34,8.09,8.29,8.33,-0.040000000000000924,-0.4802,104608.22,85900.596
600831.SH,20191114,8.34,8.44,8.29,8.33,8.34,-0.009999999999999787,-0.1199,55812.07,46640.619
600831.SH,20191113,8.51,8.55,8.29,8.34,8.56,-0.22000000000000064,-2.5701,83802.07,70390.5
600831.SH,20191112,8.54,8.6,8.43,8.56,8.53,0.030000000000001137,0.3517,51518.61,43901.624
600831.SH,20191111,8.61,8.79,8.52,8.53,8.95,-0.41999999999999993,-4.6927,121556.99,104677.124
600831.SH,20191108,8.94,9.13,8.94,8.95,8.91,0.03999999999999915,0.4489,81578.1,73659.428
600831.SH,20191107,8.97,9.01,8.79,8.91,8.96,-0.05000000000000071,-0.558,85403.09,75735.174
600831.SH,20191106,9.15,9.18,8.96,8.96,9.17,-0.20999999999999908,-2.2901,107073.01,96811.352
600831.SH,20191105,9.1,9.26,9.08,9.17,9.03,0.14000000000000057,1.5504,136430.38,125012.529
600831.SH,20191104,9.06,9.17,9.0,9.03,9.06,-0.030000000000001137,-0.3311,84581.44,76882.111
600831.SH,20191101,8.9,9.16,8.86,9.06,8.95,0.11000000000000121,1.2291,98438.29,89111.35
600831.SH,20191031,8.99,9.17,8.92,8.95,9.04,-0.08999999999999986,-0.9956,95059.03,85915.857
600831.SH,20191030,9.0,9.3,8.91,9.04,9.01,0.02999999999999936,0.333,115919.41,105435.742
600831.SH,20191029,9.28,9.31,9.0,9.01,9.29,-0.27999999999999936,-3.014,148068.8,135065.982
600831.SH,20191028,8.74,9.39,8.74,9.29,8.93,0.35999999999999943,4.0314,226587.63,207819.569
600831.SH,20191025,8.69,9.07,8.55,8.93,8.69,0.2400000000000002,2.7618,159455.09,141661.732
600831.SH,20191024,8.8,8.88,8.64,8.69,8.93,-0.2400000000000002,-2.6876,102394.6,89550.101
600831.SH,20191023,8.75,8.94,8.75,8.93,8.7,0.23000000000000043,2.6437,126535.65,112251.542
600831.SH,20191022,8.65,8.73,8.59,8.7,8.59,0.10999999999999943,1.2806,64801.71,56137.626
600831.SH,20191021,8.7,8.7,8.43,8.59,8.71,-0.120000000000001,-1.3777,77255.37,66010.729
600831.SH,20191018,8.93,9.07,8.63,8.71,9.01,-0.29999999999999893,-3.3296,163534.05,144219.556
600831.SH,20191017,9.06,9.28,8.86,9.01,9.02,-0.009999999999999787,-0.1109,159296.42,143898.066
600831.SH,20191016,9.2,9.24,8.98,9.02,9.2,-0.17999999999999972,-1.9565,120998.1,109903.98
600831.SH,20191015,9.45,9.45,9.16,9.2,9.49,-0.2900000000000009,-3.0558,132543.62,122321.375
600831.SH,20191014,9.33,9.5,9.3,9.49,9.21,0.27999999999999936,3.0402,169558.33,159911.323
600831.SH,20191011,9.47,9.47,9.17,9.21,9.44,-0.22999999999999865,-2.4364,138488.65,128406.12
600831.SH,20191010,9.43,9.48,9.24,9.44,9.42,0.019999999999999574,0.2123,112359.37,105225.107
600831.SH,20191009,9.27,9.54,9.15,9.42,9.46,-0.040000000000000924,-0.4228,99636.18,93295.873
600831.SH,20191008,9.42,9.63,9.37,9.46,9.5,-0.03999999999999915,-0.4211,116500.0,110295.576
600831.SH,20190930,9.38,9.55,9.26,9.5,9.29,0.21000000000000085,2.2605,122595.47,115349.926
