ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600136.SH,20200225,13.04,13.09,12.39,12.86,13.45,-0.5899999999999999,-4.3866,166473.37,213159.383
600136.SH,20200224,13.45,13.85,13.0,13.45,13.53,-0.08000000000000007,-0.5913,136366.63,182292.056
600136.SH,20200221,13.5,13.84,13.38,13.53,13.69,-0.16000000000000014,-1.1687,121132.34,164657.499
600136.SH,20200220,13.48,13.97,13.4,13.69,13.31,0.379999999999999,2.855,167008.49,227610.346
600136.SH,20200219,13.67,13.8,13.18,13.31,13.67,-0.35999999999999943,-2.6335,155219.37,208622.019
600136.SH,20200218,12.53,13.67,12.5,13.67,12.43,1.2400000000000002,9.9759,198769.52,267586.226
600136.SH,20200217,11.8,12.52,11.76,12.43,11.75,0.6799999999999997,5.7872,126371.19,154813.694
600136.SH,20200214,11.89,12.05,11.58,11.75,11.89,-0.14000000000000057,-1.1775,65193.62,77061.795
600136.SH,20200213,12.2,12.39,11.82,11.89,12.23,-0.33999999999999986,-2.78,84302.87,101548.672
600136.SH,20200212,12.06,12.34,12.0,12.23,12.0,0.23000000000000043,1.9167,90067.45,109886.479
600136.SH,20200211,12.03,12.23,11.83,12.0,12.03,-0.02999999999999936,-0.2494,92526.22,111350.708
600136.SH,20200210,12.01,12.22,11.72,12.03,12.17,-0.14000000000000057,-1.1504,91408.54,109342.248
600136.SH,20200207,11.85,12.65,11.66,12.17,11.78,0.39000000000000057,3.3107,148993.64,180911.668
600136.SH,20200206,11.1,12.09,10.86,11.78,11.01,0.7699999999999996,6.9936,167330.51,193207.554
600136.SH,20200205,10.98,11.56,10.91,11.01,11.1,-0.08999999999999986,-0.8108,128682.52,144270.247
600136.SH,20200204,9.65,11.27,9.65,11.1,10.71,0.3899999999999988,3.6415,234892.54,249112.803
600136.SH,20200203,10.71,10.71,10.71,10.71,11.9,-1.1899999999999995,-10.0,22631.0,24237.801
600136.SH,20200123,12.58,12.58,11.5,11.9,12.58,-0.6799999999999997,-5.4054,135361.51,161992.714
600136.SH,20200122,12.52,12.74,12.1,12.58,12.7,-0.11999999999999922,-0.9449,101168.59,125642.407
600136.SH,20200121,12.95,13.29,12.64,12.7,13.21,-0.5100000000000016,-3.8607,127435.11,164215.507
600136.SH,20200120,13.76,13.78,12.68,13.21,13.75,-0.5399999999999991,-3.9273,179580.89,235314.927
600136.SH,20200117,13.56,13.96,13.43,13.75,13.47,0.27999999999999936,2.0787,114808.15,157549.69
600136.SH,20200116,13.65,13.83,13.36,13.47,13.7,-0.22999999999999865,-1.6788,106413.49,143933.912
600136.SH,20200115,13.97,14.02,13.59,13.7,13.95,-0.25,-1.7921,88898.4,121946.59
600136.SH,20200114,14.07,14.41,13.85,13.95,14.11,-0.16000000000000014,-1.1339,110981.3,156415.054
600136.SH,20200113,14.0,14.12,13.6,14.11,13.89,0.21999999999999886,1.5839,114491.53,158784.359
600136.SH,20200110,14.33,14.35,13.72,13.89,14.2,-0.3099999999999987,-2.1831,130118.96,181125.451
600136.SH,20200109,14.64,15.1,14.02,14.2,14.3,-0.10000000000000142,-0.6993,189087.57,273879.967
600136.SH,20200108,14.68,15.86,13.76,14.3,14.88,-0.5800000000000001,-3.8978,240319.67,355639.009
600136.SH,20200107,13.73,15.2,13.66,14.88,13.85,1.0300000000000011,7.4368,253244.5,366308.207
600136.SH,20200106,13.09,14.5,12.8,13.85,13.26,0.5899999999999999,4.4495,221733.28,303111.101
600136.SH,20200103,13.16,13.55,13.11,13.26,13.19,0.07000000000000028,0.5307,182437.51,243293.987
600136.SH,20200102,12.55,13.53,12.26,13.19,12.3,0.8899999999999988,7.2358,284080.1,370627.983
600136.SH,20191231,12.16,12.54,12.08,12.3,12.2,0.10000000000000142,0.8197,127472.47,157624.058
600136.SH,20191230,12.26,12.56,11.89,12.2,12.15,0.049999999999998934,0.4115,156684.59,191490.749
600136.SH,20191227,12.48,12.66,12.13,12.15,12.66,-0.5099999999999998,-4.0284,167775.31,207481.382
600136.SH,20191226,12.84,12.84,12.41,12.66,12.88,-0.22000000000000064,-1.7081,140661.95,177250.759
600136.SH,20191225,12.76,13.07,12.62,12.88,12.95,-0.06999999999999851,-0.5405,130304.49,166960.942
600136.SH,20191224,12.79,13.08,12.32,12.95,12.63,0.3199999999999985,2.5337,154470.14,197016.541
600136.SH,20191223,13.5,13.5,12.17,12.63,13.52,-0.8899999999999988,-6.5828,265359.4,339353.733
600136.SH,20191220,13.0,14.39,12.65,13.52,13.13,0.3899999999999988,2.9703,281709.52,381694.506
600136.SH,20191219,12.76,13.45,12.53,13.13,12.73,0.40000000000000036,3.1422,308963.1,404566.276
