ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600707.SH,20200225,5.2,5.95,5.2,5.79,5.46,0.33000000000000007,6.044,1737930.52,964877.71
600707.SH,20200224,5.11,5.46,5.0,5.46,4.96,0.5,10.0806,998877.23,539078.567
600707.SH,20200221,4.65,4.96,4.61,4.96,4.51,0.4500000000000002,9.9778,1277579.46,624685.012
600707.SH,20200220,4.11,4.51,4.05,4.51,4.1,0.41000000000000014,10.0,595018.31,256510.414
600707.SH,20200219,4.29,4.41,4.09,4.1,4.2,-0.10000000000000053,-2.381,527086.25,224063.965
600707.SH,20200218,3.84,4.2,3.83,4.2,3.82,0.38000000000000034,9.9476,324312.91,129590.055
600707.SH,20200217,3.72,3.88,3.71,3.82,3.7,0.11999999999999966,3.2432,193631.5,73602.522
600707.SH,20200214,3.7,3.76,3.66,3.7,3.7,0.0,0.0,121926.8,45364.758
600707.SH,20200213,3.76,3.8,3.69,3.7,3.79,-0.08999999999999986,-2.3747,188665.89,70668.52
600707.SH,20200212,3.66,3.85,3.64,3.79,3.67,0.1200000000000001,3.2698,209492.07,78250.602
600707.SH,20200211,3.66,3.71,3.61,3.67,3.66,0.009999999999999787,0.2732,144203.41,52859.242
600707.SH,20200210,3.58,3.7,3.55,3.66,3.57,0.0900000000000003,2.521,160189.16,58179.388
600707.SH,20200207,3.54,3.64,3.51,3.57,3.57,0.0,0.0,172045.38,61325.307
600707.SH,20200206,3.45,3.65,3.44,3.57,3.45,0.11999999999999966,3.4783,221617.76,79059.19
600707.SH,20200205,3.42,3.55,3.41,3.45,3.43,0.020000000000000018,0.5831,183048.16,63818.94
600707.SH,20200204,3.16,3.47,3.16,3.43,3.51,-0.07999999999999963,-2.2792,246092.79,82956.045
600707.SH,20200203,3.51,3.51,3.51,3.51,3.9,-0.3900000000000001,-10.0,32658.0,11462.958
600707.SH,20200123,4.01,4.12,3.86,3.9,4.03,-0.13000000000000034,-3.2258,172473.0,68457.487
600707.SH,20200122,4.09,4.09,3.86,4.03,4.12,-0.08999999999999986,-2.1845,213468.78,84906.67
600707.SH,20200121,4.25,4.25,4.12,4.12,4.26,-0.13999999999999968,-3.2864,170036.59,70904.661
600707.SH,20200120,4.19,4.26,4.19,4.26,4.19,0.0699999999999994,1.6706,137886.21,58327.229
600707.SH,20200117,4.21,4.25,4.17,4.19,4.18,0.010000000000000675,0.2392,109306.68,46019.348
600707.SH,20200116,4.2,4.26,4.16,4.18,4.19,-0.010000000000000675,-0.2387,116501.0,48975.672
600707.SH,20200115,4.28,4.28,4.19,4.19,4.27,-0.07999999999999918,-1.8735,158731.76,66887.084
600707.SH,20200114,4.27,4.33,4.26,4.27,4.29,-0.020000000000000462,-0.4662,150299.95,64400.591
600707.SH,20200113,4.35,4.35,4.23,4.29,4.35,-0.05999999999999961,-1.3793,194232.08,82975.346
600707.SH,20200110,4.36,4.38,4.29,4.35,4.39,-0.040000000000000036,-0.9112,234815.3,101738.679
600707.SH,20200109,4.41,4.47,4.32,4.39,4.39,0.0,0.0,393017.37,172216.711
600707.SH,20200108,4.35,4.55,4.34,4.39,4.31,0.08000000000000007,1.8561,697440.39,310352.699
600707.SH,20200107,4.31,4.34,4.27,4.31,4.3,0.009999999999999787,0.2326,220495.88,94730.421
600707.SH,20200106,4.3,4.38,4.22,4.3,4.32,-0.020000000000000462,-0.463,272246.81,117227.166
600707.SH,20200103,4.37,4.44,4.3,4.32,4.36,-0.040000000000000036,-0.9174,288353.41,125248.171
600707.SH,20200102,4.23,4.36,4.21,4.36,4.2,0.16000000000000014,3.8095,345336.2,148329.745
600707.SH,20191231,4.3,4.32,4.18,4.2,4.3,-0.09999999999999964,-2.3256,269414.57,113910.262
600707.SH,20191230,4.21,4.31,4.17,4.3,4.24,0.05999999999999961,1.4151,271348.05,115797.796
600707.SH,20191227,4.4,4.42,4.23,4.24,4.42,-0.17999999999999972,-4.0724,450766.22,194537.468
600707.SH,20191226,4.39,4.52,4.34,4.42,4.4,0.019999999999999574,0.4545,522288.95,231271.857
600707.SH,20191225,4.28,4.46,4.23,4.4,4.34,0.0600000000000005,1.3825,589413.56,256157.746
600707.SH,20191224,4.25,4.36,4.11,4.34,4.36,-0.020000000000000462,-0.4587,595014.49,251517.964
600707.SH,20191223,4.54,4.65,4.33,4.36,4.35,0.010000000000000675,0.2299,810932.16,363635.914
600707.SH,20191220,4.43,4.58,4.31,4.35,4.47,-0.1200000000000001,-2.6846,758514.2,336999.927
600707.SH,20191219,4.7,4.75,4.46,4.47,4.76,-0.29000000000000004,-6.0924,1141446.77,520702.961
600707.SH,20191218,4.51,4.76,4.42,4.76,4.33,0.4299999999999997,9.9307,1535972.68,713053.6
600707.SH,20191217,4.33,4.33,4.33,4.33,3.94,0.3900000000000001,9.8985,75375.0,32637.375
600707.SH,20191216,3.59,3.94,3.58,3.94,3.58,0.3599999999999999,10.0559,212861.16,80553.365
600707.SH,20191213,3.58,3.59,3.52,3.58,3.56,0.020000000000000018,0.5618,175712.01,62490.762
600707.SH,20191212,3.57,3.59,3.54,3.56,3.58,-0.020000000000000018,-0.5587,124079.35,44181.403
600707.SH,20191211,3.62,3.65,3.56,3.58,3.63,-0.04999999999999982,-1.3774,145928.63,52382.714
600707.SH,20191210,3.63,3.67,3.58,3.63,3.62,0.009999999999999787,0.2762,220147.86,79715.887
600707.SH,20191209,3.51,3.63,3.47,3.62,3.5,0.1200000000000001,3.4286,340926.29,121689.345
600707.SH,20191206,3.56,3.58,3.47,3.5,3.59,-0.08999999999999986,-2.507,430888.94,150946.041
600707.SH,20191205,3.71,3.71,3.55,3.59,3.71,-0.1200000000000001,-3.2345,405472.37,146128.283
600707.SH,20191204,3.77,3.84,3.65,3.71,3.8,-0.08999999999999986,-2.3684,291098.69,108827.235
600707.SH,20191203,3.79,3.85,3.71,3.8,3.82,-0.020000000000000018,-0.5236,182789.59,68989.661
600707.SH,20191202,3.78,3.87,3.77,3.82,3.77,0.04999999999999982,1.3263,84559.64,32335.261
600707.SH,20191129,3.75,3.79,3.71,3.77,3.73,0.040000000000000036,1.0724,72514.7,27258.136
600707.SH,20191128,3.8,3.82,3.71,3.73,3.8,-0.06999999999999984,-1.8421,81093.0,30443.215
600707.SH,20191127,3.82,3.84,3.77,3.8,3.91,-0.11000000000000032,-2.8133,135682.99,51526.351
600707.SH,20191126,3.86,4.0,3.84,3.91,3.85,0.06000000000000005,1.5584,153555.05,60405.943
600707.SH,20191125,3.85,3.92,3.82,3.85,3.84,0.010000000000000231,0.2604,93596.21,36157.415
600707.SH,20191122,3.94,3.97,3.81,3.84,3.91,-0.07000000000000028,-1.7903,85204.02,33052.247
600707.SH,20191121,3.84,3.92,3.84,3.91,3.87,0.040000000000000036,1.0336,58458.8,22774.217
600707.SH,20191120,3.94,3.96,3.86,3.87,3.93,-0.06000000000000005,-1.5267,57881.04,22594.117
600707.SH,20191119,3.88,3.94,3.84,3.93,3.87,0.06000000000000005,1.5504,76233.98,29744.631
600707.SH,20191118,3.81,3.94,3.8,3.87,3.8,0.07000000000000028,1.8421,108790.15,42139.837
600707.SH,20191115,3.85,3.89,3.79,3.8,3.84,-0.040000000000000036,-1.0417,69516.69,26676.094
600707.SH,20191114,3.88,3.9,3.82,3.84,3.87,-0.03000000000000025,-0.7752,78328.46,30248.478
600707.SH,20191113,3.95,3.96,3.83,3.87,3.94,-0.06999999999999984,-1.7766,104066.44,40348.241
600707.SH,20191112,3.99,4.01,3.87,3.94,4.02,-0.07999999999999963,-1.99,108063.86,42516.023
600707.SH,20191111,4.11,4.13,3.94,4.02,4.13,-0.11000000000000032,-2.6634,144716.89,58189.091
600707.SH,20191108,4.17,4.24,4.11,4.13,4.14,-0.009999999999999787,-0.2415,70046.83,29155.923
600707.SH,20191107,4.1,4.21,4.1,4.14,4.1,0.040000000000000036,0.9756,71768.23,29777.77
600707.SH,20191106,4.18,4.22,4.08,4.1,4.18,-0.08000000000000007,-1.9139,118572.22,49279.849
600707.SH,20191105,4.29,4.29,4.16,4.18,4.34,-0.16000000000000014,-3.6866,126088.0,53079.993
600707.SH,20191104,4.34,4.37,4.19,4.34,4.32,0.019999999999999574,0.463,163163.26,69579.034
600707.SH,20191101,4.3,4.37,4.28,4.32,4.34,-0.019999999999999574,-0.4608,86866.2,37559.165
600707.SH,20191031,4.37,4.42,4.31,4.34,4.38,-0.040000000000000036,-0.9132,71574.27,31298.455
600707.SH,20191030,4.55,4.55,4.35,4.38,4.64,-0.2599999999999998,-5.6034,178790.23,79249.155
600707.SH,20191029,4.69,4.72,4.63,4.64,4.7,-0.0600000000000005,-1.2766,66758.25,31181.799
600707.SH,20191028,4.6,4.72,4.6,4.7,4.58,0.1200000000000001,2.6201,100847.82,47186.9
600707.SH,20191025,4.55,4.6,4.48,4.58,4.55,0.03000000000000025,0.6593,89803.11,40900.459
600707.SH,20191024,4.54,4.63,4.5,4.55,4.56,-0.009999999999999787,-0.2193,62279.57,28407.835
600707.SH,20191023,4.65,4.69,4.53,4.56,4.63,-0.07000000000000028,-1.5119,75401.15,34671.27
600707.SH,20191022,4.56,4.67,4.54,4.63,4.54,0.08999999999999986,1.9824,66172.53,30492.178
600707.SH,20191021,4.6,4.6,4.46,4.54,4.58,-0.040000000000000036,-0.8734,85743.37,38734.402
600707.SH,20191018,4.7,4.7,4.54,4.58,4.68,-0.09999999999999964,-2.1368,84247.64,38741.511
600707.SH,20191017,4.69,4.76,4.65,4.68,4.71,-0.03000000000000025,-0.6369,64485.91,30314.504
600707.SH,20191016,4.82,4.85,4.71,4.71,4.81,-0.09999999999999964,-2.079,60112.01,28621.958
600707.SH,20191015,4.88,4.93,4.77,4.81,4.89,-0.08000000000000007,-1.636,113081.26,54576.091
600707.SH,20191014,4.81,4.94,4.78,4.89,4.78,0.10999999999999943,2.3013,87699.01,42862.093
600707.SH,20191011,4.82,4.94,4.74,4.78,4.84,-0.05999999999999961,-1.2397,89954.47,43227.296
600707.SH,20191010,4.66,4.86,4.63,4.84,4.65,0.1899999999999995,4.086,108208.41,51599.432
600707.SH,20191009,4.55,4.68,4.42,4.65,4.56,0.09000000000000075,1.9737,107136.3,49070.742
600707.SH,20191008,4.56,4.65,4.54,4.56,4.52,0.040000000000000036,0.885,90416.31,41518.141
600707.SH,20190930,4.66,4.67,4.51,4.52,4.65,-0.13000000000000078,-2.7957,126831.2,58003.098
600707.SH,20190927,4.69,4.74,4.54,4.65,4.65,0.0,0.0,150326.5,69883.412
