ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002054.SZ,20200225,7.33,7.88,7.15,7.83,7.52,0.3100000000000005,4.1223,311068.55,236936.466
002054.SZ,20200224,7.45,7.59,7.32,7.52,7.51,0.009999999999999787,0.1332,171505.51,127953.241
002054.SZ,20200221,7.5,7.6,7.44,7.51,7.59,-0.08000000000000007,-1.054,165442.05,124146.148
002054.SZ,20200220,7.53,7.68,7.45,7.59,7.43,0.16000000000000014,2.1534,185290.51,140392.715
002054.SZ,20200219,7.61,7.72,7.4,7.43,7.73,-0.3000000000000007,-3.881,243647.77,184096.517
002054.SZ,20200218,7.45,7.86,7.35,7.73,7.62,0.11000000000000032,1.4436,424234.72,323481.041
002054.SZ,20200217,7.06,7.62,6.96,7.62,6.93,0.6900000000000004,9.9567,361056.27,265817.451
002054.SZ,20200214,6.72,7.08,6.7,6.93,6.73,0.1999999999999993,2.9718,166966.99,114885.073
002054.SZ,20200213,6.73,6.85,6.71,6.73,6.76,-0.02999999999999936,-0.4438,89417.39,60626.435
002054.SZ,20200212,6.66,6.77,6.62,6.76,6.66,0.09999999999999964,1.5015,83492.08,56185.426
002054.SZ,20200211,6.67,6.78,6.63,6.66,6.73,-0.07000000000000028,-1.0401,103915.77,69610.521
002054.SZ,20200210,6.5,6.8,6.46,6.73,6.53,0.20000000000000018,3.0628,116674.04,77803.551
002054.SZ,20200207,6.42,6.54,6.36,6.53,6.44,0.08999999999999986,1.3975,92901.27,60024.834
002054.SZ,20200206,6.35,6.5,6.26,6.44,6.3,0.14000000000000057,2.2222,104313.99,66659.246
002054.SZ,20200205,6.24,6.47,6.24,6.3,6.24,0.05999999999999961,0.9615,106737.92,67879.943
002054.SZ,20200204,5.83,6.36,5.83,6.24,6.48,-0.2400000000000002,-3.7037,145139.21,89673.325
002054.SZ,20200203,6.48,6.48,6.48,6.48,7.2,-0.7199999999999998,-10.0,11552.0,7485.696
002054.SZ,20200123,7.53,7.55,7.13,7.2,7.59,-0.3899999999999997,-5.1383,120178.24,87968.066
002054.SZ,20200122,7.64,7.64,7.12,7.59,7.63,-0.040000000000000036,-0.5242,82498.3,62070.533
002054.SZ,20200121,7.77,7.77,7.62,7.63,7.77,-0.13999999999999968,-1.8018,63389.12,48620.577
