ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000622.SZ,20200225,4.87,5.01,4.57,4.98,5.0,-0.019999999999999574,-0.4,268488.98,129810.024
000622.SZ,20200224,4.96,5.03,4.91,5.0,4.96,0.040000000000000036,0.8065,183945.98,91564.952
000622.SZ,20200221,4.95,5.03,4.91,4.96,4.97,-0.009999999999999787,-0.2012,167040.84,83045.404
000622.SZ,20200220,4.85,5.06,4.76,4.97,4.81,0.16000000000000014,3.3264,227216.0,111663.94
000622.SZ,20200219,4.84,4.97,4.79,4.81,4.87,-0.0600000000000005,-1.232,170255.1,83035.232
000622.SZ,20200218,4.72,4.9,4.69,4.87,4.74,0.1299999999999999,2.7426,184602.49,88805.295
000622.SZ,20200217,4.64,4.83,4.6,4.74,4.56,0.1800000000000006,3.9474,161140.67,75824.13
000622.SZ,20200214,4.56,4.62,4.52,4.56,4.58,-0.020000000000000462,-0.4367,98515.82,44954.896
000622.SZ,20200213,4.65,4.71,4.56,4.58,4.67,-0.08999999999999986,-1.9272,119684.0,55205.09
000622.SZ,20200212,4.57,4.71,4.53,4.67,4.57,0.09999999999999964,2.1882,138200.1,64385.706
000622.SZ,20200211,4.68,4.68,4.53,4.57,4.65,-0.08000000000000007,-1.7204,148149.02,67908.113
000622.SZ,20200210,4.42,4.76,4.38,4.65,4.45,0.20000000000000018,4.4944,198212.14,90762.238
000622.SZ,20200207,4.46,4.5,4.38,4.45,4.43,0.020000000000000462,0.4515,142033.1,62987.412
000622.SZ,20200206,4.4,4.44,4.3,4.43,4.36,0.0699999999999994,1.6055,153875.41,67468.824
000622.SZ,20200205,4.25,4.45,4.25,4.36,4.23,0.1299999999999999,3.0733,165992.97,72637.964
000622.SZ,20200204,4.04,4.31,4.04,4.23,4.49,-0.2599999999999998,-5.7906,197770.34,83189.566
000622.SZ,20200203,4.49,4.49,4.49,4.49,4.99,-0.5,-10.02,15495.0,6957.255
000622.SZ,20200123,5.07,5.14,4.9,4.99,5.11,-0.1200000000000001,-2.3483,115004.03,57755.66
000622.SZ,20200122,5.14,5.16,4.92,5.11,5.15,-0.040000000000000036,-0.7767,125408.94,63434.543
