ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000703.SZ,20200225,12.85,12.91,12.55,12.82,13.1,-0.27999999999999936,-2.1374,157301.6,200888.603
000703.SZ,20200224,13.23,13.49,13.1,13.1,13.21,-0.11000000000000121,-0.8327,172625.33,228604.693
000703.SZ,20200221,13.3,13.43,13.2,13.21,13.37,-0.15999999999999837,-1.1967,110964.77,147398.388
000703.SZ,20200220,13.32,13.49,13.18,13.37,13.31,0.05999999999999872,0.4508,88556.48,118046.842
000703.SZ,20200219,13.38,13.39,13.18,13.31,13.4,-0.08999999999999986,-0.6716,66246.69,88003.931
000703.SZ,20200218,13.52,13.55,13.25,13.4,13.52,-0.11999999999999922,-0.8876,77821.34,104052.651
000703.SZ,20200217,13.16,13.57,13.14,13.52,13.18,0.33999999999999986,2.5797,86382.23,116473.763
000703.SZ,20200214,13.06,13.25,13.05,13.18,13.16,0.019999999999999574,0.152,53630.93,70592.128
000703.SZ,20200213,13.15,13.23,13.06,13.16,13.23,-0.07000000000000028,-0.5291,82761.74,108775.68
000703.SZ,20200212,13.1,13.3,12.98,13.23,13.19,0.040000000000000924,0.3033,99703.19,131209.902
000703.SZ,20200211,13.1,13.22,12.97,13.19,13.1,0.08999999999999986,0.687,88543.04,116059.577
000703.SZ,20200210,13.3,13.3,12.97,13.1,13.2,-0.09999999999999964,-0.7576,133567.39,174597.599
000703.SZ,20200207,13.04,13.26,12.73,13.2,13.05,0.14999999999999858,1.1494,154008.63,199993.753
000703.SZ,20200206,12.95,13.13,12.76,13.05,12.84,0.21000000000000085,1.6355,126193.56,163742.851
000703.SZ,20200205,12.26,12.99,12.26,12.84,12.26,0.5800000000000001,4.7308,225300.34,285145.504
000703.SZ,20200204,12.18,12.42,11.91,12.26,12.35,-0.08999999999999986,-0.7287,183758.16,222729.546
000703.SZ,20200203,12.35,12.49,12.35,12.35,13.72,-1.370000000000001,-9.9854,146484.0,180974.145
000703.SZ,20200123,14.15,14.15,13.32,13.72,14.15,-0.4299999999999997,-3.0389,146982.2,201029.079
000703.SZ,20200122,14.0,14.25,13.78,14.15,14.03,0.120000000000001,0.8553,96136.97,135009.874
000703.SZ,20200121,14.59,14.59,13.98,14.03,14.54,-0.5099999999999998,-3.5076,149804.35,212422.894
000703.SZ,20200120,14.7,14.78,14.38,14.54,14.51,0.02999999999999936,0.2068,115028.0,167080.307
000703.SZ,20200117,14.41,14.85,14.33,14.51,14.38,0.129999999999999,0.904,132993.77,193810.263
000703.SZ,20200116,14.27,14.5,14.13,14.38,14.22,0.16000000000000014,1.1252,121487.67,174895.34
000703.SZ,20200115,14.3,14.39,14.1,14.22,14.31,-0.08999999999999986,-0.6289,109285.74,155232.645
