ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000629.SZ,20200225,2.56,2.58,2.5,2.56,2.62,-0.06000000000000005,-2.2901,667728.01,169911.437
000629.SZ,20200224,2.6,2.66,2.54,2.62,2.61,0.010000000000000231,0.3831,907394.4,234789.251
000629.SZ,20200221,2.59,2.65,2.59,2.61,2.61,0.0,0.0,563462.1,146994.718
000629.SZ,20200220,2.6,2.62,2.55,2.61,2.62,-0.010000000000000231,-0.3817,670369.06,173720.606
000629.SZ,20200219,2.57,2.75,2.56,2.62,2.58,0.040000000000000036,1.5504,1151377.64,306007.43
000629.SZ,20200218,2.57,2.6,2.54,2.58,2.61,-0.029999999999999805,-1.1494,863677.73,221935.547
000629.SZ,20200217,2.58,2.68,2.52,2.61,2.55,0.06000000000000005,2.3529,1728338.0,448697.06
000629.SZ,20200214,2.35,2.55,2.34,2.55,2.32,0.22999999999999998,9.9138,1303800.25,327500.396
000629.SZ,20200213,2.35,2.37,2.31,2.32,2.36,-0.040000000000000036,-1.6949,401184.69,93803.861
000629.SZ,20200212,2.34,2.37,2.29,2.36,2.34,0.020000000000000018,0.8547,466821.05,109181.562
000629.SZ,20200211,2.3,2.38,2.28,2.34,2.31,0.029999999999999805,1.2987,524710.94,122888.813
000629.SZ,20200210,2.25,2.31,2.22,2.31,2.26,0.050000000000000266,2.2124,480479.39,109092.509
000629.SZ,20200207,2.27,2.29,2.23,2.26,2.28,-0.020000000000000018,-0.8772,370469.1,83462.304
000629.SZ,20200206,2.29,2.32,2.26,2.28,2.28,0.0,0.0,410997.4,93737.297
000629.SZ,20200205,2.23,2.33,2.23,2.28,2.24,0.03999999999999959,1.7857,425711.14,97613.258
000629.SZ,20200204,2.12,2.32,2.12,2.24,2.36,-0.11999999999999966,-5.0847,611408.3,136735.788
000629.SZ,20200203,2.36,2.36,2.36,2.36,2.62,-0.26000000000000023,-9.9237,105191.0,24825.076
000629.SZ,20200123,2.69,2.7,2.61,2.62,2.71,-0.08999999999999986,-3.321,343906.87,91063.408
000629.SZ,20200122,2.7,2.72,2.65,2.71,2.7,0.009999999999999787,0.3704,231296.58,62102.658
000629.SZ,20200121,2.76,2.77,2.69,2.7,2.77,-0.06999999999999984,-2.5271,352999.0,96053.754
000629.SZ,20200120,2.8,2.8,2.75,2.77,2.8,-0.029999999999999805,-1.0714,297449.31,82301.399
000629.SZ,20200117,2.82,2.84,2.79,2.8,2.82,-0.020000000000000018,-0.7092,200127.74,56373.722
000629.SZ,20200116,2.85,2.86,2.81,2.82,2.86,-0.040000000000000036,-1.3986,225884.39,63995.28
000629.SZ,20200115,2.9,2.9,2.85,2.86,2.93,-0.07000000000000028,-2.3891,314419.17,90234.524
000629.SZ,20200114,2.89,2.96,2.88,2.93,2.89,0.040000000000000036,1.3841,399501.38,117168.592
000629.SZ,20200113,2.87,2.91,2.83,2.89,2.88,0.010000000000000231,0.3472,248803.71,71368.573
000629.SZ,20200110,2.92,2.92,2.87,2.88,2.91,-0.03000000000000025,-1.0309,199596.72,57550.531
000629.SZ,20200109,2.92,2.93,2.89,2.91,2.9,0.010000000000000231,0.3448,264077.11,76729.354
000629.SZ,20200108,2.95,2.95,2.89,2.9,2.97,-0.07000000000000028,-2.3569,383981.92,112259.605
000629.SZ,20200107,2.94,2.98,2.93,2.97,2.94,0.03000000000000025,1.0204,356086.73,105510.254
000629.SZ,20200106,2.92,2.96,2.9,2.94,2.94,0.0,0.0,299045.36,87775.531
000629.SZ,20200103,2.94,2.95,2.92,2.94,2.94,0.0,0.0,296758.78,87181.802
000629.SZ,20200102,2.93,2.96,2.93,2.94,2.92,0.020000000000000018,0.6849,299042.46,88020.38
000629.SZ,20191231,2.94,2.94,2.9,2.92,2.93,-0.010000000000000231,-0.3413,245865.77,71771.563
000629.SZ,20191230,2.92,2.98,2.91,2.93,2.92,0.010000000000000231,0.3425,377404.01,110929.798
000629.SZ,20191227,2.88,3.02,2.87,2.92,2.88,0.040000000000000036,1.3889,608745.73,179479.99
000629.SZ,20191226,2.88,2.89,2.86,2.88,2.87,0.009999999999999787,0.3484,192033.51,55248.283
000629.SZ,20191225,2.89,2.89,2.85,2.87,2.88,-0.009999999999999787,-0.3472,167411.91,48103.74
000629.SZ,20191224,2.8,2.9,2.8,2.88,2.81,0.06999999999999984,2.4911,278075.2,79435.847
000629.SZ,20191223,2.89,2.89,2.81,2.81,2.88,-0.06999999999999984,-2.4306,254700.32,72338.822
000629.SZ,20191220,2.91,2.93,2.88,2.88,2.92,-0.040000000000000036,-1.3699,227473.05,65982.689
000629.SZ,20191219,2.91,2.93,2.9,2.92,2.91,0.009999999999999787,0.3436,166292.54,48455.89
000629.SZ,20191218,2.9,2.94,2.89,2.91,2.9,0.010000000000000231,0.3448,321348.53,93800.654
000629.SZ,20191217,2.87,2.93,2.85,2.9,2.87,0.029999999999999805,1.0453,347938.17,100929.535
000629.SZ,20191216,2.88,2.89,2.83,2.87,2.91,-0.040000000000000036,-1.3746,426712.01,121843.267
000629.SZ,20191213,2.89,2.92,2.88,2.91,2.88,0.03000000000000025,1.0417,266863.2,77537.081
000629.SZ,20191212,2.88,2.9,2.86,2.88,2.89,-0.010000000000000231,-0.346,236006.7,68018.175
000629.SZ,20191211,2.86,2.89,2.84,2.89,2.87,0.020000000000000018,0.6969,283593.23,81446.609
000629.SZ,20191210,2.82,2.88,2.81,2.87,2.83,0.040000000000000036,1.4134,351471.33,100365.051
000629.SZ,20191209,2.81,2.85,2.79,2.83,2.8,0.03000000000000025,1.0714,276613.75,78053.554
000629.SZ,20191206,2.82,2.82,2.78,2.8,2.83,-0.03000000000000025,-1.0601,238011.72,66593.156
000629.SZ,20191205,2.78,2.85,2.77,2.83,2.76,0.07000000000000028,2.5362,362075.86,101744.404
000629.SZ,20191204,2.75,2.78,2.74,2.76,2.76,0.0,0.0,156523.49,43275.979
000629.SZ,20191203,2.77,2.77,2.75,2.76,2.78,-0.020000000000000018,-0.7194,120006.5,33115.21
000629.SZ,20191202,2.78,2.8,2.76,2.78,2.79,-0.010000000000000231,-0.3584,127846.38,35518.394
000629.SZ,20191129,2.77,2.8,2.76,2.79,2.77,0.020000000000000018,0.722,156330.95,43427.397
000629.SZ,20191128,2.77,2.81,2.76,2.77,2.78,-0.009999999999999787,-0.3597,177500.74,49439.435
000629.SZ,20191127,2.82,2.82,2.78,2.78,2.84,-0.06000000000000005,-2.1127,242587.87,67821.044
000629.SZ,20191126,2.8,2.84,2.77,2.84,2.8,0.040000000000000036,1.4286,587032.47,164620.086
000629.SZ,20191125,2.72,2.83,2.72,2.8,2.72,0.07999999999999963,2.9412,518427.42,144579.447
000629.SZ,20191122,2.73,2.76,2.71,2.72,2.73,-0.009999999999999787,-0.3663,268142.95,73206.666
000629.SZ,20191121,2.72,2.73,2.7,2.73,2.73,0.0,0.0,162308.05,44108.518
000629.SZ,20191120,2.69,2.76,2.68,2.73,2.71,0.020000000000000018,0.738,271382.77,73842.531
000629.SZ,20191119,2.67,2.71,2.65,2.71,2.69,0.020000000000000018,0.7435,195055.55,52475.102
000629.SZ,20191118,2.7,2.7,2.63,2.69,2.69,0.0,0.0,208089.26,55708.828
000629.SZ,20191115,2.73,2.74,2.69,2.69,2.74,-0.050000000000000266,-1.8248,216893.09,58820.388
000629.SZ,20191114,2.78,2.79,2.73,2.74,2.78,-0.03999999999999959,-1.4388,314137.03,86276.071
000629.SZ,20191113,2.84,2.84,2.76,2.78,2.84,-0.06000000000000005,-2.1127,311861.4,87070.188
000629.SZ,20191112,2.81,2.86,2.81,2.84,2.78,0.06000000000000005,2.1583,306525.37,86864.226
000629.SZ,20191111,2.84,2.84,2.77,2.78,2.84,-0.06000000000000005,-2.1127,239737.5,67313.914
000629.SZ,20191108,2.85,2.86,2.83,2.84,2.84,0.0,0.0,189807.91,54025.537
000629.SZ,20191107,2.84,2.85,2.82,2.84,2.83,0.009999999999999787,0.3534,154151.43,43691.276
000629.SZ,20191106,2.85,2.86,2.83,2.83,2.85,-0.020000000000000018,-0.7018,152387.47,43329.421
000629.SZ,20191105,2.84,2.87,2.82,2.85,2.84,0.010000000000000231,0.3521,253400.36,72135.52
000629.SZ,20191104,2.84,2.86,2.83,2.84,2.84,0.0,0.0,180356.01,51300.589
000629.SZ,20191101,2.83,2.86,2.82,2.84,2.84,0.0,0.0,197607.89,56116.597
000629.SZ,20191031,2.83,2.87,2.82,2.84,2.83,0.009999999999999787,0.3534,211086.63,59850.65
000629.SZ,20191030,2.85,2.86,2.82,2.83,2.86,-0.029999999999999805,-1.049,182770.93,51779.872
000629.SZ,20191029,2.9,2.91,2.86,2.86,2.9,-0.040000000000000036,-1.3793,178544.12,51343.358
000629.SZ,20191028,2.9,2.92,2.87,2.9,2.91,-0.010000000000000231,-0.3436,237993.08,68913.549
000629.SZ,20191025,2.85,2.94,2.82,2.91,2.84,0.07000000000000028,2.4648,366042.46,105143.041
000629.SZ,20191024,2.84,2.85,2.82,2.84,2.83,0.009999999999999787,0.3534,176254.29,49921.676
000629.SZ,20191023,2.87,2.87,2.82,2.83,2.86,-0.029999999999999805,-1.049,238542.5,67808.823
000629.SZ,20191022,2.89,2.9,2.85,2.86,2.9,-0.040000000000000036,-1.3793,293126.96,83953.16
000629.SZ,20191021,2.94,2.94,2.85,2.9,2.97,-0.07000000000000028,-2.3569,437035.9,126553.036
000629.SZ,20191018,2.92,3.09,2.92,2.97,2.84,0.13000000000000034,4.5775,1111794.5,333169.173
000629.SZ,20191017,2.82,2.86,2.8,2.84,2.82,0.020000000000000018,0.7092,298106.85,84369.453
000629.SZ,20191016,2.88,2.88,2.8,2.82,2.87,-0.050000000000000266,-1.7422,355122.16,100827.358
000629.SZ,20191015,2.89,2.89,2.86,2.87,2.89,-0.020000000000000018,-0.692,235396.96,67574.307
000629.SZ,20191014,2.89,2.91,2.86,2.89,2.88,0.010000000000000231,0.3472,357766.16,103489.148
000629.SZ,20191011,2.94,2.95,2.87,2.88,2.95,-0.07000000000000028,-2.3729,448220.13,129850.707
000629.SZ,20191010,2.98,2.98,2.92,2.95,3.0,-0.04999999999999982,-1.6667,450523.79,132728.725
000629.SZ,20191009,2.98,3.0,2.97,3.0,2.99,0.009999999999999787,0.3344,167262.95,49856.547
000629.SZ,20191008,2.99,3.01,2.98,2.99,2.99,0.0,0.0,210979.08,63183.129
000629.SZ,20190930,3.01,3.02,2.99,2.99,3.01,-0.019999999999999574,-0.6645,222252.62,66647.064
000629.SZ,20190927,3.01,3.04,3.01,3.01,3.01,0.0,0.0,178621.12,53964.026
000629.SZ,20190926,3.06,3.07,3.01,3.01,3.08,-0.07000000000000028,-2.2727,327098.91,99176.0
000629.SZ,20190925,3.03,3.11,3.0,3.08,3.04,0.040000000000000036,1.3158,631819.1,192897.474
000629.SZ,20190924,3.03,3.05,3.02,3.04,3.03,0.010000000000000231,0.33,206819.93,62788.354
000629.SZ,20190923,3.06,3.07,3.02,3.03,3.06,-0.03000000000000025,-0.9804,247249.48,75026.209
000629.SZ,20190920,3.07,3.07,3.05,3.06,3.07,-0.009999999999999787,-0.3257,298597.87,91405.553
000629.SZ,20190919,3.06,3.08,3.04,3.07,3.05,0.020000000000000018,0.6557,311234.43,95185.264
000629.SZ,20190918,3.06,3.08,3.05,3.05,3.07,-0.020000000000000018,-0.6515,250183.88,76552.745
000629.SZ,20190917,3.13,3.13,3.05,3.07,3.13,-0.06000000000000005,-1.9169,471288.26,145084.288
000629.SZ,20190916,3.15,3.16,3.11,3.13,3.13,0.0,0.0,394800.0,123820.821
000629.SZ,20190912,3.13,3.14,3.12,3.13,3.12,0.009999999999999787,0.3205,317114.02,99253.665
000629.SZ,20190911,3.15,3.15,3.11,3.12,3.14,-0.020000000000000018,-0.6369,321365.38,100600.77
000629.SZ,20190910,3.15,3.16,3.13,3.14,3.15,-0.009999999999999787,-0.3175,363001.3,114090.95
000629.SZ,20190909,3.16,3.17,3.13,3.15,3.15,0.0,0.0,460255.65,144735.006
000629.SZ,20190906,3.14,3.15,3.1,3.15,3.13,0.020000000000000018,0.639,499035.96,155854.11
000629.SZ,20190905,3.15,3.16,3.12,3.13,3.14,-0.010000000000000231,-0.3185,635801.53,199837.472
000629.SZ,20190904,3.08,3.14,3.08,3.14,3.07,0.07000000000000028,2.2801,595894.38,185863.008
000629.SZ,20190903,3.08,3.08,3.06,3.07,3.08,-0.010000000000000231,-0.3247,246327.99,75526.705
000629.SZ,20190902,3.04,3.09,3.03,3.08,3.03,0.050000000000000266,1.6502,337585.02,103692.257
000629.SZ,20190830,3.07,3.08,3.02,3.03,3.06,-0.03000000000000025,-0.9804,331989.6,101133.697
000629.SZ,20190829,3.08,3.09,3.06,3.06,3.08,-0.020000000000000018,-0.6494,260276.94,79832.176
000629.SZ,20190828,3.08,3.11,3.07,3.08,3.08,0.0,0.0,283046.51,87414.626
