ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300806.SZ,20200225,41.5,42.67,39.33,42.67,42.28,0.39000000000000057,0.9224,55565.04,229853.406
300806.SZ,20200224,41.6,42.97,40.58,42.28,41.75,0.5300000000000011,1.2695,58238.54,244337.385
300806.SZ,20200221,41.98,43.37,41.5,41.75,42.39,-0.6400000000000006,-1.5098,63218.2,268622.87
300806.SZ,20200220,42.0,43.2,41.3,42.39,41.62,0.7700000000000031,1.8501,61058.83,258374.944
300806.SZ,20200219,40.1,42.42,40.08,41.62,40.35,1.269999999999996,3.1475,61493.23,255067.81
300806.SZ,20200218,38.02,41.35,38.02,40.35,38.4,1.9500000000000028,5.0781,51850.58,207317.825
300806.SZ,20200217,37.5,38.78,37.12,38.4,37.3,1.1000000000000014,2.9491,35941.28,136998.275
300806.SZ,20200214,36.68,38.19,36.56,37.3,36.74,0.5599999999999952,1.5242,29654.87,111020.681
300806.SZ,20200213,37.09,37.5,36.01,36.74,37.4,-0.6599999999999966,-1.7647,28563.65,104798.339
300806.SZ,20200212,37.0,37.86,36.53,37.4,37.03,0.36999999999999744,0.9992,26634.95,99545.667
300806.SZ,20200211,37.28,37.66,36.48,37.03,37.5,-0.46999999999999886,-1.2533,30174.72,111489.323
300806.SZ,20200210,35.83,37.66,35.53,37.5,36.03,1.4699999999999989,4.0799,34446.15,126230.238
300806.SZ,20200207,35.31,36.36,34.89,36.03,35.39,0.6400000000000006,1.8084,38504.97,137389.475
300806.SZ,20200206,34.16,35.89,34.16,35.39,35.32,0.07000000000000028,0.1982,51673.02,180895.686
300806.SZ,20200205,33.0,35.32,32.8,35.32,32.11,3.210000000000001,9.9969,55299.35,192143.268
300806.SZ,20200204,30.34,32.83,30.34,32.11,33.71,-1.6000000000000014,-4.7464,40420.22,128615.996
300806.SZ,20200203,33.71,33.71,33.71,33.71,37.46,-3.75,-10.0107,3512.0,11838.952
300806.SZ,20200123,40.88,40.9,37.4,37.46,41.56,-4.100000000000001,-9.8653,59513.77,231941.697
300806.SZ,20200122,41.5,42.36,41.1,41.56,41.96,-0.3999999999999986,-0.9533,33403.36,139316.641
300806.SZ,20200121,43.12,43.69,41.96,41.96,43.34,-1.3800000000000026,-3.1841,35625.09,152479.145
300806.SZ,20200120,43.02,43.6,42.18,43.34,43.54,-0.19999999999999574,-0.4593,33098.34,142275.42
300806.SZ,20200117,44.86,45.5,43.46,43.54,44.93,-1.3900000000000006,-3.0937,45228.3,199889.894
300806.SZ,20200116,44.3,45.36,43.95,44.93,43.98,0.9500000000000028,2.1601,51516.66,230599.452
300806.SZ,20200115,44.21,44.72,43.34,43.98,45.38,-1.4000000000000057,-3.0851,51028.78,224039.765
300806.SZ,20200114,44.3,45.93,43.36,45.38,43.81,1.5700000000000003,3.5837,78328.44,353067.796
300806.SZ,20200113,42.21,43.95,42.21,43.81,42.16,1.6500000000000057,3.9137,48844.54,211903.356
300806.SZ,20200110,43.19,43.5,41.68,42.16,43.5,-1.3400000000000034,-3.0805,48887.47,207508.713
300806.SZ,20200109,44.51,45.6,43.35,43.5,42.91,0.5900000000000034,1.375,61358.26,272019.818
300806.SZ,20200108,42.68,44.92,42.42,42.91,42.83,0.0799999999999983,0.1868,71579.58,313167.918
300806.SZ,20200107,42.9,43.96,42.46,42.83,43.03,-0.20000000000000284,-0.4648,50397.93,217363.449
300806.SZ,20200106,41.22,43.5,40.86,43.03,41.35,1.6799999999999997,4.0629,58636.39,248930.3
300806.SZ,20200103,42.0,42.49,41.23,41.35,41.8,-0.44999999999999574,-1.0766,40231.7,167817.277
300806.SZ,20200102,40.42,42.48,40.09,41.8,40.08,1.7199999999999989,4.2914,48286.03,199707.83
300806.SZ,20191231,39.82,41.45,39.66,40.08,39.83,0.25,0.6277,40388.45,162722.963
300806.SZ,20191230,43.26,43.28,39.24,39.83,43.6,-3.770000000000003,-8.6468,66081.9,266171.745
300806.SZ,20191227,42.46,44.17,42.3,43.6,42.99,0.6099999999999994,1.4189,68024.37,295020.722
300806.SZ,20191226,42.42,44.0,42.05,42.99,41.99,1.0,2.3815,69813.7,301856.543
300806.SZ,20191225,42.17,42.41,41.28,41.99,42.5,-0.509999999999998,-1.2,50259.78,209974.47
300806.SZ,20191224,42.01,43.4,41.84,42.5,41.24,1.259999999999998,3.0553,62566.24,265839.14
300806.SZ,20191223,41.65,42.44,41.09,41.24,41.42,-0.17999999999999972,-0.4346,52635.58,219821.426
300806.SZ,20191220,44.22,44.89,41.4,41.42,45.71,-4.289999999999999,-9.3853,102050.63,437454.975
300806.SZ,20191219,51.1,51.65,45.0,45.71,49.67,-3.960000000000001,-7.9726,130385.58,624660.125
300806.SZ,20191218,45.15,49.67,45.0,49.67,45.15,4.520000000000003,10.0111,102686.52,489535.757
300806.SZ,20191217,44.99,46.38,44.52,45.15,45.35,-0.20000000000000284,-0.441,89155.11,404939.088
300806.SZ,20191216,44.8,45.6,44.19,45.35,44.65,0.7000000000000028,1.5677,83545.05,375531.597
300806.SZ,20191213,45.02,45.44,43.58,44.65,45.85,-1.2000000000000028,-2.6172,123908.63,552911.947
300806.SZ,20191212,56.03,56.03,45.85,45.85,50.94,-5.089999999999996,-9.9921,197217.48,969742.798
300806.SZ,20191211,50.94,50.94,50.94,50.94,46.31,4.6299999999999955,9.9978,1487.66,7578.14
300806.SZ,20191210,46.31,46.31,46.31,46.31,42.1,4.210000000000001,10.0,1561.52,7231.399
300806.SZ,20191209,42.1,42.1,42.1,42.1,38.27,3.8299999999999983,10.0078,2034.5,8565.245
300806.SZ,20191206,38.27,38.27,38.27,38.27,34.79,3.480000000000004,10.0029,1571.0,6012.217
300806.SZ,20191205,34.79,34.79,34.79,34.79,31.63,3.16,9.9905,2374.63,8261.337
300806.SZ,20191204,31.63,31.63,31.63,31.63,28.75,2.879999999999999,10.0174,6638.69,20998.176
300806.SZ,20191203,28.75,28.75,28.75,28.75,26.14,2.6099999999999994,9.9847,1027.27,2953.401
300806.SZ,20191202,26.14,26.14,26.14,26.14,23.76,2.379999999999999,10.0168,639.9,1672.698
300806.SZ,20191129,23.76,23.76,23.76,23.76,21.6,2.16,10.0,2006.42,4767.253
300806.SZ,20191128,21.6,21.6,21.6,21.6,19.64,1.9600000000000009,9.9796,567.49,1225.778
300806.SZ,20191127,19.64,19.64,19.64,19.64,17.85,1.7899999999999991,10.028,410.79,806.791
300806.SZ,20191126,17.85,17.85,17.85,17.85,16.23,1.620000000000001,9.9815,196.06,349.967
300806.SZ,20191125,13.52,16.23,13.52,16.23,11.27,4.960000000000001,44.0106,872.25,1410.431
