ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000902.SZ,20200225,7.37,7.43,7.18,7.33,7.51,-0.17999999999999972,-2.3968,197659.14,144657.232
000902.SZ,20200224,7.4,7.57,7.3,7.51,7.47,0.040000000000000036,0.5355,180729.33,134414.204
000902.SZ,20200221,7.43,7.56,7.39,7.47,7.43,0.040000000000000036,0.5384,210501.09,157302.769
000902.SZ,20200220,7.45,7.47,7.27,7.43,7.39,0.040000000000000036,0.5413,143952.02,106344.503
000902.SZ,20200219,7.56,7.56,7.37,7.39,7.53,-0.14000000000000057,-1.8592,181317.16,135108.106
000902.SZ,20200218,7.61,7.63,7.47,7.53,7.57,-0.040000000000000036,-0.5284,179294.68,135170.371
000902.SZ,20200217,7.42,7.67,7.39,7.57,7.44,0.1299999999999999,1.7473,190778.86,144152.718
000902.SZ,20200214,7.36,7.54,7.24,7.44,7.46,-0.019999999999999574,-0.2681,210171.3,155309.753
000902.SZ,20200213,7.48,7.77,7.36,7.46,7.3,0.16000000000000014,2.1918,310150.69,234242.642
000902.SZ,20200212,7.23,7.33,7.16,7.3,7.19,0.10999999999999943,1.5299,130742.11,95066.254
000902.SZ,20200211,7.28,7.34,7.17,7.19,7.23,-0.040000000000000036,-0.5533,140898.29,101879.261
000902.SZ,20200210,7.06,7.25,6.96,7.23,6.98,0.25,3.5817,137645.01,98223.229
000902.SZ,20200207,7.13,7.29,6.89,6.98,7.1,-0.11999999999999922,-1.6901,197011.37,138623.846
000902.SZ,20200206,6.74,7.22,6.66,7.1,6.69,0.40999999999999925,6.1286,231373.37,162501.953
000902.SZ,20200205,6.48,6.76,6.4,6.69,6.49,0.20000000000000018,3.0817,217967.72,144398.55
000902.SZ,20200204,6.14,6.66,6.14,6.49,6.82,-0.33000000000000007,-4.8387,372592.46,235756.52
000902.SZ,20200203,6.82,6.82,6.82,6.82,7.58,-0.7599999999999998,-10.0264,24364.0,16616.248
000902.SZ,20200123,7.8,7.8,7.4,7.58,7.85,-0.2699999999999996,-3.4395,159315.0,121514.121
000902.SZ,20200122,7.94,7.94,7.8,7.85,7.9,-0.05000000000000071,-0.6329,123569.16,96750.129
000902.SZ,20200121,7.9,8.02,7.86,7.9,7.91,-0.009999999999999787,-0.1264,115655.82,91746.019
000902.SZ,20200120,7.95,7.97,7.86,7.91,7.94,-0.03000000000000025,-0.3778,114450.53,90354.621
000902.SZ,20200117,8.03,8.07,7.92,7.94,8.03,-0.08999999999999897,-1.1208,167825.4,134010.524
000902.SZ,20200116,8.25,8.27,8.01,8.03,8.23,-0.20000000000000107,-2.4301,168263.11,136459.475
000902.SZ,20200115,8.22,8.26,8.18,8.23,8.23,0.0,0.0,73160.34,60126.907
000902.SZ,20200114,8.29,8.35,8.19,8.23,8.29,-0.05999999999999872,-0.7238,170926.04,141140.596
000902.SZ,20200113,8.44,8.44,8.17,8.29,8.43,-0.14000000000000057,-1.6607,193306.14,159206.462
000902.SZ,20200110,8.5,8.52,8.37,8.43,8.46,-0.030000000000001137,-0.3546,159732.67,134713.813
000902.SZ,20200109,8.43,8.51,8.38,8.46,8.41,0.05000000000000071,0.5945,118774.86,100424.769
000902.SZ,20200108,8.41,8.58,8.38,8.41,8.5,-0.08999999999999986,-1.0588,167971.46,142020.848
000902.SZ,20200107,8.52,8.53,8.37,8.5,8.53,-0.02999999999999936,-0.3517,177918.92,150117.85
000902.SZ,20200106,8.21,8.7,8.18,8.53,8.3,0.22999999999999865,2.7711,339127.8,286264.822
