ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600777.SH,20200225,1.94,1.98,1.9,1.96,1.98,-0.020000000000000018,-1.0101,1226360.11,237101.664
600777.SH,20200224,2.0,2.0,1.96,1.98,2.02,-0.040000000000000036,-1.9802,966466.15,191497.279
600777.SH,20200221,1.99,2.04,1.98,2.02,2.0,0.020000000000000018,1.0,1074941.4,216544.027
600777.SH,20200220,1.94,2.01,1.94,2.0,1.93,0.07000000000000006,3.6269,1268193.16,250112.822
600777.SH,20200219,1.94,1.95,1.93,1.93,1.95,-0.020000000000000018,-1.0256,626847.63,121489.047
600777.SH,20200218,1.94,1.95,1.92,1.95,1.95,0.0,0.0,804748.06,155847.081
600777.SH,20200217,1.91,1.95,1.9,1.95,1.91,0.040000000000000036,2.0942,920968.69,177521.808
600777.SH,20200214,1.91,1.92,1.89,1.91,1.91,0.0,0.0,410737.59,78306.16
600777.SH,20200213,1.93,1.96,1.91,1.91,1.93,-0.020000000000000018,-1.0363,563120.07,108602.071
600777.SH,20200212,1.91,1.94,1.9,1.93,1.92,0.010000000000000009,0.5208,518978.11,99604.76
600777.SH,20200211,1.9,1.94,1.89,1.92,1.91,0.010000000000000009,0.5236,569563.34,109286.912
600777.SH,20200210,1.88,1.92,1.86,1.91,1.89,0.020000000000000018,1.0582,653498.14,123598.497
600777.SH,20200207,1.89,1.9,1.86,1.89,1.9,-0.010000000000000009,-0.5263,654665.38,122803.413
600777.SH,20200206,1.89,1.93,1.88,1.9,1.87,0.029999999999999805,1.6043,731105.99,138751.416
600777.SH,20200205,1.84,1.89,1.82,1.87,1.84,0.030000000000000027,1.6304,776108.17,144928.325
600777.SH,20200204,1.77,1.87,1.77,1.84,1.84,0.0,0.0,918528.17,168735.818
600777.SH,20200203,1.84,1.88,1.84,1.84,2.04,-0.19999999999999996,-9.8039,769943.05,142161.71
600777.SH,20200123,2.07,2.08,2.02,2.04,2.09,-0.04999999999999982,-2.3923,843165.19,172679.348
600777.SH,20200122,2.07,2.1,2.05,2.09,2.08,0.009999999999999787,0.4808,467580.91,97042.039
600777.SH,20200121,2.12,2.12,2.07,2.08,2.13,-0.04999999999999982,-2.3474,875714.46,182846.322
600777.SH,20200120,2.14,2.14,2.11,2.13,2.13,0.0,0.0,436168.1,92574.961
600777.SH,20200117,2.14,2.15,2.12,2.13,2.14,-0.010000000000000231,-0.4673,377382.4,80500.177
600777.SH,20200116,2.16,2.17,2.13,2.14,2.16,-0.020000000000000018,-0.9259,401205.59,86069.457
600777.SH,20200115,2.18,2.18,2.15,2.16,2.18,-0.020000000000000018,-0.9174,461793.14,99783.576
600777.SH,20200114,2.14,2.19,2.14,2.18,2.16,0.020000000000000018,0.9259,740848.22,160428.537
600777.SH,20200113,2.15,2.16,2.12,2.16,2.15,0.010000000000000231,0.4651,535274.86,114440.355
600777.SH,20200110,2.18,2.19,2.13,2.15,2.18,-0.03000000000000025,-1.3761,851471.71,183079.189
600777.SH,20200109,2.19,2.21,2.16,2.18,2.29,-0.10999999999999988,-4.8035,1559807.7,341031.743
600777.SH,20200108,2.31,2.35,2.25,2.29,2.25,0.040000000000000036,1.7778,1735822.09,397474.398
600777.SH,20200107,2.23,2.26,2.2,2.25,2.28,-0.029999999999999805,-1.3158,1274779.03,283799.825
600777.SH,20200106,2.23,2.31,2.22,2.28,2.18,0.09999999999999964,4.5872,2173243.13,492049.365
600777.SH,20200103,2.11,2.2,2.1,2.18,2.12,0.06000000000000005,2.8302,1565373.18,338926.743
600777.SH,20200102,2.11,2.13,2.1,2.12,2.1,0.020000000000000018,0.9524,604124.04,127805.841
600777.SH,20191231,2.09,2.1,2.07,2.1,2.09,0.010000000000000231,0.4785,401749.19,83953.561
