ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300812.SZ,20200225,76.6,86.88,76.6,82.5,80.0,2.5,3.125,78671.79,648881.078
300812.SZ,20200224,74.0,82.68,73.1,80.0,75.26,4.739999999999995,6.2982,73357.79,580527.369
300812.SZ,20200221,74.03,79.98,73.21,75.26,74.7,0.5600000000000023,0.7497,62502.22,477448.733
300812.SZ,20200220,72.85,75.36,70.5,74.7,73.92,0.7800000000000011,1.0552,58298.56,426415.005
300812.SZ,20200219,76.99,80.85,73.51,73.92,80.85,-6.929999999999993,-8.5714,86440.76,660691.755
300812.SZ,20200218,73.0,80.85,71.05,80.85,73.5,7.349999999999994,10.0,92826.26,703138.037
300812.SZ,20200217,72.68,76.73,70.51,73.5,70.24,3.260000000000005,4.6412,102299.82,751222.883
300812.SZ,20200214,63.98,70.24,63.5,70.24,63.85,6.3899999999999935,10.0078,76677.61,526677.966
300812.SZ,20200213,62.85,63.99,60.68,63.85,63.12,0.730000000000004,1.1565,53040.5,329391.681
300812.SZ,20200212,61.3,63.7,60.9,63.12,61.68,1.4399999999999977,2.3346,46336.95,289711.168
300812.SZ,20200211,59.5,62.45,59.21,61.68,61.0,0.6799999999999997,1.1148,42237.88,258578.056
300812.SZ,20200210,67.43,67.5,61.0,61.0,67.69,-6.689999999999998,-9.8833,73605.97,465171.483
300812.SZ,20200207,65.66,71.33,65.55,67.69,67.0,0.6899999999999977,1.0299,66754.54,456906.008
300812.SZ,20200206,66.33,68.33,65.1,67.0,68.5,-1.5,-2.1898,67193.1,448064.265
300812.SZ,20200205,63.96,71.98,62.88,68.5,65.61,2.8900000000000006,4.4048,80910.79,541439.903
300812.SZ,20200204,61.97,67.7,61.97,65.61,68.85,-3.239999999999995,-4.7059,81710.7,524960.707
300812.SZ,20200203,68.85,68.85,68.85,68.85,76.5,-7.650000000000006,-10.0,2945.0,20276.325
300812.SZ,20200123,73.0,80.14,67.76,76.5,72.85,3.6500000000000057,5.0103,118311.68,864250.424
300812.SZ,20200122,66.56,72.85,66.56,72.85,66.23,6.61999999999999,9.9955,87545.55,616657.03
300812.SZ,20200121,66.23,66.23,66.23,66.23,60.21,6.020000000000003,9.9983,13200.99,87430.156
300812.SZ,20200120,60.21,60.21,60.21,60.21,54.74,5.469999999999999,9.9927,1514.0,9115.794
300812.SZ,20200117,54.74,54.74,54.74,54.74,49.76,4.980000000000004,10.008,1243.87,6808.944
300812.SZ,20200116,49.76,49.76,49.76,49.76,45.24,4.519999999999996,9.9912,541.14,2692.712
300812.SZ,20200115,45.24,45.24,45.24,45.24,41.13,4.109999999999999,9.9927,950.78,4301.328
300812.SZ,20200114,41.13,41.13,41.13,41.13,37.39,3.740000000000002,10.0027,262.0,1077.606
300812.SZ,20200113,37.39,37.39,37.39,37.39,33.99,3.3999999999999986,10.0029,176.0,658.064
300812.SZ,20200110,33.99,33.99,33.99,33.99,30.9,3.0900000000000034,10.0,112.15,381.197
300812.SZ,20200109,25.75,30.9,25.75,30.9,21.46,9.439999999999998,43.9888,433.16,1334.764
