ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600093.SH,20200225,14.82,15.35,14.52,15.17,15.43,-0.2599999999999998,-1.685,498429.74,747122.701
600093.SH,20200224,15.07,15.64,14.73,15.43,15.17,0.2599999999999998,1.7139,597611.72,909036.219
600093.SH,20200221,14.28,15.6,14.27,15.17,14.22,0.9499999999999993,6.6807,684709.74,1015089.818
600093.SH,20200220,14.14,14.23,13.67,14.22,14.02,0.20000000000000107,1.4265,380210.07,532825.484
600093.SH,20200219,14.3,14.34,14.02,14.02,14.44,-0.41999999999999993,-2.9086,337013.91,477996.652
600093.SH,20200218,14.37,14.55,14.05,14.44,14.36,0.08000000000000007,0.5571,431037.18,617620.363
600093.SH,20200217,13.73,14.49,13.7,14.36,13.87,0.4900000000000002,3.5328,460910.47,650903.398
600093.SH,20200214,14.69,14.69,13.83,13.87,13.35,0.5199999999999996,3.8951,594222.21,845637.205
600093.SH,20200211,13.45,13.52,13.12,13.35,13.5,-0.15000000000000036,-1.1111,252985.2,337378.332
600093.SH,20200210,13.72,13.74,13.3,13.5,13.65,-0.15000000000000036,-1.0989,354659.29,478148.606
600093.SH,20200207,12.6,13.78,12.56,13.65,12.57,1.08,8.5919,543853.99,718226.758
600093.SH,20200206,12.36,12.79,12.21,12.57,12.25,0.3200000000000003,2.6122,336109.25,420543.163
600093.SH,20200205,11.87,12.61,11.87,12.25,11.85,0.40000000000000036,3.3755,373070.59,456952.435
600093.SH,20200204,11.3,12.12,11.3,11.85,12.56,-0.7100000000000009,-5.6529,454693.31,531956.24
600093.SH,20200203,12.56,12.56,12.56,12.56,13.95,-1.3899999999999988,-9.9642,14117.0,17730.952
600093.SH,20200123,14.73,15.08,13.58,13.95,14.85,-0.9000000000000004,-6.0606,307050.18,438770.161
600093.SH,20200122,15.06,15.06,14.38,14.85,15.13,-0.28000000000000114,-1.8506,271333.48,400050.786
600093.SH,20200121,15.48,15.48,15.08,15.13,15.56,-0.4299999999999997,-2.7635,220957.6,337083.923
600093.SH,20200120,15.59,15.66,15.15,15.56,15.47,0.08999999999999986,0.5818,279330.25,430142.749
600093.SH,20200117,15.94,16.04,15.37,15.47,15.86,-0.3899999999999988,-2.459,315283.69,493669.766
600093.SH,20200116,16.45,16.46,15.8,15.86,16.41,-0.5500000000000007,-3.3516,421835.93,675273.921
600093.SH,20200115,15.64,16.42,15.54,16.41,15.82,0.5899999999999999,3.7295,618897.28,1000456.085
600093.SH,20200114,16.09,16.48,15.73,15.82,16.08,-0.259999999999998,-1.6169,455624.47,732668.195
600093.SH,20200113,15.79,16.23,15.56,16.08,15.93,0.14999999999999858,0.9416,389750.94,620407.24
600093.SH,20200110,15.75,16.29,15.47,15.93,15.73,0.1999999999999993,1.2715,515709.88,822897.062
600093.SH,20200109,15.35,16.13,15.35,15.73,15.09,0.6400000000000006,4.2412,524579.04,827987.952
600093.SH,20200108,15.55,15.72,15.04,15.09,15.85,-0.7599999999999998,-4.795,536787.89,823797.304
600093.SH,20200107,14.76,15.93,14.61,15.85,14.78,1.0700000000000003,7.2395,664964.1,1013632.787
600093.SH,20200106,14.57,15.09,14.48,14.78,14.73,0.049999999999998934,0.3394,399109.29,588936.838
600093.SH,20200103,14.41,14.75,14.24,14.73,14.41,0.3200000000000003,2.2207,400655.38,582599.41
600093.SH,20200102,14.1,14.6,13.96,14.41,13.96,0.4499999999999993,3.2235,390642.61,561012.237
600093.SH,20191231,14.04,14.24,13.83,13.96,13.95,0.010000000000001563,0.0717,212145.34,297470.98
600093.SH,20191230,13.74,13.96,13.27,13.95,13.71,0.23999999999999844,1.7505,243215.77,333323.753
600093.SH,20191227,14.24,14.3,13.66,13.71,14.23,-0.5199999999999996,-3.6543,315596.0,440584.314
600093.SH,20191226,14.0,14.26,13.86,14.23,14.12,0.11000000000000121,0.779,221301.84,310659.641
600093.SH,20191225,13.96,14.34,13.9,14.12,13.98,0.1399999999999988,1.0014,228494.39,323528.001
600093.SH,20191224,13.95,14.04,13.78,13.98,13.82,0.16000000000000014,1.1577,175134.46,243911.503
600093.SH,20191223,14.55,14.55,13.72,13.82,14.65,-0.8300000000000001,-5.6655,351729.36,492289.747
600093.SH,20191220,15.29,15.38,14.62,14.65,15.38,-0.7300000000000004,-4.7464,428298.57,641566.46
600093.SH,20191219,15.06,15.56,14.97,15.38,15.06,0.3200000000000003,2.1248,529685.78,810107.498
600093.SH,20191218,15.08,15.4,14.88,15.06,15.19,-0.129999999999999,-0.8558,483399.73,728976.77
600093.SH,20191217,15.01,15.29,14.75,15.19,14.86,0.33000000000000007,2.2207,571935.31,860303.209
600093.SH,20191216,14.57,15.07,14.45,14.86,14.57,0.28999999999999915,1.9904,422672.61,624611.048
600093.SH,20191213,14.44,14.77,14.31,14.57,14.28,0.2900000000000009,2.0308,405552.71,588964.506
600093.SH,20191212,14.76,14.79,14.11,14.28,14.77,-0.4900000000000002,-3.3175,436337.88,627583.266
600093.SH,20191211,14.5,15.15,14.38,14.77,14.63,0.1399999999999988,0.9569,529115.12,785466.904
600093.SH,20191210,14.62,14.9,14.36,14.63,14.6,0.030000000000001137,0.2055,506064.73,740799.049
600093.SH,20191209,14.38,14.96,14.06,14.6,14.44,0.16000000000000014,1.108,637024.6,929928.284
600093.SH,20191206,14.05,14.66,13.96,14.44,13.9,0.5399999999999991,3.8849,750918.21,1079242.735
600093.SH,20191205,14.35,14.4,13.8,13.9,13.78,0.120000000000001,0.8708,662908.61,928435.207
600093.SH,20191204,13.46,13.85,13.31,13.78,13.6,0.17999999999999972,1.3235,453569.65,617902.504
600093.SH,20191203,14.06,14.09,13.02,13.6,14.23,-0.6300000000000008,-4.4273,673392.43,909674.759
600093.SH,20191202,14.29,14.53,14.04,14.23,14.39,-0.16000000000000014,-1.1119,386706.35,551186.051
600093.SH,20191129,14.83,14.84,14.23,14.39,14.87,-0.47999999999999865,-3.228,576911.74,834518.457
600093.SH,20191128,15.1,15.34,14.64,14.87,15.15,-0.28000000000000114,-1.8482,735059.48,1103777.333
600093.SH,20191127,16.28,16.47,14.9,15.15,16.43,-1.2799999999999994,-7.7906,967882.98,1508724.304
600093.SH,20191126,16.75,17.2,16.16,16.43,16.87,-0.4400000000000013,-2.6082,565084.64,938691.423
600093.SH,20191125,18.17,18.17,16.87,16.87,18.74,-1.8699999999999974,-9.9787,710436.48,1212156.713
600093.SH,20191122,18.45,19.27,18.1,18.74,18.39,0.34999999999999787,1.9032,865392.16,1622639.359
600093.SH,20191121,18.06,18.66,17.78,18.39,18.51,-0.120000000000001,-0.6483,600493.87,1092972.278
600093.SH,20191120,17.97,19.5,17.7,18.51,17.85,0.6600000000000001,3.6975,967587.05,1808660.592
600093.SH,20191119,16.96,18.39,16.6,17.85,17.03,0.8200000000000003,4.815,762119.09,1333771.088
600093.SH,20191118,16.56,17.15,16.56,17.03,16.6,0.4299999999999997,2.5904,518100.26,876014.292
600093.SH,20191115,17.76,18.14,16.6,16.6,18.24,-1.639999999999997,-8.9912,875500.05,1532918.962
600093.SH,20191114,16.92,18.73,16.81,18.24,17.03,1.2099999999999973,7.1051,1171021.61,2147745.642
600093.SH,20191113,17.2,17.34,16.68,17.03,17.64,-0.6099999999999994,-3.458,549275.3,934951.961
600093.SH,20191112,17.12,17.84,16.3,17.64,17.14,0.5,2.9172,697791.28,1190450.329
